Compounds	AMI1	AMI2	AMI3	AMI4	AMI5	AMI6	AMI7	AMI8	AMI9	AMI10	AMI11	AMI12	AMI13	AMI14	AMI15	AMI16	AMI17	AMI18	AMI19	AMI20	AMI21	AMI22	AMI23	AMI24	AMI25	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44
Acetyl-L-carnitine	346207.82	146585.27	145959.06	520750.17	298851.52	320770.7	479601.18	275067.65	524319.48	213294.18	288733.58	237285.85	466119.84	135000.41	427639.62	292683.7	208989.37	215142.5	280137.15	221513.62	522093.98	220681.58	428727.09	450655.78	278764.04	314129.54	379471.42	434736.44	325336.17	544503.64	521540.23	219098.87	440718.59	619273.38	460225.32	294517.65	953438.23	442207.09	662103.18	345527.88	445765.94	265217.01	480379.71	847616.58	470892.12	572887.2	485977.39	298355.76	410945.81	387190.95	432464.81	299182.48	311002.78	290061.41	420084.08	346340.94	348371.45	422957.56	368789.58	353632.38	358967.18	302349.31	429270.36	385908.19	443151.77	421052.12	226602.07	384231.59	481105.26
L-Carnitine	54087.79	31440.28	33927.13	39512.27	77727.65	83153.64	96017.24	52017.84	82600.42	68752.36	73839.31	59413.87	59132.64	63062.81	83224.97	55160.17	68357.54	79446.54	87525.32	78793.88	99037.21	32462.86	85368.36	71055.94	71851.11	23658.57	71488.85	58574.96	51711.59	62642.97	66877.96	66693.45	53370.25	100718.35	67057.19	37146.8	73878.15	83544.13	94065.73	31576.59	52572.69	54312.24	33400.58	67818.98	51768.06	58420.73	57388.78	50548.03	63375.02	77191.47	40717.56	40620.36	53578.92	55563.84	32754.73	52451.28	78887.38	49700.89	35919.48	63419.77	46992.76	40214.68	81281.85	86098.15	36478.78	65959.36	55716.75	67658.57	54095.1
Lenticin	20836.4	30893.79	31482.7	4770.41	53298.08	25212.79	31001.0	14904.52	14539.28	14250.7	14854.78	59805.56	58281.12	59213.02	16663.49	7463.62	13840.58	4586.94	28103.78	82552.15	27438.47	3047.25	57801.57	4446.74	21466.63	21520.72	1145.61	1916.14	6104.98	8450.82	50265.9	17051.17	37751.6	26452.32	62003.15	19619.08	6927.92	5708.0	49633.68	41629.84	19803.2	23518.56	6851.21	31492.09	12365.41	8055.44	16627.24	39031.41	17230.62	71080.9	30147.09	96269.82	9802.56	52246.26	12643.48	28927.04	12736.16	7442.49	12217.67	45912.59	1964.24	47345.33	28849.45	58874.11	34509.74	32829.49	6779.4	23250.86	15658.41
L-Gulose	857596.63	745972.5	916580.34	1197616.39	838659.93	1045135.55	1029155.05	696192.66	1128147.75	898272.19	572536.27	475765.22	637198.05	598785.19	1015818.76	768724.65	1175363.69	1197658.88	960238.09	579774.85	720043.61	772698.96	1522868.05	657099.43	800715.76	1274492.92	825828.49	533026.24	622280.04	666350.42	527385.53	599095.46	597259.49	933994.77	703577.32	448659.9	645031.11	713900.04	704703.96	390918.14	676120.85	564557.17	241710.23	952494.37	991193.87	890215.39	587134.46	664514.24	557025.66	736902.54	642504.16	727604.39	530990.12	427595.88	746903.66	849776.28	411065.15	277183.14	689036.19	747882.02	359950.76	429056.26	540882.8	715670.09	748070.07	667153.19	742861.01	910529.91	849109.47
L-Tryptophan	559297.27	552688.89	511858.19	351525.34	627043.15	656633.25	392908.08	360260.17	376241.56	435121.9	612642.31	512203.98	455752.92	411885.35	386055.05	423517.19	714264.48	380442.75	478166.14	347043.69	508904.19	455114.04	327782.5	234816.38	544205.51	495690.09	261726.0	344695.13	337108.17	396437.62	503242.17	304641.19	488214.03	437796.97	442664.45	351198.35	389768.45	310669.39	368163.84	359673.73	428328.63	403011.59	422591.41	435445.66	451428.25	578693.54	444085.81	556779.97	407724.33	358441.38	434851.35	379847.21	419949.68	409136.98	519342.66	444459.54	434989.9	381440.51	334502.08	340089.9	390712.18	682864.35	502480.39	480201.0	349261.74	617176.06	384181.11	564015.62	453165.52
L-Tyrosine	29459.76	31448.68	38192.8	22384.27	35240.26	32265.27	20496.39	22286.86	15283.21	21834.93	33323.1	33260.35	23129.65	21587.71	31522.33	23490.0	31368.62	26692.81	29013.47	18906.05	23891.57	28777.5	27869.04	16667.39	31474.86	32487.11	20646.06	17424.33	20279.83	23171.04	29204.02	21634.79	26687.35	23837.02	27318.58	28752.92	25424.73	18002.69	23607.05	24611.32	27725.52	23995.6	25294.08	21193.86	18928.16	36575.05	24276.54	37990.77	28823.67	22755.44	28679.64	29433.96	19611.6	26851.53	29337.51	29036.9	25074.98	18266.15	23594.47	25785.7	17836.77	34956.1	30491.53	15684.43	20233.68	30889.42	23658.2	42808.06	38962.28
Hypoxanthine	6088.12	23790.99	6653.81	36462.37	29767.52	18298.26	13396.93	5623.04	2140.4	940.44	77067.67	27216.75	1233.65	1027.27	3934.02	1783.03	3921.44	5860.98	4105.29	1149.7	29908.78	20500.13	2000.32	9483.86	2255.8	8722.32	9609.17	3904.69	27291.86	2373.95	19561.4	3978.35	27380.56	5858.11	14171.59	10432.3	17155.28	1298.25	494.92	43606.23	82705.81	15864.67	186961.01	21808.41	3981.29	11924.67	1526.35	459.24	753.96	11624.17	1355.77	16964.88	67421.15	115713.44	200490.87	368.61	75541.23	50756.07	184033.91	179741.28	123784.88	153629.22	73382.94	8170.18	7267.28	1138.62	1309.56	2292.68	6796.4
Piperine	60105.74	53684.07	707.27	46740.4	52393.27	881.7	37818.48	1910.8	144503.08	560.59	26425.84	23310.74	809.02	48390.97	24533.89	428.38	69438.35	2174.83	63190.58	581.72	4940.07	15743.51	437.78	47867.08	27176.33	10989.5	4260.28	30184.59	1256.01	11558.74	131440.59	58367.1	1400.87	88144.16	162866.86	3409.44	32920.92	298473.53	3951.32	9117.4	2565.97	66665.96	75291.21	85084.57	18289.08	13056.55	22165.03	29204.82	20882.59	54450.55	24898.02	29113.0	57444.74	850.61	91063.67	7793.0	8794.65	95867.87	15796.39	52494.03	5692.94	52409.03	2653.32	48259.26	62573.85	56352.13	643.14	3394.58	693.94
L-Valine	101102.2	99371.3	84550.4	87060.86	99504.39	98487.48	70079.65	111277.45	81545.2	91844.91	58248.25	80721.71	80160.17	97293.11	63642.91	86813.6	100840.82	70690.77	91022.29	89870.08	90991.44	78915.75	88273.67	105402.51	109179.1	79103.19	71896.79	63595.46	87737.95	93647.18	89543.22	96731.46	67633.26	94621.9	85198.91	85958.04	84016.35	96740.08	87205.45	149764.14	83458.48	93922.95	101395.74	102119.77	81505.1	82528.12	92004.75	97378.13	78259.36	86463.68	77619.93	82157.47	86487.86	67647.72	79562.36	76872.7	93604.96	60065.6	75212.02	84467.05	70501.85	102697.85	109480.71	88918.2	95794.8	90811.88	93663.9	74677.27	103519.52
Choline Alfoscerate	21955.51	18319.28	40661.26	18343.75	17873.68	31983.56	17853.61	28446.72	17555.3	27825.88	29948.15	25769.27	13942.29	14522.19	18315.56	16727.72	34020.94	27402.66	28237.25	23477.86	17114.97	17819.26	39097.39	32817.68	22910.3	9726.34	9455.92	15489.35	10783.04	11463.58	12100.88	12235.5	15058.85	21244.43	18787.13	6214.29	5693.55	15733.03	6868.45	12984.19	13706.88	10600.95	11688.76	12601.01	25580.75	15392.58	18508.44	19951.15	13188.11	17382.2	12134.72	9304.96	20583.59	10596.23	14009.98	14088.21	15409.23	13325.11	15038.51	9764.37	13525.32	11024.82	10936.1	23854.65	10532.8	16901.47	17228.22	12591.61	21480.63
