SampleID	Group
AMI1	AMI
AMI2	AMI
AMI3	AMI
AMI4	AMI
AMI5	AMI
AMI6	AMI
AMI7	AMI
AMI8	AMI
AMI9	AMI
AMI10	AMI
AMI11	AMI
AMI12	AMI
AMI13	AMI
AMI14	AMI
AMI15	AMI
AMI16	AMI
AMI17	AMI
AMI18	AMI
AMI19	AMI
AMI20	AMI
AMI21	AMI
AMI22	AMI
AMI23	AMI
AMI24	AMI
AMI25	AMI
CON1	CON
CON2	CON
CON3	CON
CON4	CON
CON5	CON
CON6	CON
CON7	CON
CON8	CON
CON9	CON
CON10	CON
CON11	CON
CON12	CON
CON13	CON
CON14	CON
CON15	CON
CON16	CON
CON17	CON
CON18	CON
CON19	CON
CON20	CON
CON21	CON
CON22	CON
CON23	CON
CON24	CON
CON25	CON
CON26	CON
CON27	CON
CON28	CON
CON29	CON
CON30	CON
CON31	CON
CON32	CON
CON33	CON
CON34	CON
CON35	CON
CON36	CON
CON37	CON
CON38	CON
CON39	CON
CON40	CON
CON41	CON
CON42	CON
CON43	CON
CON44	CON
