feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Archaea.p__Thermoplasmatota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae.g__Methanomassiliicoccus_A.s__Methanomassiliicoccus_A_intestinalis	Group	MI	-0.992309474994009	0.907620465676166	84	74	0.277459695670628	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Hermodarchaeia.o__Hermodarchaeales.f__Hermodarchaeaceae.g__Hermodarchaeum.s__Hermodarchaeum_sp016550425	Group	MI	1.06215974027914	0.703508396434732	84	17	0.134937325891335	0.850164964939489
k__Archaea.p__Methanobacteriota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter_A.s__Methanobrevibacter_A_sp902785855	Group	MI	-0.742323618089044	0.574048036220608	84	21	0.199594484980892	0.850164964939489
k__Archaea.p__Thermoplasmatota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomethylophilaceae.g__UBA71.s__UBA71_sp006954465	Group	MI	1.76420569338082	0.940593591379439	84	68	0.0642649157499489	0.850164964939489
k__Archaea.p__Methanobacteriota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter_A.s__Methanobrevibacter_A_sp900314695	Group	MI	-0.862060918794224	0.728515849592742	84	54	0.24010513514158	0.850164964939489
k__Archaea.p__Halobacteriota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanocorpusculaceae.g__Methanocorpusculum.s__Methanocorpusculum_sp017622255	Group	MI	0.691197682004995	0.628784028881819	84	14	0.274871243781874	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Lokiarchaeia.o__Helarchaeales.f__HEL.GB.A.g__JABXJT01.s__JABXJT01_sp013375405	Group	MI	0.630004614265861	0.410956062136674	84	11	0.129119772611284	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Lokiarchaeia.o__CR.4.f__SOKP01.g__LW40.45.s__LW40.45_sp004524515	Group	MI	1.32223430284575	0.666630308485415	84	16	0.0506628265491024	0.850164964939489
k__Archaea.p__Methanobacteriota_B.c__Thermococci.o__Methanofastidiosales.f__Methanofastidiosaceae.g__Methanofastidiosum.s__Methanofastidiosum_sp013178285	Group	MI	-1.65619237194361	0.941436833249219	84	33	0.082270672797508	0.850164964939489
k__Archaea.p__Methanobacteriota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter.s__Methanobrevibacter_sp902769175	Group	MI	0.620832319658246	0.335803090627667	84	9	0.0680909781849329	0.850164964939489
k__Archaea.p__Thermoplasmatota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae.g__Methanomassiliicoccus_A.s__Methanomassiliicoccus_A_sp905203995	Group	MI	-1.3828083252332	0.958807449719475	84	69	0.153049890547935	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Heimdallarchaeia.o__UBA460.f__UBA460.g__UBA460.s__UBA460_sp018238545	Group	MI	-0.879774307457095	0.698708644533668	84	28	0.211551168477576	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Heimdallarchaeia.o__UBA460.f__Kariarchaeaceae.g__LC.2.s__LC.2_sp001940725	Group	MI	-1.43351780653464	0.678250232404565	84	24	0.0375928137991587	0.850164964939489
k__Archaea.p__Methanobacteriota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter_B.s__Methanobrevibacter_B_sp002208625	Group	MI	0.920265402765638	0.395172720772175	84	9	0.0223335847319325	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Lokiarchaeia.o__CR.4.f__SOKP01.g__Loki.b32.s__Loki.b32_sp016839635	Group	MI	-0.769087565346121	0.622745913513084	84	15	0.220359696727596	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Lokiarchaeia.o__Helarchaeales.f__HEL.GB.A.g__JABXJT01.s__JABXJT01_sp016840125	Group	MI	-1.71148146420126	0.776880571987606	84	34	0.0303993801634605	0.850164964939489
k__Archaea.p__Methanobacteriota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobacterium_D.s__Methanobacterium_D_sp023434825	Group	MI	-0.468777350298144	0.40392572343646	84	9	0.249191235224319	0.850164964939489
k__Archaea.p__Methanobacteriota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter_A.s__Methanobrevibacter_A_oralis	Group	MI	-1.18249921598849	0.707545108601503	84	34	0.0984806696932921	0.850164964939489
k__Archaea.p__Aenigmatarchaeota.c__Aenigmatarchaeia.o__Aenigmatarchaeales.f__SZUA.1535.g__SZUA.1535.s__SZUA.1535_sp015521535	Group	MI	-0.523671982722042	0.416729558974696	84	15	0.212458134696624	0.850164964939489
k__Archaea.p__Altiarchaeota.c__Altiarchaeia.o__Altiarchaeales.f__Altiarchaeaceae.g__Altiarchaeum.s__Altiarchaeum_sp002083985	Group	MI	-0.437426578073712	0.387751272006673	84	9	0.262562849889836	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Heimdallarchaeia.o__Hodarchaeales.f__LC.3.g__LC.3.s__LC.3_sp001940645	Group	MI	0.685597219264818	0.350563206068366	84	12	0.0539058279598266	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Heimdallarchaeia.o__JABLTI01.f__JABLTI01.g__JABLTI01.s__JABLTI01_sp019058275	Group	MI	-1.01846026939429	0.47298585570043	84	15	0.0342358605581388	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Heimdallarchaeia.o__UBA460.f__UBA460.g__UBA460.s__UBA460_sp019894795	Group	MI	0.993299822976134	0.73867563479329	84	16	0.182428756803387	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Lokiarchaeia.o__CR.4.f__MK.D1.g__Prometheoarchaeum.s__Prometheoarchaeum_sp021498095	Group	MI	-0.815676390382438	0.603783406429624	84	12	0.180429990495778	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Lokiarchaeia.o__CR.4.f__SOKP01.g__Loki.b32.s__Loki.b32_sp016840085	Group	MI	-0.330718399030083	0.279848243751053	84	15	0.240709813305199	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Lokiarchaeia.o__CR.4.f__SOKP01.g__Loki.b32.s__Loki.b32_sp019058425	Group	MI	1.3215061892263	0.725006039229675	84	23	0.0719858043131269	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Lokiarchaeia.o__CR.4.f__SOKP01.g__LW40.45.s__LW40.45_sp019058445	Group	MI	-0.516645405725428	0.353391231744864	84	18	0.147572911452307	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Lokiarchaeia.o__CR.4.f__SOKP01.g__SDNM01.s__SDNM01_sp004524535	Group	MI	-0.788509414606566	0.573795862262297	84	14	0.173124529892807	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Lokiarchaeia.o__CR.4.f__SOKP01.g__SOKP01.s__SOKP01_sp011364975	Group	MI	0.91472583552448	0.675445336975477	84	32	0.179374997718645	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Lokiarchaeia.o__CR.4.f__SOKP01.g__SOKP01.s__SOKP01_sp013375495	Group	MI	0.82547825737275	0.39116269876324	84	11	0.0378783612600072	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Lokiarchaeia.o__CR.4.f__SOKP01.g__TEKIR.8.s__TEKIR.8_sp008080765	Group	MI	0.896036039873609	0.622297492957181	84	24	0.153707269026795	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Lokiarchaeia.o__CR.4.f__SOKP01.g__TEKIR.8.s__TEKIR.8_sp014730165	Group	MI	-0.607367659614771	0.524180792530705	84	18	0.24994231021524	0.850164964939489
k__Archaea.p__Asgardarchaeota.c__Lokiarchaeia.o__CR.4.f__SOKP01.g__YT1.065.s__YT1.065_sp016839905	Group	MI	-0.670965680914797	0.519720852994288	84	11	0.200327474522459	0.850164964939489
k__Archaea.p__Halobacteriota.c__Archaeoglobi.o__Archaeoglobales.f__Archaeoglobaceae.g__Archaeoglobus_A.s__Archaeoglobus_A_sulfaticallidus	Group	MI	-0.579640161293531	0.528688437000836	84	11	0.276124676270158	0.850164964939489
k__Archaea.p__Halobacteriota.c__Halobacteria.o__Halobacteriales.f__Haloarculaceae.g__Haloarcula.s__Haloarcula_hispanica	Group	MI	-0.837599613465679	0.758377590914541	84	25	0.272622922428378	0.850164964939489
