ID	CON1	CON2	CON4	CON5	CON3	CON6	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON43	CON44	CON45	CON38	CON39	CON40	CON41	CON42	CON46	CON47	CON20	CON21	CON22	CON23	MI33	MI32	MI38	MI36	MI34	MI35	MI37	MI27	MI28	MI29	MI31	MI17	MI21	MI20	MI24	MI23	MI26	MI19	MI18	MI15	MI25	MI22	MI14	MI16	MI2	MI1	MI12	MI4	MI11	MI13	MI3	MI8	MI5	MI9	MI7	MI10	MI6
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900766745	562	301	725	101891	21365	35	667	0	0	667	1595	214	472	1221	2195	5999	61519	831	34	38827	1052	3317	26	705	90	90	3766	0	802	56	0	10	61	642	4298	69	625	16051	59	45	3603	2376	197	3615	253	360	14501	124	13	60572	1391	1592	19101	296	87435	188	23182	0	0	869	248288	29361	68109	281718	19	1167	1736	6286	1366	205	4025	179525	287	74691	6603	23297	42925	176	18392	7477	88	1791	39	33
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__Methanomassiliicoccus_A_intestinalis	676	39	220	136	279	0	547	0	0	488	669	231	597	84	242	887	201	572	90	224	30	524	0	118	137	0	322	60	111	555	319	189	246	428	36	517	266	399	199	1261	763	224	445	0	113	200	867	498	153	212	358	24	244	299	376	757	200	1196	0	1147	224	467	0	1029	198	211	0	186	246	173	757	362	395	45	49	402	391	231	260	125	150	0	81	48
k__Archaea|p__Nanoarchaeota|c__Nanoarchaeia|o__SCGC-AAA011-G17|f__GW2011-AR18|g__JAGWAD01|s__JAGWAD01_sp018302105	0	0	0	0	0	0	0	0	0	0	0	48	0	0	10	0	0	0	77	0	0	0	0	0	0	0	80	0	0	0	0	36	0	0	0	14	0	0	98	0	94	0	0	0	24	0	0	0	18	0	36	0	0	0	21	113	0	0	0	0	0	229	0	0	0	0	0	0	0	0	67	0	21	890	0	0	111	10	11	46	0	0	0	0
k__Archaea|p__Nanoarchaeota|c__Nanoarchaeia|o__Pacearchaeales|f__JAHJTO01|g__JAHJTO01|s__JAHJTO01_sp018829845	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Asgardarchaeota|c__Hermodarchaeia|o__Hermodarchaeales|f__Hermodarchaeaceae|g__Hermodarchaeum|s__Hermodarchaeum_sp016550425	0	0	0	26	0	34	0	0	0	0	0	0	21	0	10	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	17	37	0	0	0	0	0	0	0	0	15	0	26	12	0	0	0	24	11	0	0	22	18	0	0	0	0	0	0	0	0	76	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0	96	30	83895	131	0	36	0	0	0	247	0	117	0	44	100	18	97	23	25	0	43	0	95	14	0	16	0	61	0	0	64	302	11	0	0	0	0	203	86	234	92	35	0	17	34	425	33	0	38	37	0	26	27	55	19	49	205	0	31	0	12	31	33	0	39	0	15	41401	251	53	19	0	25	20	62	18	73	0	42	32	261	17	101
k__Archaea|p__Nanoarchaeota|c__Nanoarchaeia|o__Pacearchaeales|f__GW2011-AR1|g__JAFCDK01|s__JAFCDK01_sp017609745	0	0	0	0	0	0	0	0	0	70	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	40	0	0	0	0	0	0	0	0
k__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__CR-4|f__SOKP01|g__Loki-b32|s__Loki-b32_sp020344955	0	0	0	39	0	0	0	0	0	11	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	15	0	19	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp900322125	26	24	0	95	0	0	0	0	0	0	0	0	0	11	0	13	10	0	54	272	0	17	0	10	21	18	52	0	0	0	0	49	105	41	0	0	0	0	0	0	0	10	23	27	267	23	0	480	1316	0	11	0	0	0	16	90	10	12	0	44	0	17	0	1490	0	0	0	29	27	139	85	118	0	12	0	29	0	24	26	43	10	0	0	0
k__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__CR-4|f__SOKP01|g__SOKP01|s__SOKP01_sp019894735	16	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	43	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
