feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Herbaspirillum.s__Herbaspirillum_sp	Group	MI	3.34577425227818	0.407684991480438	84	24	2.71889896206739e-12	6.253467612755e-10
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Weissella.s__Weissella_confusa	Group	MI	-2.31457337580598	0.612113778884223	84	23	0.000295178631199404	0.0339455425879315
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Weissella.s__Weissella_cibaria	Group	MI	-2.7561385934079	0.75462117446738	84	22	0.000456520013580422	0.0349998677078323
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_infantarius	Group	MI	-2.59274352068612	0.730963166772555	84	20	0.000647402182319882	0.0372256254833932
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Alloscardovia.s__Alloscardovia_omnicolens	Group	MI	1.02594925136164	0.341574449645766	84	10	0.00353716728019272	0.133747633074526
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_stercoris	Group	MI	1.83393392729913	0.630228600664933	84	48	0.00465209158520092	0.133747633074526
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_lutetiensis	Group	MI	-0.842470234861714	0.286737598859669	84	11	0.00428654963492704	0.133747633074526
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_oralis	Group	MI	2.73460068755617	0.921521584001078	84	52	0.00393394808195483	0.133747633074526
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_parasanguinis	Group	MI	2.30616121235364	0.812934040880446	84	72	0.00573890652550739	0.14284600945346
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Enterobacter.s__Enterobacter_cloacae_complex	Group	MI	-1.82635758528443	0.650180444417634	84	17	0.0062106960631939	0.14284600945346
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_pneumoniae	Group	MI	-2.68890521463114	0.980005206995357	84	50	0.00745883876686419	0.142961076364897
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_variicola	Group	MI	-2.09745117328376	0.759381384340034	84	44	0.00708765524815234	0.142961076364897
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Butyricimonas.s__Butyricimonas_synergistica	Group	MI	0.852472500142512	0.322304752665774	84	16	0.00979031895947678	0.150395585787484
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Butyricimonas.s__Butyricimonas_virosa	Group	MI	1.97405003147278	0.733560661345856	84	36	0.00863037093946945	0.150395585787484
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_macedonicus	Group	MI	-0.959135335347038	0.363074276924655	84	10	0.00987638811748114	0.150395585787484
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__Ruminococcus_callidus	Group	MI	2.03828491248479	0.777843769134346	84	21	0.0104623016199989	0.150395585787484
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_finegoldii	Group	MI	2.98653658722709	1.16194181649459	84	50	0.011969290938531	0.152940939770119
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_quasipneumoniae	Group	MI	-1.67987597195101	0.652989743638048	84	42	0.0118962717387364	0.152940939770119
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_sp_S6_Spd3	Group	MI	0.541380418786897	0.21299990803049	84	9	0.012914467732054	0.156333030440654
k__Bacteria.p__Synergistetes.c__Synergistia.o__Synergistales.f__Synergistaceae.g__Pyramidobacter.s__Pyramidobacter_piscolens	Group	MI	0.824449825496264	0.346103197896288	84	11	0.0195294017308165	0.22458811990439
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_sp_oral_taxon_414	Group	MI	-0.615942099247541	0.275591131360032	84	13	0.0281379699416126	0.281379699416127
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Enterorhabdus.s__Enterorhabdus_caecimuris	Group	MI	0.572035251838617	0.254098912681302	84	14	0.0270463804907336	0.281379699416127
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__Enterococcus_casseliflavus	Group	MI	-0.729694230763562	0.323588738007178	84	10	0.0267981571155653	0.281379699416127
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Leuconostoc.s__Leuconostoc_citreum	Group	MI	-0.496444561319398	0.225993319998763	84	10	0.0308629851159795	0.295770274028137
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_anginosus_group	Group	MI	1.80880082344973	0.841225597333018	84	69	0.0344849930708132	0.305059554087963
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium.s__Clostridium_lavalense	Group	MI	0.647072226799628	0.299070955123764	84	9	0.033404822117918	0.305059554087963
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_hominis	Group	MI	1.70289725377109	0.801595213556937	84	51	0.0366497608030863	0.312201666100365
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_intestinalis	Group	MI	1.04445940924599	0.497901125081193	84	9	0.0390085814831134	0.320427633611289
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_copri	Group	MI	-2.50718510510433	1.24434196780063	84	27	0.0471954146380905	0.361831512225361
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Romboutsia.s__Romboutsia_ilealis	Group	MI	-1.27332181668	0.629688739040177	84	45	0.0464217438756638	0.361831512225361
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia.s__Scardovia_wiggsiae	Group	MI	-0.900491494536581	0.450616553197539	84	10	0.0489923042089566	0.363491289292259
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_adolescentis	Group	MI	-2.8855334153889	1.4945431955098	84	37	0.0569747597126847	0.382335332270706
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_cellulosilyticus	Group	MI	1.62492661121526	0.83456293377379	84	41	0.0549534345723004	0.382335332270706
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_vestibularis	Group	MI	1.51359332550975	0.785640083243489	84	58	0.0574971154528446	0.382335332270706
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium.s__Clostridium_asparagiforme	Group	MI	1.20877364762741	0.633326261058248	84	20	0.0598111211373675	0.382335332270706
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Dialister.s__Dialister_sp_CAG_357	Group	MI	-2.39520065243973	1.25510817658794	84	28	0.0598437911380235	0.382335332270706
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_durum	Group	MI	-0.74524367416245	0.401284757504928	84	19	0.0668810021253372	0.392402214186443
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter.s__Odoribacter_splanchnicus	Group	MI	1.68817228124082	0.929179668158033	84	55	0.0728950022068325	0.392402214186443
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__Lactococcus_petauri	Group	MI	-0.808092279107563	0.44375702571461	84	13	0.0722506072492624	0.392402214186443
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus.s__Coprococcus_catus	Group	MI	2.20719597031793	1.17335344063057	84	62	0.0635074309895917	0.392402214186443
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium.s__Clostridium_bolteae	Group	MI	1.26766486976191	0.698888973773152	84	43	0.0733621530870307	0.392402214186443
