feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_luchuensis	Group	MI	1.04726927562832	0.286167405330727	84	74	0.000445509235058605	0.0303666530409726
k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Ophiostomatales.f__Ophiostomataceae.g__Sporothrix.s__Sporothrix_schenckii	Group	MI	1.17109496390973	0.331986648949269	84	71	0.00069015120547665	0.0303666530409726
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Kluyveromyces.s__Kluyveromyces_lactis	Group	MI	0.992666002375424	0.304430914562601	84	64	0.00161970893727871	0.0356335966201316
k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Sordariaceae.g__Neurospora.s__Neurospora_crassa	Group	MI	0.904493355178203	0.273166727590689	84	69	0.00138307542166074	0.0356335966201316
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Phaffomycetaceae.g__Komagataella.s__Komagataella_phaffii	Group	MI	0.749285156157793	0.260833550852625	84	48	0.00518023019614699	0.0911720514521871
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Debaryomycetaceae.g__Scheffersomyces.s__Scheffersomyces_stipitis	Group	MI	0.779982334867879	0.283676641857234	84	44	0.00733961603625936	0.0922694587415463
k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__Cryptococcaceae.g__Cryptococcus.s__Cryptococcus_neoformans	Group	MI	0.721960870898157	0.258661387976819	84	51	0.00653183287868084	0.0922694587415463
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Kluyveromyces.s__Kluyveromyces_marxianus	Group	MI	0.723749771934388	0.268331525351375	84	51	0.00848507490619751	0.0933358239681726
k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Arthrodermataceae.g__Microsporum.s__Microsporum_audouinii	Group	MI	0.899822624749897	0.347559148156068	84	63	0.0113862627565915	0.104889029645818
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Saccharomyces.s__Saccharomyces_kudriavzevii	Group	MI	0.667810722801724	0.262312287313769	84	55	0.0127726795130989	0.104889029645818
k__Fungi.p__Basidiomycota.c__Malasseziomycetes.o__Malasseziales.f__Malasseziaceae.g__Malassezia.s__Malassezia_restricta	Group	MI	0.756685008465411	0.298379763763881	84	62	0.0131111287057272	0.104889029645818
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Zygotorulaspora.s__Zygotorulaspora_mrakii	Group	MI	0.687790251884399	0.330033450387709	84	72	0.0402731139368973	0.272618002034382
k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Magnaporthales.f__Pyriculariaceae.g__Pyricularia.s__Pyricularia_pennisetigena	Group	MI	0.568010202229051	0.272310814836686	84	79	0.0400971013893106	0.272618002034382
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Saccharomyces.s__Saccharomyces_eubayanus	Group	MI	0.64405524234395	0.314332839358619	84	32	0.0436638785364251	0.274458665086101
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycodaceae.g__Saccharomycodes.s__Saccharomycodes_ludwigii	Group	MI	0.638533866567316	0.325295821239333	84	56	0.053044480480123	0.311194285483388
k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Arthrodermataceae.g__Microsporum.s__Microsporum_canis	Group	MI	0.424735381883431	0.223316386327252	84	16	0.0606897636939325	0.333793700316629
k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Arthrodermataceae.g__Trichophyton.s__Trichophyton_rubrum	Group	MI	0.588817460190662	0.323177247700854	84	70	0.0721063992490217	0.334849161845764
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Saccharomyces.s__Saccharomyces_cerevisiae	Group	MI	-0.797733589515222	0.428273689891663	84	26	0.0660894655365761	0.334849161845764
k__Fungi.p__Basidiomycota.c__Cryptophyceae.o__Cryptomonadales.f__Cryptomonadaceae.g__Cryptomonas.s__Cryptomonas_paramecium	Group	MI	0.250700011049291	0.137692622437438	84	12	0.07229697812579	0.334849161845764
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Trichomonascaceae.g__Sugiyamaella.s__Sugiyamaella_lignohabitans	Group	MI	0.523101427956875	0.29634687053992	84	66	0.0812589044133657	0.34051350420839
k__Fungi.p__Basidiomycota.c__Ustilaginomycetes.o__Ustilaginales.f__Ustilaginaceae.g__Ustilago.s__Ustilago_maydis	Group	MI	0.576369167850029	0.326196734676719	84	72	0.0809596214292879	0.34051350420839
k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Cladosporiales.f__Cladosporiaceae.g__Cladosporium.s__Cladosporium_cladosporioides	Group	MI	0.543719309642861	0.334846715199793	84	78	0.108259775947588	0.38142639014239
k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Cercospora.s__Cercospora_beticola	Group	MI	0.388701685602218	0.242970327839045	84	74	0.113491112721429	0.38142639014239
k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Sclerotiniaceae.g__Botrytis.s__Botrytis_cinerea	Group	MI	0.466292339334313	0.304900081970166	84	58	0.130031723912179	0.38142639014239
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Eremothecium.s__Eremothecium_sinecaudum	Group	MI	0.573943543240661	0.372187531846941	84	69	0.126904262561149	0.38142639014239
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Saccharomyces.s__Saccharomyces_boulardii_.nom._inval..	Group	MI	-0.635034100496758	0.390101262396607	84	20	0.107389010154235	0.38142639014239
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Saccharomyces.s__Saccharomyces_pastorianus	Group	MI	-0.6937182629443	0.438182679250913	84	38	0.117231904701136	0.38142639014239
k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Pochonia.s__Pochonia_chlamydosporia	Group	MI	-0.518514992097416	0.313124042608901	84	79	0.1015559347708	0.38142639014239
k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_graminearum	Group	MI	0.424304444998268	0.270850843645452	84	28	0.12106843832147	0.38142639014239
k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_verticillioides	Group	MI	-0.335116597138969	0.215063742496565	84	17	0.123032493781607	0.38142639014239
