ID	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	MI14	MI15	MI16	MI17	MI18	MI19	MI20	MI21	MI22	MI23	MI24	MI25	MI26	MI27	MI28	MI29	MI31	MI32	MI33	MI34	MI35	MI36	MI37	MI38
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales|f__Cladosporiaceae|g__Cladosporium|s__Cladosporium_cladosporioides	361	211	194	87	259	53	77	182	0	429	116	70	178	102	526	385	51	429	0	0	425	247	83	351	0	79	388	122	601	379	212	371	156	90	416	151	207	378	0	88	130	169	188	394	307	215	107	504	425	497	187	433	863	555	232	169	45	359	304	200	522	0	259	18	330	143	41	915	239	269	913	270	173	160	281	105	78	333	528	32	486	112	467	511
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales|f__Cladosporiaceae|g__Cladosporium|s__Cladosporium_cucumerinum	145	748	206	213	288	607	944	129	1086	286	258	676	183	658	286	114	126	305	342	184	463	359	106	225	192	308	115	768	453	395	180	201	263	233	522	162	405	261	370	192	135	782	247	527	0	262	388	232	430	306	132	511	167	370	294	291	641	236	154	204	422	99	277	220	387	199	211	655	632	285	590	413	607	335	228	175	107	250	660	112	198	328	517	175
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales|f__Cladosporiaceae|g__Cladosporium|s__Cladosporium_tenuissimum	157	1665	351	103	160	83	517	104	2808	274	353	1293	36	460	361	39	316	139	421	0	197	0	60	76	0	227	56	1257	322	470	57	104	94	196	405	0	123	203	903	177	66	207	121	149	383	210	100	367	223	154	171	195	439	305	110	73	985	153	123	120	281	17	204	257	33	215	198	511	297	338	410	234	361	123	181	139	51	0	511	37	209	74	515	171
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Cercospora|s__Cercospora_beticola	68	912	223	151	100	624	0	128	0	157	191	0	175	197	221	0	229	127	0	93	145	0	0	180	211	75	137	293	162	331	101	210	116	0	193	214	113	167	0	157	80	66	183	140	0	74	85	197	362	178	62	160	238	329	196	174	134	228	59	130	269	41	115	232	138	77	75	296	200	430	322	160	86	129	130	109	127	71	369	60	202	189	187	166
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Zymoseptoria|s__Zymoseptoria_tritici	113	1430	70	48	155	91	1531	162	782	172	277	443	231	317	77	612	200	116	652	0	245	0	119	167	0	240	43	1818	264	507	269	234	84	266	305	232	179	407	665	154	200	241	276	197	395	206	158	209	177	209	52	227	820	482	98	113	620	112	407	107	225	0	127	295	105	398	226	534	812	865	909	217	673	257	203	129	61	215	393	140	125	149	361	146
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Fonsecaea|s__Fonsecaea_pedrosoi	108	0	0	29	0	50	0	0	0	52	0	0	34	0	0	33	98	92	0	0	0	147	0	31	0	39	33	0	28	0	0	46	57	0	60	0	0	0	0	0	0	283	0	101	0	75	0	0	42	0	26	165	34	0	76	72	72	71	135	34	0	40	31	0	31	0	0	0	0	102	100	32	0	0	0	31	0	0	39	32	33	0	0	27
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_chevalieri	191	376	59	74	0	31	102	82	0	25	0	68	75	593	49	65	0	164	351	121	0	0	66	143	0	0	88	394	137	203	60	33	66	0	33	182	0	97	0	607	50	167	94	176	0	233	66	33	333	55	169	126	93	302	205	29	0	40	150	106	211	27	35	0	124	223	14	79	261	1007	246	135	489	67	41	218	130	118	94	127	51	38	70	55
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_flavus	32	0	0	56	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	72	0	0	0	175	0	284	0	0	26	0	79	0	0	82	0	0	0	0	0	0	0	40	218	0	99	38	0	0	44	120	0	0	0	52	0	0	0	0	70	0	0	0	0	0	89	0	100	0	228	122	0	0	0	43	0	0	0	0	0	49
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_fumigatus	52	928	109	131	156	284	157	0	671	57	176	411	314	325	70	308	260	83	877	0	195	244	75	80	67	246	76	411	163	291	101	118	82	241	310	244	130	198	429	240	51	463	544	158	223	132	110	214	132	90	63	149	485	290	312	63	384	66	273	63	134	0	45	286	134	289	74	155	413	307	196	402	88	307	151	85	73	45	377	114	119	76	606	50
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_luchuensis	101	42	307	248	164	95	0	144	217	54	411	48	99	167	154	52	129	88	0	130	138	0	76	69	64	89	105	59	297	141	63	41	78	0	157	0	110	125	0	0	0	59	116	115	0	133	56	83	115	218	143	157	87	261	340	574	169	99	158	467	105	0	192	76	327	67	20	724	229	128	377	103	125	304	156	66	211	171	406	220	93	188	287	401
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_oryzae	39	219	83	107	0	0	0	70	0	63	71	0	135	0	0	44	98	0	0	0	0	0	69	69	0	0	130	0	0	0	41	0	68	0	0	0	74	79	0	0	57	59	162	265	0	114	211	0	234	0	0	109	84	0	95	0	0	49	162	0	68	0	271	0	109	30	0	96	170	509	192	51	110	0	0	47	89	0	0	0	0	0	55	23
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_puulaauensis	98	734	197	387	458	480	1636	171	2633	186	468	2242	278	892	80	786	723	619	633	218	535	285	293	898	27	70	191	1905	199	529	165	250	186	431	1129	269	395	437	126	996	145	283	379	369	0	416	137	150	603	300	67	330	612	26	122	187	116	225	506	83	96	68	890	29	211	117	256	880	920	1791	1540	851	1027	1511	107	800	316	161	561	281	395	116	63	997
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Trichocomaceae|g__Talaromyces|s__Talaromyces_rugulosus	112	49	105	170	0	586	0	92	438	166	65	0	155	29	293	91	47	108	0	113	108	134	0	147	0	45	189	272	242	208	99	37	89	0	62	0	0	86	169	385	87	261	122	133	0	134	74	91	101	73	40	78	0	85	150	255	61	198	71	134	154	0	436	159	117	342	0	274	231	0	76	143	115	101	253	103	98	211	166	56	30	169	106	121
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Microsporum|s__Microsporum_audouinii	0	0	79	186	0	161	0	0	0	217	65	50	65	139	33	122	42	188	0	0	0	0	0	91	25	44	169	55	137	546	0	713	77	0	50	157	0	99	0	0	83	68	93	147	0	64	166	68	111	29	70	84	85	24	326	157	94	0	171	112	362	244	121	0	130	270	233	112	0	197	273	107	132	0	67	64	272	171	171	161	350	93	40	47
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Microsporum|s__Microsporum_canis	50	0	0	37	0	0	0	0	0	0	0	0	30	0	25	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	57	61	0	44	0	0	0	0	0	182	0	0	0	0	0	79	33	0	0	0	152	0	0	0	0	251	0	0	0	0	0	0	41	0	0	21
