feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Siphoviridae.g__Chivirus.s__Salmonella_phage_TS13	Group	MI	-2.68796300931172	0.48381785755916	84	82	3.33958084897094e-07	5.44351678382263e-05
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Rountreeviridae.g__Andhravirus.s__Staphylococcus_virus_Andhra	Group	MI	-2.36271378223704	0.455541792670865	84	80	1.51658858074304e-06	0.000123601969330557
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Tsarbombavirus.s__Enterobacteria_phage_P4	Group	MI	-0.31264578381964	0.112572954797612	84	9	0.00679166918689068	0.255853379366266
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Peduovirus.s__Escherichia_virus_12474III	Group	MI	0.452830300818194	0.170290224910436	84	11	0.00941791580489323	0.255853379366266
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Podoviridae.g__Unclassified.s__crAssphage_cr114_1	Group	MI	0.774581611865719	0.287955091483971	84	18	0.00865682651491116	0.255853379366266
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Siphoviridae.g__Chivirus.s__Staphylococcus_phage_SPbeta.like	Group	MI	-1.44979954198643	0.544713400178095	84	25	0.00935607052387335	0.255853379366266
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Busanvirus.s__Acidovorax_virus_ACP17	Group	MI	0.619880721369218	0.297586521961847	84	40	0.0403642684102243	0.411323665349723
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Lagaffevirus.s__Faecalibacterium_virus_Lagaffe	Group	MI	1.07560741297584	0.55373920453775	84	25	0.0555160775318644	0.411323665349723
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Mushuvirus.s__Faecalibacterium_virus_Mushu	Group	MI	1.0497695643866	0.464819985976846	84	29	0.0265737881731032	0.411323665349723
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Peduovirus.s__Escherichia_virus_Wphi	Group	MI	0.412008465812376	0.186649589324218	84	13	0.0300809516938373	0.411323665349723
