feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ANME.1	Group	MI	1.79473336215687	0.737718965010523	84	26	0.0171573557033217	0.587639432838769
JAAZKV01	Group	MI	1.19847333147229	0.489107304011659	84	12	0.0164001856016808	0.587639432838769
Kariarchaeaceae	Group	MI	-1.82948739347783	0.741677461931944	84	33	0.0157200125067039	0.587639432838769
PNOQ01	Group	MI	-0.883612535962333	0.325372020551559	84	14	0.00806319572150986	0.587639432838769
Aenigmatarchaeaceae	Group	MI	-0.949841145426603	0.424780833074125	84	13	0.0280636555570765	0.640786801886579
WJKR01	Group	MI	-1.27979214085146	0.556117374359245	84	15	0.0239128008590594	0.640786801886579
GW2011.AR20	Group	MI	1.09901875263761	0.506367856253753	84	16	0.0328693807905592	0.643300738329516
LC.3	Group	MI	0.6205975477565	0.316014017671558	84	12	0.0529385323232664	0.728624261681225
Methanococcaceae	Group	MI	-1.50141947637004	0.782521527288915	84	55	0.0585026779452078	0.728624261681225
Methanofastidiosaceae	Group	MI	-1.82493712299897	0.936232913072068	84	42	0.0546863695369446	0.728624261681225
Nitrosopumilaceae	Group	MI	-1.25654150623129	0.649943975293405	84	79	0.0566493568128227	0.728624261681225
X21.14.0.10.32.9	Group	MI	0.525218995125478	0.305499917615393	84	13	0.0893487846438485	0.953829252519044
AMARA.1	Group	MI	0.559645620453894	0.812564942757006	84	32	0.492931281234376	0.953829252519044
ARS1403	Group	MI	-0.180833881624878	0.203785810580665	84	11	0.377473844801686	0.953829252519044
Acidilobaceae	Group	MI	-0.53422247664432	0.512252200317002	84	18	0.300064357495827	0.953829252519044
Altiarchaeaceae	Group	MI	-0.208890159473304	0.404955749681712	84	18	0.607358079088125	0.953829252519044
Archaeoglobaceae	Group	MI	0.649953154597923	0.858223851352125	84	40	0.451026778615336	0.953829252519044
B18.G2	Group	MI	-0.35816867291865	0.309416720127672	84	9	0.250403983032842	0.953829252519044
B24	Group	MI	-0.735431723914065	0.620836369127449	84	19	0.239604755740909	0.953829252519044
B26.1	Group	MI	0.459123818545567	0.478239585331353	84	14	0.339862949090644	0.953829252519044
B3.WOES	Group	MI	-0.121594691910181	0.231910123823129	84	9	0.601471744073989	0.953829252519044
BM511	Group	MI	0.279661555435747	0.43176193643931	84	11	0.518974432056879	0.953829252519044
Borrarchaeaceae	Group	MI	-0.602165644625478	0.43274456208484	84	14	0.167836266141182	0.953829252519044
CABMGC01	Group	MI	0.713430876972571	0.843913425196051	84	22	0.400356527966263	0.953829252519044
CG.Epi1	Group	MI	-0.498888402201135	0.70950693120442	84	36	0.483955132613396	0.953829252519044
CG10238.14	Group	MI	0.18052170075937	0.534211254804973	84	16	0.736285615690358	0.953829252519044
CSSED10.239	Group	MI	0.474358661392955	0.588270091981487	84	16	0.42236661124695	0.953829252519044
DHVEG.1	Group	MI	-0.856944620802616	0.880328982359548	84	54	0.333199121132634	0.953829252519044
DSVV01	Group	MI	-0.559537786502487	0.613348866097099	84	28	0.364302591449183	0.953829252519044
GCA.001856825	Group	MI	0.306970488174662	0.586359131966195	84	10	0.602024721827956	0.953829252519044
GCA.020350865	Group	MI	0.266119075802849	0.344495609331172	84	11	0.442045711813663	0.953829252519044
GCA.020356005	Group	MI	0.268321368972985	0.46565171148924	84	9	0.566039636659155	0.953829252519044
GCA.2688095	Group	MI	0.55767625022449	0.406344619699599	84	10	0.173674544869905	0.953829252519044
GLR71	Group	MI	-0.202582300571954	0.450862040825522	84	9	0.654384657875981	0.953829252519044
GW2011.AR1	Group	MI	-0.529365304112805	0.519217669278905	84	82	0.310943387090077	0.953829252519044
GW2011.AR15	Group	MI	0.644985773542664	0.687750770261578	84	32	0.35109149088814	0.953829252519044
GW2011.AR17	Group	MI	0.313072271765863	0.795916014526966	84	22	0.695083045630093	0.953829252519044
GW2011.AR18	Group	MI	-0.370218886149972	0.74041964660348	84	32	0.618405652637396	0.953829252519044
GW2011.AR4	Group	MI	-0.566705852871907	0.943370069002794	84	40	0.549680112212808	0.953829252519044
GW2011.AR5	Group	MI	-0.497055052103546	0.600701129232063	84	20	0.410379034719541	0.953829252519044
GW2011.AR9	Group	MI	-0.44925223485455	0.894308466384662	84	57	0.616770574097773	0.953829252519044
Gearchaeaceae	Group	MI	-0.424593894335319	0.982176749445511	84	32	0.666658946402128	0.953829252519044
HEL.GB.A	Group	MI	-0.801934902531281	0.854397447186589	84	52	0.35069416951088	0.953829252519044
Halalkalicoccaceae	Group	MI	-0.129448372512691	0.216173201670132	84	9	0.550945067563701	0.953829252519044
Haloarculaceae	Group	MI	-0.553718685775552	0.827202372940535	84	53	0.505128941385081	0.953829252519044
Halobacteriaceae	Group	MI	-0.913053086057879	0.588952573192337	84	22	0.124920701984499	0.953829252519044
Haloferacaceae	Group	MI	-1.18230432172607	0.892937241267327	84	67	0.189161487266111	0.953829252519044
Hermodarchaeaceae	Group	MI	0.747941411578243	0.800497208621233	84	26	0.35286872895335	0.953829252519044
Iainarchaeaceae	Group	MI	0.204473350514671	0.447219024590016	84	16	0.648728582440372	0.953829252519044
Ignisphaeraceae	Group	MI	-0.231123305639278	0.68878354597556	84	20	0.73806505983587	0.953829252519044
JAADEF01	Group	MI	0.103351782732783	0.183754727980824	84	9	0.575347822889624	0.953829252519044
JABLTI01	Group	MI	-1.29151784974683	0.864250149583103	84	52	0.138914788540809	0.953829252519044
JABXJV01	Group	MI	-0.272410589065282	0.674889051550417	84	34	0.687529906029031	0.953829252519044
JACAEJ01	Group	MI	0.233274653342567	0.224061810378518	84	9	0.300881006985191	0.953829252519044
JAEHCK01	Group	MI	-0.442161157370709	0.573573713078723	84	12	0.442988830488008	0.953829252519044
JAGVZF01	Group	MI	-0.210402925837834	0.47767671741786	84	10	0.660754712717883	0.953829252519044
JdFR.42	Group	MI	0.826143907844519	0.892288593971349	84	27	0.357230091304857	0.953829252519044
JdFR.43	Group	MI	-0.784580830155461	0.795255775056616	84	22	0.326752368113642	0.953829252519044
MK.D1	Group	MI	-0.541784998195499	0.747538053222053	84	31	0.470662881095139	0.953829252519044
Methanobacteriaceae	Group	MI	0.384312558995525	0.234317834076154	84	84	0.10480823907045	0.953829252519044
Methanocaldococcaceae	Group	MI	-1.44403009595419	0.999412743861026	84	39	0.152302615294164	0.953829252519044
Methanoculleaceae	Group	MI	-0.349631994773041	0.872289994878043	84	40	0.689594530435749	0.953829252519044
Methanogasteraceae	Group	MI	-0.223030785917681	0.353224120155447	84	10	0.529525869040321	0.953829252519044
Methanomassiliicoccaceae	Group	MI	-1.09562408818444	0.831618702185607	84	75	0.191353923230294	0.953829252519044
Methanomethylicaceae	Group	MI	-0.128261379671097	0.342356499686028	84	13	0.708893329830544	0.953829252519044
Methanomethylophilaceae	Group	MI	0.262118651270792	0.766376377441217	84	78	0.733208328660249	0.953829252519044
Methanomicrobiaceae	Group	MI	-0.537247015879423	0.951743703254776	84	34	0.573963599662787	0.953829252519044
Methanoregulaceae	Group	MI	-0.46517641413185	1.04825805138196	84	50	0.658383905868535	0.953829252519044
Methanosarcinaceae	Group	MI	-0.34016182529398	0.540327981706211	84	83	0.530741223072825	0.953829252519044
Methanospirillaceae	Group	MI	0.489345753402112	0.880187035220547	84	28	0.579754413424422	0.953829252519044
Methanotrichaceae	Group	MI	0.350896015018485	0.859965140260535	84	42	0.684311327212205	0.953829252519044
Micrarchaeaceae	Group	MI	-0.981235866553796	0.808024524048061	84	37	0.228094410502972	0.953829252519044
NBVN01	Group	MI	0.128150745972958	0.392631774013749	84	9	0.744961532989326	0.953829252519044
Nanopusillaceae	Group	MI	0.69600241405594	0.624140720005765	84	12	0.268049251359511	0.953829252519044
Natrialbaceae	Group	MI	-0.606377073004923	0.904876419685443	84	54	0.504663232735264	0.953829252519044
Nitrososphaeraceae	Group	MI	-0.74093970397603	0.777869545478702	84	67	0.343630471408786	0.953829252519044
QMZM01	Group	MI	0.230432239603111	0.444240498520413	84	9	0.605359623024075	0.953829252519044
QMZS01	Group	MI	-0.546108333980204	0.504889899599238	84	9	0.282583919501383	0.953829252519044
RBG.16.68.12	Group	MI	-0.576334858334973	0.444175026527399	84	12	0.198083909379398	0.953829252519044
RDOG01	Group	MI	0.219120623045282	0.647686660152105	84	26	0.73599224123938	0.953829252519044
S146.22	Group	MI	-0.441999506901855	0.861874490463724	84	43	0.609445456462391	0.953829252519044
SCGC.AAA011.G17	Group	MI	-0.112800380564683	0.271876185574088	84	14	0.679301443589188	0.953829252519044
SG8.5	Group	MI	-0.221023014838081	0.315794184395758	84	10	0.485973293348896	0.953829252519044
SOJC01	Group	MI	-0.274481726450018	0.419003247329153	84	9	0.514248107364045	0.953829252519044
SOKP01	Group	MI	-0.495452628570092	0.480459232650173	84	83	0.305476026242521	0.953829252519044
SZUA.1535	Group	MI	-0.488261283208288	0.394493173053289	84	15	0.219362327736441	0.953829252519044
SpSt.28	Group	MI	0.838391989464014	0.51749383802046	84	12	0.109050367513468	0.953829252519044
Sulfolobaceae	Group	MI	-0.262467808076858	0.762897125962491	84	70	0.731696217505842	0.953829252519044
TCS64	Group	MI	0.412711167178849	0.85462514085097	84	31	0.630443017481844	0.953829252519044
Thermocladiaceae	Group	MI	0.408700260535939	0.672802676527835	84	17	0.545224706095347	0.953829252519044
Thermococcaceae	Group	MI	-1.01115380736866	0.723939832803342	84	42	0.16626148464822	0.953829252519044
Thermofilaceae	Group	MI	-0.231177351193189	0.45584312586103	84	13	0.613416127034413	0.953829252519044
Thorarchaeaceae	Group	MI	-0.437089242096529	0.863901906953717	84	55	0.614250808324101	0.953829252519044
UBA164	Group	MI	-0.524267677284733	0.480412703582114	84	13	0.278343216132037	0.953829252519044
UBA184	Group	MI	-0.808110678137092	0.577635422467358	84	17	0.16558484492921	0.953829252519044
UBA213	Group	MI	0.096373983264918	0.171894962327872	84	9	0.576560650406059	0.953829252519044
UBA233	Group	MI	-0.753295509976016	0.866666583887099	84	55	0.387281784364928	0.953829252519044
UBA287	Group	MI	-0.701372329277788	0.622078771820438	84	18	0.262834058632823	0.953829252519044
UBA460	Group	MI	-0.80360067970131	0.625249314959308	84	78	0.20232376555445	0.953829252519044
UBA472	Group	MI	0.39361057941639	0.566655884172069	84	19	0.489256889547302	0.953829252519044
UBA489	Group	MI	-0.546844149602559	0.769193385713477	84	28	0.479143747636569	0.953829252519044
UBA57	Group	MI	-0.758043859832142	0.757425245725186	84	18	0.319859662994348	0.953829252519044
UBA583	Group	MI	0.323199329320281	0.748471982696668	84	22	0.667011210503397	0.953829252519044
WJIZ01	Group	MI	-0.164354143849362	0.484199105155433	84	15	0.735149840784516	0.953829252519044
WJKL01	Group	MI	-0.366611984735895	0.47789468560917	84	17	0.445201655001824	0.953829252519044
WJKY01	Group	MI	-0.29489825895826	0.587736018945802	84	9	0.61718589356056	0.953829252519044
Wolframiiraptoraceae	Group	MI	0.79420748977238	0.733851811384797	84	17	0.282315979709254	0.953829252519044
CG1.02.33.12	Group	MI	0.0837511612001426	0.302910014748088	84	12	0.782868529673422	0.980837795733219
Thermoplasmataceae	Group	MI	-0.24443078484901	0.867404316627781	84	62	0.778810140910702	0.980837795733219
WJKV01	Group	MI	-0.0723996304828984	0.267752754001413	84	9	0.787533996574117	0.980837795733219
Odinarchaeaceae	Group	MI	0.0839556039201891	0.346216915060193	84	9	0.809002725433705	0.998498859319078
ARS49	Group	MI	-0.0983363374417353	0.733599278782476	84	26	0.893694341810939	0.999628409526921
Anstonellaceae	Group	MI	0.0330243561414656	0.338339338351768	84	13	0.922482393764968	0.999628409526921
Bilamarchaeaceae	Group	MI	-0.0454513123380145	0.922971075211926	84	22	0.960844143987341	0.999628409526921
CAIVOO01	Group	MI	-0.0684340509827023	0.311012607432947	84	11	0.826389785900764	0.999628409526921
Desulfurococcaceae	Group	MI	0.0297172565050031	0.551509509264473	84	30	0.957159053494215	0.999628409526921
GCA.2686295	Group	MI	0.0997596262128944	0.642621564318167	84	19	0.877014771718897	0.999628409526921
HEL.GB.B	Group	MI	-0.085005408166218	0.610689516706964	84	11	0.889636738362102	0.999628409526921
Haladaptataceae	Group	MI	-0.109271319322619	0.816940749816679	84	33	0.893922678849737	0.999628409526921
Halococcaceae	Group	MI	-0.0119219133207561	0.650513901563466	84	13	0.985422575648253	0.999628409526921
Hodarchaeaceae	Group	MI	-0.0461969306652497	0.870289371063826	84	49	0.957795469978823	0.999628409526921
JABGXB01	Group	MI	0.000356689121701851	0.763556719270436	84	18	0.999628409526921	0.999628409526921
JAFCDX01	Group	MI	-0.0371527909219045	0.324212154238285	84	9	0.909047011680751	0.999628409526921
JAGGVH01	Group	MI	-0.0445589800585674	0.513241345661592	84	10	0.931027226105378	0.999628409526921
JAHWHD01	Group	MI	-0.015871644432436	0.474215066321602	84	13	0.973381686307347	0.999628409526921
JALIDP01	Group	MI	0.00589347087062025	0.307481638416153	84	12	0.984754521290622	0.999628409526921
Jordarchaeaceae	Group	MI	0.126599961291623	0.587971953163197	84	14	0.830055342566909	0.999628409526921
Methanocomedenaceae	Group	MI	-0.0617393083568367	0.754015540975642	84	20	0.934941129281026	0.999628409526921
Methanocorpusculaceae	Group	MI	0.00355475121841335	0.866038579543402	84	42	0.996734973096877	0.999628409526921
Methanoliparaceae	Group	MI	-0.0822690137844202	0.44196023827959	84	12	0.852790203322928	0.999628409526921
Methanoperedenaceae	Group	MI	-0.079761754752896	0.873150900585333	84	36	0.927437805846003	0.999628409526921
PWKY01	Group	MI	0.067685756150875	0.782826283682816	84	17	0.931308898592079	0.999628409526921
Parvarchaeaceae	Group	MI	-0.0585572803407193	0.653408571481991	84	17	0.928809177631237	0.999628409526921
Poseidoniaceae	Group	MI	0.0648337311415932	0.716979552241085	84	66	0.928169061877936	0.999628409526921
SM23.78	Group	MI	0.0405638497092432	0.315849953883806	84	10	0.898125056546409	0.999628409526921
Thalassarchaeaceae	Group	MI	-0.0244300716205264	0.704845258421091	84	63	0.972434937888051	0.999628409526921
UBA10216	Group	MI	-0.0974252722212588	0.716698279415174	84	30	0.892204848145724	0.999628409526921
