feature	X21.14.0.10.32.9	AMARA.1	ANME.1	ARS1403	ARS49	Acidilobaceae	Aenigmatarchaeaceae	Altiarchaeaceae	Anstonellaceae	Archaeoglobaceae	B18.G2	B24	B26.1	B3.WOES	BM511	Bilamarchaeaceae	Borrarchaeaceae	CABMGC01	CAIVOO01	CG.Epi1	CG1.02.33.12	CG10238.14	CSSED10.239	DHVEG.1	DSVV01	Desulfurococcaceae	GCA.001856825	GCA.020350865	GCA.020356005	GCA.2686295	GCA.2688095	GLR71	GW2011.AR1	GW2011.AR15	GW2011.AR17	GW2011.AR18	GW2011.AR20	GW2011.AR4	GW2011.AR5	GW2011.AR9	Gearchaeaceae	HEL.GB.A	HEL.GB.B	Haladaptataceae	Halalkalicoccaceae	Haloarculaceae	Halobacteriaceae	Halococcaceae	Haloferacaceae	Hermodarchaeaceae	Hodarchaeaceae	Iainarchaeaceae	Ignisphaeraceae	JAADEF01	JAAZKV01	JABGXB01	JABLTI01	JABXJV01	JACAEJ01	JAEHCK01	JAFCDX01	JAGGVH01	JAGVZF01	JAHWHD01	JALIDP01	JdFR.42	JdFR.43	Jordarchaeaceae	Kariarchaeaceae	LC.3	MK.D1	Methanobacteriaceae	Methanocaldococcaceae	Methanococcaceae	Methanocomedenaceae	Methanocorpusculaceae	Methanoculleaceae	Methanofastidiosaceae	Methanogasteraceae	Methanoliparaceae	Methanomassiliicoccaceae	Methanomethylicaceae	Methanomethylophilaceae	Methanomicrobiaceae	Methanoperedenaceae	Methanoregulaceae	Methanosarcinaceae	Methanospirillaceae	Methanotrichaceae	Micrarchaeaceae	NBVN01	Nanopusillaceae	Natrialbaceae	Nitrosopumilaceae	Nitrososphaeraceae	Odinarchaeaceae	PNOQ01	PWKY01	Parvarchaeaceae	Poseidoniaceae	QMZM01	QMZS01	RBG.16.68.12	RDOG01	S146.22	SCGC.AAA011.G17	SG8.5	SM23.78	SOJC01	SOKP01	SZUA.1535	SpSt.28	Sulfolobaceae	TCS64	Thalassarchaeaceae	Thermocladiaceae	Thermococcaceae	Thermofilaceae	Thermoplasmataceae	Thorarchaeaceae	UBA10216	UBA164	UBA184	UBA213	UBA233	UBA287	UBA460	UBA472	UBA489	UBA57	UBA583	WJIZ01	WJKL01	WJKR01	WJKV01	WJKY01	Wolframiiraptoraceae
CON1	0	0	30	0	0	63	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	483	0	0	0	0	51	60	0	0	144	0	0	0	114	0	0	546	0	147	0	0	0	0	0	0	42	0	0	0	0	0	0	0	51	0	0	33	0	0	683008	0	36	0	87	0	0	0	0	2199	0	1271	0	0	132	621	0	0	435	0	0	216	96	171	0	252	0	0	93	51	36	0	42	0	0	0	0	54	575	0	0	0	0	0	33	45	0	159	0	0	0	69	0	0	0	224	0	0	0	0	57	0	0	0	0	0
CON2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	87	0	0	0	108	33	0	51	0	0	0	2523	0	102	0	0	1567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1004652	0	120	0	0	0	0	0	0	117	0	81	0	0	66	156	0	0	36	0	0	81	33	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	274	0	0	90	0	117	0	0	0	51	0	0	72	0	0	126	72	207	0	0	0	0	0	0	0	0	0	0
CON4	0	66	117	87	144	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	138	36	0	0	0	0	45	36	0	126	0	0	0	0	0	57	39	54	0	0	0	0	39	84	0	111	0	188	0	0	0	0	0	0	30	0	207	0	0	0	0	0	0	39	0	78	0	0	3046	0	81	0	42	0	0	33	0	1017	0	2661	0	144	42	99	0	0	33	0	0	99	116	249	0	0	0	0	39	0	0	0	0	0	0	0	0	0	225	60	0	93	0	36	0	0	0	228	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	30
CON5	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	51	123	0	0	0	0	0	0	0	612	195	0	0	51	0	0	36	0	126	33	0	0	0	0	0	111	78	51	0	0	0	0	36	54	0	0	0	0	30	0	0	0	0	36	0	213	0	93	1328010	0	353	0	324	0	54	0	0	561	0	892	36	42	0	527	0	0	0	0	0	60	372	75	0	0	0	39	108	0	0	0	0	45	0	0	0	0	1481	0	0	0	0	0	33	124	0	144	96	84	0	0	0	129	0	114	0	0	0	36	0	0	0	0	0	0
CON3	0	0	0	0	153	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	33	0	0	0	0	0	0	150	0	51	0	0	0	0	39	0	0	69	0	0	57	141	0	189	0	0	0	0	0	0	0	234	0	0	0	0	0	81	0	81	123	0	36	0	0	0	66921	0	39	0	45	149	39	0	0	1266	0	1326	0	0	105	269	90	282	0	0	0	102	490	0	0	0	0	51	36	45	0	0	0	78	0	96	0	30	490	0	0	63	174	108	0	0	0	106	39	45	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0
CON6	0	0	0	0	0	0	0	84	0	750	36	0	57	0	0	36	0	0	0	0	0	0	0	66	39	0	0	0	0	0	0	0	222	0	60	0	0	0	0	279	0	0	0	75	516	375	72	0	972	102	99	0	0	96	0	72	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1680	45	0	0	0	0	0	0	0	0	0	141	96	72	102	561	0	306	0	0	0	0	165	51	0	0	0	0	189	42	0	0	0	0	36	0	0	0	820	0	0	0	0	387	0	0	0	150	138	0	0	0	0	321	0	135	0	96	0	0	0	102	0	0	0	0
CON24	0	0	0	0	0	39	54	45	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	84	0	36	0	0	30	78	39	0	858	790	0	0	0	51	0	87	0	216	0	0	0	0	33	0	0	0	99	0	0	0	0	0	30	30	0	0	81	0	0	0	0	0	0	0	0	0	0	114678	0	45	0	0	0	0	0	54	2352	0	138	0	72	63	144	0	33	0	0	0	165	1150	84	0	72	48	0	0	0	0	0	30	0	0	0	0	0	773	0	0	30	0	135	0	364	0	54	132	51	0	0	0	294	0	251	0	33	0	0	0	0	0	0	0	0
CON25	0	36	0	0	0	33	219	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	109	0	39	0	0	0	0	0	0	769	0	0	333	0	135	0	69	0	0	0	0	0	96	393	0	573	0	102	0	45	0	0	150	237	0	0	0	0	0	0	0	0	0	0	0	87	0	0	2746	96	45	0	573	60	0	0	0	0	57	0	0	0	0	889	36	351	30	0	0	48	333	39	0	0	0	60	549	0	0	0	0	0	0	0	141	0	479	0	0	222	0	0	0	36	0	840	0	0	0	0	0	337	0	87	0	33	66	0	0	36	0	0	0	0
CON26	108	0	0	0	54	0	0	78	57	0	478	129	0	0	0	351	126	0	0	33	0	0	0	0	0	186	147	0	0	0	0	0	147	0	123	831	0	0	0	0	279	147	219	0	0	282	0	0	516	0	0	0	0	0	0	420	0	0	0	0	0	0	0	0	0	0	36	0	78	0	0	9241	472	114	0	0	0	225	0	0	0	0	162	51	0	39	1252	75	777	108	0	0	122	468	150	0	0	123	0	0	0	0	126	0	0	840	0	0	30	1038	0	0	1442	0	165	51	57	0	2107	85	0	0	0	0	258	0	243	0	33	0	0	60	36	0	0	0	0
CON27	0	0	0	0	48	39	0	0	0	0	0	0	0	0	0	0	39	0	72	39	0	0	858	217	0	33	0	0	0	91	0	0	472	54	0	39	123	120	0	45	0	60	0	0	0	124	0	0	343	0	63	99	0	0	0	216	114	30	0	0	0	0	0	0	0	0	48	30	48	0	411	6998	87	153	0	150	0	143	0	0	2070	0	1902	108	0	0	586	0	0	33	0	0	0	228	765	0	0	144	72	156	0	0	0	0	174	60	51	0	0	328	0	0	30	0	81	0	0	30	826	0	0	0	0	0	538	0	544	0	0	33	0	0	0	54	0	0	57
