feature	X21.14.0.10.32.9	AMARA.1	ANME.1	ARS1403	ARS49	Acidilobaceae	Aenigmatarchaeaceae	Altiarchaeaceae	Anstonellaceae	Archaeoglobaceae	B18.G2	B24	B26.1	B3.WOES	BM511	Bilamarchaeaceae	Borrarchaeaceae	CABMGC01	CAIVOO01	CG.Epi1	CG1.02.33.12	CG10238.14	CSSED10.239	DHVEG.1	DSVV01	Desulfurococcaceae	GCA.001856825	GCA.020350865	GCA.020356005	GCA.2686295	GCA.2688095	GLR71	GW2011.AR1	GW2011.AR15	GW2011.AR17	GW2011.AR18	GW2011.AR20	GW2011.AR4	GW2011.AR5	GW2011.AR9	Gearchaeaceae	HEL.GB.A	HEL.GB.B	Haladaptataceae	Halalkalicoccaceae	Haloarculaceae	Halobacteriaceae	Halococcaceae	Haloferacaceae	Hermodarchaeaceae	Hodarchaeaceae	Iainarchaeaceae	Ignisphaeraceae	JAADEF01	JAAZKV01	JABGXB01	JABLTI01	JABXJV01	JACAEJ01	JAEHCK01	JAFCDX01	JAGGVH01	JAGVZF01	JAHWHD01	JALIDP01	JdFR.42	JdFR.43	Jordarchaeaceae	Kariarchaeaceae	LC.3	MK.D1	Methanobacteriaceae	Methanocaldococcaceae	Methanococcaceae	Methanocomedenaceae	Methanocorpusculaceae	Methanoculleaceae	Methanofastidiosaceae	Methanogasteraceae	Methanoliparaceae	Methanomassiliicoccaceae	Methanomethylicaceae	Methanomethylophilaceae	Methanomicrobiaceae	Methanoperedenaceae	Methanoregulaceae	Methanosarcinaceae	Methanospirillaceae	Methanotrichaceae	Micrarchaeaceae	NBVN01	Nanopusillaceae	Natrialbaceae	Nitrosopumilaceae	Nitrososphaeraceae	Odinarchaeaceae	PNOQ01	PWKY01	Parvarchaeaceae	Poseidoniaceae	QMZM01	QMZS01	RBG.16.68.12	RDOG01	S146.22	SCGC.AAA011.G17	SG8.5	SM23.78	SOJC01	SOKP01	SZUA.1535	SpSt.28	Sulfolobaceae	TCS64	Thalassarchaeaceae	Thermocladiaceae	Thermococcaceae	Thermofilaceae	Thermoplasmataceae	Thorarchaeaceae	UBA10216	UBA164	UBA184	UBA213	UBA233	UBA287	UBA460	UBA472	UBA489	UBA57	UBA583	WJIZ01	WJKL01	WJKR01	WJKV01	WJKY01	Wolframiiraptoraceae
CON1	0	0	4.33631912996093e-05	0	0	9.10627017291795e-05	0	0	0	4.33631912996093e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000108407978249023	0	0	0	0	0	0	0	0	0.00069814737992371	0	0	0	0	7.37174252093358e-05	8.67263825992186e-05	0	0	0.000208143318238125	0	0	0	0.000164780126938515	0	0	0.000789210081652889	0	0.000212479637368086	0	0	0	0	0	0	6.0708467819453e-05	0	0	0	0	0	0	0	7.37174252093358e-05	0	0	4.76995104295702e-05	0	0	0.987246885438785	0	5.20358295595312e-05	0	0.000125753254768867	0	0	0	0	0.00317852192226136	0	0.00183715387139345	0	0	0.000190798041718281	0.000897618059901913	0	0	0.000628766273844335	0	0	0.000312214977357187	0.00013876221215875	0.000247170190407773	0	0.000364250806916718	0	0	0.000134425893028789	7.37174252093358e-05	5.20358295595312e-05	0	6.0708467819453e-05	0	0	0	0	7.80537443392967e-05	0.000831127833242512	0	0	0	0	0	4.76995104295702e-05	6.50447869494139e-05	0	0.000229824913887929	0	0	0	9.97353399891014e-05	0	0	0	0.000323778495037083	0	0	0	0	8.23900634692577e-05	0	0	0	0	0
CON2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.74790597563533e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5609294817265e-05	0	0	8.60557958083903e-05	0	0	0	0.000106827884451795	3.26418535824929e-05	0	5.04465009911254e-05	0	0	0	0.00249561807844332	0	0.000100893001982251	0	0	0.00154999347162928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.993748590465414	0	0.000118697649390883	0	0	0	0	0	0	0.000115730208156111	0	8.01209133388462e-05	0	0	6.52837071649858e-05	0.000154306944208148	0	0	3.5609294817265e-05	0	0	8.01209133388462e-05	3.26418535824929e-05	0	0	0	0	0	0	0	0	0	0	6.52837071649858e-05	0	0	0	0	0.000271026299442517	0	0	8.90232370431624e-05	0	0.000115730208156111	0	0	0	5.04465009911254e-05	0	0	7.12185896345299e-05	0	0	0.000124632531860427	7.12185896345299e-05	0.000204753445199274	0	0	0	0	0	0	0	0	0	0
CON4	0	0.00641274776525457	0.0113680528565876	0.00845316750874466	0.0139914496696463	0	0	0	0	0	0	0	0	0	0.00466381655654878	0	0	0	0	0	0	0	0	0.0134084726000777	0.00349786241741158	0	0	0	0	0.00437232802176448	0.00349786241741158	0	0.0122425184609405	0	0	0	0	0	0.00553828216090167	0.00378935095219588	0.00524679362611737	0	0	0	0	0.00378935095219588	0.00816167897396036	0	0.010785075787019	0	0.0182666148464827	0	0	0	0	0	0	0.00291488534784298	0	0.0201127089001166	0	0	0	0	0	0	0.00378935095219588	0	0.00757870190439176	0	0	0.295958025650991	0	0.00787019043917606	0	0.00408083948698018	0	0	0.00320637388262728	0	0.0988146132918772	0	0.258550330353673	0	0.0139914496696463	0.00408083948698018	0.00961912164788185	0	0	0.00320637388262728	0	0	0.00961912164788185	0.0112708900116595	0.0241935483870968	0	0	0	0	0.00378935095219588	0	0	0	0	0	0	0	0	0	0.0218616401088224	0.00582977069568597	0	0.00903614457831325	0	0.00349786241741158	0	0	0	0.0221531286436067	0	0	0	0	0	0	0	0.0145744267392149	0	0	0	0	0	0	0	0	0	0.00291488534784298
CON5	0	0	2.91966431346714e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7163808140623e-05	0	0	0	3.81802256376472e-05	9.20817206555021e-05	0	0	0	0	0	0	0	0.000458162707651766	0.000145983215673357	0	0	3.81802256376472e-05	0	0	2.69507475089274e-05	0	9.4327616281246e-05	2.47048518831835e-05	0	0	0	0	0	8.30981381525263e-05	5.83932862693428e-05	3.81802256376472e-05	0	0	0	0	2.69507475089274e-05	4.04261212633911e-05	0	0	0	0	2.24589562574395e-05	0	0	0	0	2.69507475089274e-05	0	0.000159458589427821	0	6.96227643980625e-05	0.994190616648076	0	0.000264267051962538	0	0.000242556727580347	0	4.04261212633911e-05	0	0	0.000419982482014119	0	0.000667779632721202	2.69507475089274e-05	3.14425387604153e-05	0	0.000394528998255688	0	0	0	0	0	4.49179125148791e-05	0.00027849105759225	5.61473906435988e-05	0	0	0	2.91966431346714e-05	8.08522425267823e-05	0	0	0	0	3.36884343861593e-05	0	0	0	0	0.00110872380724226	0	0	0	0	0	2.47048518831835e-05	9.28303525307501e-05	0	0.00010780299003571	7.18686600238065e-05	6.28850775208307e-05	0	0	0	9.657351190699e-05	0	8.53440337782702e-05	0	0	0	2.69507475089274e-05	0	0	0	0	0	0
CON3	0	0	0	0	0.00206249494486533	0	0	0	0	0.00161764309401202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000485292928203607	0.000444851850853307	0	0	0	0	0	0	0.00202205386751503	0	0.00068749831495511	0	0	0	0	0.000525734005553908	0	0	0.000930144779056914	0	0	0.000768380469655712	0.00190073063546413	0	0.00254778787306894	0	0	0	0	0	0	0	0.00315440403332345	0	0	0	0	0	0.00109190908845812	0	0.00109190908845812	0.00165808417136233	0	0.000485292928203607	0	0	0	0.902119112453156	0	0.000525734005553908	0	0.000606616160254509	0.00200857350839826	0.000525734005553908	0	0	0.0170661346418269	0	0.0178749561888329	0	0	0.00141543770726052	0.00362621660241029	0.00121323232050902	0.00380146127092826	0	0	0	0.00137499662991022	0.00660537596721577	0	0	0	0	0.00068749831495511	0.000485292928203607	0.000606616160254509	0	0	0	0.00105146801110782	0	0.00129411447520962	0	0.000404410773503006	0.00660537596721577	0	0	0.000849262624356313	0.00234558248631744	0.00145587878461082	0	0	0	0.00142891806637729	0.000525734005553908	0.000606616160254509	0	0	0	0	0	0.00141543770726052	0	0	0	0	0	0	0	0	0	0
CON6	0	0	0	0	0	0	0	0.00867589341045239	0	0.0774633340218963	0.00371824003305102	0	0.00588721338566412	0	0	0.00371824003305102	0	0	0	0	0	0	0	0.00681677339392687	0.00402809336913861	0	0	0	0	0	0	0	0.0229291468704813	0	0.0061970667217517	0	0	0	0	0.0288163602561454	0	0	0	0.00774633340218963	0.0532947738070647	0.0387316670109481	0.00743648006610205	0	0.100392480892378	0.0105350134269779	0.0102251600908903	0	0	0.00991530675480273	0	0.00743648006610205	0.00402809336913861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173517868209048	0.00464780004131378	0	0	0	0	0	0	0	0	0	0.0145631067961165	0.00991530675480273	0.00743648006610205	0.0105350134269779	0.0579425738483784	0	0.0316050402809337	0	0	0	0	0.0170419334848172	0.00526750671348895	0	0	0	0	0.0195207601735179	0.00433794670522619	0	0	0	0	0.00371824003305102	0	0	0	0.0846932451972733	0	0	0	0	0.0399710803552985	0	0	0	0.0154926668043793	0.0142532534600289	0	0	0	0	0.0331543069613716	0	0.0139434001239413	0	0.00991530675480273	0	0	0	0.0105350134269779	0	0	0	0
CON24	0	0	0	0	0	0.000314386824773682	0.000435304834302021	0.000362754028585017	0	0	0	0	0	0	0	0	0.00101571128003805	0	0	0	0	0	0	0.000677140853358699	0	0.000290203222868014	0	0	0.000241836019056678	0.000628773649547364	0.000314386824773682	0	0.006916510145021	0.00636834850182586	0	0	0	0.000411121232396353	0	0.000701324455264367	0	0.00174121933720808	0	0	0	0	0.000266019620962346	0	0	0	0.000798058862887038	0	0	0	0	0	0.000241836019056678	0.000241836019056678	0	0	0.000652957251453031	0	0	0	0	0	0	0	0	0	0	0.924442366446058	0	0.000362754028585017	0	0	0	0	0	0.000435304834302021	0.0189599438940436	0	0.00111244568766072	0	0.000580406445736028	0.000507855640019024	0.00116081289147206	0	0.000266019620962346	0	0	0	0.00133009810481173	0.009270380730506	0.000677140853358699	0	0.000580406445736028	0.000386937630490685	0	0	0	0	0	0.000241836019056678	0	0	0	0	0	0.00623130809102708	0	0	0.000241836019056678	0	0.00108826208575505	0	0.00293427703122103	0	0.000435304834302021	0.00106407848384938	0.000411121232396353	0	0	0	0.00236999298675545	0	0.00202336135944088	0	0.000266019620962346	0	0	0	0	0	0	0	0
CON25	0	0.00308219178082192	0	0	0	0.00282534246575342	0.01875	0	0	0	0	0	0	0	0	0.00565068493150685	0	0	0	0	0	0	0	0.00933219178082192	0	0.00333904109589041	0	0	0	0	0	0	0.0658390410958904	0	0	0.0285102739726027	0	0.0115582191780822	0	0.00590753424657534	0	0	0	0	0	0.00821917808219178	0.0336472602739726	0	0.0490582191780822	0	0.00873287671232877	0	0.0038527397260274	0	0	0.0128424657534247	0.020291095890411	0	0	0	0	0	0	0	0	0	0	0	0.0074486301369863	0	0	0.235102739726027	0.00821917808219178	0.0038527397260274	0	0.0490582191780822	0.00513698630136986	0	0	0	0	0.00488013698630137	0	0	0	0	0.0761130136986301	0.00308219178082192	0.0300513698630137	0.00256849315068493	0	0	0.00410958904109589	0.0285102739726027	0.00333904109589041	0	0	0	0.00513698630136986	0.0470034246575342	0	0	0	0	0	0	0	0.0120719178082192	0	0.0410102739726027	0	0	0.0190068493150685	0	0	0	0.00308219178082192	0	0.0719178082191781	0	0	0	0	0	0.0288527397260274	0	0.0074486301369863	0	0.00282534246575342	0.00565068493150685	0	0	0.00308219178082192	0	0	0	0
CON26	0.00435923309788093	0	0	0	0.00217961654894046	0	0	0.00314833501513623	0.00230070635721493	0	0.0192936427850656	0.00520686175580222	0	0	0	0.014167507568113	0.00508577194752775	0	0	0.00133198789101917	0	0	0	0	0	0.00750756811301715	0.00593340060544904	0	0	0	0	0	0.00593340060544904	0	0.00496468213925328	0.0335418768920283	0	0	0	0	0.0112613521695257	0.00593340060544904	0.00883955600403633	0	0	0.0113824419778002	0	0	0.0208274470232089	0	0	0	0	0	0	0.0169525731584258	0	0	0	0	0	0	0	0	0	0	0.00145307769929364	0	0.00314833501513623	0	0	0.372996972754793	0.0190514631685166	0.00460141271442987	0	0	0	0.00908173562058527	0	0	0	0	0.00653884964682139	0.00205852674066599	0	0.00157416750756811	0.0505348133198789	0.00302724520686176	0.0313622603430878	0.00435923309788093	0	0	0.00492431886982846	0.0188900100908174	0.00605449041372351	0	0	0.00496468213925328	0	0	0	0	0.00508577194752775	0	0	0.0339051463168517	0	0	0.0012108980827447	0.0418970736629667	0	0	0.0582038345105954	0	0.00665993945509586	0.00205852674066599	0.00230070635721493	0	0.0850454086781029	0.00343087790110999	0	0	0	0	0.0104137235116044	0	0.00980827447023209	0	0.00133198789101917	0	0	0.0024217961654894	0.00145307769929364	0	0	0	0
CON27	0	0	0	0	0.00236733083448412	0.00192345630301835	0	0	0	0	0	0	0	0	0	0	0.00192345630301835	0	0.00355099625172618	0.00192345630301835	0	0	0.0423160386664036	0.0107023081475636	0	0.00162753994870783	0	0	0	0.00448806470704281	0	0	0.0232787532057605	0.00266324718879463	0	0.00192345630301835	0.00606628526336556	0.0059183270862103	0	0.00221937265732886	0	0.00295916354310515	0	0	0	0.00611560465575064	0	0	0.0169165515880844	0	0.00310712172026041	0.0048826198461235	0	0	0	0.0106529887551785	0.00562241073189978	0.00147958177155257	0	0	0	0	0	0	0	0	0.00236733083448412	0.00147958177155257	0.00236733083448412	0	0.0202702702702703	0.345137107910831	0.00429078713750247	0.00754586703491813	0	0.00739790885776287	0	0.00705267311106727	0	0	0.102091142237128	0	0.0938054843164332	0.00532649437758927	0	0	0.0289011639376603	0	0	0.00162753994870783	0	0	0	0.0112448214637996	0.0377293351745907	0	0	0.00710199250345236	0.00355099625172618	0.00769382521207339	0	0	0	0	0.00858157427500493	0.00295916354310515	0.00251528901163938	0	0	0.0161767607023081	0	0	0.00147958177155257	0	0.00399487078319195	0	0	0.00147958177155257	0.0407378181100809	0	0	0	0	0	0.0265338331031762	0	0.0268297494574867	0	0	0.00162753994870783	0	0	0	0.00266324718879463	0	0	0.00281120536594989
