feature	X21.14.0.10.32.9	AMARA.1	ANME.1	ARS1403	ARS49	Acidilobaceae	Aenigmatarchaeaceae	Altiarchaeaceae	Anstonellaceae	Archaeoglobaceae	B18.G2	B24	B26.1	B3.WOES	BM511	Bilamarchaeaceae	Borrarchaeaceae	CABMGC01	CAIVOO01	CG.Epi1	CG1.02.33.12	CG10238.14	CSSED10.239	DHVEG.1	DSVV01	Desulfurococcaceae	GCA.001856825	GCA.020350865	GCA.020356005	GCA.2686295	GCA.2688095	GLR71	GW2011.AR1	GW2011.AR15	GW2011.AR17	GW2011.AR18	GW2011.AR20	GW2011.AR4	GW2011.AR5	GW2011.AR9	Gearchaeaceae	HEL.GB.A	HEL.GB.B	Haladaptataceae	Halalkalicoccaceae	Haloarculaceae	Halobacteriaceae	Halococcaceae	Haloferacaceae	Hermodarchaeaceae	Hodarchaeaceae	Iainarchaeaceae	Ignisphaeraceae	JAADEF01	JAAZKV01	JABGXB01	JABLTI01	JABXJV01	JACAEJ01	JAEHCK01	JAFCDX01	JAGGVH01	JAGVZF01	JAHWHD01	JALIDP01	JdFR.42	JdFR.43	Jordarchaeaceae	Kariarchaeaceae	LC.3	MK.D1	Methanobacteriaceae	Methanocaldococcaceae	Methanococcaceae	Methanocomedenaceae	Methanocorpusculaceae	Methanoculleaceae	Methanofastidiosaceae	Methanogasteraceae	Methanoliparaceae	Methanomassiliicoccaceae	Methanomethylicaceae	Methanomethylophilaceae	Methanomicrobiaceae	Methanoperedenaceae	Methanoregulaceae	Methanosarcinaceae	Methanospirillaceae	Methanotrichaceae	Micrarchaeaceae	NBVN01	Nanopusillaceae	Natrialbaceae	Nitrosopumilaceae	Nitrososphaeraceae	Odinarchaeaceae	PNOQ01	PWKY01	Parvarchaeaceae	Poseidoniaceae	QMZM01	QMZS01	RBG.16.68.12	RDOG01	S146.22	SCGC.AAA011.G17	SG8.5	SM23.78	SOJC01	SOKP01	SZUA.1535	SpSt.28	Sulfolobaceae	TCS64	Thalassarchaeaceae	Thermocladiaceae	Thermococcaceae	Thermofilaceae	Thermoplasmataceae	Thorarchaeaceae	UBA10216	UBA164	UBA184	UBA213	UBA233	UBA287	UBA460	UBA472	UBA489	UBA57	UBA583	WJIZ01	WJKL01	WJKR01	WJKV01	WJKY01	Wolframiiraptoraceae
CON1	-12.4119963947626	-16.0306541593782	-14.4931695391773	-10.9320670785929	-15.8973876285147	-13.4227802112859	-12.8916835125838	-13.2447498042011	-12.71131760412	-14.4931695391773	-11.908642806336	-15.0332456990074	-14.8222255837621	-12.2420713933203	-15.5925330469863	-17.6629223748777	-14.1547179184176	-17.6629223748777	-12.8758346599404	-15.3719602640965	-12.5729212396578	-14.5419069739163	-14.9742286772071	-13.1712414442899	-14.6853223955871	-13.5863280427454	-17.284410751624	-11.908642806336	-15.6847220600122	-15.7773866086237	-15.4437139605084	-15.4437139605084	-10.48418075595	-14.7323037282797	-16.8973876285147	-13.7475318442197	-15.676814845625	-13.7276347928143	-13.4931695391773	-16.1793151861541	-16.9848504697651	-12.2301351333435	-17.3998879690439	-15.0566908373991	-10.6951836681512	-12.567170120621	-13.7238315664953	-16.9848504697651	-10.3073029938659	-16.8149254683228	-12.2003877899494	-13.2366576201756	-15.4612885137081	-10.4415148338378	-15.8222255837621	-16.1793151861541	-15.594352685433	-14.007742712007	-12.287187667763	-15.8973876285147	-13.7475318442197	-16.4423495919879	-15.5434090294208	-14.4052144763944	-13.0067838373306	-13.7276347928143	-16.1793151861541	-17.284410751624	-14.3556660154273	-13.0067838373306	-15.5591911779283	-0.0185171836011888	-17.3998879690439	-14.2301351333435	-17.0779598741565	-12.957116638937	-16.1268694746375	-16.4612885137081	-13.0457596613827	-13.3067210118627	-8.29742824593081	-11.2193029935984	-9.08831181978081	-16.5925330469863	-15.9569227648177	-12.3556660154273	-10.1216106765653	-17.3998879690439	-15.0332456990074	-10.6351885440497	-15.0802270317	-16.8149254683228	-11.6451726326223	-12.8150976340646	-11.9822076198999	-13.7238315664953	-11.4227802112859	-16.9848504697651	-16.0638379687342	-12.8609013236777	-13.7276347928143	-14.2301351333435	-15.0566908373991	-14.007742712007	-15.8573870912668	-11.5729212396578	-13.6039199227163	-13.5502222421283	-13.6451726326223	-10.232641988954	-12.4119963947626	-16.3409942799903	-14.8392189321962	-16.3998879690439	-14.4149948614341	-14.3556660154273	-13.9082070384561	-14.2861726835219	-12.0871771795014	-15.8222255837621	-14.9569227648177	-14.7773866086237	-13.2915356780076	-10.936191767655	-15.3998879690439	-15.1441536786495	-11.5927052127282	-14.6205917225924	-14.9742286772071	-17.284410751624	-16.1793151861541	-13.567170120621	-13.6821606685742	-15.1954857260004	-11.9320670785929	-17.0779598741565	-17.5254188511278
CON2	-12.4119963947626	-16.0306541593782	-16.0638379687342	-10.9320670785929	-15.8973876285147	-14.4227802112859	-12.8916835125838	-13.2447498042011	-12.71131760412	-15.4931695391773	-11.908642806336	-15.0332456990074	-14.8222255837621	-12.2420713933203	-14.3623491093449	-17.6629223748777	-14.1547179184176	-17.6629223748777	-12.8758346599404	-15.3719602640965	-12.5729212396578	-14.5419069739163	-14.9742286772071	-15.6809125531707	-14.6853223955871	-13.5863280427454	-17.284410751624	-11.908642806336	-15.6847220600122	-14.7773866086237	-15.4437139605084	-15.4437139605084	-13.5043681142173	-14.7323037282797	-16.8973876285147	-13.7475318442197	-13.1924241079026	-14.9029174907076	-14.4931695391773	-14.2748862680946	-16.9848504697651	-16.0779598741565	-17.3998879690439	-8.64638711908975	-10.6951836681512	-13.2748862680946	-13.7238315664953	-16.9848504697651	-9.33352214559347	-16.8149254683228	-15.6809125531707	-13.2366576201756	-15.4612885137081	-10.4415148338378	-15.8222255837621	-16.1793151861541	-15.594352685433	-15.007742712007	-12.287187667763	-15.8973876285147	-13.7475318442197	-16.4423495919879	-15.5434090294208	-14.4052144763944	-13.0067838373306	-16.8973876285147	-16.1793151861541	-17.284410751624	-15.3556660154273	-13.0067838373306	-15.5591911779283	-0.00904718592250389	-17.3998879690439	-13.0404210144575	-17.0779598741565	-15.6809125531707	-16.1268694746375	-16.4612885137081	-13.0457596613827	-13.3067210118627	-13.0769468904826	-11.2193029935984	-13.6074616071814	-16.5925330469863	-15.9569227648177	-13.9029174907076	-12.6619093912038	-17.3998879690439	-15.0332456990074	-14.7773866086237	-15.0802270317	-16.8149254683228	-13.6074616071814	-14.9029174907076	-15.2177305554499	-13.7238315664953	-12.4227802112859	-16.9848504697651	-16.0638379687342	-14.594352685433	-16.284410751624	-17.6629223748777	-15.0566908373991	-15.0566908373991	-13.9029174907076	-11.5729212396578	-13.6039199227163	-13.5502222421283	-16.3998879690439	-11.8492795271055	-12.4119963947626	-16.3409942799903	-13.4554585137364	-16.3998879690439	-13.0769468904826	-16.304846068238	-14.9082070384561	-14.2861726835219	-14.2748862680946	-15.8222255837621	-14.9569227648177	-13.7773866086237	-14.9546961496161	-10.936191767655	-12.9700316865661	-13.7773866086237	-12.2538246525667	-14.6205917225924	-14.9742286772071	-17.284410751624	-16.1793151861541	-14.567170120621	-13.6821606685742	-15.1954857260004	-11.9320670785929	-17.0779598741565	-17.5254188511278
CON4	-12.4119963947626	-7.28484162237535	-6.4588710221504	-6.88629224588507	-6.15931074029149	-14.4227802112859	-12.8916835125838	-13.2447498042011	-12.71131760412	-15.4931695391773	-11.908642806336	-15.0332456990074	-14.8222255837621	-12.2420713933203	-7.74427324101264	-17.6629223748777	-14.1547179184176	-17.6629223748777	-12.8758346599404	-15.3719602640965	-12.5729212396578	-14.5419069739163	-14.9742286772071	-6.22071128495563	-8.15931074029149	-13.5863280427454	-17.284410751624	-11.908642806336	-15.6847220600122	-7.83738264540413	-8.15931074029149	-15.4437139605084	-6.35195581823388	-14.7323037282797	-16.8973876285147	-13.7475318442197	-15.676814845625	-16.8149254683228	-7.49634572756906	-8.04383352287155	-7.57434823957033	-16.0779598741565	-17.3998879690439	-15.0566908373991	-10.6951836681512	-8.04383352287155	-6.93691831895504	-16.9848504697651	-6.53481987538369	-16.8149254683228	-5.77464689005616	-13.2366576201756	-15.4612885137081	-10.4415148338378	-15.8222255837621	-16.1793151861541	-15.594352685433	-8.42234514612528	-12.287187667763	-5.63574878423448	-13.7475318442197	-16.4423495919879	-15.5434090294208	-14.4052144763944	-13.0067838373306	-16.8973876285147	-8.04383352287155	-17.284410751624	-7.04383352287155	-13.0067838373306	-15.5591911779283	-1.75653551524651	-17.3998879690439	-6.98938573884918	-17.0779598741565	-7.93691831895504	-16.1268694746375	-16.4612885137081	-8.28484162237535	-13.3067210118627	-3.3391317778763	-11.2193029935984	-1.95148294671158	-16.5925330469863	-6.15931074029149	-7.93691831895504	-6.69987912165419	-17.3998879690439	-15.0332456990074	-8.28484162237535	-15.0802270317	-16.8149254683228	-6.69987912165419	-6.47125474660623	-5.36923380966572	-13.7238315664953	-12.4227802112859	-16.9848504697651	-16.0638379687342	-8.04383352287155	-16.284410751624	-17.6629223748777	-15.0566908373991	-15.0566908373991	-15.8573870912668	-11.5729212396578	-13.6039199227163	-13.5502222421283	-16.3998879690439	-5.51545455051676	-7.42234514612528	-16.3409942799903	-6.79007693062577	-16.3998879690439	-8.15931074029149	-16.304846068238	-14.9082070384561	-14.2861726835219	-5.49634572756906	-15.8222255837621	-14.9569227648177	-14.7773866086237	-14.9546961496161	-10.936191767655	-15.3998879690439	-15.1441536786495	-6.10041705123792	-14.6205917225924	-14.9742286772071	-17.284410751624	-16.1793151861541	-14.567170120621	-13.6821606685742	-15.1954857260004	-11.9320670785929	-17.0779598741565	-8.42234514612528
CON5	-12.4119963947626	-16.0306541593782	-15.0638379687342	-10.9320670785929	-15.8973876285147	-14.4227802112859	-12.8916835125838	-13.2447498042011	-12.71131760412	-15.4931695391773	-11.908642806336	-15.0332456990074	-14.8222255837621	-12.2420713933203	-15.5925330469863	-17.6629223748777	-14.1547179184176	-17.6629223748777	-12.8758346599404	-14.3719602640965	-12.5729212396578	-14.5419069739163	-14.9742286772071	-14.676814845625	-13.4067256822572	-13.5863280427454	-17.284410751624	-11.908642806336	-15.6847220600122	-15.7773866086237	-15.4437139605084	-15.4437139605084	-11.0918523449038	-12.7419098738468	-16.8973876285147	-13.7475318442197	-14.676814845625	-16.8149254683228	-14.4931695391773	-15.1793151861541	-16.9848504697651	-13.3719602640965	-15.304846068238	-15.0566908373991	-10.6951836681512	-14.2748862680946	-13.7238315664953	-16.9848504697651	-13.5548243212463	-14.0638379687342	-14.676814845625	-13.2366576201756	-15.4612885137081	-10.4415148338378	-15.8222255837621	-15.1793151861541	-14.594352685433	-15.007742712007	-12.287187667763	-15.8973876285147	-13.7475318442197	-15.4423495919879	-15.5434090294208	-14.4052144763944	-13.0067838373306	-16.8973876285147	-15.1793151861541	-17.284410751624	-12.6145305673706	-13.0067838373306	-13.8100813764884	-0.00840560796086656	-17.3998879690439	-11.8857158143253	-17.0779598741565	-12.0093901847118	-16.1268694746375	-14.594352685433	-13.0457596613827	-13.3067210118627	-11.2173832269877	-11.2193029935984	-10.5483402876761	-15.1793151861541	-14.9569227648177	-17.3998879690439	-11.3075810359592	-17.3998879690439	-15.0332456990074	-15.7773866086237	-15.0802270317	-16.8149254683228	-14.4423495919879	-11.8100813764884	-14.1204214971006	-13.7238315664953	-12.4227802112859	-16.9848504697651	-15.0638379687342	-13.594352685433	-16.284410751624	-17.6629223748777	-15.0566908373991	-15.0566908373991	-14.8573870912668	-11.5729212396578	-13.6039199227163	-13.5502222421283	-16.3998879690439	-9.8168842623076	-12.4119963947626	-16.3409942799903	-14.8392189321962	-16.3998879690439	-14.4149948614341	-15.304846068238	-13.3950438772096	-14.2861726835219	-13.1793151861541	-13.7642776868753	-13.9569227648177	-14.7773866086237	-14.9546961496161	-10.936191767655	-13.3380129321732	-15.1441536786495	-13.5163501734317	-14.6205917225924	-14.9742286772071	-17.284410751624	-15.1793151861541	-14.567170120621	-13.6821606685742	-15.1954857260004	-11.9320670785929	-17.0779598741565	-17.5254188511278
CON3	-12.4119963947626	-16.0306541593782	-16.0638379687342	-10.9320670785929	-8.92139370131656	-14.4227802112859	-12.8916835125838	-13.2447498042011	-12.71131760412	-9.27189094840069	-11.908642806336	-15.0332456990074	-14.8222255837621	-12.2420713933203	-15.5925330469863	-17.6629223748777	-14.1547179184176	-17.6629223748777	-12.8758346599404	-15.3719602640965	-12.5729212396578	-14.5419069739163	-14.9742286772071	-15.6809125531707	-11.0088565425669	-11.1343874246508	-17.284410751624	-11.908642806336	-15.6847220600122	-15.7773866086237	-15.4437139605084	-15.4437139605084	-8.94996285351333	-14.7323037282797	-10.5063562020377	-13.7475318442197	-15.676814845625	-16.8149254683228	-14.4931695391773	-10.893379325147	-16.9848504697651	-16.0779598741565	-10.070257087231	-15.0566908373991	-10.6951836681512	-10.3458915298445	-9.03923019161042	-16.9848504697651	-8.61653911978814	-16.8149254683228	-15.6809125531707	-13.2366576201756	-15.4612885137081	-10.4415148338378	-15.8222255837621	-16.1793151861541	-8.30841682442581	-15.007742712007	-12.287187667763	-15.8973876285147	-13.7475318442197	-16.4423495919879	-9.83893154112458	-14.4052144763944	-9.83893154112458	-9.23626703866997	-16.1793151861541	-11.0088565425669	-15.3556660154273	-13.0067838373306	-15.5591911779283	-0.148610160741268	-17.3998879690439	-10.893379325147	-17.0779598741565	-10.6869284476795	-8.95961302354705	-10.893379325147	-13.0457596613827	-13.3067210118627	-5.87271985458087	-11.2193029935984	-5.80591648389662	-16.5925330469863	-15.9569227648177	-9.46453602634309	-8.10731918145258	-9.68692844767953	-8.03923019161042	-15.7773866086237	-15.0802270317	-16.8149254683228	-9.50635620203771	-7.24214360500664	-15.2177305554499	-13.7238315664953	-12.4227802112859	-16.9848504697651	-10.5063562020377	-11.0088565425669	-10.6869284476795	-17.6629223748777	-15.0566908373991	-15.0566908373991	-9.89337932514696	-11.5729212396578	-9.59381904328805	-13.5502222421283	-11.2718909484007	-7.24214360500664	-12.4119963947626	-16.3409942799903	-10.2015016205093	-8.73583804816048	-9.42389404184574	-16.304846068238	-14.9082070384561	-14.2861726835219	-9.45086108944601	-10.893379325147	-10.6869284476795	-14.7773866086237	-14.9546961496161	-10.936191767655	-15.3998879690439	-15.1441536786495	-9.46453602634309	-14.6205917225924	-14.9742286772071	-17.284410751624	-16.1793151861541	-14.567170120621	-13.6821606685742	-15.1954857260004	-11.9320670785929	-17.0779598741565	-17.5254188511278
CON6	-12.4119963947626	-16.0306541593782	-16.0638379687342	-10.9320670785929	-15.8973876285147	-14.4227802112859	-12.8916835125838	-6.8487719560821	-12.71131760412	-3.69034259347761	-8.07116437741854	-15.0332456990074	-7.40819936469611	-12.2420713933203	-15.5925330469863	-8.07116437741854	-14.1547179184176	-17.6629223748777	-12.8758346599404	-15.3719602640965	-12.5729212396578	-14.5419069739163	-14.9742286772071	-7.1966952595024	-7.95568715999861	-13.5863280427454	-17.284410751624	-11.908642806336	-15.6847220600122	-15.7773866086237	-15.4437139605084	-15.4437139605084	-5.44667351251075	-14.7323037282797	-7.33419878325234	-13.7475318442197	-15.676814845625	-16.8149254683228	-14.4931695391773	-5.11696806703167	-16.9848504697651	-16.0779598741565	-17.3998879690439	-7.01227068836497	-4.2298621234376	-4.69034259347761	-7.07116437741854	-16.9848504697651	-3.31627687525507	-6.56866403688936	-6.61173275878125	-13.2366576201756	-15.4612885137081	-6.6561268781397	-15.8222255837621	-7.07116437741854	-7.95568715999861	-15.007742712007	-12.287187667763	-15.8973876285147	-13.7475318442197	-16.4423495919879	-15.5434090294208	-14.4052144763944	-13.0067838373306	-16.8973876285147	-16.1793151861541	-17.284410751624	-15.3556660154273	-13.0067838373306	-15.5591911779283	-2.52684386119473	-7.74923628253118	-15.2301351333435	-17.0779598741565	-15.6809125531707	-16.1268694746375	-16.4612885137081	-13.0457596613827	-13.3067210118627	-15.0384315099699	-11.2193029935984	-6.10153802646206	-6.6561268781397	-7.07116437741854	-6.56866403688936	-4.10923241825206	-17.3998879690439	-4.9837015361682	-15.7773866086237	-15.0802270317	-16.8149254683228	-15.5474451574578	-5.87476716461504	-7.56866403688936	-13.7238315664953	-12.4227802112859	-16.9848504697651	-16.0638379687342	-5.67884695463978	-7.8487719560821	-17.6629223748777	-15.0566908373991	-15.0566908373991	-15.8573870912668	-8.07116437741854	-13.6039199227163	-13.5502222421283	-16.3998879690439	-3.56160927935541	-12.4119963947626	-16.3409942799903	-14.8392189321962	-16.3998879690439	-4.64489962271645	-16.304846068238	-14.9082070384561	-14.2861726835219	-6.01227068836497	-6.13256492208269	-14.9569227648177	-14.7773866086237	-14.9546961496161	-10.936191767655	-4.91465989173855	-15.1441536786495	-6.16427378181003	-14.6205917225924	-6.6561268781397	-17.284410751624	-16.1793151861541	-14.567170120621	-6.56866403688936	-15.1954857260004	-11.9320670785929	-17.0779598741565	-17.5254188511278
CON24	-12.4119963947626	-16.0306541593782	-16.0638379687342	-10.9320670785929	-15.8973876285147	-11.635171620706	-11.1656863374047	-11.4287207432385	-12.71131760412	-15.4931695391773	-11.908642806336	-15.0332456990074	-14.8222255837621	-12.2420713933203	-15.5925330469863	-17.6629223748777	-9.9432939160683	-17.6629223748777	-12.8758346599404	-15.3719602640965	-12.5729212396578	-14.5419069739163	-14.9742286772071	-10.5282564167895	-14.6853223955871	-11.7506488381259	-17.284410751624	-11.908642806336	-12.0136832439597	-10.635171620706	-11.635171620706	-15.4437139605084	-7.17574000206867	-7.29486499650375	-16.8973876285147	-13.7475318442197	-15.676814845625	-11.2481484975967	-14.4931695391773	-10.4776303437195	-16.9848504697651	-9.16568633740474	-17.3998879690439	-15.0566908373991	-10.6951836681512	-14.2748862680946	-11.8761797202098	-16.9848504697651	-14.9546961496161	-16.8149254683228	-10.2912172194886	-13.2366576201756	-15.4612885137081	-10.4415148338378	-15.8222255837621	-16.1793151861541	-12.0136832439597	-12.0136832439597	-12.287187667763	-15.8973876285147	-10.5807238366836	-16.4423495919879	-15.5434090294208	-14.4052144763944	-13.0067838373306	-16.8973876285147	-16.1793151861541	-17.284410751624	-15.3556660154273	-13.0067838373306	-15.5591911779283	-0.113344716019698	-17.3998879690439	-11.4287207432385	-17.0779598741565	-15.6809125531707	-16.1268694746375	-16.4612885137081	-13.0457596613827	-11.1656863374047	-5.72090149473185	-11.2193029935984	-9.81204938279004	-16.5925330469863	-10.7506488381259	-10.9432939160683	-9.7506488381259	-17.3998879690439	-11.8761797202098	-15.7773866086237	-15.0802270317	-16.8149254683228	-9.5542516253224	-6.75315569373647	-10.5282564167895	-13.7238315664953	-10.7506488381259	-11.3356113388471	-16.0638379687342	-14.594352685433	-16.284410751624	-17.6629223748777	-15.0566908373991	-12.0136832439597	-15.8573870912668	-11.5729212396578	-13.6039199227163	-13.5502222421283	-16.3998879690439	-7.32624923564336	-12.4119963947626	-16.3409942799903	-12.0136832439597	-16.3998879690439	-9.84375824251738	-16.304846068238	-8.41277919936952	-14.2861726835219	-11.1656863374047	-9.87617972020976	-11.2481484975967	-14.7773866086237	-14.9546961496161	-10.936191767655	-8.72090149473185	-15.1441536786495	-8.94903028561744	-14.6205917225924	-11.8761797202098	-17.284410751624	-16.1793151861541	-14.567170120621	-13.6821606685742	-15.1954857260004	-11.9320670785929	-17.0779598741565	-17.5254188511278
CON25	-12.4119963947626	-8.34182765232507	-16.0638379687342	-10.9320670785929	-15.8973876285147	-8.46735853440893	-5.73696559416621	-13.2447498042011	-12.71131760412	-15.4931695391773	-11.908642806336	-15.0332456990074	-14.8222255837621	-12.2420713933203	-15.5925330469863	-7.46735853440893	-14.1547179184176	-17.6629223748777	-12.8758346599404	-15.3719602640965	-12.5729212396578	-14.5419069739163	-14.9742286772071	-6.74356832899045	-14.6853223955871	-8.22635043490513	-17.284410751624	-11.908642806336	-15.6847220600122	-15.7773866086237	-15.4437139605084	-15.4437139605084	-3.92491286580555	-14.7323037282797	-16.8973876285147	-5.13237428669612	-15.676814845625	-6.43493705671655	-14.4931695391773	-7.40322819698921	-16.9848504697651	-16.0779598741565	-17.3998879690439	-15.0566908373991	-10.6951836681512	-6.92679015304622	-4.89336715150877	-16.9848504697651	-4.34936132501047	-16.8149254683228	-6.83932731179588	-13.2366576201756	-8.01989955743771	-10.4415148338378	-15.8222255837621	-6.2829339632715	-5.62300940486912	-15.007742712007	-12.287187667763	-15.8973876285147	-13.7475318442197	-16.4423495919879	-15.5434090294208	-14.4052144763944	-13.0067838373306	-16.8973876285147	-16.1793151861541	-17.284410751624	-7.06880915791865	-13.0067838373306	-15.5591911779283	-2.08863674362028	-6.92679015304622	-8.01989955743771	-17.0779598741565	-4.34936132501047	-7.60486205815886	-16.4612885137081	-13.0457596613827	-13.3067210118627	-15.0384315099699	-7.67886263960264	-14.6074616071814	-16.5925330469863	-15.9569227648177	-17.3998879690439	-3.71571304493761	-8.34182765232507	-5.05642543346282	-8.60486205815886	-15.0802270317	-16.8149254683228	-7.92679015304622	-5.13237428669612	-8.22635043490513	-13.7238315664953	-12.4227802112859	-16.9848504697651	-7.60486205815886	-4.41109031476218	-16.284410751624	-17.6629223748777	-15.0566908373991	-15.0566908373991	-15.8573870912668	-11.5729212396578	-13.6039199227163	-6.37220130136859	-16.3998879690439	-4.6078708080312	-12.4119963947626	-16.3409942799903	-5.71733678741727	-16.3998879690439	-14.4149948614341	-16.304846068238	-8.34182765232507	-14.2861726835219	-3.79750713610126	-15.8222255837621	-14.9569227648177	-14.7773866086237	-14.9546961496161	-10.936191767655	-5.11514787258552	-15.1441536786495	-7.06880915791865	-14.6205917225924	-8.46735853440893	-7.46735853440893	-16.1793151861541	-14.567170120621	-8.34182765232507	-15.1954857260004	-11.9320670785929	-17.0779598741565	-17.5254188511278
CON26	-7.84170993479774	-16.0306541593782	-16.0638379687342	-10.9320670785929	-8.84170993479774	-14.4227802112859	-12.8916835125838	-8.31119521809896	-8.76370742279647	-15.4931695391773	-5.69573062898046	-7.58537018153796	-14.8222255837621	-12.2420713933203	-15.5925330469863	-6.14127021665665	-7.6193175134613	-17.6629223748777	-12.8758346599404	-9.55220331760276	-12.5729212396578	-14.5419069739163	-14.9742286772071	-15.6809125531707	-14.6853223955871	-7.05743862585318	-7.39692509212485	-11.908642806336	-15.6847220600122	-15.7773866086237	-15.4437139605084	-15.4437139605084	-7.39692509212485	-14.7323037282797	-7.65408293162197	-4.89789277019087	-15.676814845625	-16.8149254683228	-14.4931695391773	-16.1793151861541	-6.47247612513203	-7.39692509212485	-6.82181037736004	-15.0566908373991	-10.6951836681512	-6.45704608456242	-13.7238315664953	-16.9848504697651	-5.58537018153796	-16.8149254683228	-15.6809125531707	-13.2366576201756	-15.4612885137081	-10.4415148338378	-15.8222255837621	-5.88235191929509	-15.594352685433	-15.007742712007	-12.287187667763	-15.8973876285147	-13.7475318442197	-16.4423495919879	-15.5434090294208	-14.4052144763944	-13.0067838373306	-16.8973876285147	-9.4266724355189	-17.284410751624	-8.31119521809896	-13.0067838373306	-15.5591911779283	-1.42276417327916	-5.71395438759937	-7.76370742279647	-17.0779598741565	-15.6809125531707	-16.1268694746375	-6.78281624574418	-13.0457596613827	-13.3067210118627	-15.0384315099699	-11.2193029935984	-7.25674743407659	-8.92417209498972	-15.9569227648177	-9.31119521809896	-4.30657859002859	-8.36777874646533	-4.9948266485535	-7.84170993479774	-15.0802270317	-16.8149254683228	-7.66586009939833	-5.72623271737781	-7.36777874646533	-13.7238315664953	-12.4227802112859	-7.65408293162197	-16.0638379687342	-14.594352685433	-16.284410751624	-17.6629223748777	-7.6193175134613	-15.0566908373991	-15.8573870912668	-4.88235191929509	-13.6039199227163	-13.5502222421283	-9.68970684135269	-4.57700670860333	-12.4119963947626	-16.3409942799903	-4.10274198772039	-16.3998879690439	-7.2302752227154	-8.92417209498972	-8.76370742279647	-14.2861726835219	-3.55562283814391	-8.18720650082351	-14.9569227648177	-14.7773866086237	-14.9546961496161	-10.936191767655	-6.58537018153796	-15.1441536786495	-6.67178493335543	-14.6205917225924	-9.55220331760276	-17.284410751624	-16.1793151861541	-8.68970684135269	-9.4266724355189	-15.1954857260004	-11.9320670785929	-17.0779598741565	-17.5254188511278
CON27	-12.4119963947626	-16.0306541593782	-16.0638379687342	-10.9320670785929	-8.72252294786832	-9.02208322972723	-12.8916835125838	-13.2447498042011	-12.71131760412	-15.4931695391773	-11.908642806336	-15.0332456990074	-14.8222255837621	-12.2420713933203	-15.5925330469863	-17.6629223748777	-9.02208322972723	-17.6629223748777	-8.13756044714716	-9.02208322972723	-12.5729212396578	-14.5419069739163	-4.56265161108993	-6.545934216145	-14.6853223955871	-9.26309132923102	-17.284410751624	-11.908642806336	-15.6847220600122	-7.79969080839078	-15.4437139605084	-15.4437139605084	-5.42484239922763	-8.55259794642601	-16.8973876285147	-9.02208322972723	-7.36497094325024	-7.40059485298096	-14.4931695391773	-8.8156323522598	-16.9848504697651	-8.40059485298096	-17.3998879690439	-15.0566908373991	-10.6951836681512	-7.3532891382026	-13.7238315664953	-16.9848504697651	-5.88542068241666	-16.8149254683228	-8.33020552508956	-7.67812882850987	-15.4612885137081	-10.4415148338378	-15.8222255837621	-6.55259794642601	-7.47459543442473	-9.40059485298096	-12.287187667763	-15.8973876285147	-13.7475318442197	-16.4423495919879	-15.5434090294208	-14.4052144763944	-13.0067838373306	-16.8973876285147	-8.72252294786832	-9.40059485298096	-8.72252294786832	-13.0067838373306	-5.62449086490779	-1.53475849934963	-7.86454195274075	-7.05009760589683	-17.0779598741565	-7.0786667580936	-16.1268694746375	-7.14761411181109	-13.0457596613827	-13.3067210118627	-3.29207039620279	-11.2193029935984	-3.41418391772891	-7.55259794642601	-15.9569227648177	-17.3998879690439	-5.11272859416723	-17.3998879690439	-15.0332456990074	-9.26309132923102	-15.0802270317	-16.8149254683228	-15.5474451574578	-6.47459543442473	-4.72816951100946	-13.7238315664953	-12.4227802112859	-7.13756044714716	-8.13756044714716	-7.02208322972723	-16.284410751624	-17.6629223748777	-15.0566908373991	-15.0566908373991	-6.86454195274075	-8.40059485298096	-8.63506010661798	-13.5502222421283	-16.3998879690439	-5.94993344397139	-12.4119963947626	-16.3409942799903	-9.40059485298096	-16.3998879690439	-7.96763544570485	-16.304846068238	-14.9082070384561	-9.40059485298096	-4.61748747717003	-15.8222255837621	-14.9569227648177	-14.7773866086237	-14.9546961496161	-10.936191767655	-5.23602308603285	-15.1441536786495	-5.22002260733914	-14.6205917225924	-14.9742286772071	-9.26309132923102	-16.1793151861541	-14.567170120621	-13.6821606685742	-8.55259794642601	-11.9320670785929	-17.0779598741565	-8.47459543442474
