feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Oxalobacteraceae	Group	MI	3.522886482175	0.576057880784778	84	29	3.12147766683585e-08	1.37345017340777e-06
Leuconostocaceae	Group	MI	-4.30196436293318	0.809024448831905	84	38	8.91390429847839e-07	1.96105894566525e-05
Bifidobacteriaceae	Group	MI	-1.34854503156532	0.579129914947927	84	83	0.0223445566462282	0.242614030540891
Corynebacteriaceae	Group	MI	-1.00193296093967	0.452290603601589	84	24	0.0295165152294824	0.242614030540891
Enterococcaceae	Group	MI	-2.15103153353525	1.05210192122901	84	43	0.0441116419165256	0.242614030540891
Odoribacteraceae	Group	MI	2.09822962354301	1.01166370086251	84	56	0.0412132183712664	0.242614030540891
Prevotellaceae	Group	MI	-2.87441111951688	1.37868374476919	84	48	0.0401897101252259	0.242614030540891
Rikenellaceae	Group	MI	2.20603826768017	0.931458688967382	84	62	0.0202194097497937	0.242614030540891
Propionibacteriaceae	Group	MI	-0.759957417332047	0.42376984980553	84	17	0.0766077430141588	0.374526743624777
Synergistaceae	Group	MI	1.20330359276198	0.73810901542435	84	27	0.106883779480262	0.470288629713151
Christensenellaceae	Group	MI	0.849393049930556	0.587670971243763	84	21	0.1521692270608	0.568954052101
Desulfovibrionaceae	Group	MI	1.23200979292952	0.885936034453609	84	53	0.168100060848023	0.568954052101
Ruminococcaceae	Group	MI	0.944548173690731	0.659597136545226	84	82	0.15594251225669	0.568954052101
Coriobacteriaceae	Group	MI	0.692405763099991	0.550902758715045	84	66	0.212373980402367	0.58402844610651
Oscillospiraceae	Group	MI	0.849045732977201	0.663922718075783	84	42	0.204563555117103	0.58402844610651
Veillonellaceae	Group	MI	-1.44239134584104	1.13537424422313	84	68	0.20753121969219	0.58402844610651
Peptostreptococcaceae	Group	MI	-1.27391286797898	1.08546890064277	84	62	0.243950417093621	0.631401079536432
Eggerthellaceae	Group	MI	0.582856627994932	0.519276366348171	84	81	0.264951205186985	0.647658501568186
Streptococcaceae	Group	MI	0.591282120160142	0.56749329752032	84	84	0.300511374451333	0.669876884844594
Tannerellaceae	Group	MI	0.838587192506123	0.811541989380403	84	75	0.304489493111179	0.669876884844594
Micrococcaceae	Group	MI	0.928746384283433	0.939233982723144	84	52	0.325653309038188	0.682321218937156
Acidaminococcaceae	Group	MI	-0.47645692503378	0.932898284577089	84	58	0.610914062364365	0.772502575765026
Actinomycetaceae	Group	MI	-0.48677270704185	0.614729068933169	84	75	0.430733351929879	0.772502575765026
Akkermansiaceae	Group	MI	0.411246058060329	0.882660192208743	84	28	0.642510419008078	0.772502575765026
Bacillales_unclassified	Group	MI	-0.324916987973914	0.55716167766749	84	49	0.561382932660752	0.772502575765026
Bacteroidaceae	Group	MI	0.579488837554512	0.823904483014482	84	80	0.483833250907554	0.772502575765026
Barnesiellaceae	Group	MI	0.869686927778424	1.15985883146586	84	41	0.455508240181164	0.772502575765026
Catabacteriaceae	Group	MI	0.219070289036504	0.419438699924683	84	17	0.602873868583014	0.772502575765026
Clostridiaceae	Group	MI	0.572417190196738	0.937918679943362	84	71	0.543347045801271	0.772502575765026
Clostridiales_Family_XIII_Incertae_Sedis	Group	MI	0.511363262433113	0.71098865230048	84	43	0.474044933163205	0.772502575765026
Clostridiales_unclassified	Group	MI	0.68023108670746	0.818376839442375	84	30	0.408277053347243	0.772502575765026
Enterobacteriaceae	Group	MI	-0.502698300458398	0.749889783415368	84	83	0.504510105969792	0.772502575765026
Erysipelotrichaceae	Group	MI	-0.343953773572506	0.754305562552347	84	81	0.649604438711499	0.772502575765026
Eubacteriaceae	Group	MI	0.376690129338598	0.624580026385917	84	77	0.548100406944973	0.772502575765026
Firmicutes_unclassified	Group	MI	0.685568929762518	1.19815012376929	84	56	0.568759002318597	0.772502575765026
Lactobacillaceae	Group	MI	-1.04195313431303	1.28140079903975	84	64	0.418494793167394	0.772502575765026
Proteobacteria_unclassified	Group	MI	0.449564087572128	0.955321880748965	84	39	0.639183541765421	0.772502575765026
Lachnospiraceae	Group	MI	-0.108362924414814	0.286209656186361	84	84	0.705953175038309	0.811642916599241
Pasteurellaceae	Group	MI	-0.298050936583743	0.826803402518659	84	35	0.719410766985691	0.811642916599241
Fusobacteriaceae	Group	MI	-0.165013545595671	0.518492531442945	84	13	0.751099623954278	0.826209586349706
Peptoniphilaceae	Group	MI	0.13718459148154	0.618314452506616	84	26	0.824967764550085	0.865640138920725
Sutterellaceae	Group	MI	-0.183027449982493	0.831334065789549	84	48	0.826292859878874	0.865640138920725
Atopobiaceae	Group	MI	0.116817497918465	0.707717498133505	84	22	0.869301167985875	0.889517474218105
Selenomonadaceae	Group	MI	0.0473590713928713	1.04235716503911	84	23	0.96387137537281	0.96387137537281
