feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales_unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Catabacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes_unclassified	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Prevotellaceae	Propionibacteriaceae	Proteobacteria_unclassified	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Streptococcaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Veillonellaceae
CON1	68043	8991	125853	0	0	9557082	432522	9930042	0	0	61032	207	0	918834	0	7569	352938	6274896	19500	352806	1540194	47367	0	18455421	1528101	606351	0	278202	106395	13614	0	0	0	7515	3543	0	1555326	7756809	0	213831	0	15423	936651	31614
CON2	3948	0	0	0	0	10878729	347247	57405954	0	1299	2240412	0	7473	7656873	0	64581	46299	1379091	134469	301500	955203	212766	0	5799588	2532087	0	0	180660	15864	0	0	0	0	5163	0	0	635832	407547	0	346443	0	28200	856041	441240
CON3	4080	0	113721	0	1815	15114555	540249	10047096	4251	0	56955	0	36018	1147485	0	150828	1170825	86163	0	2647779	2976564	53346	0	15369780	0	0	0	117465	0	129258	0	0	0	0	0	367428	2384502	14320812	0	124305	16260	0	4341474	1220520
CON4	188235	3807	0	0	1449	14793705	0	6274140	11499	0	724323	1749	32727	1872276	0	87474	2073969	2239893	44931	2604555	782583	224604	0	11026398	2993358	100866	29412	314022	0	0	795	0	0	1197618	0	0	2731380	2710818	0	3912933	10383	0	2226921	2184
CON5	66522	5454	113799	0	9105	9676110	962340	2498061	12375	0	98706	1521	24150	5075451	0	306162	631506	160791	0	374313	1459377	42519	43197	14871633	1110	9711	1713	185061	238011	0	0	684	0	3314376	0	103215	2221443	11349018	2777313	613431	15936	379968	2023722	1774104
CON6	0	32697	0	0	1797	0	0	4512912	0	0	197889	2199	0	0	2406	0	0	11135334	2188800	3431802	7014	671088	8787	2410521	1902	9723	0	0	0	0	0	0	1319679	0	0	0	0	763509	0	4788285	0	0	0	1984047
CON7	0	9966	0	0	1245	1980603	0	81670857	0	0	0	0	0	205893	0	0	61968	315933	0	63381	83757	0	0	3656505	11580633	5886	0	0	0	0	0	0	0	0	2790	0	0	12489	447	1025316	19905	0	0	6303
CON8	214071	1023	2752641	0	0	5741001	966954	412470	0	0	45060	0	145989	1027086	0	68616	310008	1278927	45705	472599	4746150	62976	0	11740200	24504	1080	0	320190	26457	0	0	0	1518	50457	0	0	717921	4028172	12519	89871	1125	15963	1862043	0
CON9	0	139014	0	13056	18207	191598	0	121487184	0	0	231117	13794	0	644895	9087	0	40611	84726	0	82956	110790	0	0	945837	55731663	0	8418	0	0	0	185151	172227	17361	0	0	0	0	26358	0	118779	0	0	4419	90477
CON10	117327	5220	25593	0	969	10834629	195996	2454012	0	0	23454	0	0	1191927	0	5922	300426	26043	0	1391187	1995690	56424	0	29549745	0	390333	16485	128082	2247	0	330	0	30258	55350	0	1263	772407	10062423	0	788901	3300	0	337707	0
CON11	72807	2880	0	0	0	33266544	34287	14937066	0	0	22614	0	0	2153766	0	0	748302	8181	0	25644	1926306	150984	0	18275115	2541	0	0	451983	5988	0	0	0	174804	0	0	0	188004	6381402	0	8253	0	0	1090587	0
CON12	0	12921	0	0	0	90861	0	90356727	0	0	59817	0	0	244512	0	0	0	14493	0	14010	0	0	0	424113	7283244	0	0	0	0	0	0	0	0	2975382	0	0	0	2379	0	1581558	0	2598	45156	29400
CON13	248649	12684	578571	23778	3351	6564093	599937	5824398	3147	14556	452703	0	2499	5180148	318	26358	750987	4778775	3123	156141	1418802	199674	0	22031301	49338	38133	0	231321	32394	0	0	0	10260	1021650	0	108669	2605026	5402058	8136	421494	8421	103239	758796	1629
CON14	0	1722	0	0	0	52753956	0	32564454	0	0	202461	942	0	0	0	4329	505389	253701	366573	178542	0	0	0	9002898	6557865	0	10227	0	0	0	0	0	94872	0	0	7962	0	2779152	0	2512101	666741	0	462462	938277
CON15	68823	0	0	0	3756	17524005	0	1868568	0	0	287373	0	0	205875	0	0	434229	0	0	165828	1429245	52839	0	27416049	0	0	1548	155454	0	0	0	0	636153	0	0	0	1473243	22023444	0	82683	15441	0	2196045	0
CON16	56688	7524	0	0	4635	668943	969	11067384	0	0	31206	0	0	14866455	0	2457	647463	2372877	60339	9444	5515692	3648	0	24011538	0	0	0	32235	0	0	0	240	0	993951	0	0	737010	852267	0	239619	6252	3666	68985	5346
CON17	0	10266	460863	0	0	1725855	0	11648217	0	0	785037	1761	0	3323739	0	0	294984	8416917	66555	673935	2625126	48957	0	14177847	0	0	0	0	0	0	0	0	784620	0	0	0	0	21975537	0	104838	6561	0	0	31425
CON18	12789	11211	1239	0	0	1325250	232449	14227344	0	2898	16068	0	1071	3558894	0	0	491580	2381856	0	124647	2317509	232497	0	25350885	1538115	0	0	137430	105519	0	8151	0	17616	5828706	0	10173	231780	3625365	0	145683	13443	0	831759	13050
CON19	2889	46878	0	2361	0	1095450	0	46973934	3462	0	56757	0	0	0	14148	3123	438339	1921227	0	653820	2040945	0	0	27788721	1338	0	90	0	0	0	10944	0	70071	0	0	31485	5157	11079621	0	518985	0	0	161004	267063
CON20	0	59520	0	0	0	26038173	0	3787290	0	0	0	0	20358	0	330	0	1411632	6510417	9451986	409371	0	0	0	6160083	1153707	255819	14496	423	0	0	0	0	226515	0	0	0	488859	4092633	0	411933	0	0	289248	30270
CON21	11733	26856	754779	0	0	4956381	250269	29632395	0	1662	31947	0	828	1916571	10389	37848	198996	2899947	0	67875	2160882	80331	0	7763955	152481	8655	408	27645	116814	0	0	0	1191	210675	2112	67785	1594485	8896347	41529	153783	17997	11343	300552	1303026
CON22	563574	12285	0	0	0	16219443	69678	2374485	0	1473	21747	0	0	2530296	0	14220	276909	27585237	0	19929	2848782	0	0	14275983	36141	0	0	76488	12834	0	0	8553	10092	9117	378	0	1581324	2100051	0	80391	27450	0	895710	0
CON23	37953	5982	0	0	0	4182162	0	4443198	0	0	66735	0	11643	1720437	0	0	434412	3607047	401313	1226379	406578	553542	1377	51886785	37938	0	0	7662	0	0	0	0	230688	0	0	289893	0	1591551	0	97326	33768	0	199200	4278
CON24	1046649	22869	14751	0	34560	1715529	0	1760934	0	0	621597	5247	0	5066784	9636	64695	24987	80940	40023	1264641	2591871	32454	0	16200825	3864	775020	23811	0	9564	363	4077	0	34806	3121098	960	357	15039	3799608	7343157	839484	71484	0	578997	317388
CON25	0	28383	0	0	17643	646659	0	4911	0	0	0	4827	0	0	1116	0	0	9275574	924822	2989842	0	0	1721850	44197278	0	846	1443	0	0	0	0	0	63816	0	0	0	0	0	0	4929690	0	0	0	41964
CON26	0	244335	0	3150	43530	37785	0	9389508	0	0	100704	6954	0	0	0	0	592476	11013537	796860	8737998	0	0	134817	98847135	71064	392052	7650	0	0	0	0	1341	363867	0	16485	0	0	287322	0	3407757	0	0	0	173946
CON27	1007361	2940	3533154	867	465	7014390	943869	454344	3420	2235	167265	0	15282	1967742	0	116277	783318	1448481	243966	92163	3477840	104286	0	11848200	5097	24372	0	430542	32535	0	0	0	36666	42972	0	0	3627057	2708037	304560	125232	0	44115	1642716	0
CON28	4739154	236415	0	0	66633	691956	0	75236010	0	0	0	4263	0	6195738	6300	0	8313	1829931	6117	3688104	2744076	0	0	49067307	0	75975	121695	0	0	0	5445	0	5298	1422666	0	8469	0	425004	0	1376871	1049172	0	17691	0
CON29	954	558	0	215808	0	12124944	0	20993670	774	222	0	0	14538	0	0	2940	813477	3453273	168468	6843	6077805	34476	0	27295554	33225	85983	0	191106	5637	0	0	13935	0	0	0	21984	924375	8630958	0	458862	3516	0	91122	1571148
CON30	203340	65010	30645	0	110292	14867172	84711	9674955	0	0	164889	11106	4428	914352	16569	489	274878	2770389	13299594	4677	1419891	79311	14592	34272183	0	49593	161451	309105	12111	0	977763	540	19539	829122	1188	0	699165	6477672	2054343	7877544	0	0	693342	388401
CON31	7131	115362	0	0	86727	1452462	0	1498692	0	0	11969436	9435	0	1546191	50982	0	39867	15294966	472326	735783	862278	0	3495	28750938	88230	5892	146679	1218	0	0	219246	4518	3742788	36297	7698	67047	0	1422963	15324	467517	10914	0	139044	501
CON32	0	52731	0	0	26223	5398632	0	4126764	0	0	0	2262	0	0	6936	0	199404	27441	0	722268	1846815	47265	0	22453521	7033026	16290	126384	0	0	0	90861	0	195	1516599	624	2604	0	3463098	0	17890140	201165	0	311910	1795131
CON33	326355	78300	0	1896	0	5126559	300750	1026234	0	0	150	27303	3630	202701	0	17103	29640	2673963	21951	777603	4556844	339702	0	16405758	3168	75297	0	77460	27822	0	0	0	23286	1126026	77577	0	1749720	3834873	0	276333	0	0	441063	0
CON34	35229	24540	0	0	10449	5433888	0	16608486	0	0	107361	4740	0	0	753	70977	177372	5871858	2583	241743	2409186	3936	45687	29800509	343047	107211	84	0	0	0	18579	1158	151635	0	0	0	0	18243117	0	1493106	0	0	850071	282909
CON35	139122	63789	0	0	8859	9984459	0	20544426	0	0	816	4653	0	0	0	0	300186	3630282	0	7143	1109649	0	0	18694182	6975	772977	14301	0	0	0	15456	0	24456	0	0	950889	143352	24920334	0	295008	117261	0	122250	25482
CON36	180969	12657	0	41775	27951	1746426	57666	849318	0	0	52155	1557	0	2691333	2565	63918	172293	266337	1110	78033	2047122	2244	0	18633135	95367	147162	41355	92337	14580	0	344247	465	7776	26296440	0	180	29160	6399825	0	2925807	41757	0	377214	127182
CON37	20094	0	13560	0	0	13978482	360570	13464846	642	9144	30714	129	18333	1477212	13491	17355	257874	2891205	0	18528	3215445	58587	0	23031648	0	0	0	263007	20166	846	0	0	2613	0	0	0	1412487	5955837	0	11520	14703	7785	1162770	479991
CON38	1112712	19890	0	0	0	20368671	0	12761514	0	20163	29187	0	0	3412986	0	25971	405714	2396580	275880	1355814	987993	248061	0	15969336	1025133	6816	0	131244	43338	0	0	0	4251	371355	0	0	1456449	7423536	540396	189693	0	0	2005176	274965
CON39	268629	2613	132882	0	1074	18749751	0	26429517	0	0	49287	0	0	0	0	7806	317154	856860	1266	285468	1148208	0	0	18233979	25752	53268	87	0	0	0	9096	1644	55968	0	0	25959	377169	11711799	0	340371	474762	0	726714	69183
CON40	0	900	0	0	10074	2233914	18909	21818793	0	0	12108	0	0	7036335	0	0	124797	217068	0	0	1602597	7473	0	44793015	655470	2364	6597	106122	5520	0	123939	0	3642	3876162	0	47883	701655	2331792	567021	242103	58167	0	181281	4454757
CON41	187440	49296	0	786	0	3155571	164424	7898643	11619	0	0	0	0	1089435	2271	3204	493455	875595	10539	59478	2539248	9471	0	40964175	258927	0	0	113631	0	0	0	1092	8217	559902	0	0	80841	2694483	0	693159	0	0	88287	630648
CON42	6276	116610	0	0	17514	81942	0	9707877	0	0	0	1800	0	3171720	0	96999	226578	45483573	0	35007	4106826	0	0	36690615	1516659	7569	23637	0	0	0	0	0	2652	93936	0	0	105483	2263344	0	345399	0	0	41097	557919
CON43	0	3783	3012	7791	1596	1151673	73491	1732209	0	0	58893	1311	0	4993068	0	6006	16695	5211927	1233987	1020	3659520	73794	0	15714810	294681	166068	1272	0	23268	0	0	0	19734	20168313	50592	0	767991	9446826	27000	693399	5679	0	348957	8146662
CON44	999684	37278	0	32409	13188	0	0	3439086	0	0	0	462	0	3994083	0	0	310299	14712672	21330	5275785	7248228	0	0	12416829	3286275	2502	16488	0	0	0	10209	0	4263	638934	0	34155	0	7199184	0	827388	17259	0	0	6591
CON45	0	86433	0	0	0	2392899	0	7095501	0	0	6702	0	0	0	0	0	1785906	166263	56559	1391985	5555571	0	0	69257940	7092	0	1389	0	0	0	0	0	4938	43833	7014	0	0	1841970	0	470367	0	0	74229	4318941
CON46	105570	18711	0	0	1335	2319447	0	6502206	0	3957	837708	17361	273	4627500	519	9810	406254	10349721	739083	154851	5154615	0	0	39218151	123339	981	0	1404	1602	0	6852	1506	635829	2259	0	81285	651102	12999357	0	223227	66486	0	223950	1444182
