feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales_unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Catabacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes_unclassified	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Prevotellaceae	Propionibacteriaceae	Proteobacteria_unclassified	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Streptococcaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Veillonellaceae
CON1	0.00111169252920662	0.000146895750188803	0.00205619740279295	0	0	0.156144447781771	0.00706658254511861	0.162237901122936	0	0	0.000997146193473809	3.38198423858105e-06	0	0.015011990849625	0	0.000123662988897681	0.00576633214104502	0.102519803723359	0.0003185927181272	0.00576417551341462	0.0251638252770874	0.000773886219463133	0	0.301526294388298	0.0249662487775842	0.00990661606303313	0	0.00454528878812427	0.00173829088436633	0.000222426731517113	0	0	0	0.00012278073213979	5.78858461704959e-05	0	0.0254110532263541	0.126731428887361	0	0.00349358971845422	0	0.000251982332906452	0.0153030865654646	0.000516512317480682
CON2	4.25043965081411e-05	0	0	0	0	0.117121026069051	0.00373848130047175	0.618035823390098	0	1.39851091854294e-05	0.0241204052658555	0	8.04547505332671e-05	0.0824343378937386	0	0.000695282783913946	0.000498457713761506	0.0148473735270539	0.00144770103699423	0.00324596645065971	0.0102837707846418	0.00229065107078297	0	0.0624387000850702	0.0272605951978494	0	0	0.00194499601650475	0.000170792742199886	0	0	0	0	5.55851568316952e-05	0	0	0.00684540411361813	0.00438767459060369	0	0.00372982538993666	0	0.000303602832201008	0.00921618695319798	0.00475041537873662
CON3	5.6242090439101e-05	0	0.00156762420755515	0	2.50194593497471e-05	0.208351512072737	0.00744723850922399	0.138497471049591	5.85992957001516e-05	0	0.000785114769842892	0	0.000496501866038123	0.0158178811636058	0	0.00207913774920312	0.0161396190045001	0.00118774197022163	0	0.0364991730344982	0.0410314170798462	0.000735365332491246	0	0.211869744311051	0	0	0	0.00161923459642868	0	0.00178179905048464	0	0	0	0	0	0.00506493107986716	0.0328699453765238	0.197409902859158	0	0.0017135228068707	0.000224141272191123	0	0.0598464640556386	0.016824655936944
CON4	0.00317862472769933	6.42867922456045e-05	0	0	2.44684953937171e-05	0.249813459384755	0	0.105948078460687	0.000194177521416393	0	0.0122312587916241	2.95344364690208e-05	0.000552643511904886	0.0316161329756846	0	0.00147712709873707	0.0350220158200221	0.0378238865099511	0.000758725994848242	0.0439817405246258	0.0132150645484481	0.00379276876425841	0	0.186196941802824	0.0505472508176302	0.00170327070833863	0.000496664863022779	0.00530272316116344	0	0	1.34247438495549e-05	0	0	0.0202235407290771	0	0	0.0461233671142105	0.0457761475129092	0	0.066075626698705	0.000175332220616263	0	0.037604835217855	3.68800510282113e-05
CON5	0.00108268122142301	8.87667746255536e-05	0.00185213974800392	0	0.000148188757419447	0.157483878918604	0.0156625995403658	0.0406572823226779	0.000201409760907816	0	0.00160649307960944	2.4755090613397e-05	0.000393054200074646	0.0826056866593401	0	0.00498295072477241	0.0102780987856041	0.00261695974675786	0	0.0060921447947222	0.0237521432439891	0.000692019525174902	0.000703054338742215	0.24204380176475	1.80658452208222e-05	0.000158051732377842	2.78799935705122e-05	0.00301196701118071	0.00387375665482263	0	0	1.11324667847229e-05	0	0.0539432466843315	0	0.00167987947249294	0.0361551760404316	0.184711353690383	0.0452022583673671	0.00998391846815695	0.000259366945440562	0.00618418295213098	0.0329371607405161	0.0288744939366141
CON6	0	0.000976893278599584	0	0	5.3689244323438e-05	0	0	0.134832963259975	0	0	0.00591235997213179	6.56998599149917e-05	0	0	7.18844306300455e-05	0	0	0.332692079993927	0.065395112952221	0.102532474150063	0.000209558352634721	0.0200501989952851	0.000262530545281052	0.0720195052397207	5.68263454107841e-05	0.000290495560688251	0	0	0	0	0	0	0.0394282516747414	0	0	0	0	0.0228114753723672	0	0.143060324571649	0	0	0	0.0592776762004364
CON7	0	9.89634192534613e-05	0	0	1.23629798284727e-05	0.0196675943270784	0	0.81100012663862	0	0	0	0	0	0.00204453896050099	0	0	0.000615348702016706	0.00313724763546095	0	0.000629379939364201	0.000831715744171399	0	0	0.0363094759499676	0.114996893317226	5.84485937914784e-05	0	0	0	0	0	0	0	0	2.77049909409148e-05	0	0	0.000124017072351643	4.43875661311431e-06	0.0101814947998477	0.000197658725691365	0	0	6.25894472761957e-05
CON8	0.00575718193459773	2.75123539344118e-05	0.074028967200756	0	0	0.154397313245173	0.0260050642094773	0.011092884288687	0	0	0.00121183447535151	0	0.00392619847363719	0.0276222419873698	0	0.00184534474835152	0.00833729210019467	0.0343952026200152	0.00122918097416646	0.0127099813851897	0.127641992791602	0.00169366373545799	0	0.315738550988057	0.000659005592188492	2.90453003413146e-05	0	0.00861112473730139	0.00071152917697237	0	0	0	4.08247832575143e-05	0.00135698029566825	0	0	0.0193076213577193	0.108332838487476	0.000336683439789738	0.00241697239534656	3.02555211888693e-05	0.000429305675322596	0.0500774057254096	0
CON9	0	0.000770725472087648	0	7.23854558790937e-05	0.000100943780268892	0.00106226321810069	0	0.673552787783956	0	0	0.00128136561017222	7.64770969972594e-05	0	0.00357544566246539	5.0380410353349e-05	0	0.000225156690311418	0.000469740359590387	0	0.000459927073981778	0.000614245148349019	0	0	0.00524393707355349	0.308989110995329	0	4.66713210470443e-05	0	0	0	0.00102651957272289	0.000954865955092576	9.62533624017268e-05	0	0	0	0	0.000146134792130909	0	0.000658537995087536	0	0	2.44999486465774e-05	0.000501625221474629
CON10	0.00193087479109632	8.59066234500396e-05	0.000421189313018556	0	1.5947034123197e-05	0.17830773826128	0.00322554685243563	0.0403861848325438	0	0	0.000385987346053109	0	0	0.0196157900323631	0	9.74595831553898e-05	0.00494417303766314	0.000428595056419422	0	0.0228950532102663	0.032843484550385	0.000928581479223187	0	0.486306286735573	0	0.00642379119753339	0.000271297066585039	0.00210787205837701	3.6979345381655e-05	0	5.43087849396802e-06	0	0.000497962186274195	0.000910906438306455	0	2.07854531450958e-05	0.0127116623178496	0.165599383842149	0	0.0129831074993026	5.43087849396802e-05	0	0.00555771419261351	0
CON11	0.000910906655582699	3.60324030392431e-05	0	0	0	0.416206083725943	0.000428973264932822	0.186881382755477	0	0	0.00028292943136439	0	0	0.0269463071403536	0	0	0.00936219418717767	0.00010235454488335	0	0.000320838522061927	0.0241004979753168	0.00188899872933232	0	0.228644551829346	3.17910889314989e-05	0	0	0.00565487278572438	7.4917371319093e-05	0	0	0	0.00218701672946939	0	0	0	0.00235216524339926	0.0798393225067473	0	0.000103255354959331	0	0	0.0136446077546386	0
