feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales_unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Catabacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes_unclassified	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Prevotellaceae	Propionibacteriaceae	Proteobacteria_unclassified	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Streptococcaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Veillonellaceae
CON1	-9.81302646056338	-12.7329197213695	-8.92580550925508	-19.7880887796643	-17.6910610931036	-2.67904682428082	-7.14477159964079	-2.62381720150594	-17.9948054523375	-19.5162911208089	-9.96990734319301	-18.1736986331049	-19.2806008539787	-6.05774087381401	-18.5177296602841	-12.9812985989068	-7.43813034612307	-3.2860254732171	-11.6159990870799	-7.43867001985071	-5.31250493970379	-10.3355909096692	-16.6636799993748	-1.72964427807041	-5.3238771196711	-6.65739194397983	-20.9817848455406	-7.78141232468518	-9.16811476274094	-12.1343821962108	-19.3495019882577	-21.080823327472	-20.0892659189938	-12.9916282018005	-14.076429840486	-19.4367688721221	-5.29840001694355	-2.9801537434385	-18.7814129646665	-8.16107409423988	-18.0902204457704	-11.9543897931328	-6.0300335222433	-10.9189096255096
CON2	-14.5220283980702	-18.4485747229278	-16.6291853539424	-19.7880887796643	-17.6910610931036	-3.09392799699424	-8.06333196782501	-0.69423763098202	-17.9948054523375	-16.1257489570787	-5.37360204248166	-20.0122438726395	-13.6014628655646	-3.60061077481939	-18.5177296602841	-10.4901125125413	-10.9702412595483	-6.07364844626557	-9.43202058070621	-8.26713619596443	-6.6034868304168	-8.77002657145372	-16.6636799993748	-4.00141568769825	-5.19703912801269	-18.9515403105271	-20.9817848455406	-9.00601708419341	-12.5154657102978	-19.7670405993461	-19.3495019882577	-21.080823327472	-20.0892659189938	-14.1349407897652	-18.5322726912994	-19.4367688721221	-7.19064857217765	-7.83232775161258	-18.7814129646665	-8.06667619170674	-18.0902204457704	-11.6855271303531	-6.76161430207067	-7.71773061571479
CON3	-14.1179902560919	-18.4485747229278	-9.31720452806243	-19.7880887796643	-15.2865898600676	-2.26290852471528	-7.06907872185278	-2.85206846184412	-14.0587571493116	-19.5162911208089	-10.3148088137231	-20.0122438726395	-10.9759132396027	-5.98229982886944	-18.5177296602841	-8.90979894036246	-5.95324966734279	-9.71756283127943	-16.9538455011684	-4.77599241270108	-4.60712720910599	-10.4092512147323	-16.6636799993748	-2.23875051401503	-19.3730588849944	-18.9515403105271	-20.9817848455406	-9.27047226468838	-16.7276995624899	-9.13244964433227	-19.3495019882577	-21.080823327472	-20.0892659189938	-19.7789491804654	-18.5322726912994	-7.62524164671373	-4.92708713083395	-2.34073373200567	-18.7814129646665	-9.18881889050545	-12.1233040559883	-18.5873445228141	-4.06259017970024	-5.89327918765176
CON4	-8.29738158446341	-13.9251181088749	-16.6291853539424	-19.7880887796643	-15.3187150838802	-2.00107688669835	-18.5288662954672	-3.23857067254185	-12.3303361799155	-19.5162911208089	-6.35328330193722	-15.0472423895155	-10.8213632235914	-4.98319526983219	-18.5177296602841	-9.40299031717233	-4.83559406403149	-4.72455857792669	-10.3641334125452	-4.50695149152637	-6.24167271799248	-8.04253286790126	-16.6636799993748	-2.42509871738342	-4.30622356133838	-9.19747653752576	-10.9754396938491	-7.55905085288002	-16.7276995624899	-19.7670405993461	-16.1847459132654	-21.080823327472	-20.0892659189938	-5.62782058397374	-18.5322726912994	-19.4367688721221	-4.43835835281156	-4.44926013793162	-18.7814129646665	-3.91973798650529	-12.4776212365505	-18.5873445228141	-4.73293801467149	-14.7267998225173
CON5	-9.851175758217	-13.4596206971033	-9.07659132745382	-19.7880887796643	-12.7202763801544	-2.66672394243071	-5.99653251145276	-4.62034240623576	-12.2775787772769	-19.5162911208089	-9.28186951862689	-15.3019152442941	-11.3129841134081	-3.59761508811992	-18.5177296602841	-7.648783977042	-6.60428276631778	-8.57789255118154	-16.9538455011684	-7.35883405325297	-5.39579849073254	-10.4968996357978	-10.4740761807149	-2.04665994461651	-15.7563757207811	-12.6273155310883	-15.1304102459346	-8.37507831580318	-8.01205095640688	-19.7670405993461	-19.3495019882577	-16.4548671671327	-20.0892659189938	-4.21241383404429	-18.5322726912994	-9.21742655801191	-4.7896539889798	-2.43665554741169	-4.46746133629335	-6.64617813191885	-11.9127177499505	-7.33720128424994	-4.92413999300197	-5.11406052814768
CON6	-17.4128615311535	-9.99951141699235	-16.6291853539424	-19.7880887796643	-14.1850073753402	-16.5076138078588	-18.5288662954672	-2.89075485268428	-17.9948054523375	-19.5162911208089	-7.40205017448123	-13.8937501799952	-19.2806008539787	-9.93400872970389	-13.7639611416741	-19.0199302233038	-15.2771748561248	-1.58774057278888	-3.93467336418952	-3.28584718149574	-12.2203603535973	-5.64023963448673	-11.8952270902496	-3.79546850125255	-14.1030805379896	-11.7491962628111	-20.9817848455406	-18.1333640673438	-16.7276995624899	-19.7670405993461	-19.3495019882577	-21.080823327472	-4.6646264498109	-19.7789491804654	-18.5322726912994	-19.4367688721221	-15.141321611671	-5.45409643126306	-18.7814129646665	-2.80530447509543	-18.0902204457704	-18.5873445228141	-16.7226314518733	-4.07636729745855
CON7	-17.4128615311535	-13.3027451271663	-16.6291853539424	-19.7880887796643	-16.3036139588943	-5.66803568689364	-18.5288662954672	-0.302225955166276	-17.9948054523375	-19.5162911208089	-19.0112369755833	-20.0122438726395	-19.2806008539787	-8.93400872970389	-18.5177296602841	-19.0199302233038	-10.6663081998214	-8.31628487331576	-16.9538455011684	-10.6337811841368	-10.2316218374155	-20.7398060205922	-16.6636799993748	-4.78351008171974	-3.12033320812096	-14.0624721589094	-20.9817848455406	-18.1333640673438	-16.7276995624899	-19.7670405993461	-19.3495019882577	-21.080823327472	-20.0892659189938	-19.7789491804654	-15.1394945791332	-19.4367688721221	-15.141321611671	-12.9771736419884	-17.7814129646665	-6.61790680301603	-12.3047007348711	-18.5873445228141	-16.7226314518733	-13.9637210384556
CON8	-7.4404214806073	-15.1495608936988	-3.75576628849896	-19.7880887796643	-17.6910610931036	-2.69528044721395	-5.26506358965718	-6.49422165674011	-17.9948054523375	-19.5162911208089	-9.68859163032131	-20.0122438726395	-7.99265118019863	-5.17802576761574	-18.5177296602841	-9.08189391809185	-6.9062054031484	-4.86164883528241	-9.6680869431491	-6.29789427237553	-2.96982505712022	-9.20563681810486	-16.6636799993748	-1.66319767356565	-10.5674216718451	-15.0713357263933	-20.9817848455406	-6.85958259791669	-10.4567894624178	-19.7670405993461	-19.3495019882577	-21.080823327472	-14.5801952480286	-9.52538451272484	-18.5322726912994	-19.4367688721221	-5.69468575033332	-3.20645746743631	-11.5363196174596	-8.69258328873031	-15.0124420373397	-11.18570713454	-4.31969636480514	-19.3773728075047
CON9	-17.4128615311535	-10.3414953074591	-16.6291853539424	-13.7539406229702	-13.2741603589411	-9.8786429889566	-18.5288662954672	-0.570137077648523	-17.9948054523375	-19.5162911208089	-9.60810210818242	-13.6746127135024	-19.2806008539787	-8.12766120641962	-14.2767776014252	-19.0199302233038	-12.116783032957	-11.0558488258101	-16.9538455011684	-11.0863072539134	-10.6688978221276	-20.7398060205922	-16.6636799993748	-7.5751339111194	-1.69437209750154	-18.9515403105271	-14.3871041706007	-18.1333640673438	-16.7276995624899	-19.7670405993461	-9.9280231489827	-10.0324141589627	-13.3428035354503	-19.7789491804654	-18.5322726912994	-19.4367688721221	-15.141321611671	-12.7404126801278	-18.7814129646665	-10.5684456987594	-18.0902204457704	-18.5873445228141	-15.3168617491847	-10.9611024915738
CON10	-9.01652966989247	-13.506871106168	-11.2132435487194	-19.7880887796643	-15.9363523422102	-2.48755877998435	-8.27624051190434	-4.62999432457404	-17.9948054523375	-19.5162911208089	-11.3391588276148	-20.0122438726395	-19.2806008539787	-5.67184074817467	-18.5177296602841	-13.3248364224477	-7.66005504865889	-11.1880971700397	-16.9538455011684	-5.44882027179982	-4.92824899089069	-10.0726838732511	-16.6636799993748	-1.04006285271727	-19.3730588849944	-7.28235928520332	-11.8478389310675	-8.88999698236754	-14.7229207884454	-19.7670405993461	-17.4903829833794	-21.080823327472	-10.9716761869468	-10.100409501069	-18.5322726912994	-15.5540662738377	-6.29770348430185	-2.59423078998207	-18.7814129646665	-6.26722045687927	-14.1684548884921	-18.5873445228141	-7.49129263931057	-19.3773728075047
