feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Arthrodermataceae	Group	MI	1.06187278757845	0.313163960393468	84	76	0.00107429437226303	0.0207552759144369
Sordariaceae	Group	MI	0.90445044122947	0.273165315909043	84	69	0.00138368506096246	0.0207552759144369
Phaffomycetaceae	Group	MI	0.749242242209061	0.260829660206375	84	48	0.00518204022870298	0.0518204022870298
Cryptococcaceae	Group	MI	0.839629985955007	0.304587560244719	84	64	0.00719626637912552	0.0539719978434414
Malasseziaceae	Group	MI	0.756642094516678	0.298379752470912	84	62	0.0131161103974739	0.0786966623848436
Ustilaginaceae	Group	MI	0.477694267441036	0.222337402900799	84	83	0.0346229600645052	0.173114800322526
Cryptomonadaceae	Group	MI	0.284311836782345	0.141643051228046	84	13	0.0480181229950217	0.198968784942649
Saccharomycodaceae	Group	MI	0.638490952618583	0.325293374029624	84	56	0.0530583426513731	0.198968784942649
Pyriculariaceae	Group	MI	0.381353554837708	0.220551410284769	84	83	0.0875559115114527	0.262667734534358
Trichomonascaceae	Group	MI	0.523058514008143	0.296345144819924	84	66	0.0812816732178041	0.262667734534358
Sclerotiniaceae	Group	MI	0.46624942538558	0.30489722439592	84	58	0.130063026883048	0.354717346044676
Pneumocystidaceae	Group	MI	0.493615208647119	0.347707907422556	84	62	0.15950712122226	0.398767803055651
Schizosaccharomycetaceae	Group	MI	0.154068446753219	0.115018727400706	84	84	0.184106320093902	0.424860738678234
Clavicipitaceae	Group	MI	-0.191191689437068	0.167448497785582	84	82	0.256862935443214	0.550420575949744
Marasmiaceae	Group	MI	0.32673531613965	0.335176997181568	84	72	0.332519406946569	0.665038813893138
Glomerellaceae	Group	MI	0.19173301919168	0.207120117494592	84	84	0.357313505434099	0.669962822688935
Dipodascaceae	Group	MI	-0.190906172765664	0.251424521459419	84	81	0.449851503068335	0.749752505113891
Trichocomaceae	Group	MI	0.251806975621231	0.319481285067382	84	70	0.432867309984812	0.749752505113891
Pichiaceae	Group	MI	0.120608099347786	0.17193120414651	84	82	0.48498314592981	0.765762861994436
Chaetomiaceae	Group	MI	-0.0512722337570418	0.215240376453094	84	84	0.812313110791979	0.939848547972726
Cladosporiaceae	Group	MI	-0.027538971798098	0.16674416055759	84	84	0.869226861963625	0.939848547972726
Debaryomycetaceae	Group	MI	0.0436670982850819	0.281699540901762	84	79	0.877191978107878	0.939848547972726
Herpotrichiellaceae	Group	MI	0.122892852891627	0.272369859944104	84	40	0.653037530086377	0.939848547972726
Mycosphaerellaceae	Group	MI	0.0524974996027878	0.196066170064601	84	83	0.789561037904585	0.939848547972726
Nectriaceae	Group	MI	0.102668171107088	0.233604730598318	84	81	0.661458796391499	0.939848547972726
Ophiocordycipitaceae	Group	MI	-0.0377598840349198	0.207320314389656	84	81	0.855927808455468	0.939848547972726
Ophiostomataceae	Group	MI	-0.035145936248883	0.189083048827349	84	84	0.853001309339748	0.939848547972726
Saccharomycetaceae	Group	MI	-0.0381041341072156	0.123537504746339	84	84	0.758528372009404	0.939848547972726
Aspergillaceae	Group	MI	0.0187300424882586	0.195085351831674	84	84	0.923747300169862	0.945897975504302
Ceratobasidiaceae	Group	MI	0.0146471867950179	0.215187675802527	84	25	0.945897975504302	0.945897975504302
