feature	Arthrodermataceae	Aspergillaceae	Ceratobasidiaceae	Chaetomiaceae	Cladosporiaceae	Clavicipitaceae	Cryptococcaceae	Cryptomonadaceae	Debaryomycetaceae	Dipodascaceae	Glomerellaceae	Herpotrichiellaceae	Malasseziaceae	Marasmiaceae	Mycosphaerellaceae	Nectriaceae	Ophiocordycipitaceae	Ophiostomataceae	Phaffomycetaceae	Pichiaceae	Pneumocystidaceae	Pyriculariaceae	Saccharomycetaceae	Saccharomycodaceae	Schizosaccharomycetaceae	Sclerotiniaceae	Sordariaceae	Trichocomaceae	Trichomonascaceae	Ustilaginaceae
CON1	351	1539	57	4440	1989	1290	204	0	735	843	1572	324	207	387	543	1560	624	3222	138	849	219	1416	7866	90	20700	84	213	336	105	696
CON2	267	6897	114	12072	7872	3129	0	0	1035	588	13638	0	192	0	7026	2529	2604	12705	0	2265	489	5268	9063	363	10992	126	126	147	111	1128
CON3	606	2265	66	4416	2253	1821	114	0	735	1272	2490	0	90	75	879	1593	780	4647	123	1095	192	2496	5862	0	21126	264	111	315	201	1152
CON4	801	3009	0	3861	1209	1404	138	75	1530	426	1839	87	228	366	597	768	390	3270	219	1272	441	2262	10983	102	20619	198	165	510	369	1281
CON5	0	2334	0	4131	2121	1017	714	0	714	300	1548	0	0	264	765	561	672	3258	0	852	312	3288	6231	390	21099	0	0	0	0	1377
CON6	483	2670	0	4989	2229	3342	99	0	801	225	1110	150	186	417	2145	1356	3165	3756	120	1350	234	1551	9546	153	26151	237	138	1758	135	144
CON7	0	5685	0	19638	4614	6213	0	0	0	2253	3030	0	0	0	4593	381	2172	14568	0	666	0	624	13371	0	9033	0	0	0	1026	1125
CON8	498	1401	0	2436	1245	612	249	0	867	576	879	0	192	288	870	204	630	3111	0	540	459	1548	6300	240	22623	183	522	276	237	765
CON9	0	10563	0	30144	11682	10236	657	0	7686	3141	6501	0	969	2178	2346	8607	3081	25461	0	0	0	0	22419	0	29775	0	0	1314	0	2820
CON10	969	1155	108	2994	2967	2649	141	0	819	381	1221	156	0	276	987	768	855	3216	129	1308	189	2322	6309	105	23022	75	468	498	201	1350
CON11	528	3378	0	5508	2181	1869	87	0	1539	1158	4338	0	198	168	1404	1137	861	5664	261	1059	0	2016	5034	60	19377	153	111	195	144	1476
CON12	150	8307	1011	19641	6117	7035	0	0	480	369	5445	0	0	1242	1329	669	1032	11706	0	1527	435	795	25275	201	13164	0	0	0	0	669
CON13	489	2703	141	5268	1191	1494	288	0	564	264	3186	102	435	321	1218	768	1002	2418	150	1332	144	3069	6903	240	21354	81	180	465	372	1155
CON14	711	5931	0	5865	3660	2649	108	0	2199	216	2337	0	309	228	1542	1851	2136	4503	0	1860	249	1572	10476	78	18396	0	117	87	0	1425
CON15	630	1179	0	2745	3519	1359	255	0	1359	591	2109	0	126	243	894	1515	573	4062	231	1362	249	2130	5682	153	26268	81	303	879	183	1695
CON16	606	3765	0	6285	1614	2541	120	0	1698	222	4293	99	135	348	1836	828	621	4476	0	2001	156	3999	8709	234	24483	129	246	273	549	3921
CON17	252	3630	0	5475	1479	1554	375	0	816	507	2316	294	0	291	1287	726	666	4767	0	972	174	2352	10074	156	22923	303	327	141	66	468
CON18	564	2862	0	5253	2619	1935	192	0	903	768	2133	276	486	1044	729	1242	816	4602	204	858	261	3537	7989	324	25794	0	375	324	819	1875
CON19	576	5583	0	11334	2289	2790	0	0	240	243	4344	0	0	0	1956	966	1452	9582	0	3210	0	2688	4056	0	16692	0	0	0	234	1005
