feature	Arthrodermataceae	Aspergillaceae	Ceratobasidiaceae	Chaetomiaceae	Cladosporiaceae	Clavicipitaceae	Cryptococcaceae	Cryptomonadaceae	Debaryomycetaceae	Dipodascaceae	Glomerellaceae	Herpotrichiellaceae	Malasseziaceae	Marasmiaceae	Mycosphaerellaceae	Nectriaceae	Ophiocordycipitaceae	Ophiostomataceae	Phaffomycetaceae	Pichiaceae	Pneumocystidaceae	Pyriculariaceae	Saccharomycetaceae	Saccharomycodaceae	Schizosaccharomycetaceae	Sclerotiniaceae	Sordariaceae	Trichocomaceae	Trichomonascaceae	Ustilaginaceae
CON1	0.00667313066788342	0.0292591113899504	0.00108367079222038	0.0844122511834826	0.037814407118006	0.0245251810870929	0.0038784007300519	0	0.0139736496891576	0.0160269206638909	0.0298864997433411	0.00615981292420008	0.00393543603490561	0.00735755432612787	0.0103233901785205	0.0296583585239263	0.0118633434095705	0.0612559174128786	0.0026236240232704	0.0161409912735984	0.00416357725432042	0.0269206638909485	0.149546569326413	0.00171105914561113	0.393543603490561	0.00159698853590372	0.00404950664461302	0.0063879541436149	0.00199623566987966	0.0132321907260594
CON2	0.00265022928950033	0.0684592936692276	0.00113155857304508	0.119826097314037	0.0781370972544816	0.031058305044369	0	0	0.0102733607289619	0.0058364600083378	0.135370138764814	0	0.0019057828598654	0	0.0697397415281996	0.0251027336072896	0.0258471800369245	0.126109225180156	0	0.0224822821749747	0.0048537907212197	0.052289917217557	0.0899589065570841	0.00360312071943303	0.109106068727294	0.00125067000178667	0.00125067000178667	0.00145911500208445	0.00110178071585969	0.0111964743017092
CON3	0.0106243096828486	0.0397096723294588	0.00115710303476569	0.0774207121443223	0.0394992899595014	0.0319255246410351	0.00199863251459528	0	0.0128859201598906	0.0223005312154841	0.04365434176616	0	0.00157786777468048	0.00131488981223373	0.0154105085993794	0.0279282596118445	0.0136748540472308	0.0814705727660022	0.00215641929206333	0.0191973912586125	0.00336611791931836	0.0437595329511387	0.102771787724189	0	0.370378162309998	0.00462841213906275	0.00194603692210593	0.00552253721138169	0.00352390469678641	0.0201967075159102
CON4	0.0137112925589277	0.051507215118369	0	0.0660915113233708	0.0206953217275202	0.0240332768448621	0.00236224515996508	0.00128382889128537	0.0261901093822215	0.0072921481025009	0.0314794844143173	0.00148924151389103	0.00390283982950752	0.0062650849894726	0.0102192779746315	0.0131464078467622	0.00667591023468392	0.0559749396600421	0.00374878036255328	0.0217737379961999	0.00754891388075797	0.0387202793611667	0.18800390283983	0.0017460072921481	0.352950238792174	0.00338930827299338	0.00282442356082781	0.00873003646074051	0.00631643814512402	0.0219277974631541
CON5	0	0.0449295449295449	0	0.0795218295218295	0.0408292908292908	0.0195772695772696	0.0137445137445137	0	0.0137445137445137	0.00577500577500578	0.0297990297990298	0	0	0.00508200508200508	0.0147262647262647	0.0107992607992608	0.0129360129360129	0.0627165627165627	0	0.0164010164010164	0.00600600600600601	0.0632940632940633	0.11994686994687	0.00750750750750751	0.406156156156156	0	0	0	0	0.0265072765072765
CON6	0.00703671328671329	0.0388986013986014	0	0.0726835664335664	0.0324737762237762	0.0486888111888112	0.00144230769230769	0	0.0116695804195804	0.00327797202797203	0.0161713286713287	0.00218531468531469	0.00270979020979021	0.00607517482517483	0.03125	0.0197552447552448	0.0461101398601399	0.0547202797202797	0.00174825174825175	0.0196678321678322	0.00340909090909091	0.0225961538461538	0.139073426573427	0.00222902097902098	0.380987762237762	0.0034527972027972	0.00201048951048951	0.0256118881118881	0.00196678321678322	0.0020979020979021
CON7	0	0.0638821467098166	0	0.220671521035599	0.0518473570658037	0.0698152642934196	0	0	0	0.025316882416397	0.0340480043149946	0	0	0	0.051611380798274	0.00428128371089536	0.0244066882416397	0.163700107874865	0	0.00748381877022654	0	0.00701186623516721	0.150249460625674	0	0.101503505933118	0	0	0	0.0115291262135922	0.0126415857605178
CON8	0.0104291009612364	0.029339699692153	0	0.0510146384368914	0.026072752403091	0.0128164855186279	0.00521455048061821	0	0.0181566878180562	0.0120625746057674	0.0184079914556763	0	0.00402085820192247	0.00603128730288371	0.0182195137274612	0.00427216183954263	0.0131934409750581	0.0651504680530251	0	0.011308663692907	0.00961236413897091	0.0324181692529999	0.131934409750581	0.00502607275240309	0.473770182823396	0.00383238047370736	0.0109317082364767	0.00577998366526356	0.00496324684299805	0.0160206068982849
CON9	0	0.0588205813564985	0	0.167858336117608	0.0650517875041764	0.0569996658870698	0.00365853658536585	0	0.0427998663548279	0.0174908118944203	0.0362011359839626	0	0.00539592382225192	0.0121282993651854	0.0130638155696625	0.0479284998329435	0.0171566989642499	0.141780821917808	0	0	0	0	0.124841296358169	0	0.16580354159706	0	0	0.00731707317073171	0	0.0157033077180087
CON10	0.0174161544268306	0.0207591933570581	0.0019411193788418	0.0538121427801143	0.0533268629354039	0.0476113447643697	0.00253423918904346	0	0.0147201552895503	0.0068478378086919	0.0219454329774614	0.00280383910277149	0	0.00496063841259571	0.0177396743233042	0.013803515582875	0.0153671950824976	0.0578022215032891	0.00231855925806104	0.023509112477084	0.00339695891297315	0.0417340666450987	0.113393723714008	0.00188719939609619	0.413781947589777	0.00134799956864014	0.00841151730831446	0.00895071713577052	0.00361263884395557	0.0242639922355225
