feature	Arthrodermataceae	Aspergillaceae	Ceratobasidiaceae	Chaetomiaceae	Cladosporiaceae	Clavicipitaceae	Cryptococcaceae	Cryptomonadaceae	Debaryomycetaceae	Dipodascaceae	Glomerellaceae	Herpotrichiellaceae	Malasseziaceae	Marasmiaceae	Mycosphaerellaceae	Nectriaceae	Ophiocordycipitaceae	Ophiostomataceae	Phaffomycetaceae	Pichiaceae	Pneumocystidaceae	Pyriculariaceae	Saccharomycetaceae	Saccharomycodaceae	Schizosaccharomycetaceae	Sclerotiniaceae	Sordariaceae	Trichocomaceae	Trichomonascaceae	Ustilaginaceae
CON1	-7.22742053083937	-5.09497023481572	-9.84985773697919	-3.56640378990646	-4.72492019031019	-5.34959240083331	-8.01032240917243	-10.8283006600169	-6.1611473114202	-5.96335893020185	-5.06436224888532	-7.34289774825931	-7.9892607936446	-7.08655799499952	-6.59793936333957	-5.07541743739432	-6.39734553228168	-4.02900697243736	-8.57422329436576	-5.95312700759089	-7.90796069154276	-5.21514220106093	-2.74133328020102	-9.19089465481426	-1.34540460386988	-9.29043032836517	-7.94803813091809	-7.29043032836517	-8.96850223347781	-6.2398042552952
CON2	-8.55966710215041	-3.86860978239863	-9.78747301967322	-3.06098594331128	-3.67784852849873	-5.00887709059704	-10.7094815231086	-10.8283006600169	-6.60494798145128	-7.4206906890016	-2.88501856429896	-10.9508989160501	-9.03540053311681	-10.9495565482069	-3.84187517261559	-5.31601171217473	-5.27384930067233	-2.98725427889725	-10.8653896083821	-5.47506769890437	-7.68667237888573	-4.25732340358145	-3.47459006438887	-8.11653729584221	-3.19619674501986	-9.64308311033805	-9.64308311033805	-9.4206906890016	-9.82594716748786	-6.48081168143917
CON3	-6.55648708494653	-4.65436573348588	-9.75526694906103	-3.69113661164131	-4.66202947018405	-4.96914586144264	-8.96677105425474	-10.8283006600169	-6.27806062869575	-5.48677811313512	-4.51773104146404	-10.9508989160501	-9.3078079720898	-9.5708423779236	-6.01994171327608	-5.16213051689417	-6.19233075466987	-3.61757713890876	-8.85714656308024	-5.70294591393094	-8.21469856769832	-4.51425884955723	-3.28248381572994	-10.9634741239749	-1.43292905583519	-7.75526694906103	-9.00524520206937	-7.5004530500322	-8.14860937724055	-5.62973606697717
CON4	-6.18849160987153	-4.2790816509469	-10.8498577369792	-3.91939120333838	-5.59455151303112	-5.37882282197568	-8.72562558550207	-9.60533135178436	-5.25483410470023	-7.0994404220544	-4.9894442778683	-9.39120654643151	-8.0012600281155	-7.3184502039962	-6.61256292101544	-6.24918754155908	-7.22681972853063	-4.1590751218948	-8.05936298267907	-5.52126708699589	-7.04951519672272	-4.69076682829042	-2.41116548325454	-9.16172470030875	-1.50246329753325	-8.20479342220063	-8.46782782803442	-6.83979660542138	-7.30667303621984	-5.51109528193859
CON5	-10.977524482626	-4.47619174022616	-10.8498577369792	-3.65250524107739	-4.61425168040296	-5.67467662207601	-6.18500032190441	-10.8283006600169	-6.18500032190441	-7.43596189543763	-5.0685908297891	-10.9508989160501	-10.8852444366011	-7.62038646657506	-6.0854646483535	-6.53292362532472	-6.27246316315475	-3.99500969740799	-10.8653896083821	-5.93007096570767	-7.37937836707126	-3.98178600225183	-3.05953258436771	-7.0574502721839	-1.29989358324445	-10.9590526097676	-10.8863592851927	-10.733015321686	-10.8846561932557	-5.23746774179855
CON6	-7.15088255355113	-4.68413790581199	-10.8498577369792	-3.78222697837848	-4.94458103112716	-4.36026591432572	-9.4374053123073	-10.8283006600169	-6.4211034999782	-8.25298074116987	-5.95041797114944	-8.83794324189103	-8.52760312127888	-7.36285835894224	-5	-5.66162046925056	-4.4387721480712	-4.19178058473313	-9.15987133677839	-5.66801824044871	-8.1963972128035	-5.46777896135082	-2.8460813113347	-8.80937408969426	-1.39218343743765	-8.17801868348865	-8.95823747560874	-5.2870425772435	-8.98994633533608	-8.89683693094459
CON7	-10.977524482626	-3.96844339556708	-10.8498577369792	-2.18002764158077	-4.2695857406637	-3.84031369040502	-10.7094815231086	-10.8283006600169	-9.17242750864548	-5.30375643111126	-4.87628595098637	-10.9508989160501	-10.8852444366011	-10.9495565482069	-4.27616696112574	-7.86774084185337	-5.35657964154233	-2.61087282236985	-10.8653896083821	-7.06200966227542	-10.993967637942	-7.15598581048444	-2.73456828301288	-10.9634741239749	-3.30039853590085	-10.9590526097676	-10.8863592851927	-10.733015321686	-6.43857301373963	-6.30567874324229
CON8	-6.5832413938221	-5.09100208545936	-10.8498577369792	-4.29294490798385	-5.26131329893474	-6.28585548319753	-7.5832413938221	-10.8283006600169	-5.78335514266834	-6.37331832444787	-5.76352397074677	-10.9508989160501	-7.95828082516902	-7.37331832444787	-5.77837173515409	-7.87081798391868	-6.2440353075029	-3.9400806463558	-10.8653896083821	-6.46642772883935	-6.70089298247637	-4.94705356974577	-2.92210721261554	-7.63635273028166	-1.07774069083529	-8.02754348760613	-6.51533732932029	-7.43471886911201	-7.65450007699192	-5.96392738831016
CON9	-10.977524482626	-4.08753514652233	-10.8498577369792	-2.57468390949384	-3.94226748966517	-4.13290272706717	-8.09451759878429	-10.8283006600169	-4.54624989804382	-5.83725893145466	-4.78782122029179	-10.9508989160501	-7.53391430369154	-6.36547892038971	-6.25827986107811	-4.3829724056168	-5.86508419206727	-2.81826569626805	-10.8653896083821	-8.6145126693297	-10.993967637942	-9.23618110287857	-3.00183285142347	-10.9634741239749	-2.59245327146778	-10.9590526097676	-10.8863592851927	-7.09451759878429	-10.8846561932557	-5.99278771182046
CON10	-5.84343008488545	-5.59010580399712	-9.00889543813707	-4.21592443424212	-4.22899372882027	-4.39255081193091	-8.62423158790174	-10.8283006600169	-6.08606329865953	-7.19013575280721	-5.50993545531313	-8.47838072143829	-10.8852444366011	-7.65525848352237	-5.81687666584414	-6.17882043957938	-6.02400233052728	-4.11273124912161	-8.75255568487728	-5.41063611480245	-8.20154051607946	-4.58263068343497	-3.1405873048476	-9.04953742263441	-1.27305738997659	-9.53496424980466	-6.89341822071713	-6.80378100823245	-8.11273124912161	-5.36503924836234
