Feature	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	MI14	MI15	MI16	MI17	MI18	MI19	MI20	MI21	MI22	MI23	MI24	MI25	MI26	MI27	MI28	MI29	MI31	MI32	MI33	MI34	MI35	MI36	MI37	MI38
Arthrodermataceae	351	267	606	801	0	483	0	498	0	969	528	150	489	711	630	606	252	564	576	0	0	0	732	429	75	2841	837	774	774	2259	1029	2739	441	390	699	936	0	552	0	300	606	561	357	810	474	510	630	552	1050	615	381	711	780	693	1338	816	981	897	1476	531	1905	732	777	996	693	1410	699	567	903	1104	1005	597	639	957	453	291	1476	801	849	549	1437	489	855	456
Aspergillaceae	1539	6897	2265	3009	2334	2670	5685	1401	10563	1155	3378	8307	2703	5931	1179	3765	3630	2862	5583	1407	2604	1587	1737	3993	474	1215	1770	8832	2388	4344	1290	1326	1518	2016	5124	2085	2127	3054	1665	5529	909	3093	3885	3249	669	3204	2394	1440	4548	2103	1326	2613	4215	2997	3222	2559	2007	1593	3747	2157	1842	285	4509	1173	2715	2178	1092	5802	6246	11226	7953	4626	6201	6933	1365	3648	2457	1614	4314	2226	1974	1254	3243	4725
Ceratobasidiaceae	57	114	66	0	0	0	0	0	0	108	0	1011	141	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	135	279	108	282	81	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	138	126	0	0	0	108	105	609	0	0	72	0	81	0	189	0	0	0	261	0	0	0	0	0	0	0	0	0	90	117	0	105	0
Chaetomiaceae	4440	12072	4416	3861	4131	4989	19638	2436	30144	2994	5508	19641	5268	5865	2745	6285	5475	5253	11334	1845	11793	3273	1386	2787	399	2421	2943	16476	7614	4569	1587	2871	2583	3648	5604	2076	4671	4863	5568	7707	3873	5010	3558	3249	2964	4278	1695	7134	6159	3045	1821	4272	10584	2685	4929	4710	5595	3258	6441	3819	3654	159	7824	3354	5400	4083	2790	5673	10899	20193	12540	6909	15348	11163	3681	2025	1512	2625	7062	2136	5556	2322	5808	5826
Cladosporiaceae	1989	7872	2253	1209	2121	2229	4614	1245	11682	2967	2181	6117	1191	3660	3519	1614	1479	2619	2289	552	3255	1818	747	1956	576	1842	1677	6441	4128	3732	1347	2028	1539	1557	4029	939	2205	2526	3819	1371	993	3474	1668	3210	2070	2061	1785	3309	3234	2871	1470	3417	4407	3690	1908	1599	5013	2244	1743	1572	3675	348	2220	1485	2250	1671	1350	6243	3504	2676	5739	2751	3423	1854	2070	1257	708	1749	5097	543	2679	1542	4497	2571
Clavicipitaceae	1290	3129	1821	1404	1017	3342	6213	612	10236	2649	1869	7035	1494	2649	1359	2541	1554	1935	2790	924	3147	1173	534	1197	696	792	837	5115	2292	2052	1026	1284	786	1293	2319	561	1923	1980	1647	2529	1998	1020	1377	1173	0	1161	750	1755	1500	1677	1113	1368	3375	1032	2010	1095	1566	1137	2586	1485	1599	0	2058	819	1116	1722	621	2187	2910	5331	4632	1683	4587	3207	777	858	843	726	2592	2193	1677	702	1398	1839
Cryptococcaceae	204	0	114	138	714	99	0	249	657	141	87	0	288	108	255	120	375	192	0	0	0	0	201	1776	0	186	333	0	243	447	537	213	225	0	99	0	0	0	0	303	0	0	366	267	0	84	135	288	141	252	129	378	0	84	477	90	171	297	261	543	342	300	168	99	1449	0	420	1989	615	285	639	186	201	489	93	1530	180	240	768	78	201	0	222	90
Cryptomonadaceae	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	93	0	0	75	87	0	135	66	0	0	0	0	0	90	0	108	0	0	0	0	0	0	0	0	0	0	0	225	0	273	0	0	0	0
Debaryomycetaceae	735	1035	735	1530	714	801	0	867	7686	819	1539	480	564	2199	1359	1698	816	903	240	3339	387	3237	0	2349	2001	34752	3489	1650	954	3021	5991	3846	4308	0	1326	0	894	816	1074	954	882	1386	1473	1227	4911	981	2217	738	1104	891	1695	1494	2283	1086	1956	795	1566	1323	3726	861	1962	1461	1059	1146	939	2937	480	1398	1194	4884	0	984	1059	969	819	1536	1254	1521	861	2022	2061	3051	822	1029
Dipodascaceae	843	588	1272	426	300	225	2253	576	3141	381	1158	369	264	216	591	222	507	768	243	411	828	0	486	327	63	519	408	2313	1164	615	249	303	372	429	513	525	492	573	615	348	411	423	204	642	471	198	189	945	1350	765	147	516	1254	336	591	402	396	354	441	429	807	0	1503	450	501	144	87	1476	354	0	1068	363	969	324	753	249	231	300	786	246	426	573	159	531
