feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Rountreeviridae	Group	MI	-2.37983472572502	0.455459978150758	84	80	1.29775268541795e-06	1.55730322250154e-05
Siphoviridae	Group	MI	-0.881283309617717	0.309468605238505	84	84	0.00556339653400245	0.0333803792040147
Podoviridae	Group	MI	1.25093102590223	0.532317913707268	84	83	0.0211785161696604	0.0847140646786416
Phycodnaviridae	Group	MI	0.188209558343569	0.134212653207792	84	9	0.164593160525397	0.493779481576191
Mimiviridae	Group	MI	-0.235636127677331	0.202955655341578	84	18	0.249001396229875	0.5976033509517
Herelleviridae	Group	MI	-0.30589454085014	0.369907325105951	84	74	0.410665839240551	0.615998758860826
Inoviridae	Group	MI	0.137688729474768	0.161688747717268	84	14	0.396934813469304	0.615998758860826
Schitoviridae	Group	MI	0.345240565734086	0.375611874312785	84	32	0.360717306386678	0.615998758860826
Demerecviridae	Group	MI	-0.188444129848237	0.397744339520338	84	34	0.636914376164532	0.849219168219375
Ascoviridae	Group	MI	-0.0198941624580825	0.103949815252535	84	9	0.848699121961774	0.958358064424035
Autographiviridae	Group	MI	-0.033745380361621	0.436236582613837	84	33	0.938529032849508	0.958358064424035
Myoviridae	Group	MI	0.0185841504080465	0.354835366737764	84	84	0.958358064424035	0.958358064424035
