feature	Ascoviridae	Autographiviridae	Demerecviridae	Herelleviridae	Inoviridae	Mimiviridae	Myoviridae	Phycodnaviridae	Podoviridae	Rountreeviridae	Schitoviridae	Siphoviridae
CON1	0	0	1431	1035	408	0	193233	0	46497	4686	0	60288
CON2	0	0	141	750	0	168	42585	0	33624	6933	0	53868
CON3	0	0	1032	1677	0	0	38763	0	37269	134022	0	41346
CON4	0	846	1137	1596	0	0	71013	0	80376	4758	567	66057
CON5	0	0	0	963	0	0	8895	0	416664	5664	0	223596
CON6	0	906	0	4953	459	0	284967	0	12645	4824	951	127830
CON7	0	195	0	639	0	258	18384	0	0	2556	327	142362
CON8	0	0	267	1830	0	0	56751	0	23370	4626	0	134925
CON9	0	0	0	5034	0	0	35976	0	609	4242	0	433149
CON10	0	189	0	1314	0	0	53541	0	81699	4554	252	21117
CON11	0	0	2019	0	0	0	12792	0	1163100	3828	0	26031
CON12	306	273	411	1242	0	0	18708	0	8454	3819	315	38619
CON13	0	0	1419	2256	0	354	54315	0	52353	88332	0	30138
CON14	0	426	0	1152	0	0	15207	0	4320	272298	609	60552
CON15	0	0	0	1320	0	315	144927	0	2478	8433	0	35028
CON16	0	0	0	2565	0	0	85008	0	188484	149001	0	94473
CON17	0	0	0	2586	612	0	283866	0	16377	186480	0	125028
CON18	0	33408	1389	2004	0	0	33561	0	24336	3000	0	137946
CON19	222	0	0	1701	0	243	33171	360	438	3780	0	168180
CON20	0	0	0	5052	1269	0	173571	0	423486	6252	0	283956
CON21	0	0	0	1494	0	0	76236	0	21681	7134	0	297405
CON22	0	0	567	2268	0	0	128880	0	7341	7575	0	383028
CON23	330	0	0	3156	0	0	80142	0	19209	4959	0	171348
CON24	0	210	120	3840	0	558	20814	0	5781	8979	297	33324
CON25	0	885	0	2124	765	0	201213	0	26199	7125	0	98376
CON26	0	651	0	4806	651	783	208902	0	26580	11556	0	232008
CON27	0	0	141	1194	465	0	51150	0	43392	5286	0	38679
CON28	0	0	1179	2625	0	0	44556	0	4644	891867	0	128778
CON29	0	0	2214	2076	0	0	193053	0	193356	5847	0	63528
CON30	0	37434	1650	3972	0	1665	68175	0	35184	6993	2916	263946
CON31	0	37290	804	2343	0	0	110154	0	5637	5997	0	58722
CON32	453	3135	669	2391	0	1227	114285	0	4503	149154	4191	87657
CON33	0	0	834	2265	0	309	80361	0	6174	6591	0	59751
CON34	0	3678	384	2571	0	0	59193	0	4221	5673	0	265794
CON35	0	0	2265	2061	0	0	43581	201	36597	8712	0	44583
