feature	Ascoviridae	Autographiviridae	Demerecviridae	Herelleviridae	Inoviridae	Mimiviridae	Myoviridae	Phycodnaviridae	Podoviridae	Rountreeviridae	Schitoviridae	Siphoviridae
CON1	0	0	0.00465247839572401	0.00336500009753623	0.00132649279207225	0	0.62824064139828	0	0.151171410178881	0.0152351598618887	0	0.196008817275618
CON2	0	0	0.00102122851617669	0.00543206657540795	0	0.00121678291289138	0.308432740151663	0	0.243530408708689	0.0502140234230711	0	0.3901527497121
CON3	0	0	0.00406124930640001	0.00659953012290001	0	0	0.152544774093007	0	0.146665407364556	0.527419335796843	0	0.162709703316293
CON4	0	0.0037375745526839	0.00502319416832339	0.00705102717031146	0	0	0.313730947647449	0	0.355096090125911	0.0210205434062293	0.00250497017892644	0.291835652750166
CON5	0	0	0	0.00146847580445941	0	0	0.0135639587545861	0	0.635369680778063	0.00863701656953073	0	0.34096086809336
CON6	0	0.00207069148753814	0	0.0113202372381638	0.00104905893242826	0	0.651301038774041	0	0.0289005450992492	0.0110254036819912	0.00217354040248209	0.292159484384106
CON7	0	0.00118381991367221	0	0.00387928679403355	0	0.00156628480885862	0.111606898938205	0	0	0.0155171471761342	0.00198517493215801	0.864261387436939
CON8	0	0	0.0012039554671753	0.00825182960648242	0	0	0.255901410927587	0	0.105379922351636	0.0208595430380261	0	0.608403338609093
CON9	0	0	0	0.010509175173796	0	0	0.07510490386422	0	0.00127137220517317	0.00885576501534415	0	0.904258783741467
CON10	0	0.00116189000774593	0	0.00807790195861458	0	0	0.329146840765741	0	0.502250009221349	0.0279960163771163	0.00154918667699458	0.129818154992438
CON11	0	0	0.00167167589855684	0	0	0	0.0105914205519263	0	0.96301448123401	0.00316947763233066	0	0.0215529446831764
CON12	0.00424134059628259	0.0037839411202129	0.00569670256559524	0.0172148530084411	0	0	0.259303921160963	0	0.117177429414944	0.0529335939124288	0.00436608590793796	0.535282132313194
CON13	0	0	0.00619199099346765	0.00984434931731008	0	0.00154472502585451	0.23701056434827	0	0.228449122255822	0.385448166620849	0	0.131511081438427
CON14	0	0.00120147561512167	0	0.00324906081835719	0	0	0.0428892950214912	0	0.0121839780688395	0.767979828747419	0.00171760246387112	0.1707787592649
