feature	Ascoviridae	Autographiviridae	Demerecviridae	Herelleviridae	Inoviridae	Mimiviridae	Myoviridae	Phycodnaviridae	Podoviridae	Rountreeviridae	Schitoviridae	Siphoviridae
CON1	-10.8724669092394	-10.9589210327573	-7.74778483366927	-8.21517773800925	-9.55816744842444	-10.7420702719837	-0.670610819762498	-10.5601666633944	-2.72574277472784	-6.0364515515328	-10.8833375542811	-2.35100954078315
CON2	-10.8724669092394	-10.9589210327573	-9.93547855628512	-7.52428312330067	-10.9727193991098	-9.68271248590515	-1.696972179351	-10.5601666633944	-2.03782616753194	-4.31576586349512	-10.8833375542811	-1.35788902704721
CON3	-10.8724669092394	-10.9589210327573	-7.94386069249781	-7.24342097435672	-10.9727193991098	-10.7420702719837	-2.7126953382369	-10.5601666633944	-2.76939945910888	-0.922977631862994	-10.8833375542811	-2.61962780510083
CON4	-10.8724669092394	-8.06368192790261	-7.63717924213032	-7.14795084480022	-10.9727193991098	-10.7420702719837	-1.67240024560607	-10.5601666633944	-1.49371861959469	-5.57205622459743	-8.64099085608034	-1.77677195082337
CON5	-10.8724669092394	-10.9589210327573	-10.9586761097083	-9.41146478956384	-10.9727193991098	-10.7420702719837	-6.20407788725278	-10.5601666633944	-0.654331847194728	-6.8552512273243	-10.8833375542811	-1.55232192351828
CON6	-10.8724669092394	-8.91567166232244	-10.9586761097083	-6.46495199673426	-9.89668855895486	-10.7420702719837	-0.61860356722595	-10.5601666633944	-5.11275948581807	-6.50302471046859	-8.84573737150811	-1.77517197058193
CON7	-10.8724669092394	-9.72233465421258	-10.9586761097083	-8.0099928470152	-10.9727193991098	-9.31843771253894	-3.16350188531608	-10.5601666633944	-10.6193978310719	-6.0099928470152	-8.97651814246411	-0.210460387443288
CON8	-10.8724669092394	-10.9589210327573	-9.69800225508403	-6.92107025360018	-10.9727193991098	-10.7420702719837	-1.96633999310351	-10.5601666633944	-3.24632807310139	-5.58314863613539	-10.8833375542811	-0.716900025024218
CON9	-10.8724669092394	-10.9589210327573	-10.9586761097083	-6.57220674781728	-10.9727193991098	-10.7420702719837	-3.73494908030924	-10.5601666633944	-9.61939783107193	-6.81916734344771	-10.8833375542811	-0.145192387962955
CON10	-10.8724669092394	-9.74931078458603	-10.9586761097083	-6.95180364848478	-10.9727193991098	-10.7420702719837	-1.60319674441479	-10.5601666633944	-0.993522409440802	-5.15863463267049	-9.33427328530719	-2.94543593739009
CON11	-10.8724669092394	-10.9589210327573	-9.22448911718862	-10.6871943099168	-10.9727193991098	-10.7420702719837	-6.56096008903976	-10.5601666633944	-0.0543706022730303	-8.30153919803407	-10.8833375542811	-5.53597119797355
CON12	-7.88126394300631	-8.04589464477911	-7.45565720201728	-5.86020232747848	-10.9727193991098	-10.7420702719837	-1.94728407228002	-10.5601666633944	-3.09323338866817	-4.23967258107645	-7.83944376731168	-0.901628598508265
CON13	-10.8724669092394	-10.9589210327573	-7.33538091164375	-6.66648843330551	-10.9727193991098	-9.33843423562131	-2.07697672861961	-10.5601666633944	-2.13005519543404	-1.37539122900608	-10.8833375542811	-2.92674372531132
CON14	-10.8724669092394	-9.70097691651061	-10.9586761097083	-8.26576153529414	-10.9727193991098	-10.7420702719837	-4.54323858742582	-10.5601666633944	-6.35887093968562	-0.380859676321447	-9.18538811883012	-2.54979954503899
CON15	-10.8724669092394	-10.9589210327573	-10.9586761097083	-7.18818420049876	-10.9727193991098	-9.2552983963573	-0.409539545292737	-10.5601666633944	-6.27954594260398	-4.51267617564308	-10.8833375542811	-2.45828541852115
CON16	-10.8724669092394	-10.9589210327573	-10.9586761097083	-7.66210720010159	-10.9727193991098	-10.7420702719837	-2.61153931312293	-10.5601666633944	-1.46276777473615	-1.80188782298719	-10.8833375542811	-2.45923585919269
CON17	-10.8724669092394	-10.9589210327573	-10.9586761097083	-7.89360068199221	-9.97271939910982	-10.7420702719837	-1.11525670649936	-10.5601666633944	-5.23072375933489	-1.72144585778624	-10.8833375542811	-2.29821554497806
CON18	-10.8724669092394	-2.81834342558791	-7.40641853817641	-6.87758262896259	-10.9727193991098	-10.7420702719837	-2.81175133894184	-10.5601666633944	-3.2754449844333	-6.29550263677455	-10.8833375542811	-0.772505324040528
CON19	-9.87246690923941	-10.9589210327573	-10.9586761097083	-6.93471534992613	-10.9727193991098	-9.74207027198374	-2.64924789059805	-9.17502967925984	-8.89209571598835	-5.78271225648108	-10.8833375542811	-0.307236150948506
CON20	-10.8724669092394	-10.9589210327573	-10.9586761097083	-7.46660813364059	-9.45977070358704	-10.7420702719837	-2.3640806585449	-10.5601666633944	-1.07729230662023	-7.15914499442848	-10.8833375542811	-1.65393918671089
CON21	-10.8724669092394	-10.9589210327573	-10.9586761097083	-8.07885277220832	-10.9727193991098	-10.7420702719837	-2.40563240047561	-10.5601666633944	-4.21967352531677	-5.82332170453074	-10.8833375542811	-0.441747828245839
CON22	-10.8724669092394	-10.9589210327573	-9.86749938588902	-7.86749938588902	-10.9727193991098	-10.7420702719837	-2.03903543723731	-10.5601666633944	-6.1729434240307	-6.12767413758357	-10.8833375542811	-0.467613976921431
CON23	-9.72432780694768	-10.9589210327573	-10.9586761097083	-6.46676853118003	-10.9727193991098	-10.7420702719837	-1.80037912795622	-10.5601666633944	-3.86115522584689	-5.81481651118002	-10.8833375542811	-0.70408019415796
CON24	-10.8724669092394	-8.4594901683843	-9.26684509044191	-4.26684509044191	-10.9727193991098	-7.04961437422124	-1.82846906004289	-10.5601666633944	-3.67663232903355	-3.04139662183117	-7.95941656524966	-1.14946172351042
CON25	-10.8724669092394	-8.57151484704541	-10.9586761097083	-7.30848044121162	-8.78173255443576	-10.7420702719837	-0.742684499564476	-10.5601666633944	-3.6838243664507	-5.56237419318894	-10.8833375542811	-1.77502971665984
CON26	-10.8724669092394	-9.54389602695596	-10.9586761097083	-6.65978882699173	-9.54389602695596	-9.27754126283055	-1.21794298104295	-10.5601666633944	-4.19235627595806	-5.39405527155698	-10.8833375542811	-1.06659473308478
CON27	-10.8724669092394	-10.9589210327573	-9.95867610970832	-6.87664034084231	-8.23714055611172	-10.7420702719837	-1.45578084258706	-10.5601666633944	-1.69308599897077	-4.73026675246555	-10.8833375542811	-1.85896458644225
CON28	-10.8724669092394	-10.9589210327573	-9.83074298729827	-8.67598928283718	-10.9727193991098	-10.7420702719837	-4.59075888970213	-10.5601666633944	-7.85293873341246	-0.267621932093282	-10.8833375542811	-3.05956436650252
CON29	-10.8724669092394	-10.9589210327573	-7.69906689588312	-7.79191567430679	-10.9727193991098	-10.7420702719837	-1.25286895461893	-10.5601666633944	-1.25060639506682	-6.29802552668562	-10.8833375542811	-2.85640142244811
CON30	-10.8724669092394	-3.49459964537821	-7.99841093105974	-6.73101133266454	-10.9727193991098	-7.98535477823429	-2.62970606550293	-10.5601666633944	-3.58402935133795	-5.9149654503429	-7.17688623586598	-0.676777963069748
CON31	-10.8724669092394	-2.56683964021037	-8.10228912569245	-6.55919957800824	-10.9727193991098	-10.7420702719837	-1.00417845815032	-10.5601666633944	-5.29262896473016	-5.20331555940559	-10.8833375542811	-1.91172733186313
CON32	-9.66466507960253	-6.87378259195936	-9.1021699190073	-7.26463390493714	-10.9727193991098	-8.22711278598586	-1.68575578414174	-10.5601666633944	-6.35136155730692	-1.30158917694022	-6.45495351351815	-2.06845063562854
CON33	-10.8724669092394	-10.9589210327573	-7.5499162182671	-6.10852445677817	-10.9727193991098	-8.98235676380739	-0.959611895302853	-10.5601666633944	-4.66183002409664	-4.56753813656733	-10.8833375542811	-1.38714455374729
CON34	-10.8724669092394	-6.53687943148775	-9.79662269517853	-7.05347130106603	-10.9727193991098	-10.7420702719837	-2.52844623952295	-10.5601666633944	-6.338216081942	-5.91168904722877	-10.8833375542811	-0.36163618369584
CON35	-10.8724669092394	-10.9589210327573	-5.92901340650666	-6.065179951901	-10.9727193991098	-10.7420702719837	-1.66289706129543	-9.42325705026133	-1.91487097192009	-3.98552050272335	-10.8833375542811	-1.63010266275612
CON36	-10.8724669092394	-9.95892103275728	-8.50730891857928	-8.49030249327359	-10.9727193991098	-10.7420702719837	-3.19288464144048	-10.5601666633944	-2.67246941754947	-6.08888961455941	-9.66375400598268	-0.491414617668026
CON37	-10.8724669092394	-10.9589210327573	-10.9586761097083	-10.6871943099168	-10.9727193991098	-10.7420702719837	-3.82762771640121	-10.5601666633944	-1.04713584987864	-6.71606675495043	-10.8833375542811	-1.1971751927856
CON38	-10.8724669092394	-10.9589210327573	-10.9586761097083	-10.6871943099168	-10.9727193991098	-10.7420702719837	-4.39171318993567	-10.5601666633944	-0.369749643905567	-7.77604586506186	-9.73677185990092	-2.53357682251966
CON39	-10.8724669092394	-10.9589210327573	-10.9586761097083	-8.40486826492577	-10.9727193991098	-10.7420702719837	-2.55227549283423	-10.5601666633944	-5.06887444887663	-5.81099771151323	-10.8833375542811	-0.360381838487577
CON40	-10.8724669092394	-10.9589210327573	-7.82119034920891	-6.20926080088749	-10.9727193991098	-10.7420702719837	-2.59346089624374	-8.24168227857987	-7.34356189259908	-5.37818427848473	-10.8833375542811	-0.353154254047421
CON41	-9.85734234574814	-9.73395993024286	-8.71050095741887	-5.66469726780575	-10.9727193991098	-8.22175377195702	-2.91064490027682	-10.5601666633944	-8.23006904016902	-5.38740986767539	-9.88333755428109	-0.302171216651481
CON42	-10.8724669092394	-10.9589210327573	-10.9586761097083	-7.65389966703722	-10.9727193991098	-10.7420702719837	-1.15238662812905	-10.5601666633944	-4.55413428326515	-6.86827391347774	-1.39891621645293	-3.12262464836699
CON43	-10.8724669092394	-10.9589210327573	-10.9586761097083	-7.35716398567162	-10.9727193991098	-10.7420702719837	-0.624046080622207	-10.5601666633944	-2.74526526449666	-6.33295343207975	-10.8833375542811	-2.44608702274987
CON44	-10.8724669092394	-10.9589210327573	-10.9586761097083	-7.38707635025017	-10.9727193991098	-9.37858488935653	-2.0363536840222	-10.5601666633944	-0.658449038719917	-6.17078000424313	-10.8833375542811	-3.30322501366529
CON45	-10.8724669092394	-8.2712811106176	-10.9586761097083	-3.88701596013357	-10.9727193991098	-10.7420702719837	-2.14012567933986	-10.5601666633944	-6.64324988800455	-3.02236781302845	-8.92335780719729	-0.818144122591828
CON46	-10.8724669092394	-10.9589210327573	-7.26870839645145	-7.59651305767548	-10.9727193991098	-10.7420702719837	-0.811110634729297	-10.5601666633944	-3.81167793516326	-5.46807150767819	-10.8833375542811	-1.62326962922898
CON47	-10.8724669092394	-6.31316973451186	-10.9586761097083	-5.35416710638405	-10.9727193991098	-7.69541729867303	-1.91769715456325	-10.5601666633944	-3.18459757988277	-4.30232817486443	-6.66865038911025	-0.935186382956444
MI1	-10.8724669092394	-10.9589210327573	-10.9586761097083	-9.10040695900042	-10.9727193991098	-10.7420702719837	-4.80406630129199	-10.5601666633944	-0.168119158653464	-7.68664448856363	-10.8833375542811	-3.88840691126112
MI2	-10.8724669092394	-10.9589210327573	-6.18414559497868	-6.39412679886185	-10.9727193991098	-10.7420702719837	-0.690899263349138	-10.5601666633944	-3.18580516592767	-5.55172174055125	-10.8833375542811	-2.16051639293809
MI3	-10.8724669092394	-10.9589210327573	-10.9586761097083	-6.60744036893186	-10.9727193991098	-10.7420702719837	-1.50379707916983	-10.5601666633944	-1.46338051170907	-4.79430581956271	-10.8833375542811	-2.06830719912591
MI4	-10.8724669092394	-10.9589210327573	-9.7828333439323	-8.91985282304059	-10.9727193991098	-10.7420702719837	-0.834191735123041	-10.5601666633944	-3.08518936668463	-5.88695821423276	-9.68911890911011	-1.73715612828611
MI5	-10.8724669092394	-10.9589210327573	-10.9586761097083	-6.89455532628525	-10.9727193991098	-10.7420702719837	-1.07749323335143	-10.5601666633944	-2.05477892653527	-5.21427319087548	-10.8833375542811	-1.99930027399885
MI6	-10.8724669092394	-10.9589210327573	-4.78270993841825	-7.19147724613348	-10.9727193991098	-8.52820234294892	-0.80091343368475	-8.52820234294892	-4.35827734150661	-5.11409471482111	-10.8833375542811	-1.73794622893587
MI7	-10.8724669092394	-10.9589210327573	-10.9586761097083	-10.6871943099168	-10.9727193991098	-10.7420702719837	-0.932000784592686	-10.5601666633944	-1.79580491999502	-8.24564236071563	-10.8833375542811	-2.43781077527749
MI8	-10.8724669092394	-7.32517558087512	-6.79403577966011	-6.15841488127669	-10.9727193991098	-10.7420702719837	-0.836532041021331	-10.5601666633944	-3.18721032083035	-4.79896566743805	-6.98949587320956	-1.95912432071797
MI9	-10.8724669092394	-10.9589210327573	-10.9586761097083	-10.6871943099168	-9.28213755672038	-10.7420702719837	-0.90372946007434	-10.5601666633944	-2.33490920586235	-9.15898356853606	-10.8833375542811	-1.92175770943112
MI10	-10.8724669092394	-8.8504593967557	-10.9586761097083	-8.24337408513641	-10.9727193991098	-10.7420702719837	-1.84034353114235	-10.5601666633944	-3.15751102530402	-1.78420384797295	-8.71963032641506	-1.68734014834881
