Feature	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	MI14	MI15	MI16	MI17	MI18	MI19	MI20	MI21	MI22	MI23	MI24	MI25	MI26	MI27	MI28	MI29	MI31	MI32	MI33	MI34	MI35	MI36	MI37	MI38
Ackermannviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	285	0	0	0	0	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascoviridae	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0	222	0	0	0	330	0	0	0	0	0	0	0	0	453	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	420	138	0	0	0	0	180	0
Autographiviridae	0	0	0	846	0	906	195	0	0	189	0	273	0	426	0	0	0	33408	0	0	0	0	0	210	885	651	0	0	0	37434	37290	3135	0	3678	0	555	0	0	0	0	183	0	0	0	231	0	2088	0	0	0	0	0	0	0	1065	0	1359	0	18606	0	0	0	0	732	0	3105	0	0	0	858	0	0	456	0	198	0	1398	849	453	1038	1209	0	579	207
Baculoviridae	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bicaudaviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coronaviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0
Demerecviridae	1431	141	1032	1137	0	0	0	267	0	0	2019	411	1419	0	0	0	0	1389	0	0	0	567	0	120	0	0	141	1179	2214	1650	804	669	834	384	2265	1518	0	0	0	795	372	0	0	0	0	1476	0	0	3588	0	447	0	3903	0	1539	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	52629	0	0	0	645	621	0	1275	0	864	0
Drexlerviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2430	0	0	0	0	0	0	0	0	194478	0	0	0	0	0	0	0	0	0	0	3039	0	0	0	0	0	0	0	0	732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herelleviridae	1035	750	1677	1596	963	4953	639	1830	5034	1314	0	1242	2256	1152	1320	2565	2586	2004	1701	5052	1494	2268	3156	3840	2124	4806	1194	2625	2076	3972	2343	2391	2265	2571	2061	1536	0	0	888	2430	3072	6594	2925	2541	4824	1176	4059	1698	3102	1815	813	2079	735	0	2391	0	2070	1077	0	0	0	31578	2304	3753	1809	1503	0	4512	1530	3291	4107	1899	0	1323	2499	3303	2169	2274	2178	6669	2091	2811	5286	969
Herpesviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inoviridae	408	0	0	0	0	459	0	0	0	0	0	0	0	0	0	0	612	0	0	1269	0	0	0	0	765	651	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6834	0	0	0	13164	0	0	0	831	4506	0	0	0	0	0	0	0	0	264	0	0	0	120	0	0	0	1080	0	0
Marseilleviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microviridae	0	504	750	489	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	5502
Mimiviridae	0	168	0	0	0	0	258	0	0	0	0	0	354	0	315	0	0	0	243	0	0	0	0	558	0	783	0	0	0	1665	0	1227	309	0	0	0	0	0	0	0	522	0	0	639	0	0	801	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	915	0	0	144	0	0	0	369	0	0	0	0	0	0	0	690	0	0	0
Myoviridae	193233	42585	38763	71013	8895	284967	18384	56751	35976	53541	12792	18708	54315	15207	144927	85008	283866	33561	33171	173571	76236	128880	80142	20814	201213	208902	51150	44556	193053	68175	110154	114285	80361	59193	43581	60405	36009	62433	51312	29790	20724	597447	311169	103689	16191	129723	43944	33363	161616	62406	220860	117210	61665	1341075	95637	2274192	175176	49467	68004	1662978	92718	57849	16125	176382	899187	42216	18459	136842	23670	20187	152307	180771	15765	96606	61503	9126	176718	24372	119028	37620	33804	339801	35814	42036
Peribunyaviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phycodnaviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	594	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	1347	0	0	0	465	0	0	0	0	303	138	0	0	0	0
Podoviridae	46497	33624	37269	80376	416664	12645	0	23370	609	81699	1163100	8454	52353	4320	2478	188484	16377	24336	438	423486	21681	7341	19209	5781	26199	26580	43392	4644	193356	35184	5637	4503	6174	4221	36597	86643	247413	1014252	8967	1107	519	56529	71523	269478	714	16209	18261	829515	28671	64179	46398	59535	5238	736923	18750	843333	70302	647976	3404730	161163	5726628	4776	900900	21444	290442	8016	2117772	88020	10275	58164	1479	706911	257667	43548	2364	654933	3606	3453	3429	5397	95280	41241	4350	42567
Poxviridae	0	0	0	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549	0	0	0	0	0	0	0	0	0	0	0	0	0
Rountreeviridae	4686	6933	134022	4758	5664	4824	2556	4626	4242	4554	3828	3819	88332	272298	8433	149001	186480	3000	3780	6252	7134	7575	4959	8979	7125	11556	5286	891867	5847	6993	5997	149154	6591	5673	8712	8115	4863	5979	5361	4323	3723	11367	5949	5904	8784	5142	8415	4524	5562	6378	6654	6663	3102	8430	6135	7443	182127	4602	7011	5052	0	0	1179	552	0	807	0	762	720	1011	1893	1860	762	18090	1785	1374	74382	939	705	657	1032	1191	792	1182
