ID,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,MI14,MI15,MI16,MI17,MI18,MI19,MI20,MI21,MI22,MI23,MI24,MI25,MI26,MI27,MI28,MI29,MI31,MI32,MI33,MI34,MI35,MI36,MI37,MI38
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183,0,0,0,0,355,0,248,0,682,0,0,0,0,359,0,0,0,0,2984,0,4299,0,0,0,256,0,0,0,0,796,0,4572,0,0,455,889,0,0,0,201,5632,0,0,0,0,242,132,0,0,0,0,5327,0,0,0,0,707,0,1476,0,0,0,0,0,1054,3389,0,0,0,7435,0,0,703,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1238,0,0,0,0,6010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,78,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii,0,0,0,0,0,0,0,0,7351,0,0,1722,0,189,0,0,0,0,400,0,321,0,0,0,519,1989,0,5009,0,293,1195,0,0,69,4183,0,0,0,0,0,0,23577,0,1061,12769,0,0,533,0,0,0,1173,0,0,973,0,71,0,0,0,580,0,0,0,0,0,0,0,0,7523,210,0,9871,0,0,0,2312,0,0,2392,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii,0,0,0,0,0,1046,0,0,21932,0,225,0,0,0,0,113,0,1352,195,0,984,0,0,0,0,0,0,736,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5823,0,0,0,2051,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis,0,0,0,0,0,659,0,0,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,0,461,2801,0,185,0,0,0,412,0,0,0,0,0,0,0,0,0,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,1674,0,3828,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii,0,0,0,895,0,3654,0,341,3443,51,330,0,2086,0,0,0,0,0,1236,10819,1063,0,1654,861,0,0,0,8965,0,4541,1237,0,0,1361,0,0,0,0,558,99,2222,0,0,0,0,1631,0,0,0,0,0,1319,0,0,0,0,446,0,0,0,0,0,0,0,1668,7415,0,1435,0,0,0,639,7664,0,0,0,0,3975,0,0,2269,0,0,285
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,75,0,0,374,1229,818,226,0,0,1689,0,410,1857,0,0,814,401,1318,3995,0,80,0,0,1127,747,12295,267,11700,0,4529,8229,7019,1005,2388,1943,2068,0,0,0,0,1058,1338,520,2551,2900,210,729,666,752,0,186,7431,0,76,608,1806,2191,0,1403,53,2643,0,4671,8457,0,73849,2347,957,1832,2761,2689,1638,12919,1645,1184,130,12861,929,744,5460,9476,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris,2336,0,0,0,234,3324,677,0,3446,0,405,754,0,0,0,827,2000,0,2236,3457,1436,0,0,4514,896,12828,252,5837,186,4938,14476,3193,718,0,11312,0,0,3509,313,0,7459,760,0,4671,1945,4010,7959,0,88,0,0,5478,0,0,4691,1811,5162,0,3224,0,9231,0,0,1383,4158,9312,531,5959,1220,9424,1090,432,11160,0,86,0,1984,0,0,5264,0,0,0,1731
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_radicidentis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02,0,0,0,0,0,1141,0,0,0,0,0,582,144,0,0,0,361,232,582,0,769,0,0,0,168,4301,0,2707,0,3125,2059,719,448,147,407,0,0,0,0,0,0,2227,0,546,2433,144,431,0,0,0,0,668,0,0,152,0,1163,0,0,93,816,0,228,650,0,1528,145,154,417,5674,711,418,1273,0,392,0,724,148,696,8428,2850,0,0,0
