ID,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,MI14,MI15,MI16,MI17,MI18,MI19,MI20,MI21,MI22,MI23,MI24,MI25,MI26,MI27,MI28,MI29,MI31,MI32,MI33,MI34,MI35,MI36,MI37,MI38
k__Fungi,17533,33582,19013,19473,17316,22880,29664,15917,59860,18546,19968,35533,19099,22835,20125,24729,20797,22928,23080,17029,21719,17911,15306,27985,12966,33580,20924,47016,23469,33264,26698,23754,19801,15981,25037,18122,17541,18574,19778,23894,16993,27699,23731,25689,159291,19713,20480,22415,28297,20054,18133,24903,33651,21949,26394,24693,25056,19316,27913,25504,24215,16624,25534,17530,28865,21693,12017,35085,31988,44718,45704,26798,39369,25373,20110,19135,17924,19564,30023,21768,25530,24554,27172,21493
k__Fungi|p__Ascomycota,17016,33104,18514,18777,16531,22598,29289,15419,57652,17921,19325,34559,18319,22145,19352,23221,20419,21729,22745,16624,20951,16965,15053,26953,12566,33223,19994,46402,22786,32288,26137,23310,19088,15540,24528,17969,16838,18143,19270,23445,16842,25770,23307,24865,159291,19152,20069,21555,26899,19170,16931,23440,32698,20974,25028,23685,24588,18405,26598,24439,23518,16180,24732,17131,27281,21446,11737,33440,30490,43854,44135,25820,38541,24373,19393,18175,17523,19045,28812,20490,24556,24073,26310,20802
k__Fungi|p__Ascomycota|c__Dothideomycetes,844,4966,1044,602,962,1458,3069,705,4676,1318,1195,2482,803,1734,1471,1150,922,1116,1415,277,1475,606,368,999,403,929,739,4258,1802,2082,819,1120,713,785,1841,759,1027,1416,1938,768,611,1465,1015,1407,1085,967,838,1509,1617,1344,604,1526,2527,2041,930,820,2425,1088,1047,761,1719,157,982,1022,993,1032,751,2911,2180,2187,3144,1294,1900,1004,1023,657,424,869,2461,381,1220,852,2047,1169
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales,663,2624,751,403,707,743,1538,415,3894,989,727,2039,397,1220,1173,538,493,873,763,184,1085,606,249,652,192,614,559,2147,1376,1244,449,676,513,519,1343,313,735,842,1273,457,331,1158,556,1070,690,687,595,1103,1078,957,490,1139,1469,1230,636,533,1671,748,581,524,1225,116,740,495,750,557,450,2081,1168,892,1913,917,1141,618,690,419,236,583,1699,181,893,514,1499,857
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales|f__Cladosporiaceae,663,2624,751,403,707,743,1538,415,3894,989,727,2039,397,1220,1173,538,493,873,763,184,1085,606,249,652,192,614,559,2147,1376,1244,449,676,513,519,1343,313,735,842,1273,457,331,1158,556,1070,690,687,595,1103,1078,957,490,1139,1469,1230,636,533,1671,748,581,524,1225,116,740,495,750,557,450,2081,1168,892,1913,917,1141,618,690,419,236,583,1699,181,893,514,1499,857
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales|f__Cladosporiaceae|g__Cladosporium,663,2624,751,403,707,743,1538,415,3894,989,727,2039,397,1220,1173,538,493,873,763,184,1085,606,249,652,192,614,559,2147,1376,1244,449,676,513,519,1343,313,735,842,1273,457,331,1158,556,1070,690,687,595,1103,1078,957,490,1139,1469,1230,636,533,1671,748,581,524,1225,116,740,495,750,557,450,2081,1168,892,1913,917,1141,618,690,419,236,583,1699,181,893,514,1499,857
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales|f__Cladosporiaceae|g__Cladosporium|s__Cladosporium_cladosporioides,361,211,194,87,259,53,77,182,0,429,116,70,178,102,526,385,51,429,0,0,425,247,83,351,0,79,388,122,601,379,212,371,156,90,416,151,207,378,0,88,130,169,188,394,307,215,107,504,425,497,187,433,863,555,232,169,45,359,304,200,522,0,259,18,330,143,41,915,239,269,913,270,173,160,281,105,78,333,528,32,486,112,467,511
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales|f__Cladosporiaceae|g__Cladosporium|s__Cladosporium_cucumerinum,145,748,206,213,288,607,944,129,1086,286,258,676,183,658,286,114,126,305,342,184,463,359,106,225,192,308,115,768,453,395,180,201,263,233,522,162,405,261,370,192,135,782,247,527,0,262,388,232,430,306,132,511,167,370,294,291,641,236,154,204,422,99,277,220,387,199,211,655,632,285,590,413,607,335,228,175,107,250,660,112,198,328,517,175
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales|f__Cladosporiaceae|g__Cladosporium|s__Cladosporium_tenuissimum,157,1665,351,103,160,83,517,104,2808,274,353,1293,36,460,361,39,316,139,421,0,197,0,60,76,0,227,56,1257,322,470,57,104,94,196,405,0,123,203,903,177,66,207,121,149,383,210,100,367,223,154,171,195,439,305,110,73,985,153,123,120,281,17,204,257,33,215,198,511,297,338,410,234,361,123,181,139,51,0,511,37,209,74,515,171
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales,181,2342,293,199,255,715,1531,290,782,329,468,443,406,514,298,612,429,243,652,93,390,0,119,347,211,315,180,2111,426,838,370,444,200,266,498,446,292,574,665,311,280,307,459,337,395,280,243,406,539,387,114,387,1058,811,294,287,754,340,466,237,494,41,242,527,243,475,301,830,1012,1295,1231,377,759,386,333,238,188,286,762,200,327,338,548,312
