ID,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,MI14,MI15,MI16,MI17,MI18,MI19,MI20,MI21,MI22,MI23,MI24,MI25,MI26,MI27,MI28,MI29,MI31,MI32,MI33,MI34,MI35,MI36,MI37,MI38
k__Bacteria,20404443,30961681,24181178,19739669,20481697,11158990,33567959,12400055,60143430,20254550,26642686,34379057,19891519,36621542,25346867,20755611,22387680,20931659,31062604,20286607,21236824,23884190,23825949,15846023,21622501,44897119,14091897,49676820,27745749,32950353,23091449,22452914,13209689,27446738,27298769,21301505,22736528,24287608,26785422,30413615,20881279,34900344,24701676,20181527,31527991,28976811,25908073,29689340,33087421,23953603,33271595,21141129,41416385,32883080,23435765,37351861,27321067,16670278,23272936,38008047,23419003,49093956,28954241,34269100,31812942,27758228,14277912,21275322,27200146,35731585,41445309,25969600,33255141,26573352,24382109,19075398,23836281,29443273,29601384,26615915,21874795,30453895,18049088,21186581
k__Bacteria|p__Actinobacteria,3738116,21703042,4121802,3417868,2737395,1516005,27317158,583529,40801584,1322690,5947338,30204720,3930771,11027264,836740,8862942,5092402,6096343,15825250,1757756,10595909,1731451,2201343,2303327,11951,3417868,1069737,27268157,7341171,3702801,1135157,1504281,472116,5603745,6974234,1270432,5071141,5533368,8916457,9662474,3177962,4415474,2268470,2609881,2992081,3851730,1229696,6460645,2924012,1716030,252241,1103319,10301722,1022947,894530,908959,9208890,439942,5008841,683235,731192,167397,8085481,3817276,1357479,6200123,3398058,2424648,12302561,24178028,13387703,9717294,20579143,15024249,945880,2852762,668444,1227548,4113450,2255337,2192044,486961,1931188,4926978
k__Bacteria|p__Actinobacteria|c__Actinobacteria,3314192,19135318,3349032,2102453,835076,1516005,27227871,137831,40568730,825239,4979982,30123216,1945800,10858801,623372,3691636,3886161,4746185,15678350,1287212,9890720,795716,1483060,606070,11951,3219326,152428,25200140,6998076,3306391,606471,1437813,394037,5544621,6874172,301965,4492779,4260468,8810739,7275430,2650070,3282708,595952,1164284,2396779,2173812,828564,4520106,449832,623139,79368,394360,8814741,885576,234833,76162,9145185,7821,3509205,401713,247331,58416,5112743,3760728,678159,5444532,1844097,1299732,8300823,13952019,7969940,4954620,13736583,14234468,698862,945158,52320,907739,2236054,1809906,918557,385354,1677979,1938660
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,2997,0,0,1269,1818,10899,3322,341,46338,1740,960,4307,4228,574,0,2508,3422,3737,15626,19840,8952,4095,1994,7623,9461,81445,980,78805,186,21670,38454,17577,26100,8180,21263,4219,0,6630,871,300,16432,38870,1261,12426,28811,6237,12255,1288,869,0,186,24296,0,809,8921,4777,11627,0,13165,1785,14031,0,5719,11367,7088,102789,3262,8505,3926,46738,6598,3127,67182,1645,1662,364,25698,5052,1440,39679,24593,0,957,2978
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,2997,0,0,1269,1818,10899,3322,341,46338,1740,960,4307,4228,574,0,2508,3422,3737,15626,19840,8952,4095,1994,7623,9461,81445,980,78805,186,21670,38454,17577,26100,8180,21263,4219,0,6630,871,300,16432,38870,1261,12426,28811,6237,12255,1288,869,0,186,24296,0,809,8921,4777,11627,0,13165,1785,14031,0,5719,11367,7088,102789,3262,8505,3926,46738,6598,3127,67182,1645,1662,364,25698,5052,1440,39679,24593,0,957,2978
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum,0,0,0,0,355,0,248,0,682,0,0,0,0,359,0,0,0,0,2984,0,4299,0,0,0,256,0,0,0,0,796,0,4572,0,0,455,889,0,0,0,201,5632,0,0,0,0,242,132,0,0,0,0,5327,0,0,0,0,707,0,1476,0,0,0,0,0,1054,3389,0,0,0,7435,0,0,703,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183,0,0,0,0,355,0,248,0,682,0,0,0,0,359,0,0,0,0,2984,0,4299,0,0,0,256,0,0,0,0,796,0,4572,0,0,455,889,0,0,0,201,5632,0,0,0,0,242,132,0,0,0,0,5327,0,0,0,0,707,0,1476,0,0,0,0,0,1054,3389,0,0,0,7435,0,0,703,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,2997,0,0,1269,1463,10899,3074,341,45656,1740,960,4307,4228,215,0,2508,3422,3737,12642,19840,4653,4095,1994,7623,9205,81445,980,78805,186,20874,38454,13005,26100,8180,20808,2967,0,6630,871,99,10800,38870,1261,12426,28811,5995,12123,1288,869,0,186,18969,0,809,8921,4777,10920,0,11689,1785,14031,0,5719,11367,6034,99400,3262,8505,3926,39303,6598,3127,66125,1645,1662,364,25698,5052,1440,39679,24593,0,957,2978
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1238,0,0,0,0,6010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,78,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii,0,0,0,0,0,0,0,0,7351,0,0,1722,0,189,0,0,0,0,400,0,321,0,0,0,519,1989,0,5009,0,293,1195,0,0,69,4183,0,0,0,0,0,0,23577,0,1061,12769,0,0,533,0,0,0,1173,0,0,973,0,71,0,0,0,580,0,0,0,0,0,0,0,0,7523,210,0,9871,0,0,0,2312,0,0,2392,0,0,0,0
