"Family","p_value","statistic","MI_mean","CON_mean","Effect_size","note","significance"
"Ackermannviridae",0.0408251942032211,1097,7477.19321621622,6123.44110425532,1353.7521119609,,"*"
"Aliceevansviridae",0.287693028882079,751,2178.33243243243,2561.1008106383,-382.768378205865,,"NS"
"Allomimiviridae",0.800821692531796,898,79.7493243243243,113.625489361702,-33.8761650373778,,"NS"
"Andersonviridae",,,13.8400918918919,0,13.8400918918919,"CON group all zeros","Invalid"
"Armatusviridae",0.715624475858295,856,7.12981351351351,30.5041085106383,-23.3742949971248,,"NS"
"Autographiviridae",0.928163130618933,859,122.592356756757,40.6412489361702,81.9511078205865,,"NS"
"Casjensviridae",0.353384716755675,973,3921.21447837838,3770.68448085106,150.529997527315,,"NS"
"Chaseviridae",0.260052496381809,995,3607.43392432432,2901.83598297872,705.597941345601,,"NS"
"Circoviridae",0.940065155445311,865,0.420791891891892,0.337978723404255,0.0828131684876366,,"NS"
"Colingsworthviridae",,,4.10872162162162,0,4.10872162162162,"CON group all zeros","Invalid"
"Crevaviridae",0.070666981544832,1065,3141.47794054054,523.936578723404,2617.54136181714,,"NS"
"Demerecviridae",0.460009509290838,787,2082.17157837838,3155.86219787234,-1073.69061949396,,"NS"
"Draupnirviridae",0.173580680281427,976,10.5711054054054,9.18390638297872,1.38719902242668,,"NS"
"Drexlerviridae",0.570280392730866,806,2175.26329459459,1792.5175,382.745794594595,,"NS"
"Duneviridae",0.843245977138031,860,1.99794864864865,1.86326382978723,0.134684818861415,,"NS"
"Epsomviridae",0.144388459975241,1032,1201.19592162162,1121.4132787234,79.7826428982173,,"NS"
"Felixviridae",0.00970756673220377,631,0.135435135135135,3.84091276595745,-3.70547763082231,,"**"
"Guelinviridae",0.84277629834763,847,122.879872972973,115.734131914894,7.14574105807937,,"NS"
"Helgolandviridae",0.430248956355991,917,0.171140540540541,0.0499106382978723,0.121229902242668,,"NS"
"Herelleviridae",0.487819868017678,792,5563.50425945946,6061.03705319149,-497.53279373203,,"NS"
"Inoviridae",0.510705238709642,796,157.119110810811,89.665014893617,67.4540959171938,,"NS"
"Intestiviridae",0.0561513480554917,1065,1429.16790810811,524.171644680851,904.996263427257,,"NS"
"Konodaiviridae",0.906753751346313,883,459.26917027027,302.168831914894,157.100338355377,,"NS"
"Kyanoviridae",0.271664856530473,992,2249.44905135135,2017.44946808511,231.999583266245,,"NS"
"Lakviridae",0.0937606451267304,1056,655.761040540541,488.687387234043,167.073653306498,,"NS"
"Mesyanzhinovviridae",0.162542569880047,1025,810.547327027027,635.12974893617,175.417578090857,,"NS"
"Microviridae",0.522101962003894,941,65.2327432432432,64.0370936170213,1.19564962622198,,"NS"
"Mimiviridae",0.165270758951589,1024,1480.92027567568,1308.4793,172.440975675676,,"NS"
"Nixviridae",0.864551647479892,875,4.49674594594595,0.00602127659574468,4.4907246693502,,"NS"
"Orlajensenviridae",0.317249947050871,758,1572.30827297297,3037.88341702128,-1465.5751440483,,"NS"
"Peduoviridae",0.89961959252296,855,17276.5075135135,16656.359993617,620.147519896491,,"NS"
"Phycodnaviridae",0.227294192263143,1004,3379.37815135135,1401.21692553191,1978.16122581944,,"NS"
"Rountreeviridae",0.17877105663467,1017,10.0530810810811,4.70818510638298,5.3448959746981,,"NS"
"Salasmaviridae",0.678532658731353,916,10340.2707405405,6481.1673106383,3859.10342990224,,"NS"
"Schitoviridae",0.0538340831935265,1084,743.106548648649,577.815629787234,165.290918861415,,"NS"
"Speroviridae",0.679677822889227,908,2.34385135135135,1.91106382978723,0.432787521564117,,"NS"
"Steigviridae",0.0323083194333255,1067,2608.40089189189,8.4879085106383,2599.91298338125,,"*"
"Straboviridae",0.335003511542565,762,18602.9445216216,19325.2624659574,-722.317944335824,,"NS"
"Suoliviridae",0.112569159102387,1045.5,2389.41336216216,539.239136170213,1850.17422599195,,"NS"
"Toyamaviridae",0.70175669901247,826.5,113.493427027027,135.544238297872,-22.0508112708453,,"NS"
"Umezonoviridae",0.621025617235742,844.5,34.3336837837838,14.8852021276596,19.4484816561242,,"NS"
"Unclassified",0.54008181193412,801,16950.6813054054,15064.5920297872,1886.08927561817,,"NS"
"Usuviridae",0.710255721717597,848,4.04125405405405,29.9345936170213,-25.8933395629672,,"NS"
"Vilmaviridae",0.108757198159146,1048,537.405108108108,246.386285106383,291.018823001725,,"NS"
"Zierdtviridae",0.392018264981634,965,958.445991891892,988.872746808511,-30.4267549166187,,"NS"
"Zobellviridae",0.864551647479892,875,2.99004054054054,0.0121531914893617,2.97788734905118,,"NS"
