"Level","Variable","Model","R2","Pvalue","F_value"
"Family","MI","No covariates",0.0184250728158064,0.118,1.53921614036155
"Family","MI","With covariates",0.0179064377867422,0.116,1.49616386148261
"Family","Age","No covariates",0.00928134491109488,0.649,0.768200213855349
"Family","Age","With covariates",0.0132620607482999,0.303,1.108105155068
"Family","Gender","No covariates",0.00981151717107842,0.62,0.812516426902771
"Family","Gender","With covariates",0.0105619348491336,0.573,0.882497424490956
"Family","BMI","No covariates",0.00638537510880071,0.876,0.526965632152397
"Family","BMI","With covariates",0.00820202972253391,0.758,0.685316678158471
"Family","Smoking","No covariates",0.0150106765686794,0.256,1.24963332023114
"Family","Smoking","With covariates",0.0211254911829181,0.067,1.76513033135788
"Family","Drinking","No covariates",0.00985701931720598,0.615,0.816322086587445
"Family","Drinking","With covariates",0.0172868513614719,0.153,1.44439461348394
