"Level","Variable","Model","R2","Pvalue","F_value"
"vOTU","MI","No covariates",0.0177371946300809,0.069,1.48071366615464
"vOTU","MI","With covariates",0.0186891408174826,0.048,1.56145889495924
"vOTU","Age","No covariates",0.0123727522352399,0.369,1.02727591364645
"vOTU","Age","With covariates",0.0128215660465292,0.327,1.07122893161212
"vOTU","Gender","No covariates",0.00913008879457015,0.824,0.755565662745749
"vOTU","Gender","With covariates",0.00954123151929887,0.752,0.797160285225002
"vOTU","BMI","No covariates",0.010063681354186,0.677,0.833611067196844
"vOTU","BMI","With covariates",0.0112378133407233,0.498,0.938907987912929
"vOTU","Smoking","No covariates",0.0171868647914342,0.073,1.43396833274774
"vOTU","Smoking","With covariates",0.0185296084909091,0.055,1.54813012972629
"vOTU","Drinking","No covariates",0.00978649528243856,0.74,0.81042382207144
"vOTU","Drinking","With covariates",0.00964241897849511,0.732,0.805614395543037
