"Alpha_Diversity","Host_Factor","Correlation","P_value","Significance"
"Observed","MI",0.0568672682202832,0.607389259348483,""
"Observed","Gender",-0.000543416812604571,0.996085698152779,""
"Observed","Age",-0.0445836541744786,0.687173617979119,""
"Observed","BMI",0.0125146814789186,0.910042669249543,""
"Observed","Smoking",-0.159849544692644,0.146376305092137,""
"Observed","Drinking",-0.0530433246506223,0.631794021814327,""
"Chao1","MI",0.0568672682202832,0.607389259348483,""
"Chao1","Gender",-0.000543416812604571,0.996085698152779,""
"Chao1","Age",-0.0445836541744786,0.687173617979119,""
"Chao1","BMI",0.0125146814789186,0.910042669249543,""
"Chao1","Smoking",-0.159849544692644,0.146376305092137,""
"Chao1","Drinking",-0.0530433246506223,0.631794021814327,""
"Shannon","MI",0.0420321159051956,0.704222831438764,""
"Shannon","Gender",0.00978145311019003,0.929632427294294,""
"Shannon","Age",-0.0801771999777421,0.468455804655949,""
"Shannon","BMI",-0.0109756035992773,0.921067795760395,""
"Shannon","Smoking",-0.0788996963635064,0.475594758483921,""
"Shannon","Drinking",0.00335008775561246,0.975872398525898,""
"Simpson","MI",0.0202743147307414,0.854757456387151,""
"Simpson","Gender",0.0195629062203801,0.859801137944419,""
"Simpson","Age",-0.143621678787079,0.19245201594896,""
"Simpson","BMI",-0.0426975280241259,0.699762094590843,""
"Simpson","Smoking",-0.0409868552537696,0.711250125715713,""
"Simpson","Drinking",0.0167504387780623,0.87979383973648,""
"InvSimpson","MI",-0.0202743147307414,0.854757456387151,""
"InvSimpson","Gender",-0.0195629062203801,0.859801137944418,""
"InvSimpson","Age",0.143621678787079,0.19245201594896,""
"InvSimpson","BMI",0.0426975280241259,0.699762094590843,""
"InvSimpson","Smoking",0.0409868552537696,0.711250125715713,""
"InvSimpson","Drinking",-0.0167504387780623,0.87979383973648,""
"ACE","MI",0.0568672682202832,0.607389259348483,""
"ACE","Gender",-0.000543416812604571,0.996085698152779,""
"ACE","Age",-0.0445836541744786,0.687173617979119,""
"ACE","BMI",0.0125146814789186,0.910042669249543,""
"ACE","Smoking",-0.159849544692644,0.146376305092137,""
"ACE","Drinking",-0.0530433246506223,0.631794021814327,""
