"","RDA1","RDA2","Group"
"MI35",0.0285080072592245,-0.434798646006008,"MI"
"MI33",-0.186593200003157,-0.0675342958342624,"MI"
"MI32",-0.40062167965245,0.429984590596682,"MI"
"MI38",-0.614519632759401,-0.146365000312107,"MI"
"MI36",-0.884121184391855,-0.0703226890373733,"MI"
"MI34",-0.473316263450084,0.705231087181529,"MI"
"MI37",-0.0445061029749614,-0.362868827046798,"MI"
"MI27",0.0262820846962981,-0.245516030049158,"MI"
"MI28",-0.0803232426353195,0.133359521551101,"MI"
"MI29",-0.0468431016377483,0.774404426789011,"MI"
"MI31",-0.299071600342744,0.0203310690998173,"MI"
"MI17",-0.673196891159103,0.868097801806228,"MI"
"MI21",0.0280365828788108,0.151668302294251,"MI"
"MI20",-0.0638404011140732,-0.0122212393794049,"MI"
"MI24",0.629467252177797,-0.107423881919431,"MI"
"MI23",0.503188810467727,0.511855602691421,"MI"
"MI26",0.703681619374348,0.154764559841591,"MI"
"MI19",0.0446038549060332,0.111008567522758,"MI"
"MI18",-0.451975189645523,-0.707538046355635,"MI"
"MI15",0.149043854601182,-1.25712209731587,"MI"
"MI25",0.179252783824619,-0.146922256418651,"MI"
"MI22",0.234126857200649,-0.0464412904220596,"MI"
"MI14",-0.259134239202436,-0.28631754873772,"MI"
"MI16",0.544688085286365,-0.346395151503291,"MI"
"MI1",-0.251871262236366,0.177765815676352,"MI"
"MI2",-0.336430463810861,0.17558520403338,"MI"
"MI3",-0.426325758618635,0.158630677700361,"MI"
"MI4",-1.04111787637721,0.207655150801728,"MI"
"MI5",-0.136568290966835,-0.610600543759549,"MI"
"MI6",-0.538836707505789,-0.043184810992579,"MI"
"MI7",-1.1904348937065,0.100607268410305,"MI"
"MI8",-0.17426909142,-0.144155850782599,"MI"
"MI9",-0.589799103615998,-0.753215074089,"MI"
"MI10",-0.0707879457186205,-0.317514539669267,"MI"
"MI11",-0.136924955302003,-0.71411873470224,"MI"
"MI12",-0.501989758602729,0.131403968401848,"MI"
"MI13",-0.832965338892441,-0.859457011348563,"MI"
"CON1",-0.0738938321572448,-0.383797376949829,"CON"
"CON2",0.168681255323265,0.0711411228791908,"CON"
"CON3",-0.247963152229293,0.305872468402047,"CON"
"CON4",-0.232687969911513,-0.00443331364624286,"CON"
"CON5",-0.228612326767093,0.139619714130056,"CON"
"CON6",-0.0623869003416726,-0.682007007987599,"CON"
"CON7",0.490186753429543,0.331130308073153,"CON"
"CON8",0.149721991926303,-0.141231170631005,"CON"
"CON9",0.862318884995523,0.0719855245884182,"CON"
"CON10",0.0727851910335266,-0.285342865867482,"CON"
"CON11",-0.302677337669283,0.154969078096558,"CON"
"CON12",0.749533598035537,0.263959962286655,"CON"
"CON13",0.0558352894149666,0.269058462052628,"CON"
"CON14",-0.554276160351394,0.562113572578929,"CON"
"CON15",-0.328625012786773,0.133014992212171,"CON"
"CON16",0.427009045394289,0.202833448169549,"CON"
"CON17",0.0910654096772159,0.0869401623614761,"CON"
"CON18",0.550257403598188,-0.372452876814378,"CON"
"CON19",0.506611040143697,0.0510164313286928,"CON"
"CON20",-0.525787928274986,0.395448447632525,"CON"
"CON21",0.0196574413256457,-0.302902802382363,"CON"
"CON22",-0.171348415578071,-0.167486180687731,"CON"
"CON23",0.0786234241040357,0.0180009034000221,"CON"
"CON24",0.473798554171195,0.285777225651654,"CON"
"CON25",-0.540696783945736,0.848057369735166,"CON"
"CON26",0.0573740965406432,0.874483898850278,"CON"
"CON27",-0.0588189014328877,-0.202707618879291,"CON"
"CON28",1.01048244550761,0.0123913243052988,"CON"
"CON29",0.198429201800548,-0.178605605982445,"CON"
"CON30",0.0960516593087852,-0.0113055527964802,"CON"
"CON31",0.360111250748169,-0.0304781426030292,"CON"
"CON32",0.157699787122514,-0.144528467215643,"CON"
"CON33",0.18176059095722,-0.202265493898849,"CON"
"CON34",0.0461820194625536,0.160683150019532,"CON"
"CON35",0.265349823866829,0.14930000689889,"CON"
"CON36",0.490516316063703,0.206861241946125,"CON"
"CON37",0.0510919762142728,0.00435941642526726,"CON"
"CON38",-0.291657319034432,0.167304095128688,"CON"
"CON39",-0.302385444500427,0.492133153831056,"CON"
"CON40",0.623351103020057,-0.0406233763149145,"CON"
"CON41",0.555549158377871,-0.0286808009780336,"CON"
"CON42",0.693016882173206,-0.26282309904385,"CON"
"CON43",0.389995973132399,-0.0682307678577879,"CON"
"CON44",0.877403885398218,-0.0851384104323417,"CON"
"CON45",0.391828951846245,0.824464380925323,"CON"
"CON46",0.253783181623039,-0.383878319781308,"CON"
"CON47",0.161258282313718,-0.23632065987552,"CON"
