ID,MI35,MI33,MI32,MI38,MI36,MI34,MI37,MI27,MI28,MI29,MI31,MI17,MI21,MI20,MI24,MI23,MI26,MI19,MI18,MI15,MI25,MI22,MI14,MI16,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47
2-Oxocarboxylic acid metabolism,3353.551,3243.942,3172.589,3648.879,3159.048,2415.479,3490.919,3354.756,2946.067,2833.782,3252.435,2271.151,3102.87,1216.529,3058.449,3970.472,2931.553,3392.997,2443.261,422.433,3343.411,3625.897,2817.122,3193.297,2983.683,3256.5,3185.001,2439.489,3139.333,3434.631,2817.81,3190.449,3033.776,3304.883,2909.12,1301.746,2394.649,2935.123,3909.422,3620.188,3095.453,3247.408,3314.385,4058.328,3209.91,3079.528,2997.813,3466.272,4960.224,3306.234,3282.549,3558.628,3155.988,3410.097,3722.318,3818.083,2836.27,3634.788,3240.134,3279.536,2693.441,2496.497,2592.167,3908.093,3688.509,3329.816,3389.234,3023.862,3338.718,3173.936,3127.926,3391.595,2425.182,3555.906,3096.714,3874.952,3383.563,3125.665,3184.478,2529.414,3076.527,4066.769,3202.027,2663.7
ABC transporters,7711.13700000001,7608.33700000001,6680.78899999999,6351.741,6485.36400000001,6667.09300000001,8417.976,7071.525,7983.29699999999,6366.783,8516.05200000001,7019.835,6729.679,2893.53,8136.56099999999,9681.10199999999,8016.42099999999,7535.12899999999,8286.40900000001,2811.923,8353.38300000001,7044.18799999999,7306.115,7404.729,6237.145,6441.489,5947.791,5670.371,8130.153,6827.938,7919.36700000002,6435.80299999999,11716.068,11187.605,6790.44300000001,3154.08699999999,10928.625,7902.34,8229.91899999999,7625.995,6804.398,6994.265,10161.337,8627.99499999999,7136.45000000002,7202.64299999999,8255.40099999999,6588.78799999999,9414.02900000001,7857.59800000002,5758.818,9317.708,7737.493,10478.492,7363.92199999999,9775.95900000001,8963.6,8381.30000000002,9780.062,10315.177,6044.41200000002,10429.373,10568.407,7188.94099999999,8819.664,7788.44399999999,9002.31099999999,10658.232,10560.832,7538.07099999998,8149.004,8197.38899999999,6150.58699999999,7991.113,6753.62399999999,8175.71099999998,8423.155,9637.18299999999,10496.653,6925.59200000001,7739.47699999999,9751.16900000001,9746.43600000003,9603.08399999998
AMPK signaling pathway,149.515,180.449,176.939,206.167,127.295,148.176,167.358,119.988,181.44,162.955,202.394,164.45,166.473,48.153,181.431,148.533,131.86,202.321,88.546,11.357,145.764,151.024,153.8,195.35,151.58,188.594,192.592,110.869,200.375,115.871,95.93,148.167,126.337,170.461,151.972,54.522,107.185,198.721,68.555,181.917,164.79,120.13,195.764,33.732,161.251,40.124,207.161,184.337,105.774,172.076,97.162,220.177,164.582,134.399,155.112,128.012,177.262,124.885,175.916,175.543,128.324,208.102,274.892,153.542,159.122,184.082,181.554,261.978,154.487,167.271,146.07,135.66,133.667,147.818,135.753,179.581,226.872,209.653,208.023,140.679,106.003,206.846,221.788,176.817
ATP-dependent chromatin remodeling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0
Acarbose and validamycin biosynthesis,417.983,447.563,418.584,592.771,329.497,422.316,414.738,700.383,416.429,615.94,432.429,476.831,465.555,151.242,474.262,749.699,486.692,544.948,260.051,42.629,480.315,610.547,278.917,397.696,319.85,406.779,427.06,268.933,403.862,446.565,319.67,413.511,437.284,890.27,328.612,224.782,215.561,584.532,1546.303,387.247,624.688,537.549,360.772,523.385,334.865,1733.296,374.882,467.194,1960.948,468.683,567.487,403.851,447.868,277.824,495.222,496.552,309.225,742.319999999999,375.496,316.291,477.154,597.926,523.097,305.617,1264.672,362.543,444.874,394.258,626.764,363.317,402.136,298.493,315.966,469.935,442.083,511.181,485.073,461.303,449.836,412.122,435.852,275.752,425.387,464.85
Adherens junction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adipocytokine signaling pathway,30.76,50.467,62.178,87.234,32.205,46.069,32.562,32.015,83.345,44.423,36.05,24.964,40.064,2.9,17.089,0.957,4.475,42.304,52.734,0.322,19.124,53.468,33.191,14.187,62.096,56.717,86.883,126.675,53.605,71.406,69.382,70.634,34.681,9.423,56.6,17.92,45.578,41.559,38.148,42.212,64.473,59.99,8.338,11.613,36.344,1.394,36.012,79.215,19.592,35.116,31.839,51.904,10.476,9.894,39.653,7.287,44.394,42.806,48.483,8.76,11.903,4.283,2.741,61.25,4.919,46.285,29.182,22.93,10.662,32.725,16.998,29.968,68.292,54.914,34.097,49.624,20.279,10.772,1.677,93.356,32.259,3.28,13.184,40.512
Adrenergic signaling in cardiomyocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0,0
African trypanosomiasis,9.353,7.534,20.616,9.602,9.173,2.106,2.073,1.673,2.186,37.548,11.116,17.318,12.114,1.828,2.415,0.214,7.95,42.417,5.811,0,14.362,4.608,4.116,19.075,21.918,3.59,6.719,4.525,1.065,3.001,6.312,10.436,16.349,5.449,2.551,7.389,9.951,2.012,6.421,2.931,11.836,10.912,20.254,0.058,10.241,0.972,2.019,4.41,0,5.22,0.113,5.864,8.176,5.477,4.03,3.412,15.004,0.615,3.13,2.526,14.544,2.238,0.518,2.792,36.435,9.643,13.991,13.855,1.305,7.188,2.493,2.05,2.82,2.43,2.898,12.654,38.982,2.869,19.914,4.663,7.481,1.28,8.519,3.974
"Alanine, aspartate and glutamate metabolism",3037.889,3230.019,3204.67,3672.04,2992.268,2770.169,2707.92,3888.593,2908.435,3580.244,3043.679,2530.258,3649.75,1101.694,3616.305,4968.557,3341.4,3335.222,2101.756,406.8,3493.43,3582.289,2559.912,3175.293,3078.949,3402.865,3264.799,3208.828,2971.493,4165.254,3192.169,3026.859,3028.505,3385.416,2724.686,1933.829,2716.111,3203.68500000001,5171.053,3805.06,3155.644,3565.051,2645.243,5781.865,2796.989,4855.616,3122.187,3929.214,7718.55,3368.76,3779.734,3803.253,3136.009,3667.596,3492.083,4436.049,2903.738,4028.164,3059.662,2929.796,3132.776,2804.166,3090.825,2884.195,3970.368,3316.288,3247.778,3343.625,3398.272,2416.773,3233.754,3294.205,2593.978,3459.34,3510.225,4135.784,4009.406,3326.755,2935.346,3020.148,2791.639,2984.445,3466.048,2836.065
