feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
衣原体纲 (Chlamydiia)	Group	MI	-0.0852052231030805	0.0834623094676488	84	84	0.31031254320246	0.581836018504612
γ-变形菌纲 (Gammaproteobacteria)	Group	MI	-0.112352076584926	0.102495929213519	84	84	0.276217076095624	0.581836018504612
梭菌纲 (Clostridia)	Group	MI	-0.194257288108263	0.190067744586255	84	84	0.309766675922935	0.581836018504612
放线菌纲 (Actinomycetia)	Group	MI	-0.35427826656749	0.345714826081391	84	84	0.308485251214565	0.581836018504612
黄杆菌纲 (Flavobacteriia)	Group	MI	0.562620611165179	0.417295059165788	84	84	0.181288519302327	0.581836018504612
丹毒丝菌纲 (Erysipelotrichia)	Group	MI	0.743405151556074	0.635026926626968	84	83	0.245123496472194	0.581836018504612
Negativicutes纲	Group	MI	0.95908980774589	0.939056403343996	84	50	0.310100232010411	0.581836018504612
δ-变形菌纲 (Deltaproteobacteria)	Group	MI	1.34267740986732	0.811114058872163	84	74	0.10167613519265	0.581836018504612
拟杆菌纲 (Bacteroidia)	Group	MI	0.35620568283117	0.431690361878417	84	84	0.411685230160018	0.686142050266697
芽孢杆菌纲 (Bacilli)	Group	MI	0.0209228301424269	0.137704430505273	84	84	0.879607361548863	0.879607361548863
柔膜菌纲 (Mollicutes)	Group	MI	0.0558858169251471	0.272603790569515	84	84	0.838074316929466	0.879607361548863
α-变形菌纲 (Alphaproteobacteria)	Group	MI	-0.0870834232289	0.393435294232928	84	84	0.825377063147452	0.879607361548863
β-变形菌纲 (Betaproteobacteria)	Group	MI	0.0804679514581971	0.452064274374152	84	84	0.859161092430565	0.879607361548863
ε-变形菌纲 (Epsilonproteobacteria)	Group	MI	0.126112296330774	0.367637447872852	84	84	0.732450440038128	0.879607361548863
真细菌纲 (Eubacteriia)	Group	MI	-0.141354100824662	0.315942048347178	84	84	0.655762201276874	0.879607361548863
