feature	衣原体纲..Chlamydiia.	芽孢杆菌纲..Bacilli.	γ.变形菌纲..Gammaproteobacteria.	梭菌纲..Clostridia.	拟杆菌纲..Bacteroidia.	柔膜菌纲..Mollicutes.	放线菌纲..Actinomycetia.	黄杆菌纲..Flavobacteriia.	α.变形菌纲..Alphaproteobacteria.	β.变形菌纲..Betaproteobacteria.	丹毒丝菌纲..Erysipelotrichia.	ε.变形菌纲..Epsilonproteobacteria.	Negativicutes纲	δ.变形菌纲..Deltaproteobacteria.	真细菌纲..Eubacteriia.
MI35	-1.00607711851112	-3.60945365339039	-2.72713678439792	-2.87345356768874	-5.02296905328297	-4.43896396838832	-5.83847139649699	-7.74681265153183	-6.56081109593487	-9.67799463530521	-7.43444358977287	-7.38345242821292	-12.5543831425164	-9.60428179951469	-6.8515077124281
MI33	-1.06207661118596	-3.39778770075803	-2.60778381275085	-3.65582853036	-4.86197958569891	-4.02293877525192	-4.68482544324108	-8.71840642766168	-6.26618691230824	-7.64888697923039	-7.21204402195641	-6.48600472905865	-19.9290777714473	-12.6716899287546	-6.70206357779817
MI32	-1.39297240242657	-3.53715416075058	-1.95280259537236	-3.14027983555771	-4.23178228335829	-4.75471852341706	-6.58935173342564	-7.3355259233812	-6.12518112980928	-9.47988426078826	-9.10894048880207	-8.02964335413096	-11.8669073838975	-13.0916136710722	-4.93196906618818
MI38	-1.48857527119174	-3.613540163163	-2.69567272269537	-2.83836571766836	-2.97777351989377	-4.62538974510742	-4.25869695010628	-9.16224052261429	-6.66501412671866	-8.36839470187175	-8.02754516528069	-6.37307480111135	-15.4461005766681	-6.46144477394265	-7.33975574719818
MI36	-1.40503967273943	-4.40494653145171	-2.29075167495578	-3.81292282994188	-2.14875564959477	-4.50783181109572	-7.11785274978597	-8.12877471110442	-7.41545002999082	-8.06744874937724	-9.1937595931176	-7.61567899852914	-15.9760558175748	-11.5985353967241	-8.53192832901218
MI34	-1.45330855860613	-2.14911555925189	-2.14484972712099	-3.6857847512835	-5.25831836902891	-4.63929737893371	-8.04680831122666	-8.14460007812939	-6.53817374912817	-10.9509870732531	-17.1007341927578	-10.5850343544737	-15.4377691800353	-19.3552413930545	-5.64207125988994
MI37	-1.06251113770796	-2.83501909403119	-2.64186917329359	-3.50676201754226	-5.31417574470476	-4.50909926489852	-5.80269910418182	-10.7596206757672	-5.31065167413136	-6.85529487201794	-7.40375716767263	-9.70308642734617	-16.8966117878474	-10.3381910745787	-8.11730281388748
MI27	-1.32066010527205	-3.83630938197303	-2.55645966573361	-3.4713753670645	-2.82881115766375	-4.93784184798453	-4.17128554176483	-8.12157815593646	-5.7597310507793	-10.1969488905321	-8.51842012310263	-9.22028801661944	-22.6993521663032	-8.67508322513602	-6.52471469729108
MI28	-1.21583946532016	-3.14160196259347	-2.25308476063051	-3.37638306394355	-5.00991280741246	-4.16340385537661	-7.26725610116839	-8.15545365022781	-5.96730537890288	-9.05888795365752	-7.53279183089298	-7.95003104911965	-22.6993521663032	-12.8774291646868	-5.27561076808069
MI29	-1.10983387502779	-3.78742967066523	-2.62162661724772	-3.27971644943794	-5.62681709663306	-3.06568768758962	-6.97399256675408	-8.49164264748635	-6.18427298601096	-9.04735058366675	-9.63783008935548	-7.47797163740667	-12.5364530689804	-10.5853626694613	-5.31931469410714
MI31	-1.18192842281719	-3.51827066901492	-2.32502449810823	-3.52386702043197	-5.06247822732736	-3.78454896874224	-4.92198570987578	-8.99333464727848	-5.44118991460816	-9.59583772930878	-10.0956749994032	-8.80305240898634	-22.6993521663032	-11.8615217135565	-5.62367909971718
MI17	-0.838541304051232	-4.39106604193194	-2.71562033559023	-3.00524542603052	-4.91102029554113	-6.45128102197533	-7.58359069759428	-13.5279559986215	-9.84366876009666	-9.62233148035694	-16.6059585106227	-9.89476955138995	-10.8750167040843	-17.7758835120651	-4.00161120433036
MI21	-0.977326992015432	-4.14073667418036	-2.84388019951355	-3.28842893267301	-6.34845131855525	-3.04248302865189	-6.03913260455643	-6.59594139521186	-6.60300412275413	-9.07286649907624	-7.27582096255935	-11.4743903640405	-19.5591987518449	-10.0643431673537	-6.0899385158395
MI20	-0.853263766040976	-3.82042943753561	-3.02585253657477	-3.06962337028679	-4.90997245906944	-4.28320640178364	-5.82322010981671	-8.92097288250805	-6.53606961657645	-9.41543069404073	-10.3114627741746	-9.12621235640328	-22.6993521663032	-10.5656733296213	-6.16150790226238
MI24	-1.05348053216047	-2.74971782614083	-2.70651903202329	-3.98210367929119	-7.23856913874251	-3.86653514372904	-5.24114075857148	-11.4635888933898	-5.51201174602925	-8.53555468998033	-8.36239017061622	-7.58611634381887	-22.6993521663032	-6.94067821792808	-6.63367965516327
MI23	-1.16253234156258	-3.7550319209752	-2.33385850500556	-3.64465560824311	-8.63921379349523	-3.41242789484784	-4.52945628609801	-8.90726378187569	-6.31057780039569	-11.1993566472223	-5.42800232751116	-8.37999920135317	-17.6172091621082	-16.6172091621082	-5.65711670231812
MI26	-1.26397125567635	-3.67825708614526	-2.46027969288809	-2.90152014712416	-5.30136932402796	-3.75196431753893	-4.39325248813351	-7.77115216225256	-5.74860456044982	-9.2440376711254	-9.69526990314044	-8.67569104399975	-22.6993521663032	-15.7188702621993	-6.12994746053333
MI19	-1.3717227593262	-2.42157780552603	-2.51683834081078	-3.82640886840504	-5.05202636003193	-3.86671849818484	-5.3090011586355	-8.20179480115079	-6.07766806336122	-10.3804507819943	-5.87291976811723	-9.16148926605816	-14.3976874869196	-19.3552413930545	-5.64562854736794
MI18	-1.04926307883024	-3.70934826144589	-2.77092342240672	-3.52336433570794	-5.03498814106076	-3.05267027014225	-6.62039898118207	-8.06438234545661	-6.53113164308498	-8.67587251274993	-8.67739836698089	-7.5650953973561	-22.6993521663032	-8.35699774184012	-5.80341508676622
MI15	-1.05267020187964	-2.35950936349202	-1.68303424331372	-7.68929980048096	-11.1493919937822	-7.55838551672707	-11.5680680701244	-11.1421422547028	-15.8754965953167	-19.7823871909252	-13.8997441415633	-12.6531041739802	-22.6993521663032	-16.7823871909252	-14.9750322688676
MI25	-1.3955315568927	-3.42169900695413	-2.7256613636309	-3.61356915990592	-6.88224303548452	-2.31802769519395	-4.70721427049596	-8.41023633025911	-5.65069354855702	-8.13042867019005	-6.97923158101534	-8.97073863899057	-22.6993521663032	-15.6145948287653	-6.63694158528894
MI22	-0.955719638638931	-3.71810005614222	-2.68886018091817	-3.1414216638778	-5.6806934323008	-4.03270996617434	-6.27272913745445	-9.96257201094959	-6.29092435379909	-11.1582704128695	-7.40791826508842	-6.20294770092568	-22.6993521663032	-7.90575387894974	-6.85444544754306
MI14	-2.22932886872802	-4.20234239658748	-3.61017585805533	-4.09434295504238	-6.82446684787304	-0.839941742991855	-7.28466693049595	-8.19863474820867	-7.36173026431066	-10.6393318117953	-10.575877368059	-11.0438214431475	-21.6993521663032	-12.6278898037465	-7.22444213720443
MI16	-1.39967800087306	-3.32701560472901	-3.11543490511893	-3.21577515326145	-6.94607017023783	-2.09407679547661	-6.43883633180737	-7.69450182496914	-5.69372561211972	-9.69201941247099	-9.31255415138973	-8.54627189462615	-13.8028192508162	-11.6124077931387	-6.11119664211076
MI1	-1.25727572892663	-3.26144597394802	-2.53933951932225	-3.11780731545458	-4.50589232482541	-3.97298950931305	-5.35207199339725	-7.70752618599506	-6.26394774769895	-7.50722753550923	-8.05803302549832	-7.67790413636468	-22.6993521663032	-14.0921900362304	-5.26528850965204
MI2	-0.980777129501073	-3.72236118125743	-2.67646755342335	-3.45687823335982	-4.01597789932943	-4.80791089916772	-5.09226123646936	-6.98317831161115	-6.88189982121128	-9.82072137655849	-8.34576881116332	-7.67599092785176	-16.1143207483874	-13.7450869387216	-5.82251052822481
MI3	-0.831667295383745	-4.67609008920575	-3.69345160920327	-4.57009135489322	-5.18206624877564	-4.62422247450015	-2.41417446064967	-6.77872744390914	-6.9641581233276	-9.69077191186	-10.3499153647248	-9.95806185589211	-19.7303764298138	-14.7996390922509	-8.0513362434207
MI4	-1.2694039927545	-3.99832882505223	-2.55735232964335	-3.89643647842367	-2.19025777737538	-5.20523011740864	-6.77149735699028	-7.43425493577718	-7.23390014733161	-8.49398253071297	-9.64226905286709	-8.8091333272071	-12.3287695800503	-14.3287695800503	-6.47218842928549
MI5	-1.20695365243674	-3.78811194377476	-2.12809174023268	-3.6204061025052	-5.49410295139473	-3.86357084496472	-5.34880339824576	-7.97268113874479	-4.49820768577871	-9.17300077068132	-8.5390279612986	-8.0983016709788	-14.6800402708257	-10.7082230385964	-6.38105036341332
MI6	-1.15316798589874	-4.20357563477219	-2.06805476619932	-3.70315033047269	-3.178998740641	-6.86191573726316	-4.73015231059645	-6.72335428872105	-7.09962995857487	-9.08144282490522	-9.83103602739918	-11.5618493945838	-17.6018650734317	-11.1589215775829	-8.09090315415429
MI7	-1.56722141945932	-4.58853546142803	-2.94384441904993	-4.99776776377143	-4.1713974786474	-2.18281251985883	-9.00588040955875	-2.54293231980871	-8.38741210562187	-13.0387950320315	-8.881253755045	-10.3180114509474	-22.6993521663032	-19.3552413930545	-7.819775481061
MI8	-1.17228777617115	-3.53433752245711	-2.54576215104772	-3.19092119122481	-4.00398521239255	-4.40518063271495	-6.15692373016361	-7.46191157936998	-4.94590323992388	-9.56583457016184	-8.43969354002875	-7.36565701148197	-16.6733132167885	-8.43634233052911	-6.1181489366484
MI9	-0.980854727596567	-4.55802546978841	-2.71587057409579	-4.33057020124611	-5.38902491296067	-2.36226475734417	-7.04054137679355	-9.27530945447591	-6.9806559711044	-8.47964401200848	-8.82760576627675	-8.98860885797275	-16.6306605509007	-10.1562785907975	-7.47436675452975
MI10	-0.986651581340207	-2.78542126309193	-2.53390144269423	-3.05788068171499	-9.72383652835693	-6.41064912353024	-7.1510282279204	-12.6331497862323	-7.80430660513026	-11.1017027948381	-14.3185141839113	-6.69824481445419	-13.5055997365118	-7.12522192704456	-6.00563122862694
MI11	-1.4636478102323	-3.84225317794776	-2.91777595467445	-2.99501393715119	-4.91789635484484	-2.22797321345301	-5.95678492960391	-7.78202104399003	-5.78428753609524	-8.90741910446424	-7.99412509594842	-8.13556059489535	-10.9880448924426	-9.48538593556004	-6.24720809652058
MI12	-3.67668780065482	-4.64241778160294	-5.11366894525497	-6.02945026211294	-8.23584729936605	-4.35272981295469	-8.60787365994463	-0.366592420582006	-8.48504793752529	-14.6154948876039	-12.5246797244182	-9.93812361363678	-18.4981379369657	-9.04538190793324	-9.68248779660489
MI13	-1.00477048248464	-3.05355756067065	-2.43277729170721	-3.98208042359301	-4.73038801054715	-3.95123837755608	-7.22311001335921	-9.96866866308414	-7.02332364221604	-9.50753474921584	-8.05355756067065	-9.40130022237772	-12.7760235851417	-10.2650616658644	-7.06929212113293
CON1	-1.21737451172533	-3.91467221418167	-2.5136800468171	-3.38194760586376	-4.23262460800814	-3.86182363473626	-3.97571351457655	-8.20593975636723	-5.49088119960807	-10.3877110006577	-7.00782752845369	-8.98258457554168	-15.9474067427684	-12.0894257476408	-6.5468830443849
CON2	-0.648531227046468	-4.43825835011185	-2.95290572949954	-4.39063058586713	-3.91868421663684	-4.59844805480904	-6.12272766730882	-9.9682409069287	-7.5954844503247	-12.6726862594086	-11.2148356765908	-9.92619217341549	-22.6993521663032	-8.67268625940859	-7.12848990472717
CON3	-1.18651268234735	-4.11445487778598	-2.41575868129965	-3.25342769605401	-3.83990587354776	-3.717179223007	-5.5765364718276	-8.81348752524323	-5.71764086598642	-8.83020492018816	-10.4982231606369	-8.1233124896132	-22.6993521663032	-14.0204499060101	-5.96147947989944
CON4	-1.23390348952789	-3.8916069939158	-2.64555255684357	-3.26938467073368	-3.87501512036258	-3.05192470180568	-5.86311102705874	-7.12764624835255	-6.73494136886651	-10.578385161192	-9.3797940862044	-8.40987318145019	-22.6993521663032	-13.2756506315379	-5.94038789814897
CON5	-1.46073380306769	-3.10340939127008	-2.98955007018478	-3.35174896786623	-4.95472920533831	-2.27955377419201	-6.51321142990331	-8.37176412903713	-6.09874563463072	-9.55462818618694	-7.54324459698149	-8.28723061882547	-7.94170302342975	-7.32485966444656	-6.71592355074809
CON6	-1.4232766864426	-3.6281258669741	-2.8350309011617	-2.85175888421568	-10.3823985930423	-2.02566984808777	-7.19682386481877	-11.3560873159265	-7.46024745194462	-11.5967004270525	-11.5216733816445	-12.6226022904952	-10.3217358111357	-19.3552413930545	-7.20682990961078
CON7	-0.743334691386612	-5.43975192644829	-2.01291334137413	-6.18908292850588	-8.57807288749184	-6.21822366710032	-3.3497819625267	-12.2255313139468	-12.0798538587511	-13.0083005977261	-18.5474594088341	-8.62934155780234	-11.2620571899719	-19.3552413930545	-10.985216984613
