Feature	MI35	MI33	MI32	MI38	MI36	MI34	MI37	MI27	MI28	MI29	MI31	MI17	MI21	MI20	MI24	MI23	MI26	MI19	MI18	MI15	MI25	MI22	MI14	MI16	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47
衣原体纲 (Chlamydiia)	715788	478116	295823	190904	340754	307961	467336	278196	505374	289031	446115	502005	784749	343962	786471	359262	404232	216860	560855	434717	438624	486658	726208	547065	328781	647028	977481	341445	477587	447220	369174	463739	616939	381498	393988	347442	384497	326109	345708	343161	295138	293160	324498	457726	363576	276396	510450	331627	93740	346477	239407	526175	409586	402287	474803	380178	341549	269548	210145	424471	281994	223492	501271	426865	912376	449398	486910	288566	388174	389855	367284	334593	297974	419328	281510	342966	441534	461753	655948	339893	286205	414207	364977	505361
芽孢杆菌纲 (Bacilli)	117785	94714	66922	43766	42597	190124	136789	48648	133015	45176	88336	42785	87589	43985	242697	59565	75833	104747	88733	175715	107685	71724	184980	143831	81958	96744	68049	51503	79808	53983	45470	90204	51690	109650	75762	177897	92928	50280	24997	45092	46771	93888	70386	17654	68596	98242	46767	41809	67508	45323	59748	83025	119102	47606	57268	52932	94119	56189	63155	91084	59090	73395	43476	56066	61891	71584	123568	71857	136939	62819	73087	71589	59860	71724	106777	69876	58895	49047	64401	66294	57974	112242	49579	242065
γ-变形菌纲 (Gammaproteobacteria)	217117	163768	200681	82688	184423	190687	156385	118124	246247	101356	201995	136663	215200	76295	250074	159517	176403	98054	170051	280833	174455	146385	278859	166550	135197	199742	134470	139833	252210	237199	142176	178985	185332	130534	143796	128324	142896	132781	69988	146372	110937	101598	121964	189856	162190	127292	148547	135689	71963	114480	79867	162890	110487	82747	142877	114951	196319	133061	188290	190826	98493	118738	257528	107969	277339	152095	217229	176382	157200	129134	154318	141562	128824	169988	104212	97206	125026	180602	253207	101938	214129	213475	154199	95350
梭菌纲 (Clostridia)	196177	79202	88113	74901	64209	65532	85869	62650	113038	64231	87994	111806	158132	74015	103295	64301	129921	39559	100942	4369	94275	106970	199359	155360	90538	116290	73237	55272	89646	76366	34240	114447	60517	90780	136300	68019	48824	72738	25836	81902	71992	79041	120558	10502	93221	11070	97795	68360	48672	72334	11905	110107	131806	54967	91156	59550	77227	72371	64916	148319	68438	33953	70312	144466	136789	71658	102264	125730	94835	96131	87464	165812	62732	69868	73252	81283	86702	143669	82097	55354	70921	119874	94560	44963
拟杆菌纲 (Bacteroidia)	44216	34328	41349	68002	203498	22033	24533	97803	36432	12624	30289	29838	18961	20669	10809	2017	24618	16916	35402	397	9782	18402	30046	11706	34592	78929	47919	180350	24462	109821	60715	65140	29057	894	35946	14738	29065	40335	35834	54544	47312	26020	652	2005	25246	318	60602	79979	143	23000	239088	26447	13663	4507	8421	3389	54980	22346	37138	11321	18788	42096	6750	22390	5674	26819	34723	5398	22621	66790	13349	21539	11463	39911	40079	63644	20713	11069	6420	18243	17986	6370	7428	14938
柔膜菌纲 (Mollicutes)	66280	61408	28777	21704	39665	33839	42865	22671	65510	74503	73448	10259	187524	31915	111910	75531	72056	38469	139883	4784	231416	57671	1902428	338068	50049	45587	70540	22311	75741	8551	240946	49326	236808	8886	231952	217457	49879	52156	22370	59387	83704	166194	213734	10292	35454	10710	116109	24165	5073	34625	9745	33194	133241	39875	130862	25948	244642	25014	39793	51119	84729	7136	18338	30086	96719	83302	47832	92660	25716	69009	29138	63336	71230	119560	323489	26095	46446	98184	67291	33684	37051	34310	49695	33656
放线菌纲 (Actinomycetia)	25124	38813	8068	27985	6497	3189	17486	38568	7620	4962	33387	4680	23495	10975	43159	34823	46198	14156	11797	297	44175	12208	21840	16638	19242	37432	326382	7534	27054	37475	2128	14647	9249	5319	17495	11388	5164	48197	7777	16367	11926	8834	5932	75160	24300	476390	8968	17731	14855	13748	7114	10037	4156	9156	27337	130799	14707	18054	11633	9244	13189	960	731	10718	137634	27315	12470	5864	10306	5727	13796	26385	10237	24264	24427	6204	30776	41863	40845	14547	7326	6893	18447	7967
黄杆菌纲 (Flavobacteriia)	6693	2370	4810	935	3224	2980	563	2495	4117	1733	1986	76	15972	1282	578	1675	4444	1906	4336	399	3392	946	11591	6968	3760	10093	15844	4759	4389	9413	187721	5928	1965	119	4937	3446040	770	2568	541	1736	4964	2436	332	160	1596	155	1925	1883	11529	1743	363	10108	5788	2792	1344	1006	14849	2361	1537	1190	3495	131	831	3381	1798	2085	5604	6453	1446	2687	4141	4675	1690	5222	1043	1881	2138	936	1233	1000	1156	2684	1939	1333
α-变形菌纲 (Alphaproteobacteria)	15228	12970	11130	5279	5286	9074	24593	12825	18762	8578	23296	977	15894	6696	35771	10132	18056	8309	12550	15	22970	12055	20704	27887	10227	10827	13933	5468	48785	7252	3267	33908	9641	3382	19717	12400	5931	16862	2802	14842	6517	11774	4942	177	9041	103	13652	7977	172	13528	3984	9428	15732	8372	12135	5655	16119	7618	9607	21010	8312	587	8463	6900	12432	16818	15405	6112	7206	11267	5172	8846	11797	14827	7810	12416	12131	234343	22072	10087	22783	40546	13740	7070
β-变形菌纲 (Betaproteobacteria)	1755	4974	1088	1621	3364	426	8430	592	2201	1179	1308	1139	2869	910	4399	342	1601	421	2838	1	4118	413	2135	1745	4320	1412	2105	2283	1910	1836	130	1379	3411	344	2263	177	1060	566	83	1716	454	1073	281	93	2946	48	689	1689	3	705	165	1343	1167	1145	876	739	709	1306	1178	1345	3348	24	909	1208	464	3444	3963	904	1408	1161	724	5438	1485	958	5478	2429	553	11430	2508	917	1580	1101	2706	1320
丹毒丝菌纲 (Erysipelotrichia)	8311	6733	1407	2053	1541	6	5764	1895	6339	783	925	9	9970	489	4960	18680	1171	9576	2835	59	9146	5558	2231	2270	2949	3925	1333	1030	2964	1092	2320	3010	2680	37	4262	754	2904	5892	228	540	1042	4326	296	2	660	8	1571	1883	2	1305	58	6196	202	11758	2476	2987	976	2309	674	220	1249	35	0	1458	5936	3932	7231	101	3069	13463	362	4135	990	7156	2024	2454	2938	1378	1425	635	1023	117	4161	1947
ε-变形菌纲 (Epsilonproteobacteria)	8610	11137	2973	6463	4601	549	1171	1165	4747	3499	2266	943	543	1112	8495	2414	2374	980	6129	140	2300	12813	1613	3861	3838	6244	1749	1835	4023	329	857	6337	2397	7280	3864	4529	1141	1499	557	2801	2041	2583	138	1935	1035	10	3799	1137	483	2538	591	9001	6494	296	1209	2581	344	2070	3663	31574	1280	607	12270	2231	4662	2612	2879	2482	837	3947	1881	1348	1788	1567	3357	13980	927	1149	4028	4551	1932	2139	2188	1392
Negativicutes纲	239	1	208	12	14	19	8	0	0	105	0	478	2	0	0	4	0	26	0	0	0	0	1	101	0	18	2	160	42	5	0	10	12	65	535	12	110	12	0	0	0	3282	680	312	0	5	0	0	0	0	28	0	0	0	4	373	4	0	2	0	0	0	79	4	0	0	63	6	15	0	34	0	4	0	2	16	2	4	4	0	2	0	64	743
δ-变形菌纲 (Deltaproteobacteria)	1847	153	89	6079	291	0	754	1700	156	406	272	4	1443	410	13288	8	18	0	3540	8	23	3936	538	461	45	93	61	40	659	435	0	3017	1067	5415	1516	8409	627	174	1328	47	70	5033	0	0	2049	16	372	152	6	1812	0	1614	38	2	1101	164	0	465	81	8	506	0	0	939	11	296	148	17	139	308	45	18	283	125	7107	629	6	70	4	7474	46	0	411	81
真细菌纲 (Eubacteriia)	12449	9588	25450	3307	2438	16887	3515	7547	30304	15623	20528	56044	22682	8681	16439	15937	13862	11210	20783	28	11595	8157	22771	20880	20435	22564	6558	9271	13228	3648	4842	15046	6847	11766	14305	5407	5745	8110	3873	12534	11304	7676	5891	378	14522	6868	8549	3126	249	8058	7253	9470	14026	5159	11772	6606	9899	10646	8185	6481	8513	6135	57795	9024	13064	10448	8928	18734	6286	7326	15863	15323	12749	21166	5357	8271	11640	19446	9496	11485	9755	22849	12944	6845
