feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	log2FC	Trend	MicrobeClass
HF22__9251	Group	MI	-3.41626945611169	0.754177096441534	84	57	1.98484926703299e-05	0.00764828584230046	-3.41626945611169	Down	virus
HF22__9393	Group	MI	-2.89598398621523	0.630045731308703	84	33	1.54096974129234e-05	0.00764828584230046	-2.89598398621523	Down	virus
HF24__30087	Group	MI	-3.09681016641983	0.668825319416593	84	39	1.35461850212111e-05	0.00764828584230046	-3.09681016641983	Down	virus
CON43__13370	Group	MI	-1.9442126381132	0.439275615278695	84	28	2.93280455638842e-05	0.00847580516796254	-1.9442126381132	Down	virus
CON34__10987	Group	MI	-2.14632538248083	0.528893227300114	84	20	0.000112308421377012	0.0205459128822898	-2.14632538248083	Down	virus
CON34__8025	Group	MI	-1.99847895004894	0.49598093213303	84	31	0.000124412967280302	0.0205459128822898	-1.99847895004894	Down	virus
HF7__1727	Group	MI	-2.54698974134891	0.618198231460098	84	22	9.00101692553129e-05	0.0205459128822898	-2.54698974134891	Down	virus
HF10__3047	Group	MI	-1.84187228509113	0.481190180228629	84	43	0.000251696466094928	0.0363701393507171	-1.84187228509113	Down	virus
CON35__16446	Group	MI	-2.01535009156755	0.537896666802681	84	24	0.000332069288274066	0.038387209724482	-2.01535009156755	Down	virus
MI11__8907	Group	MI	-2.3640702040979	0.627081653222028	84	60	0.00030681404046578	0.038387209724482	-2.3640702040979	Down	virus
