feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
HF22__9251	Group	MI	-3.41626945611169	0.754177096441534	84	57	1.98484926703299e-05	0.00764828584230046
HF22__9393	Group	MI	-2.89598398621523	0.630045731308703	84	33	1.54096974129234e-05	0.00764828584230046
HF24__30087	Group	MI	-3.09681016641983	0.668825319416593	84	39	1.35461850212111e-05	0.00764828584230046
CON43__13370	Group	MI	-1.9442126381132	0.439275615278695	84	28	2.93280455638842e-05	0.00847580516796254
CON34__10987	Group	MI	-2.14632538248083	0.528893227300114	84	20	0.000112308421377012	0.0205459128822898
CON34__8025	Group	MI	-1.99847895004894	0.49598093213303	84	31	0.000124412967280302	0.0205459128822898
HF7__1727	Group	MI	-2.54698974134891	0.618198231460098	84	22	9.00101692553129e-05	0.0205459128822898
HF10__3047	Group	MI	-1.84187228509113	0.481190180228629	84	43	0.000251696466094928	0.0363701393507171
CON35__16446	Group	MI	-2.01535009156755	0.537896666802681	84	24	0.000332069288274066	0.038387209724482
MI11__8907	Group	MI	-2.3640702040979	0.627081653222028	84	60	0.00030681404046578	0.038387209724482
CON25__12111	Group	MI	-2.33685858450104	0.654319672848649	84	22	0.000597388648817766	0.0627801161848489
CON47__55906	Group	MI	-2.36334448240686	0.671193647715868	84	21	0.000704832468620459	0.0678988611437708
CON27__77841	Group	MI	-2.06697325917173	0.594559611051393	84	29	0.000815181057585229	0.0724884078898865
MI19__1736	Group	MI	1.30954092180083	0.380257685511081	84	26	0.000906050429587564	0.0748138783288017
CON19__13253	Group	MI	-1.62093167209163	0.47806205319885	84	25	0.00107483806535344	0.0828341869032384
CON26__22847	Group	MI	-2.23216655035039	0.678368917172134	84	67	0.00147578180181074	0.0947779868274007
CON35__38542	Group	MI	-1.27687284163147	0.386387839053757	84	24	0.0014116500613805	0.0947779868274007
CON44__73331	Group	MI	-2.30810867435517	0.694535916539572	84	32	0.00133132969229462	0.0947779868274007
CON13__42474	Group	MI	-2.08173639575534	0.646604588932804	84	48	0.00184095356178536	0.101494629884994
CON31__53650	Group	MI	-1.2957358270633	0.408793647806716	84	20	0.00214600070215536	0.101494629884994
CON31__67138	Group	MI	-2.12480113057098	0.66480382704109	84	37	0.001978499245748	0.101494629884994
CON43__20630	Group	MI	-1.79861589326284	0.558665258242444	84	26	0.001840961611602	0.101494629884994
CON43__53367	Group	MI	-1.69155597167228	0.531559261794244	84	23	0.00206472617668139	0.101494629884994
HF15__98070	Group	MI	2.01010900971936	0.635650932897836	84	39	0.00219495306844709	0.101494629884994
MI36__51170	Group	MI	2.25840069284023	0.708922088125262	84	62	0.00204309885121751	0.101494629884994
MI15__11243	Group	MI	-2.34223443644132	0.743776641836044	84	50	0.00228502653748333	0.101595795281951
HF7__53524	Group	MI	-1.75581907991812	0.564780798601948	84	28	0.00258209951883767	0.110552112732457
CON20__40587	Group	MI	-1.42787603930327	0.465424972912577	84	22	0.00292088531634235	0.120110624459166
CON35__41386	Group	MI	-2.03679552324179	0.666161559668682	84	60	0.00301315580390642	0.120110624459166
CON13__125096	Group	MI	-1.74045060107897	0.589578840578717	84	27	0.00411612651591315	0.129503038846846
CON13__4329	Group	MI	-2.23579163988741	0.747290130562559	84	49	0.00366174554317545	0.129503038846846
CON15__12288	Group	MI	-1.92109547946308	0.657923639636754	84	61	0.00451934647854552	0.129503038846846
CON15__48694	Group	MI	-2.12843366519799	0.723984067569091	84	70	0.00426452381838797	0.129503038846846
