feature	肠杆菌科..Enterobacteriaceae.	链球菌科..Streptococcaceae.	支原体科..Mycoplasmataceae.	梭菌科..Clostridiaceae.	乳杆菌科..Lactobacillaceae.	坦纳菌科..Tannerellaceae.	拟杆菌科..Bacteroidaceae.	肠球菌科..Enterococcaceae.	芽孢杆菌科..Bacillaceae.	毛螺菌科..Lachnospiraceae.	明串珠菌科..Leuconostocaceae.	葡萄球菌科..Staphylococcaceae.	瘤胃球菌科..Ruminococcaceae.	丙酸杆菌科..Propionibacteriaceae.	普雷沃菌科..Prevotellaceae.	双歧杆菌科..Bifidobacteriaceae.	韦荣球菌科..Veillonellaceae.	丹毒丝菌科..Erysipelotrichaceae.	柯林斯菌科..Coriobacteriaceae.	真杆菌科..Eubacteriaceae.	阿克曼氏菌科..Akkermansiaceae.
MI35	193577	45725	66280	34761	16889	7804	36412	18096	12787	1001	14252	3366	1474	2996	0	1727	239	8311	5241	12487	0
MI33	140999	20859	61408	24292	12656	9590	24738	37347	13428	629	818	3195	31	3318	0	60	1	6733	1986	9590	0
MI32	184459	33083	28777	28851	4878	12379	28366	7825	13657	3715	113	3711	108	247	239	32	208	1407	95	25464	0
MI38	73899	15025	21704	19139	3228	16780	51222	8493	12596	834	724	1885	3844	515	0	98	12	2053	189	3359	0
MI36	173049	21202	39665	19100	1061	54513	148985	8381	8158	1181	194	1672	492	161	0	14	14	1541	304	2439	0
MI34	184194	29399	33839	33842	105409	5536	16497	23628	26003	1023	890	768	103	4	0	266	19	6	1825	16941	0
MI37	133776	22230	42865	33152	17124	9619	14914	76049	15454	2810	405	1188	54	1906	0	25	8	5799	255	3594	11660
MI27	96156	5604	22671	21511	3516	76645	21155	6152	17637	1068	1111	9441	420	1286	3	606	0	1895	2985	8002	0
MI28	233346	37396	65510	34713	9951	5862	30570	22460	55588	1994	926	1460	254	931	0	0	0	6342	0	30304	0
MI29	87039	5796	74503	23597	2785	4119	8503	12960	10735	3092	2477	2433	9	1554	2	22	105	783	966	15629	0
MI31	188586	47192	73448	40207	1982	4152	26137	9520	13733	2178	880	7169	14	1551	0	0	0	925	50	20532	0
MI17	76360	6961	10259	24481	16127	5131	24707	7241	11909	4338	0	515	0	3	0	0	478	18	0	58216	0
MI21	187322	13400	187524	55835	12751	5249	13599	7766	18964	3127	10157	10978	612	3403	113	4	2	9970	2384	23033	0
