feature	肠杆菌科..Enterobacteriaceae.	链球菌科..Streptococcaceae.	支原体科..Mycoplasmataceae.	梭菌科..Clostridiaceae.	乳杆菌科..Lactobacillaceae.	坦纳菌科..Tannerellaceae.	拟杆菌科..Bacteroidaceae.	肠球菌科..Enterococcaceae.	芽孢杆菌科..Bacillaceae.	毛螺菌科..Lachnospiraceae.	明串珠菌科..Leuconostocaceae.	葡萄球菌科..Staphylococcaceae.	瘤胃球菌科..Ruminococcaceae.	丙酸杆菌科..Propionibacteriaceae.	普雷沃菌科..Prevotellaceae.	双歧杆菌科..Bifidobacteriaceae.	韦荣球菌科..Veillonellaceae.	丹毒丝菌科..Erysipelotrichaceae.	柯林斯菌科..Coriobacteriaceae.	真杆菌科..Eubacteriaceae.	阿克曼氏菌科..Akkermansiaceae.
MI35	0.400428194652738	0.0945855096447226	0.137105031804313	0.0719056730620055	0.0349361328023995	0.0161431452655531	0.0753208874179035	0.037432900656772	0.0264508455292962	0.00207064177483581	0.0294813052696902	0.00696281739670063	0.00304907689920877	0.00619744531209598	0	0.00357242591922222	0.000494388995190567	0.0171919118787816	0.0108413921497647	0.0258302735688059	0
MI33	0.379357938861057	0.0561211586373151	0.165218280339434	0.0653576482869581	0.034050979611384	0.0258019037984492	0.0665576116961456	0.100482137764409	0.0361280463196638	0.00169232507708285	0.00220082975048294	0.0085961504312873	8.34055284412852e-05	0.00892708204413498	0	0.000161430055047649	2.69050091746081e-06	0.0181151426772637	0.00534333482207717	0.0258019037984492	0
MI32	0.488485596402676	0.0876106288432103	0.0762074499356486	0.0764034172461826	0.0129179532538518	0.0327821532040655	0.0751190369001149	0.0207222189855249	0.0361665616211263	0.0098380886301885	0.000299247379599273	0.00982749580259206	0.00028600634510373	0.000654107104079828	0.000632921448886959	8.47426207714756e-05	0.000550827035014592	0.00372602710704582	0.000251579655415318	0.0674339404789017	0
MI38	0.313664319458062	0.0637736153379259	0.0921226320994571	0.0812354891149793	0.0137012466097055	0.0712227131694107	0.217411788674825	0.03604854010416	0.0534637243791357	0.00353991315752614	0.00307301813674931	0.00800088285603929	0.0163158587260557	0.00218591759727333	0	0.000415961018510265	5.09340022665631e-05	0.00871395888777117	0.000802210535698369	0.0142572761344488	0
MI36	0.358928993665556	0.0439760560517375	0.0822710245869337	0.0396161999145452	0.00220066953452002	0.11306795319066	0.309016730066414	0.017383422590775	0.0169208879006733	0.00244956712560617	0.000402384438922605	0.00346797310246699	0.00102048012345321	0.000333937601373915	0	2.90380522933839e-05	2.90380522933839e-05	0.00319625989886461	0.000630540564084907	0.00505884353882595	0
MI34	0.383584066373451	0.0612234272957484	0.0704697287751566	0.0704759762761562	0.219514277622284	0.0115287218445955	0.0343550079968013	0.0492053178728509	0.054151256164201	0.00213039784086365	0.00185342529654805	0.00159936025589764	0.000214497534319606	8.33000133280021e-06	0	0.000553945088631214	3.9567506330801e-05	1.24950019992003e-05	0.0038005631080901	0.0352796381447421	0
MI37	0.340494849664153	0.0565811543777218	0.109102617291995	0.0843804961731999	0.0435850511724745	0.0244828665748676	0.0379600241290753	0.193564561820574	0.039334465126105	0.00715218370676556	0.00103083074777226	0.0030237701934653	0.000137444099702968	0.00485126766729365	0	6.3631527640263e-05	2.03620888448842e-05	0.0147599691514354	0.000649041581930682	0.0091476684135642	0.0296777444914187
MI27	0.322818467488518	0.0188139553621787	0.0761119168479575	0.0722175220906185	0.0118040447989687	0.25731541911745	0.0710223457685387	0.0206537211613354	0.0592115864958505	0.00358552896623963	0.00372989015120995	0.0316956731931351	0.00141003948110547	0.00431740660167056	1.00717105793248e-05	0.00203448553702361	0	0.00636196384927349	0.0100213520264282	0.026864609351919	0
MI28	0.434045687649156	0.0695601061742128	0.121854812158324	0.0645694717516699	0.018509803629789	0.0109038758795923	0.0568630988807809	0.0417777298286667	0.103398951278536	0.00370902908630282	0.00172244781038937	0.0027157384483461	0.000472464086219115	0.00173174828452755	0	0	0	0.0117967213968568	0	0.0563683136566302	0
MI29	0.338529573060453	0.0225429681574741	0.28977204220778	0.0917781952401511	0.0108319817664881	0.0160204426916211	0.0330715766464807	0.0504066368738551	0.0417527196636446	0.0120260278714475	0.00963404626053541	0.00946291261682788	3.50046089401771e-05	0.00604412914367058	7.77880198670603e-06	8.55668218537663e-05	0.000408387104302066	0.00304540097779541	0.00375716135957901	0.0607874481251143	0
