feature	肠杆菌科..Enterobacteriaceae.	链球菌科..Streptococcaceae.	支原体科..Mycoplasmataceae.	梭菌科..Clostridiaceae.	乳杆菌科..Lactobacillaceae.	坦纳菌科..Tannerellaceae.	拟杆菌科..Bacteroidaceae.	肠球菌科..Enterococcaceae.	芽孢杆菌科..Bacillaceae.	毛螺菌科..Lachnospiraceae.	明串珠菌科..Leuconostocaceae.	葡萄球菌科..Staphylococcaceae.	瘤胃球菌科..Ruminococcaceae.	丙酸杆菌科..Propionibacteriaceae.	普雷沃菌科..Prevotellaceae.	双歧杆菌科..Bifidobacteriaceae.	韦荣球菌科..Veillonellaceae.	丹毒丝菌科..Erysipelotrichaceae.	柯林斯菌科..Coriobacteriaceae.	真杆菌科..Eubacteriaceae.	阿克曼氏菌科..Akkermansiaceae.
MI35	-1.32038453516496	-3.40223700795358	-2.8666465753682	-3.79775059191193	-4.83913626943014	-5.95293449486799	-3.7308061921345	-4.7395493434872	-5.24054234942312	-8.91570629864102	-5.08405578934372	-7.16611309614707	-8.35741174838195	-7.33411064901827	-19.9986317453378	-8.12888018994809	-10.9820657494963	-5.86212619675275	-6.5273061638391	-5.27479326663358	-17.7993417072643
MI33	-1.39836836542752	-4.15531139565915	-2.59755477437701	-3.93550011672232	-4.8761598860996	-5.2763786706669	-3.90925252396317	-3.31498903178221	-4.79073694887484	-9.20677756369311	-8.82773673763065	-6.86209355473804	-13.5494974601855	-6.80759559961653	-19.9986317453378	-12.5968031749639	-18.5036937705724	-5.7866600210815	-7.54804386304402	-5.2763786706669	-17.7993417072643
MI32	-1.03361207170044	-3.51275028285709	-3.71392414927602	-3.71021902358349	-6.27447868510138	-4.93094557283561	-3.73467762343287	-5.59267769119022	-4.78919974323093	-6.66740623247161	-11.7063737654824	-6.66896044220004	-11.7716652257341	-10.5781854963129	-10.6256859199168	-13.5265527278976	-10.8261130097565	-8.06814611466103	-11.9566971195666	-3.89038128626164	-17.7993417072643
MI38	-1.67270666857038	-3.9708965196129	-3.44030055781694	-3.62174605861101	-6.18954902682103	-3.81151879477162	-2.20149792544393	-4.7939153554719	-4.2252958479634	-8.14207031665414	-8.3461280030156	-6.96562508194278	-5.93758126932506	-8.83754526802823	-19.9986317453378	-11.2312640459836	-14.2610113893777	-6.84245597799021	-10.2837314658777	-6.13215780986431	-17.7993417072643
MI36	-1.47822962860706	-4.50713796643085	-3.60347177911828	-4.65776568984448	-8.82784176674019	-3.14473801016001	-1.69424314759762	-5.8461440300267	-5.88505091586243	-8.6732574582578	-11.2791378654678	-8.17169157557407	-9.93653620231571	-11.5481338295403	-19.9986317453378	-15.0716957855974	-15.0716957855974	-8.28939956114017	-10.6311231942114	-7.62697666485877	-17.7993417072643
MI34	-1.38238530112525	-4.0297723803855	-3.82685252835692	-3.82672463175003	-2.1876133164708	-6.4386236152654	-4.86333577091993	-4.34504194627942	-4.20686138488954	-8.8746614131568	-9.07559031704837	-9.28828934218097	-12.1867513157189	-16.8732518429021	-19.9986317453378	-10.8179694074009	-14.6253243294585	-16.288289342181	-8.03957109424738	-4.82502042619968	-17.7993417072643
MI37	-1.55429511873572	-4.14353457864633	-3.19624238361182	-3.56694661887413	-4.52002278636376	-5.3520837039979	-4.71937528037444	-2.36911324953518	-4.66806222394528	-7.12740049145239	-9.9219768087887	-8.36943578575992	-12.8288674043972	-7.68742250265074	-19.9986317453378	-13.939898716786	-15.5837549065607	-6.08216648362829	-10.5894014697018	-6.77238021305074	-5.07447473847282
MI27	-1.63120498160003	-5.73205300324663	-3.7157338355009	-3.79150727002688	-6.40457488853404	-1.95839018457908	-3.81558317843374	-5.59745445571562	-4.07797668039803	-8.12359831198989	-8.06665114228836	-4.97957027965787	-9.47004872601133	-7.8556193163495	-16.5993317429563	-8.9411202602045	-22.2533131417301	-7.296312110619	-6.64077902752528	-5.21814933033185	-17.7993417072643
MI28	-1.2040811861445	-3.84559605504723	-3.0367648693504	-3.95300396545179	-5.75556660001369	-6.51901514483332	-4.13636346574853	-4.5811220902349	-3.27370654166128	-8.07474270312467	-9.18132401426263	-8.52443974375549	-11.0475077107507	-9.17355503996407	-19.9986317453378	-21.2533131417301	-22.2533131417301	-6.40547023541903	-19.2729896484762	-4.14897178205448	-17.7993417072643
MI29	-1.56264622550642	-5.47117870691108	-1.78700968741111	-3.4457047524262	-6.52855897424062	-5.96394217559975	-4.91826436390587	-4.31024248869602	-4.58198601572188	-6.37769598254316	-6.69764243322165	-6.72349998152958	-14.8020955850257	-7.3702497980603	-16.972020586468	-13.5125889678307	-11.2577750688019	-8.35915208917697	-8.05614120763224	-4.04008273447953	-17.7993417072643
