Feature	MI35	MI33	MI32	MI38	MI36	MI34	MI37	MI27	MI28	MI29	MI31	MI17	MI21	MI20	MI24	MI23	MI26	MI19	MI18	MI15	MI25	MI22	MI14	MI16	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47
肠杆菌科 (Enterobacteriaceae)	193577	140999	184459	73899	173049	184194	133776	96156	233346	87039	188586	76360	187322	68600	223357	119484	144183	81962	163466	280738	152039	119048	260665	132240	121127	179262	121817	127572	219796	202328	116720	163557	175223	104459	125770	95039	133652	108656	30727	120765	103339	93892	116099	29882	152599	48260	139111	110618	32619	102708	50920	151219	102196	71778	124992	76706	192024	102923	181981	177212	88900	85177	181829	97621	182724	120920	197589	159144	139785	117403	120723	104378	110736	128192	85100	69085	98526	167584	227557	90786	183954	186627	136287	84904
链球菌科 (Streptococcaceae)	45725	20859	33083	15025	21202	29399	22230	5604	37396	5796	47192	6961	13400	21093	143852	16241	17958	66369	44211	4765	34519	6586	42232	18507	12468	14800	9144	12281	24553	14664	3088	44630	15200	65430	20292	31492	17429	4729	2644	5348	19943	6236	40746	4315	5538	968	15498	7500	1592	11526	18154	10072	35415	15746	10359	8113	21211	6319	8104	9001	17582	35444	11935	9476	19299	12542	84835	8513	97391	11677	15084	8351	24216	13887	11132	8148	10362	7953	12681	6211	10885	14695	9065	114032
支原体科 (Mycoplasmataceae)	66280	61408	28777	21704	39665	33839	42865	22671	65510	74503	73448	10259	187524	31915	111910	75531	72056	38469	139883	4784	231416	57671	1902428	338068	50049	45587	70540	22311	75741	8551	240946	49326	236808	8886	231952	217457	49879	52156	22370	59387	83704	166194	213734	10292	35454	10710	116109	24165	5073	34625	9745	33194	133241	39875	130862	25948	244642	25014	39793	51119	84729	7136	18338	30086	96719	83302	47832	92660	25716	69009	29138	63336	71230	119560	323489	26095	46446	98184	67291	33684	37051	34310	49695	33656
梭菌科 (Clostridiaceae)	34761	24292	28851	19139	19100	33842	33152	21511	34713	23597	40207	24481	55835	14317	41650	20192	34867	15736	53293	1643	35639	22986	80635	53640	26147	49490	24527	23506	32717	33432	9609	35596	20805	29807	51264	24719	19943	25485	9525	27779	32445	21842	66760	1895	34217	3365	31096	24745	19716	28912	5154	36208	36743	16268	25768	20539	36324	25486	30991	34604	24372	4229	10365	39158	85385	31812	32417	46497	30535	38553	30695	43729	19052	31846	20225	24236	33459	38329	33368	19944	30898	29404	46695	14970
乳杆菌科 (Lactobacillaceae)	16889	12656	4878	3228	1061	105409	17124	3516	9951	2785	1982	16127	12751	1077	56563	2107	7763	18846	6131	60866	9828	19427	30296	11675	24515	12813	8078	2092	9760	12369	4781	4821	3475	13050	12085	109658	19181	16063	13530	4590	3828	10664	2668	7410	19770	95347	7610	1836	64954	3389	20310	12769	15244	1324	17304	12898	5465	8767	5743	11299	5365	534	8512	2986	2137	7374	4885	9018	9034	7516	9436	5091	3023	10445	7918	3751	8488	3086	7727	3957	13527	899	9587	5381
坦纳菌科 (Tannerellaceae)	7804	9590	12379	16780	54513	5536	9619	76645	5862	4119	4152	5131	5249	5363	3695	1163	19639	2694	5678	69	1347	4474	13222	2886	13431	30464	11660	47614	4415	35253	15319	34801	14206	0	8938	9471	9438	12525	6952	16920	19991	9043	153	488	10283	140	28428	20077	39	5799	26896	8857	7372	492	2864	544	17632	4573	14966	1869	1164	3371	2	8170	2432	12461	14361	813	11164	57298	3646	10958	2084	5253	16863	21399	2489	4064	484	1833	29	2153	2066	3747
拟杆菌科 (Bacteroidaceae)	36412	24738	28366	51222	148985	16497	14914	21155	30570	8503	26137	24707	13599	15306	6823	854	4979	14222	29724	328	8435	13926	16824	8820	21161	48465	36259	132736	20047	74568	45386	30325	14850	894	27008	5267	19627	27810	28879	37624	27313	16974	499	1517	14963	178	32174	59900	93	16978	212192	17590	6189	4015	5231	2845	37348	17773	22172	9452	17313	38725	6748	14220	3229	14358	20361	4583	11450	9492	9703	10581	9043	34658	23216	42245	13642	6411	5934	3569	1637	4217	5362	11191
肠球菌科 (Enterococcaceae)	18096	37347	7825	8493	8381	23628	76049	6152	22460	12960	9520	7241	7766	8608	11580	14296	23301	4579	5342	109368	37143	10690	14763	85157	16384	17464	9493	8142	9233	12775	20123	6567	3003	15221	8840	16103	3160	10317	3159	9574	8844	10983	8864	5669	6829	390	6287	12054	124	7695	12650	17760	13533	11588	6913	8450	18015	13820	18534	30316	7864	33693	7870	15434	14523	11436	11066	20163	9170	17717	21588	21980	15543	17536	13928	8006	14804	11845	15957	17186	9759	45355	11175	107320
芽孢杆菌科 (Bacillaceae)	12787	13428	13657	12596	8158	26003	15454	17637	55588	10735	13733	11909	18964	6231	15525	18071	18955	8383	13395	302	10559	12347	58359	15098	19471	16952	18042	21259	14965	5026	6489	20807	13718	11586	18721	7402	4806	6233	3158	18326	6546	50623	8761	211	21656	172	10172	11858	269	10838	3157	18129	15405	8247	15764	5213	46514	16982	10842	27378	11700	2860	8403	8262	13792	23783	8745	9319	11367	14297	18548	15885	9468	19850	59924	14826	7406	18526	14930	9426	17799	26835	8259	5603
毛螺菌科 (Lachnospiraceae)	1001	629	3715	834	1181	1023	2810	1068	1994	3092	2178	4338	3127	543	960	1941	1907	799	3346	78	1042	735	9225	5882	2333	3663	1184	2120	4230	4771	951	3613	2274	432	1965	2159	2210	1447	2441	1788	1606	706	181	1231	2620	632	4391	4575	44	1754	1399	5518	1621	738	902	5547	2951	1102	1040	24358	1281	3726	3690	440	10435	3963	5788	3304	11716	2983	2804	5028	786	578	885	970	8833	2407	1663	511	4487	1136	2757	1131
明串珠菌科 (Leuconostocaceae)	14252	818	113	724	194	890	405	1111	926	2477	880	0	10157	790	3417	552	1517	115	4969	10	3815	728	14090	2052	1883	6727	2168	631	5504	698	161	4264	11196	0	6235	795	44299	6620	450	1864	2662	507	27	37	541	36	1229	520	12	3804	3	10765	2407	1274	1588	1045	399	2850	10515	13	5579	24	806	13391	645	1506	5145	437	2912	806	615	5988	1783	1811	8514	25766	703	545	5862	430	615	6645	1115	5205
葡萄球菌科 (Staphylococcaceae)	3366	3195	3711	1885	1672	768	1188	9441	1460	2433	7169	515	10978	3087	1482	2475	1678	3696	5957	41	5180	13677	15723	4050	3829	2570	12748	1798	4306	2543	5029	1659	1271	64	1966	9682	2175	2539	734	1531	1509	5236	7762	6	7253	431	2393	2117	27	2504	315	5230	2143	5106	1409	12400	59	3832	1735	1648	1503	839	2347	1518	3488	2507	3269	2817	2896	2393	3734	6594	1616	3993	2236	1402	6478	1865	3011	14058	2216	1239	4970	1236
瘤胃球菌科 (Ruminococcaceae)	1474	31	108	3844	492	103	54	420	254	9	14	0	612	114	39	313	6	5	886	34	501	5	480	22606	441	837	238	13	316	146	2	1591	31	0	963	1236	640	603	0	201	443	1207	0	0	114	3	3408	756	0	358	0	41	31	287	1029	19	0	3793	13	371	936	0	9	1143	514	116	210	96	99	24	278	188	2125	51	1043	2013	1436	19	1197	23	2882	97	3084	497
丙酸杆菌科 (Propionibacteriaceae)	2996	3318	247	515	161	4	1906	1286	931	1554	1551	3	3403	2284	9648	222	1573	76	1443	3	3409	1770	15384	2089	8113	1699	1195	210	13680	2618	1	1227	553	882	2568	239	545	14295	381	1747	451	4635	1	60	3590	81	1784	1407	5	1052	628	960	2655	50	13543	1444	19	3664	367	1721	2074	0	1	572	74164	9758	1226	1074	1468	952	753	831	362	8617	123	1578	1213	33088	875	237	1362	116	705	1924
普雷沃菌科 (Prevotellaceae)	0	0	239	0	0	0	0	3	0	2	0	0	113	0	291	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	11	223	0	0	102	0	326	0	0	0	0	0	311	0	0	0	13	0	0	2	0	0	0	0	336	0	0	0	4582	594	2	12835	16320	0	0	0
双歧杆菌科 (Bifidobacteriaceae)	1727	60	32	98	14	266	25	606	0	22	0	0	4	0	1110	558	23469	522	30	0	519	333	2	869	452	17	13	37	4	5750	0	7	0	0	0	44	72	564	87	679	86	3	0	8482	26	4597	154	249	3469	10	75	310	20	82	701	105548	0	1278	3552	1881	63	0	0	21	2120	1602	1838	37	42	116	230	239	15	1522	7532	0	284	254	851	44	228	0	689	64
韦荣球菌科 (Veillonellaceae)	239	1	208	12	14	19	8	0	0	105	0	478	2	0	0	4	0	26	0	0	0	0	1	101	0	18	2	160	42	5	0	10	12	65	535	12	110	12	0	0	0	3282	680	312	0	5	0	0	0	0	28	0	0	0	4	373	4	0	2	0	0	0	79	4	0	0	63	6	15	0	34	0	4	0	2	16	2	4	4	0	2	0	64	743
丹毒丝菌科 (Erysipelotrichaceae)	8311	6733	1407	2053	1541	6	5799	1895	6342	783	925	18	9970	496	4960	18680	1197	9576	2835	59	9149	5558	2273	2270	2960	3925	1333	1030	2964	1092	2766	3010	3025	52	4262	754	2904	5892	228	542	1044	4326	296	3	660	8	1571	1883	2	1309	60	6196	210	11772	2476	2987	976	2309	674	246	1249	235	8	1458	5936	3932	7231	101	3069	13465	368	4135	990	7157	2024	2466	2938	1378	1425	637	1023	127	4165	1949
