ID,MI35,MI33,MI32,MI38,MI36,MI34,MI37,MI27,MI28,MI29,MI31,MI17,MI21,MI20,MI24,MI23,MI26,MI19,MI18,MI15,MI25,MI22,MI14,MI16,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47
CON10__100995,0,0,0,0,0,0,0,0,0,0,0,0,23493,6,9,80,0,2,73154,0,187316,0,1857991,256193,0,0,0,0,7581,0,185563,4480,188930,0,190959,0,6756,5181,0,0,2,124499,5,0,0,2,30214,0,1943,0,0,0,0,0,5422,0,0,2,0,0,0,0,0,256,2,59262,4,0,0,0,0,1629,26706,75730,292809,2,2,4,14,6,0,0,0,3990
CON10__50551,49,24,26,29,148,10,0,4,30,14,208,0,514,16,605,2136,571,0,230,0,181,0,34,26,78,20,869,9,43,38,103,130,205,54,14,14,49,47,198,0,230,95,330,0,46,29,6052,38,0,14,0,21,111,7,2183,355,0,26,542,383,53,0,2,370,40,4,182,5,12,175,10,0,142,112,243,0,349,79,54,644,8,131,0,46
CON10__92125,2,5,1137,2,1,10,13,0,5,5,20,2,1,2,1,7,18,0,16,2,3,6,627,10,7,6,32,79,92,8,4,162,7,13,60,0,4,5,2,3,7,9,0,1,7,1,478,11,0,1,7,8,3,7,6,17,3,69,13,14,6,0,0,4,9,11,22,10,157,9,7,8,10,33,2,6,2,9,13,7,1,0,3,3
CON10__98555,537,1281,87,3751,654,0,158,225,911,569,156,5,35,11,0,0,60,0,726,0,89,2313,2575,358,1867,5935,408,890,1255,384,608,1832,0,0,674,271,803,292,75,510,647,952,0,0,134,0,746,284,0,149,0,948,366,12,455,0,58,635,798,0,27,0,0,698,0,606,581,2,69,889,0,61,25,1645,1151,41,218,25,5,45,0,0,358,655
CON11__19551,0,0,0,0,0,0,0,0,2,0,6,0,0,0,80,0,2,0,0,0,0,0,0,158,4,0,188,0,40,0,0,4,0,0,91,0,0,0,0,0,0,3,0,0,0,6,108,753,0,1,0,0,0,10,119,0,0,0,104,2,0,0,0,0,0,0,534,0,0,0,0,0,40,0,0,0,0,0,0,7,0,0,0,19
CON11__37005,330,246,214,986,1744,13,735,35,534,568,0,1518,330,0,100,0,62,0,139,0,2,929,632,157,0,222,7675,864,73,79,1302,185,12,0,433,65,89,460,1513,4303,98,277,0,0,292,0,160,8297,0,26,4102,54,48,87,9,4,4103,27,661,67,14,0,18,228,198,367,316,4,50,197,254,55,242,1598,1306,32,13,212,6,29,0,139,3,67
CON11__48422,254,25,124,278,19,19,14,66,103,105,659,1,95,77,65,22,11,24,965,0,112,113,132,1767,42,464,147,207,56,20,2,1744,15,0,124,15,16,200,468,59,24,92,17,0,121,0,83,778,0,51,3,618,130,30,24,61,47,48,82,28,154,1,12,45,136,197,45,15,47,47,112,5,75,44,52,38,40,40,69,42,165,153,141,19
CON11__65209,1,37,246,0,82,0,38,222,357,325,327,3,16,40,97,374,16,131,24,0,129,14,106,137,210,178,87,142,71,0,0,53,273,1,88,21,3,73,33,1,107,16,0,562,85,0,45,324,2,306,0,127,456,0,237,234,0,23,145,250,119,1,0,77,1190,76,280,278,40,0,291,141,37,0,41,2,10,277,39,0,0,250,38,38
CON11__65258,333,0,10,0,206,0,38,0,19,0,0,5132,0,0,0,0,0,0,0,0,0,2,0,0,0,0,155,82,0,319,0,0,0,0,2,0,0,0,12803,2,6,0,0,0,0,0,0,3872,0,2,5898,0,0,6,0,12,0,2,0,0,0,17676,47,0,0,0,4,0,0,1,1526,0,0,4,0,0,0,0,0,0,0,2,0,0
CON12__10597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,8,0,0,567,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
CON12__2605,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,466,2,6,0,0,0,0,0,2,0,4,0,4,0,4,0,0,5,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0
CON12__4997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON12__5412,0,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,336,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
CON12__6478,0,0,0,0,0,1605,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,6,0,0,0,4,0,3515,49,14,4,0,20,0,0,168,0,110,0,0,28659,0,28,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,26,0,0,0,0,0,5,0,0,0,5,0,0,0
