feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Herbaspirillum	Group	MI	3.095488241042	0.381405772020937	84	24	4.11569171691247e-12	8.62237414693163e-10
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Herbaspirillum.s__Herbaspirillum_sp	Group	MI	3.095488241042	0.381405772020937	84	24	4.11569171691247e-12	8.62237414693163e-10
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae	Group	MI	3.3629849989527	0.610928329470488	84	29	4.12702930829134e-07	5.76408426724691e-05
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	Group	MI	-4.35014052189978	0.823442998497103	84	38	1.02644792503917e-06	0.000107520420147853
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Weissella	Group	MI	-3.9127363073709	0.844746976032714	84	33	1.34624150473631e-05	0.00112815038096903
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Weissella.s__Weissella_confusa	Group	MI	-2.28762170504098	0.604396499730397	84	23	0.000291480000886757	0.0203550200619252
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Weissella.s__Weissella_cibaria	Group	MI	-2.75660399545252	0.750499000763511	84	22	0.000425943342618502	0.0254957515081646
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_infantarius	Group	MI	-2.59943586627656	0.732451837678277	84	20	0.000643312317527258	0.0336934826304901
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Alloscardovia	Group	MI	0.964314462197317	0.32455116891467	84	10	0.00389100594990461	0.127214761741927
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Alloscardovia.s__Alloscardovia_omnicolens	Group	MI	0.964314462197317	0.32455116891467	84	10	0.00389100594990461	0.127214761741927
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_stercoris	Group	MI	1.84089688807387	0.618612499881117	84	48	0.0038385278326107	0.127214761741927
