feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Arthrodermataceae.g__Microsporum	Group	MI	1.28846400988482	0.315235458010648	84	68	0.00010120788030553	0.020443991821717
k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_luchuensis	Group	MI	1.047273689246	0.286165945651336	84	74	0.00044545835200029	0.0299941957013528
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Kluyveromyces	Group	MI	1.23845070491495	0.335298444172704	84	67	0.000397496834393667	0.0299941957013528
k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales	Group	MI	1.06192011514486	0.313164559569678	84	76	0.00107379790258691	0.0310375886725758
k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Arthrodermataceae	Group	MI	1.06192011514486	0.313164559569678	84	76	0.00107379790258691	0.0310375886725758
k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Ophiostomatales.f__Ophiostomataceae.g__Sporothrix.s__Sporothrix_schenckii	Group	MI	1.1710993775274	0.331984023327918	84	71	0.000690058084247683	0.0310375886725758
k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Sordariaceae	Group	MI	0.90449776879588	0.273164032783526	84	69	0.00138286286164942	0.0310375886725758
k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Sordariaceae.g__Neurospora	Group	MI	0.90449776879588	0.273164032783526	84	69	0.00138286286164942	0.0310375886725758
k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Sordariaceae.g__Neurospora.s__Neurospora_crassa	Group	MI	0.90449776879588	0.273164032783526	84	69	0.00138286286164942	0.0310375886725758
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Kluyveromyces.s__Kluyveromyces_lactis	Group	MI	0.992670415993106	0.304427150564707	84	64	0.00161943217837641	0.0327125300032034
k__Fungi.p__Basidiomycota	Group	MI	0.480774345453072	0.15531764067115	84	83	0.00268889603557202	0.0493779090168681
