feature	X21.14.0.10.32.9	AMARA.1	ANME.1	ARS1403	ARS49	Acidilobaceae	Aenigmatarchaeaceae	Altiarchaeaceae	Anstonellaceae	Archaeoglobaceae	B18.G2	B24	B26.1	B3.WOES	BM511	Bilamarchaeaceae	Borrarchaeaceae	CABMGC01	CAIVOO01	CG.Epi1	CG1.02.33.12	CG10238.14	CSSED10.239	DHVEG.1	DSVV01	Desulfurococcaceae	GCA.001856825	GCA.020350865	GCA.020356005	GCA.2686295	GCA.2688095	GLR71	GW2011.AR1	GW2011.AR15	GW2011.AR17	GW2011.AR18	GW2011.AR20	GW2011.AR4	GW2011.AR5	GW2011.AR9	Gearchaeaceae	HEL.GB.A	HEL.GB.B	Haladaptataceae	Halalkalicoccaceae	Haloarculaceae	Halobacteriaceae	Halococcaceae	Haloferacaceae	Hermodarchaeaceae	Hodarchaeaceae	Iainarchaeaceae	Ignisphaeraceae	JAADEF01	JAAZKV01	JABGXB01	JABLTI01	JABXJV01	JACAEJ01	JACPNG01	JAEHCK01	JAFCDX01	JAGGVH01	JAGVZF01	JAHWHD01	JALIDP01	JdFR.42	JdFR.43	Jordarchaeaceae	Kariarchaeaceae	LC.3	MK.D1	Methanobacteriaceae	Methanocaldococcaceae	Methanococcaceae	Methanocomedenaceae	Methanocorpusculaceae	Methanoculleaceae	Methanofastidiosaceae	Methanogasteraceae	Methanoliparaceae	Methanomassiliicoccaceae	Methanomethylicaceae	Methanomethylophilaceae	Methanomicrobiaceae	Methanoperedenaceae	Methanoregulaceae	Methanosarcinaceae	Methanospirillaceae	Methanotrichaceae	Micrarchaeaceae	NBVN01	Nanopusillaceae	Natrialbaceae	Nitrosopumilaceae	Nitrososphaeraceae	Odinarchaeaceae	PNOQ01	PWKY01	Parvarchaeaceae	Poseidoniaceae	QMZM01	QMZS01	RBG.16.68.12	RDOG01	S146.22	SCGC.AAA011.G17	SG8.5	SM23.78	SOJC01	SOKP01	SZUA.1535	SpSt.28	Sulfolobaceae	TCS64	Thalassarchaeaceae	Thermocladiaceae	Thermococcaceae	Thermofilaceae	Thermoplasmataceae	Thorarchaeaceae	UBA10216	UBA164	UBA184	UBA213	UBA233	UBA287	UBA460	UBA472	UBA489	UBA57	UBA583	WJIZ01	WJKL01	WJKR01	WJKV01	WJKY01	Wolframiiraptoraceae
CON1	0	0	4.33631912996092e-05	0	0	9.10627017291797e-05	0	0	0	4.33631912996092e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000108407978249023	0	0	0	0	0	0	0	0	0.00069814737992371	0	0	0	0	7.37174252093358e-05	8.67263825992189e-05	0	0	0.000208143318238124	0	0	0	0.000164780126938515	0	0	0.000789210081652875	0	0.000212479637368086	0	0	0	0	0	0	6.07084678194529e-05	0	0	0	0	0	0	0	0	7.37174252093358e-05	0	0	4.76995104295703e-05	0	0	0.987246885438785	0	5.20358295595311e-05	0	0.000125753254768867	0	0	0	0	0.00317852192226136	0	0.0018371538713934	0	0	0.000190798041718281	0.000897618059901907	0	0	0.000628766273844336	0	0	0.000312214977357186	0.00013876221215875	0.000247170190407772	0	0.000364250806916718	0	0	0.000134425893028789	7.37174252093358e-05	5.20358295595311e-05	0	6.07084678194529e-05	0	0	0	0	7.80537443392966e-05	0.000831127833242502	0	0	0	0	0	4.76995104295703e-05	6.5044786949414e-05	0	0.000229824913887929	0	0	0	9.97353399891013e-05	0	0	0	0.000323778495037081	0	0	0	0	8.23900634692574e-05	0	0	0	0	0
CON2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7477228239851e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.56079211798883e-05	0	0	8.605247618473e-05	0	0	0	0.000106823763539665	3.26405944148976e-05	0	5.04445550048417e-05	0	0	0	0.00249552180935715	0	0.000100889110009684	0	0	0.00154993368024678	0	0	0	0	0	0	0	0	0	0	3.8575247944879e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.993710256367141	0	0.000118693070599627	0	0	0	0	0	0	0.000115725743834637	0	8.01178226547483e-05	0	0	6.52811888297951e-05	0.000154300991779515	0	0	3.56079211798883e-05	0	0	8.01178226547483e-05	3.26405944148976e-05	0	0	0	0	0	0	0	0	0	0	6.52811888297951e-05	0	0	0	0	0.000271015844535817	0	0	8.90198029497205e-05	0	0.000115725743834637	0	0	0	5.04445550048417e-05	0	0	7.12158423597768e-05	0	0	0.000124627724129609	7.12158423597768e-05	0.000204745546784358	0	0	0	0	0	0	0	0	0	0
CON4	0	0.00634798499567183	0.011253246128691	0.0083677984033856	0.0138501490814658	0	0	0	0	0	0	0	0	0	0.00461671636048856	0	0	0	0	0	0	0	0	0.0132730595364047	0.00346253727036646	0	0	0	0	0.00432817158795805	0.00346253727036646	0	0.0121188804462825	0	0	0	0	0	0.00548235067808016	0.00375108204289696	0.00519380590554965	0	0	0	0	0.00375108204289696	0.00807925363085509	0	0.0106761565836299	0	0.0180821390785804	0	0	0	0	0	0	0.00288544772530537	0	0.0100990670385689	0.0199095893046071	0	0	0	0	0	0	0.00375108204289696	0	0.007502164085794	0	0	0.29296912570934	0	0.00779070885832446	0	0.00403962681542747	0	0	0.00317399249783588	0	0.0978166778878525	0	0.255939213234587	0	0.0138501490814658	0.00403962681542747	0.00952197749350778	0	0	0.00317399249783588	0	0	0.00952197749350773	0.0111570645378474	0.0239492161200346	0	0	0	0	0.00375108204289696	0	0	0	0	0	0	0	0	0	0.0216408579397903	0.00577089545061074	0	0.00894488794844669	0	0.00346253727036646	0	0	0	0.0219294027123209	0	0	0	0	0	0	0	0.0144272386265269	0	0	0	0	0	0	0	0	0	0.00288544772530537
CON5	0	0	2.91966431346713e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.71638081406231e-05	0	0	0	3.81802256376472e-05	9.20817206555019e-05	0	0	0	0	0	0	0	0.000458162707651767	0.000145983215673357	0	0	3.81802256376472e-05	0	0	2.69507475089274e-05	0	9.43276162812459e-05	2.47048518831834e-05	0	0	0	0	0	8.30981381525263e-05	5.83932862693429e-05	3.81802256376472e-05	0	0	0	0	2.69507475089274e-05	4.04261212633912e-05	0	0	0	0	0	2.24589562574396e-05	0	0	0	0	2.69507475089274e-05	0	0.000159458589427821	0	6.96227643980627e-05	0.994190616648076	0	0.000264267051962538	0	0.000242556727580347	0	4.04261212633912e-05	0	0	0.00041998248201412	0	0.000667779632721204	2.69507475089274e-05	3.14425387604153e-05	0	0.00039452899825569	0	0	0	0	0	4.49179125148791e-05	0.00027849105759225	5.61473906435989e-05	0	0	0	2.91966431346713e-05	8.08522425267828e-05	0	0	0	0	3.36884343861593e-05	0	0	0	0	0.00110872380724226	0	0	0	0	0	2.47048518831834e-05	9.28303525307502e-05	0	0.00010780299003571	7.18686600238069e-05	6.28850775208308e-05	0	0	0	9.65735119069901e-05	0	8.53440337782701e-05	0	0	0	2.69507475089274e-05	0	0	0	0	0	0
CON3	0	0	0	0	0.00206249494486532	0	0	0	0	0.00161764309401201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000485292928203607	0.000444851850853306	0	0	0	0	0	0	0.00202205386751496	0	0.000687498314955112	0	0	0	0	0.000525734005553909	0	0	0.000930144779056911	0	0	0.000768380469655653	0.0019007306354641	0	0.00254778787306892	0	0	0	0	0	0	0	0.00315440403332343	0	0	0	0	0	0	0.0010919090884581	0	0.0010919090884581	0.00165808417136229	0	0.000485292928203607	0	0	0	0.902119112453157	0	0.000525734005553909	0	0.000606616160254509	0.00200857350839822	0.000525734005553909	0	0	0.0170661346418269	0	0.0178749561888329	0	0	0.00141543770726047	0.00362621660241021	0.001213232320509	0.0038014612709282	0	0	0	0.00137499662991017	0.00660537596721571	0	0	0	0	0.000687498314955112	0.000485292928203607	0.000606616160254509	0	0	0	0.00105146801110782	0	0.00129411447520956	0	0.000404410773503006	0.00660537596721571	0	0	0.000849262624356303	0.00234558248631738	0.00145587878461082	0	0	0	0.00142891806637726	0.000525734005553909	0.000606616160254509	0	0	0	0	0	0.0014154377072605	0	0	0	0	0	0	0	0	0	0
CON6	0	0	0	0	0	0	0	0.00867589341045243	0	0.0774633340218965	0.00371824003305098	0	0.00588721338566409	0	0	0.00371824003305098	0	0	0	0	0	0	0	0.00681677339392687	0.0040280933691386	0	0	0	0	0	0	0	0.0229291468704812	0	0.0061970667217517	0	0	0	0	0.0288163602561454	0	0	0	0.0077463334021896	0.0532947738070647	0.0387316670109482	0.00743648006610203	0	0.100392480892378	0.0105350134269779	0.0102251600908903	0	0	0.00991530675480275	0	0.00743648006610203	0.0040280933691386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173517868209048	0.00464780004131376	0	0	0	0	0	0	0	0	0	0.0145631067961165	0.00991530675480275	0.00743648006610203	0.0105350134269779	0.0579425738483784	0	0.0316050402809337	0	0	0	0	0.0170419334848172	0.00526750671348892	0	0	0	0	0.0195207601735178	0.00433794670522614	0	0	0	0	0.00371824003305098	0	0	0	0.0846932451972732	0	0	0	0	0.0399710803552986	0	0	0	0.0154926668043793	0.0142532534600289	0	0	0	0	0.0331543069613716	0	0.0139434001239413	0	0.00991530675480275	0	0	0	0.0105350134269779	0	0	0	0
CON24	0	0	0	0	0	0.000314386824773683	0.000435304834302021	0.000362754028585017	0	0	0	0	0	0	0	0	0.00101571128003805	0	0	0	0	0	0	0.000677140853358699	0	0.000290203222868014	0	0	0.000241836019056678	0.000628773649547363	0.000314386824773683	0	0.00691651014502094	0.00636834850182583	0	0	0	0.000411121232396353	0	0.000701324455264367	0	0.00174121933720803	0	0	0	0	0.000266019620962346	0	0	0	0.000798058862886996	0	0	0	0	0	0.000241836019056678	0.000241836019056678	0	0	0	0.000652957251453031	0	0	0	0	0	0	0	0	0	0	0.924442366446059	0	0.000362754028585017	0	0	0	0	0	0.000435304834302021	0.0189599438940436	0	0.0011124456876607	0	0.000580406445736029	0.000507855640019024	0.00116081289147202	0	0.000266019620962346	0	0	0	0.00133009810481172	0.00927038073050598	0.000677140853358699	0	0.000580406445736029	0.000386937630490685	0	0	0	0	0	0.000241836019056678	0	0	0	0	0	0.00623130809102705	0	0	0.000241836019056678	0	0.001088262085755	0	0.002934277031221	0	0.000435304834302021	0.00106407848384938	0.000411121232396353	0	0	0	0.00236999298675543	0	0.00202336135944083	0	0.000266019620962346	0	0	0	0	0	0	0	0
CON25	0	0.00308219178082186	0	0	0	0.0028253424657534	0.01875	0	0	0	0	0	0	0	0	0.0056506849315068	0	0	0	0	0	0	0	0.00933219178082193	0	0.0033390410958904	0	0	0	0	0	0	0.0658390410958904	0	0	0.0285102739726028	0	0.0115582191780822	0	0.00590753424657534	0	0	0	0	0	0.00821917808219182	0.0336472602739726	0	0.0490582191780822	0	0.00873287671232875	0	0.00385273972602733	0	0	0.0128424657534247	0.0202910958904109	0	0	0	0	0	0	0	0	0	0	0	0	0.00744863013698623	0	0	0.235102739726028	0.00821917808219182	0.00385273972602733	0	0.0490582191780822	0.0051369863013698	0	0	0	0	0.00488013698630134	0	0	0	0	0.0761130136986303	0.00308219178082186	0.0300513698630137	0.00256849315068486	0	0	0.00410958904109587	0.0285102739726028	0.0033390410958904	0	0	0	0.0051369863013698	0.0470034246575342	0	0	0	0	0	0	0	0.0120719178082192	0	0.0410102739726026	0	0	0.0190068493150684	0	0	0	0.00308219178082186	0	0.0719178082191781	0	0	0	0	0	0.0288527397260275	0	0.00744863013698625	0	0.0028253424657534	0.0056506849315068	0	0	0.00308219178082186	0	0	0	0
CON26	0.00435923309788093	0	0	0	0.00217961654894046	0	0	0.00314833501513623	0.00230070635721493	0	0.0192936427850656	0.00520686175580222	0	0	0	0.014167507568113	0.00508577194752775	0	0	0.00133198789101917	0	0	0	0	0	0.00750756811301716	0.00593340060544904	0	0	0	0	0	0.00593340060544904	0	0.00496468213925328	0.0335418768920282	0	0	0	0	0.0112613521695257	0.00593340060544904	0.00883955600403633	0	0	0.0113824419778002	0	0	0.0208274470232089	0	0	0	0	0	0	0.0169525731584258	0	0	0	0	0	0	0	0	0	0	0	0.00145307769929364	0	0.00314833501513623	0	0	0.372996972754793	0.0190514631685167	0.00460141271442987	0	0	0	0.00908173562058527	0	0	0	0	0.00653884964682139	0.00205852674066599	0	0.00157416750756811	0.0505348133198788	0.00302724520686176	0.0313622603430877	0.00435923309788093	0	0	0.00492431886982846	0.0188900100908174	0.00605449041372351	0	0	0.00496468213925328	0	0	0	0	0.00508577194752775	0	0	0.0339051463168517	0	0	0.0012108980827447	0.0418970736629668	0	0	0.0582038345105953	0	0.00665993945509586	0.00205852674066599	0.00230070635721493	0	0.0850454086781031	0.00343087790110999	0	0	0	0	0.0104137235116044	0	0.00980827447023209	0	0.00133198789101917	0	0	0.00242179616548941	0.00145307769929364	0	0	0	0
CON27	0	0	0	0	0.00236733083448406	0.00192345630301831	0	0	0	0	0	0	0	0	0	0	0.00192345630301831	0	0.00355099625172616	0.00192345630301831	0	0	0.0423160386664037	0.0107023081475636	0	0.00162753994870778	0	0	0	0.00448806470704276	0	0	0.0232787532057604	0.00266324718879458	0	0.00192345630301831	0.00606628526336551	0.00591832708621024	0	0.00221937265732883	0	0.00295916354310511	0	0	0	0.00611560465575061	0	0	0.0169165515880844	0	0.00310712172026041	0.00488261984612349	0	0	0	0.0106529887551785	0.00562241073189976	0.00147958177155255	0	0	0	0	0	0	0	0	0	0.00236733083448406	0.00147958177155255	0.00236733083448406	0	0.0202702702702703	0.345137107910832	0.00429078713750244	0.00754586703491812	0	0.00739790885776291	0	0.00705267311106722	0	0	0.102091142237128	0	0.0938054843164335	0.00532649437758924	0	0	0.0289011639376601	0	0	0.00162753994870778	0	0	0	0.0112448214637995	0.0377293351745906	0	0	0.00710199250345232	0.00355099625172616	0.00769382521207334	0	0	0	0	0.00858157427500494	0.00295916354310511	0.00251528901163936	0	0	0.0161767607023081	0	0	0.00147958177155255	0	0.00399487078319191	0	0	0.00147958177155255	0.0407378181100809	0	0	0	0	0	0.0265338331031762	0	0.0268297494574868	0	0	0.00162753994870778	0	0	0	0.00266324718879458	0	0	0.00281120536594988
