feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Oxalobacteraceae	Group	MI	3.38744118320976	0.602219832407989	85	30	2.44033312657179e-07	1.17135990075446e-05
Leuconostocaceae	Group	MI	-4.15646280004586	0.826462239259762	85	39	2.80079692130965e-06	6.72191261114317e-05
Bifidobacteriaceae	Group	MI	-1.57178559268332	0.59461114994689	85	83	0.00981117143252495	0.156978742920399
Corynebacteriaceae	Group	MI	-1.01656583170078	0.445380287340492	85	24	0.0250199876291504	0.296551965514988
Prevotellaceae	Group	MI	-2.9467180343786	1.3419285529796	85	48	0.0308908297411446	0.296551965514988
Rikenellaceae	Group	MI	2.08356736184387	0.991803236618637	85	62	0.0386938060471697	0.309550448377358
Enterococcaceae	Group	MI	-1.98613146835755	1.04178660624314	85	44	0.0600502600035474	0.360301560021285
Odoribacteraceae	Group	MI	1.9167419136234	0.994046303823213	85	56	0.0572467505021573	0.360301560021285
Propionibacteriaceae	Group	MI	-0.68636326204291	0.380184005069367	85	17	0.0746467055217756	0.398115762782803
Synergistaceae	Group	MI	1.1547394973857	0.704877132670012	85	27	0.105162783380935	0.504781360228488
Christensenellaceae	Group	MI	0.802124619318247	0.587011265683561	85	21	0.175486601387988	0.724224363640768
Desulfovibrionaceae	Group	MI	1.12689077164533	0.860882986470571	85	53	0.194148912850938	0.724224363640768
Oscillospiraceae	Group	MI	0.796839637650011	0.653715380114525	85	42	0.22632011363774	0.724224363640768
Peptostreptococcaceae	Group	MI	-1.3876686634178	1.06657388735417	85	62	0.196840771117043	0.724224363640768
Veillonellaceae	Group	MI	-1.37907926840336	1.10676661656166	85	69	0.216254099639764	0.724224363640768
Coriobacteriaceae	Group	MI	0.662224607915068	0.579874130677322	85	66	0.256731925004247	0.770195775012741
Micrococcaceae	Group	MI	1.0075533331844	0.949698819494533	85	53	0.291804214531976	0.823917782207933
Acidaminococcaceae	Group	MI	-0.566995265542145	0.943331354197963	85	58	0.549440468873417	0.862811615269483
Actinomycetaceae	Group	MI	-0.367048243590111	0.604216521426092	85	76	0.545192195763378	0.862811615269483
Akkermansiaceae	Group	MI	0.372035333777643	0.880247281918639	85	28	0.673644575126178	0.862811615269483
Bacillales_unclassified	Group	MI	-0.368517778798982	0.558175420488331	85	49	0.510941677117954	0.862811615269483
Barnesiellaceae	Group	MI	0.755976246737251	1.1625337210418	85	41	0.517305210373438	0.862811615269483
Catabacteriaceae	Group	MI	0.180145108700508	0.390411492921137	85	17	0.645701661670506	0.862811615269483
Clostridiaceae	Group	MI	0.358368830714586	0.965648901552712	85	71	0.711495899139307	0.862811615269483
Clostridiales_Family_XIII_Incertae_Sedis	Group	MI	0.386335026523621	0.713612712162459	85	43	0.589696527847224	0.862811615269483
Clostridiales_unclassified	Group	MI	0.638064466271779	0.846324444138481	85	30	0.45302830055896	0.862811615269483
Eggerthellaceae	Group	MI	0.465393653055806	0.554407488077195	85	81	0.403631972771859	0.862811615269483
Enterobacteriaceae	Group	MI	-0.263049964410659	0.773218426035102	85	84	0.734564381495771	0.862811615269483
Erysipelotrichaceae	Group	MI	-0.475845624962472	0.765569115406849	85	82	0.535936021155315	0.862811615269483
Eubacteriaceae	Group	MI	0.267208855082514	0.629891072272598	85	77	0.672506978576586	0.862811615269483
Firmicutes_unclassified	Group	MI	0.553664494478705	1.12685960065141	85	56	0.624486961805672	0.862811615269483
Lachnospiraceae	Group	MI	-0.259983137213536	0.344463980831911	85	84	0.45253707391411	0.862811615269483
Lactobacillaceae	Group	MI	-0.7153038869323	1.21849121750152	85	65	0.558769882524204	0.862811615269483
Methanobacteriaceae	Group	MI	-0.286898026006557	0.678248875438371	85	9	0.673390576051734	0.862811615269483
Myoviridae	Group	MI	0.139097609216811	0.37756454931865	85	16	0.713507387992271	0.862811615269483
Pasteurellaceae	Group	MI	-0.275785733724397	0.818411383897808	85	35	0.736984921376017	0.862811615269483
Podoviridae	Group	MI	-0.425214712009998	0.52989490926738	85	15	0.424583852935855	0.862811615269483
Proteobacteria_unclassified	Group	MI	0.581805844032296	0.94045969483149	85	40	0.537847783614197	0.862811615269483
Ruminococcaceae	Group	MI	0.670765989813274	0.753487979477469	85	82	0.375923797953522	0.862811615269483
Streptococcaceae	Group	MI	0.456681215356219	0.58779313104195	85	84	0.439401646051278	0.862811615269483
Tannerellaceae	Group	MI	0.657172756395664	0.862366797511943	85	75	0.44818603432072	0.862811615269483
Bacteroidaceae	Group	MI	0.220100055466038	0.989384336859035	85	81	0.824501050258279	0.86932780811903
Fusobacteriaceae	Group	MI	-0.13207036185108	0.524085045436226	85	13	0.801662650715526	0.86932780811903
Peptoniphilaceae	Group	MI	0.132843493260025	0.628446332022156	85	26	0.83310581611407	0.86932780811903
Siphoviridae	Group	MI	-0.183077909227339	0.8094860984013	85	63	0.821628653456487	0.86932780811903
Sutterellaceae	Group	MI	-0.193527155908514	0.788135747394327	85	48	0.806636336627523	0.86932780811903
Atopobiaceae	Group	MI	0.102524933536834	0.659157275939825	85	22	0.876773742656929	0.895428503138991
Selenomonadaceae	Group	MI	-0.0020753949065702	1.0649974431954	85	23	0.998449813749911	0.998449813749911
