Feature	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	MI14	MI15	MI16	MI17	MI18	MI19	MI20	MI21	MI22	MI23	MI24	MI25	MI26	MI27	MI28	MI29	MI30	MI31	MI32	MI33	MI34	MI35	MI36	MI37	MI38
Arthrodermataceae	0.00174870980340163	0.00139424968609797	0.00304824711203734	0.00424164340646855	0	0.00245281330576566	0	0.00264070951728678	0	0.00512932163212789	0.00269666860302451	0.00074474640987543	0.00256374981492762	0.00297597646140742	0.00300868808830295	0.00282209052362956	0.00130014161224987	0.00259491165430032	0.00283987792074786	0	0	0	0.00359959324596318	0.00219966091380988	0.00039765550795824	0.0105932740577318	0.00410834284175004	0.00226263504079741	0.00350553147050113	0.00725659916059231	0.00504930630431652	0.0143908584475442	0.00205743730461342	0.00185296583097747	0.00307251653301802	0.00461060668096609	0	0.00271601575446585	0	0.00141154065286482	0.003133737199317	0.00218395963014855	0.00179759249494555	0.00425774719442052	0.002158474270167	0.00252719371935868	0.00310885569387658	0.00234982440383739	0.00350958033541357	0.00276995372195524	0.00159347420035614	0.0028470330011968	0.00255268529729847	0.0027004591131201	0.00465004614597361	0.00328203266901531	0.00416463104934945	0.00449207501815357	0.00496364449880386	0.00216041034614409	0.00634155727341663	0.00269642984952261	0.0030866903540688	0.00418519416968833	0.00233523336411593	0.00710981487252252	0.00332411742780078	0.00191158968506203	0.00366362903268993	0.0041464376035318	0.00257908388630728	0.00260913117243076	0.00208674340896867	0.00460974531951891	0.00188200290476553	0.00145680549188634	0	0.00729793003312299	0.00357739025049054	0.00332652668767744	0.00260330682560019	0.00570653698703661	0.00183061810988938	0.00340058402544828	0.00229340160696033
Aspergillaceae	0.00766741990722268	0.0360155059363966	0.0113932008395456	0.0159339638078201	0.0118764259407399	0.0135590300753506	0.0298708507365411	0.00742898400345133	0.0319085171967363	0.00611389730145274	0.0172525502670774	0.0412440561789027	0.0141714023512259	0.0248249175704747	0.00563054485096699	0.0175332851839362	0.0187282303669329	0.0131677963734177	0.0275261083880823	0.00629128122322178	0.0138253105120143	0.00856146924522798	0.00854165774349462	0.0204737669669998	0.00251318281029614	0.00453038647664348	0.00868789346463274	0.0258185951942158	0.0108155156996857	0.0139542570843794	0.0063300341424376	0.00696687780264461	0.00708206310295507	0.00957840798782211	0.0225229967313083	0.0102704219335623	0.0104277873519715	0.0150266523806862	0.00857788682598867	0.026014694232299	0.00470060579897548	0.0120409752870758	0.0195620359744079	0.0170782970798424	0.00304645419143826	0.0158767228957358	0.0118136516367311	0.0061299767056628	0.0152014965385343	0.0094718905321495	0.00554579209887734	0.0104631465993352	0.013794318625786	0.0116786088918052	0.0111976447551024	0.0102925509804047	0.00852030022022872	0.0079775646643463	0.0126007967052969	0.0087759041744498	0.00613183648169733	0.00104983949059281	0.0179123382322989	0.00492894855526549	0.00914885798495642	0.0109823948881943	0.00519304181853855	0.0195609230206879	0.025341115103191	0.0421629606315655	0.0204094071122408	0.0202174887833582	0.020250228292668	0.0333953649950102	0.0056709359050882	0.018262633795194	0.0125828525855263	0.0121483835307474	0.00720837436241166	0.0169029871974565	0.0105554845059855	0.0078390424581839	0.00469446852720106	0.0128983555491565	0.0237638653352799
Ceratobasidiaceae	0.000283978515082323	0.00059529761878341	0.00033198730923177	0	0	0	0	0	0	0.00057168909831765	0	0.00501959080256055	0.00073924074418158	0	0	0	0	0	0	0	0	0	0	0	0.0006998736940065	0	0	0	0.00061142990764554	0.00089623336246359	0.00052995634680873	0.00148164369558504	0.00037789664778612	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00093265670816298	0	0	0	0	0.00055258868377659	0.00041235685571742	0	0	0	0.00045849149167149	0.00052582817938251	0.00204800779117314	0	0	0.000265222608149768	0	0.00034036217645055	0	0.00095301773823174	0	0	0	0.00098027193344364	0	0	0	0	0	0	0	0	0	0	0.00042677161075413	0.00046462409706561	0	0.00041761558207257	0
Chaetomiaceae	0.0221204317011494	0.0630388846838016	0.0222129690540545	0.0204456743974721	0.0210203579953712	0.0253355809160765	0.103184479641899	0.0129172055905835	0.0910584438491356	0.0158484922255841	0.0281311565633696	0.0975170949090923	0.0276192924847423	0.0245486665909348	0.0131092838133201	0.029268711123782	0.0282471243137625	0.0241685654610633	0.0558805145030494	0.00824976109228444	0.0626120917312538	0.0176570188025401	0.00681562327719261	0.0142901048176881	0.00211552730233788	0.00902721453494145	0.014445463540347	0.0481643086979052	0.034484646791209	0.0146770259250758	0.00778741409616163	0.0150843937944138	0.0120507042127358	0.0173323573112972	0.024632879329089	0.0102260891770146	0.0228999505035538	0.0239275083586369	0.0286856899982612	0.0362624793720977	0.0200279936847438	0.0195038106007921	0.0179155016723149	0.0170782970798425	0.0134972948033229	0.0211986955517971	0.00836430222400132	0.0303689262626379	0.0205861955102975	0.0137146489160225	0.0076160538552456	0.0171062236021278	0.0346379758802657	0.0104628177759416	0.017130102730571	0.0189440856263017	0.0237524064435375	0.0163156972231264	0.0216604567864471	0.0155378665007992	0.0121638059197189	0.000585699926330728	0.0310814225614341	0.0140935153063602	0.0181966236164879	0.0205882085989429	0.013267936514398	0.0191260110817585	0.044219150417816	0.0758414986667738	0.0321808078948196	0.0301951210558196	0.0501210294849006	0.0537707283195296	0.0152928315506445	0.0101375639899309	0.013982534257923	0.00747592832661379	0.0117236571879372	0.0276701195151687	0.0101287128952314	0.0220636878914234	0.00869262832548715	0.0231001076255014	0.0293012231626118
Cladosporiaceae	0.00990935555260946	0.0411068671496758	0.0113328395105943	0.00640218087193571	0.0107925875836801	0.0113195048831298	0.0242434661914513	0.00660177379321693	0.0352887719295914	0.0157055699510046	0.0111390799681752	0.0303707585947211	0.0062442250093637	0.0153193725017598	0.0168056720360924	0.00751626089956787	0.00763059303379994	0.0120497759266181	0.0112855565288054	0.00246822120484608	0.0172816381400179	0.00980765664009102	0.00367335540264275	0.0100292231874409	0.00305399430111936	0.00686828962138049	0.0082314109266605	0.0188289822968686	0.0186961678426728	0.0119883258376851	0.00660973332547556	0.0106552248746329	0.00718003630793666	0.00739760974059474	0.0177098270551212	0.00462538426648203	0.0108101885806757	0.0124287242677188	0.0196750449179884	0.00645074078359229	0.00513498521274221	0.0135241992070163	0.00839883552260291	0.0168732944371481	0.00942624839503319	0.0102128357952907	0.00880842446598369	0.014086175638221	0.0108095074330739	0.0129309546922498	0.00614805006436631	0.0136825763222076	0.0144226719297365	0.0143790680049253	0.00663100750860812	0.00643133607568076	0.0212816467384189	0.011237699376518	0.00586153954025418	0.0063957910812402	0.012233712850292	0.00128190927272386	0.00881911529733944	0.00623997323492691	0.00758192650686995	0.0084258869872235	0.0064199692811603	0.0210477149979584	0.0142163412298401	0.0100506041911695	0.0147277238044951	0.0120229813322564	0.0111782827682313	0.00893047839329999	0.0085998808231008	0.00629279898041636	0	0.00350063310531914	0.0078113053035056	0.0199709146373286	0.00257485538488325	0.0106387004789639	0.00577262397842428	0.0178858787864807	0.0129305603760857
Clavicipitaceae	0.00642688218344203	0.0163393530629237	0.00915983166834988	0.00743479068998986	0.00517494652173625	0.0169716398920681	0.0326451355542884	0.00324520928630422	0.0309207215777518	0.0140222631615137	0.00954559397547886	0.0349286066231589	0.00783280618303053	0.0110877097697163	0.00649017001905357	0.0118332211560111	0.00801753994220766	0.00890275540970064	0.0137556586786225	0.00413158766898147	0.0167082381648652	0.00632804248560327	0.00262593277779282	0.00613751541685417	0.00369024311385258	0.00295314081440463	0.00410834284175004	0.0149526850564327	0.0103807210986933	0.00659165182715157	0.00503458529468295	0.00674620746500428	0.00366699710073955	0.00614329440885613	0.0101933703005277	0.00276340849147647	0.00942766106151441	0.00974223042362758	0.00848515291435635	0.0118992877036506	0.0103320246274511	0.00397083569117922	0.00693357105193297	0.00616584871488309	0	0.00575308217289303	0.00370101868318641	0.00747090911002656	0.00501368619344799	0.00755319088084392	0.00465495219159162	0.00547783564787238	0.0110452729210031	0.00402146292170268	0.00698549533139535	0.0044041982507007	0.00664812662923675	0.00569396799959934	0.0086964665812377	0.00604182554430133	0.00532291342792293	0	0.00817555823510115	0.00344143978411117	0.00376063554740749	0.00868305050388919	0.00295318586933371	0.00737327449952506	0.0118063792747816	0.0200223359279241	0.0118868821506223	0.00735538988810889	0.0149794867244748	0.0154477045346888	0.00322807120751175	0.004295323409067	0	0.00416812670590968	0.00324242861654947	0.0101558977319905	0.0103990015820423	0.00665961205794043	0.00262800391235658	0.00556025317845228	0.00924904727017561
Cryptococcaceae	0.00101634415924197	0	0.00057343262503671	0.00073077002508447	0.00363314829549624	0.00050275055335569	0	0.00132035475864339	0.00198465358309719	0.00074637187835916	0.00044433744027108	0	0.00150993854130707	0.00045204705742896	0.00121780232145596	0.00055882980665931	0.00193473454203852	0.00088337418018735	0	0	0	0	0.00098841289950627	0.00910628853828993	0	0.00069354064580715	0.00163450199080377	0	0.00110057383376198	0.00143590076351694	0.00263506072441007	0.00111911385517592	0.00104971291051703	0	0.00043516328579223	0	0	0	0	0.00142565605939347	0	0	0.00184290995280135	0.00140347963075344	0	0.00041624367142377	0.00066618336297354	0.00122599534113255	0.00047128650218409	0.00113500542753288	0.000539522760750511	0.00151361248164893	0	0.00032732837734788	0.00165775187715201	0.00036198889731786	0.0007259448618132	0.00148734256453914	0.00087771762478848	0.00220923317882532	0.00113848429790471	0.00110509420062402	0.00066739250898783	0.00041599821566178	0.00488276067042426	0	0.00199732377636096	0.00670573524442403	0.00249516263023733	0.00107041188134652	0.00163983542621925	0.00081289513914927	0.00065639346667089	0.00235544980276358	0.00038637145726974	0.00765949279239225	0.00818385304370775	0.00088999146745401	0.00107187722861138	0.00300915488355273	0.00036986872932024	0.00079820037188193	0	0.00088295865923918	0.00045264505400532
Cryptomonadaceae	0	0	0	0.0003971576223285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000238593304774952	0.00116335850264424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00044412224198235	0	0	0	0.00038895826937826	0	0	0.000292257479774906	0.00030235726061262	0	0.00057311436458937	0.00033052056989757	0	0	0	0	0	0.00037818019605615	0	0.00054458156470383	0	0	0	0	0	0	0	0	0	0	0	0	0.00100488490182318	0	0.00129454055262084	0	0	0	0
Debaryomycetaceae	0.00366182822079834	0.00540467574948097	0.00369713139826311	0.00810201549550176	0.00363314829549624	0.00406770902260517	0	0.00459737982226432	0.0232177282186988	0.00433530899557558	0.00786017609858853	0.00238318851160146	0.00295696297672637	0.00920418036376223	0.00649017001905354	0.00790744176422939	0.00420998236347581	0.00415461919119362	0.00118328246697828	0.0149300554401831	0.00205468324429704	0.0174628077799641	0	0.0120442971714206	0.0106094489523262	0.129580239371452	0.0171254577955388	0.00482344679239761	0.00432077134736185	0.00970437630108427	0.0293978562382511	0.0202070980610643	0.0200985031933666	0	0.00582855067636898	0	0.00438290639053241	0.00401497981094954	0.00553312339406114	0.00448869927611017	0.00456098384455049	0.00539566496860234	0.00741695726906118	0.00644969852784444	0.0223634327864773	0.00486113144841347	0.0109402112274991	0.00314161306165215	0.00369007303837767	0.00401305490449127	0.00708907813544276	0.00598237314175534	0.00747151350478517	0.0042318883071406	0.00679782530756681	0.00319756859297446	0.00664812662923674	0.00662543506021981	0.0125301757469805	0.00350303824487772	0.00653130465640074	0.00538180875703899	0.00420695635129837	0.00481549449644861	0.00316419066220038	0.0148095931068075	0.00228265574441252	0.00471323171025882	0.00484426696016807	0.0183434793982332	0	0.00430047751033815	0.00345831184678846	0.00466754776866648	0.00340256154305288	0.00768953001902905	3.41061004411568	0.00620027388992967	0.00679302193632473	0.00337354473273295	0.00958813552160946	0.00818453217138652	0.0114217093113959	0.00326933341393975	0.0051752417841276
Dipodascaceae	0.00419989277569119	0.00307048245477759	0.00639830086883088	0.00225585529482597	0.00152653289726733	0.00114261489399021	0.0118379994211833	0.00305431462240398	0.0094882753493277	0.00201679209684285	0.00591428454981516	0.00183207616829361	0.00138411032953149	0.00090409411485795	0.00282243596855088	0.00103383514231974	0.00261576110083608	0.0035334967207494	0.00119807349781551	0.00183775165795605	0.00439606647617043	0	0.00238989387641817	0.00167666461262433	0.00033403062668493	0.00193520212459092	0.00200263306981365	0.00676159541261559	0.00527188453703274	0.00197556816457026	0.00122184379958679	0.0015919788644052	0.00173552534538819	0.00203826241407522	0.00225493702637805	0.00258607746528546	0.0024120692887494	0.00281934244077705	0.00316840864743723	0.00163738715732319	0.00212535641735856	0.00164672891898903	0.00102719571139746	0.00337465888742961	0.002144813040609	0.00098114579692749	0.00093265670816298	0.00402279721309122	0.0045123175741032	0.00344555219072487	0.00061480500643662	0.00206620116542553	0.00410393251642602	0.00130931350939155	0.00205394414967891	0.00161688374135313	0.00168113546946216	0.0017727921476325	0.0014830401246426	0.00174541626835371	0.00268642347488043	0	0.00597077941076628	0.00189090098028087	0.00168824230219638	0.00072610875293847	0.00041373135367476	0.00497620171984407	0.00143623995301464	0	0.00274075780156836	0.00158645664253329	0.00316440432439851	0.00156066612698445	0.00312836244434535	0.00124654490542854	0.0117544695549241	0.00114215571656598	0.00133984653576423	0.00307968195113601	0.00116650906939461	0.00169170825085428	0.00214508011649619	0.00063238930999563	0.00267060581863146
