"","Observed","Richness","Number","Shannon","Simpson","InvSimpson","Chao1","ACE","Data_Type","Conversion_Factor","Singletons_Present","Reliability_Note","Group","SampleID"
"CON1",252,252,252,3.65729080414823,0.952403219523703,1.04997545104908,252,252,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON1"
"CON2",185,185,185,2.96006600702814,0.91696789122804,1.09055072654808,185,185,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON2"
"CON3",199,199,199,3.67905892722726,0.953267818928579,1.04902313929358,199,199,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON3"
"CON4",229,229,229,3.91037277660342,0.959682799295692,1.0420109652209,229,229,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON4"
"CON5",278,278,278,3.75736774441026,0.953010647919886,1.04930621938241,278,278,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON5"
"CON6",167,167,167,3.65228467217499,0.955384078347976,1.04669946115197,167,167,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON6"
"CON7",124,124,124,2.55444207972545,0.899056349110406,1.11227733499627,124,124,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON7"
"CON8",243,243,243,3.71613443341174,0.948045231735917,1.05480199311688,243,243,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON8"
"CON9",169,169,169,2.67068106917352,0.918126994586209,1.08917394423273,169,169,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON9"
"CON10",209,209,209,3.41442911464899,0.936688509525094,1.06759076238376,209,209,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON10"
"CON11",155,155,155,3.44587414311,0.950555955484671,1.05201592208227,155,155,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON11"
"CON12",104,104,104,2.43612078758336,0.890230290348644,1.12330484689346,104,104,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON12"
"CON13",295,295,295,3.74055040605094,0.95323964502884,1.04905414416513,295,295,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON13"
