"","Observed","Richness","Number","Shannon","Simpson","InvSimpson","Chao1","ACE","Data_Type","Conversion_Factor","Singletons_Present","Reliability_Note","Group","SampleID"
"CON1",134,134,134,2.99633304529582,0.906121223143255,1.10360509660185,134,134,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON1"
"CON2",173,173,173,3.10857513209934,0.910192961383857,1.09866813129339,173,173,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON2"
"CON3",96,96,96,2.66961734433837,0.899076233020491,1.11225273594482,96,96,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON3"
"CON4",167,167,167,3.04565718380198,0.908802390071422,1.10034921884549,167,167,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON4"
"CON5",37,37,37,2.32055348440674,0.887683178558122,1.12652804982101,37,37,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON5"
"CON6",119,119,119,2.85213798847362,0.90276354710953,1.10770976874487,119,119,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON6"
"CON7",70,70,70,2.26568449526438,0.873974395452763,1.14419827995298,70,70,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON7"
"CON8",97,97,97,2.66658591413629,0.897500875673169,1.11420504102567,97,97,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON8"
"CON9",59,59,59,2.22242615779465,0.870894381258671,1.14824486357891,59,59,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON9"
"CON10",81,81,81,2.63438353835655,0.8989529868667,1.11240522542285,81,81,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON10"
"CON11",37,37,37,2.06634754252651,0.862684708141148,1.15917204809939,37,37,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON11"
"CON12",151,151,151,3.04721474905317,0.908674863397331,1.10050364578285,151,151,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON12"
"CON13",128,128,128,2.82590616643813,0.904870812662529,1.10513013129196,128,128,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON13"
"CON14",86,86,86,2.38515133492863,0.88131366707517,1.13466979732507,86,86,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON14"
"CON15",82,82,82,2.59070307136834,0.894854773170604,1.11749976642227,82,82,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON15"
"CON16",98,98,98,2.82783483931411,0.90636033900573,1.10331394365401,98,98,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON16"
"CON17",100,100,100,2.84577061002945,0.905458404406833,1.10441296379054,100,100,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON17"
"CON18",139,139,139,2.81718593668082,0.900829711779982,1.11008771904744,139,139,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON18"
"CON19",119,119,119,2.47599672139454,0.883267910060669,1.13215932403942,119,119,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON19"
"CON20",90,90,90,2.71497841168568,0.901580510556731,1.10916328413365,90,90,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON20"
"CON21",107,107,107,2.62446923455325,0.891294907643301,1.12196310269979,107,107,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON21"
"CON22",87,87,87,2.51035492170641,0.889020713354313,1.12483318440012,87,87,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON22"
"CON23",118,118,118,2.77565253968689,0.89928904821688,1.11198952326041,118,118,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON23"
"CON24",156,156,156,3.04829704676355,0.90934435238786,1.09969341908166,156,156,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON24"
"CON25",145,145,145,2.96547908219732,0.905454340622684,1.10441792052407,145,145,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON25"
"CON26",166,166,166,2.95062051430495,0.905163935520157,1.10477225258135,166,166,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON26"
"CON27",187,187,187,3.1005733483158,0.909466950317996,1.09954517825013,187,187,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON27"
"CON28",55,55,55,2.24520593390263,0.875360907274469,1.14238594811551,55,55,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON28"
"CON29",118,118,118,2.77750800001992,0.902287504133118,1.10829419161774,118,118,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON29"
"CON30",131,131,131,2.77240293561028,0.898998319490138,1.11234913160588,131,131,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON30"
"CON31",151,151,151,2.99013276382491,0.906003186656632,1.10374887718689,151,151,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON31"
"CON32",98,98,98,2.6983424673977,0.902287114523983,1.10829467018108,98,98,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON32"
"CON33",178,178,178,3.0426049476178,0.906978332501933,1.10256217173509,178,178,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON33"
"CON34",122,122,122,2.53615660112845,0.885968357439564,1.1287084821968,122,122,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON34"
"CON35",150,150,150,3.02035602817191,0.909259204814629,1.09979639986583,150,150,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON35"
"CON36",56,56,56,2.4273384107892,0.887503535373099,1.12675607492607,56,56,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON36"
"CON37",58,58,58,2.50220024348883,0.89512228587268,1.11716579486687,58,58,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON37"
"CON38",57,57,57,2.32319000818932,0.880644498597969,1.13553199002782,57,57,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON38"
"CON39",95,95,95,2.52933794825244,0.886971299579605,1.12743219591656,95,95,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON39"
"CON40",123,123,123,2.53490381215803,0.886110671630006,1.1285272054793,123,123,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON40"
"CON41",108,108,108,2.49073655589398,0.88532369906464,1.12953036392962,108,108,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON41"
"CON42",80,80,80,2.68386750338921,0.90095975879017,1.10992748593214,80,80,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON42"
"CON43",137,137,137,2.93494886033997,0.904761297308304,1.10526389996459,137,137,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON43"
"CON44",98,98,98,2.64682838080772,0.896309748678768,1.11568573417179,98,98,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON44"
