"","Shannon","Simpson","InvSimpson","Group"
"CON1",3.59357510348578,0.939347448472105,16.4873525483933,"Control"
"CON2",3.72414764742892,0.946186499850031,18.582697598431,"Control"
"CON3",3.62625632506137,0.940934714817839,16.9304185515389,"Control"
"CON4",3.65805572016686,0.941738256140285,17.1639215332764,"Control"
"CON5",3.54743240069066,0.939488711751359,16.5258421848664,"Control"
"CON6",3.5710684746468,0.939661711680552,16.5732245287722,"Control"
"CON7",3.53329693015507,0.943157812401998,17.5925671100519,"Control"
"CON8",3.4836485870703,0.933894057880801,15.1272331645595,"Control"
"CON9",3.65058975315147,0.946116917550111,18.5587007003543,"Control"
"CON10",3.60110076830746,0.938826183194643,16.346862959063,"Control"
"CON11",3.65951941814774,0.943456126807078,17.6853820499366,"Control"
"CON12",3.59427293711168,0.944829609544013,18.1256647222348,"Control"
"CON13",3.65396707894391,0.941477301468111,17.087387032488,"Control"
"CON14",3.72927037306864,0.946042035402189,18.5329451815641,"Control"
"CON15",3.56936961514008,0.937554953816502,16.0140805575105,"Control"
"CON16",3.69009928581767,0.944650440836411,18.0669912301278,"Control"
"CON17",3.57996729306182,0.940274040402683,16.7431382725732,"Control"
"CON18",3.64805237712056,0.941957250416367,17.2286807081583,"Control"
"CON19",3.55607917186315,0.943453103410355,17.6844364644253,"Control"
"CON20",3.29439390042582,0.931772752616814,14.6569008475996,"Control"
"CON21",3.588099815966,0.944388303241993,17.9818286133488,"Control"
"CON22",3.43611093376221,0.937483850588151,15.995866818542,"Control"
"CON23",3.26777701000061,0.928350091550939,13.9567519574843,"Control"
"CON24",3.584021358992,0.939094667716694,16.4189236395332,"Control"
"CON25",3.20425187052646,0.926462979088663,13.5985927578667,"Control"
"CON26",3.26999377680654,0.931236033597154,14.5425002702958,"Control"
"CON27",3.63394463383662,0.940429536527374,16.7868427019965,"Control"
"CON28",3.70005156487681,0.94557509759069,18.3739419958785,"Control"
"CON29",3.69246721799403,0.944068469545036,17.8790029857167,"Control"
"CON30",3.60334369163008,0.93799126895342,16.1267612338143,"Control"
"CON31",3.33835211224184,0.928081998534011,13.9047245420595,"Control"
"CON32",3.57284994539518,0.936652689472565,15.785989834042,"Control"
"CON33",3.5847733533849,0.937964465818267,16.1197934891718,"Control"
"CON34",3.39458152775122,0.934676971686826,15.3085370630057,"Control"
"CON35",3.59706024430503,0.940523240327342,16.8132898547885,"Control"
"CON36",3.30683890084304,0.931518865232945,14.6025617624707,"Control"
"CON37",3.56311808281818,0.940746287477887,16.8765796679289,"Control"
"CON38",3.63834401153983,0.942807443413918,17.4847927718508,"Control"
"CON39",3.5727807339898,0.943144080123153,17.5883180180014,"Control"
"CON40",3.53602893816486,0.940700882596413,16.8636573997222,"Control"
"CON41",3.32073122532713,0.930266547058952,14.3403195715175,"Control"
"CON42",3.60546822950985,0.940673212916884,16.8557922848411,"Control"
"CON43",3.57150714873489,0.93949253256466,16.5268857280902,"Control"
"CON44",3.56872034626533,0.937979775596686,16.1237726825537,"Control"
"CON45",2.4602393562962,0.888006428947187,8.92908396972563,"Control"
"CON46",3.5527699105317,0.937761603122425,16.0672518922208,"Control"
"CON47",3.45512833638001,0.93247647168685,14.8096526497009,"Control"
"MI1",3.61959497884054,0.941400499605003,17.0649919070875,"MI"
"MI2",3.64646886373305,0.940823396469392,16.8985703865678,"MI"
"MI3",3.63135719318338,0.940019884267753,16.6721919054646,"MI"
"MI4",3.48562520105075,0.935404414924394,15.4809341664689,"MI"
"MI5",3.66432424978697,0.940990119736476,16.9463146770378,"MI"
"MI6",3.67037445411666,0.943797100533178,17.7926763474246,"MI"
"MI7",3.54684101722601,0.938700121782717,16.3132461120952,"MI"
"MI8",3.67861812026887,0.940987858783419,16.9456654068844,"MI"
"MI9",3.52985605583804,0.938973653365349,16.386365154492,"MI"
"MI10",3.64880618743704,0.943088098683137,17.5710172540608,"MI"
"MI11",3.63537070294576,0.939356183245363,16.4897272882075,"MI"
"MI12",3.75970018890798,0.944369391750558,17.9757157339734,"MI"
"MI13",3.46035143383609,0.93755591027241,16.0143258451273,"MI"
"MI14",3.49006220637375,0.934605182441873,15.291731628598,"MI"
"MI15",3.08700270335024,0.921710891287876,12.7731687900177,"MI"
"MI16",3.64343358480908,0.942000439015629,17.2415098153841,"MI"
"MI17",3.65201808281926,0.941808845854938,17.1847425041123,"MI"
"MI18",3.54635423937856,0.939524810230716,16.5357066892232,"MI"
"MI19",3.61595793113039,0.939343172263377,16.4861902165753,"MI"
"MI20",3.5380536021904,0.938118113659455,16.1598176645238,"MI"
"MI21",3.66630154814444,0.942581022003972,17.415844637102,"MI"
"MI22",3.7640848036082,0.946310509445243,18.625619086106,"MI"
"MI23",3.68419921851595,0.94537960863552,18.3081807914379,"MI"
"MI24",3.60200436933257,0.941569720699535,17.1144141697102,"MI"
"MI25",3.70463076498107,0.944869509065323,18.1387827869133,"MI"
"MI26",3.64738986531236,0.94346469424817,17.6880621180267,"MI"
"MI27",3.71071135234825,0.946403807160089,18.6580416819333,"MI"
"MI28",3.52556367741813,0.936206675400299,15.6756213330302,"MI"
"MI29",3.52316686276048,0.937625570204247,16.032210687529,"MI"
"MI30",2.19487829919856,0.870852823686345,7.74310386447271,"MI"
"MI31",3.49310846472126,0.934482908894382,15.263192903176,"MI"
"MI32",3.54016283170782,0.934972611945712,15.3781357351328,"MI"
"MI33",3.67462205712793,0.942852430679356,17.4985570145459,"MI"
"MI34",3.47915108073354,0.933878711122196,15.1237221320362,"MI"
"MI35",3.597621000026,0.939360865353523,16.4910005037167,"MI"
"MI36",3.40553602892341,0.935534436409298,15.5121578762438,"MI"
"MI37",3.56326461896714,0.938868995443244,16.3583112571228,"MI"
"MI38",3.67706735176065,0.943515794619195,17.7040642292513,"MI"
