feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Archaea	Group	MI	-0.0382088747126177	0.0163085944764499	85	85	0.0215296750520722	0.716384839187256
k__Archaea.p__Thermoplasmatota	Group	MI	-0.987347992724263	0.465519795581968	85	85	0.0369091801887785	0.716384839187256
k__Archaea.p__Thermoplasmatota.c__Thermoplasmata	Group	MI	-1.31269032741796	0.569278989523948	85	83	0.0236116876360563	0.716384839187256
k__Archaea.p__Nanoarchaeota	Group	MI	-0.812655076067213	0.425766890530083	85	85	0.0597591260710558	0.716384839187256
k__Archaea.p__Nanoarchaeota.c__Nanoarchaeia	Group	MI	-0.812655076067213	0.425766890530083	85	85	0.0597591260710558	0.716384839187256
k__Archaea.p__Nanoarchaeota.c__Nanoarchaeia.o__Woesearchaeales	Group	MI	-0.843110778388893	0.441869816428625	85	85	0.0598420671501936	0.716384839187256
k__Archaea.p__Asgardarchaeota.c__Heimdallarchaeia	Group	MI	-1.03914308619779	0.491076369957632	85	85	0.037336556932613	0.716384839187256
k__Archaea.p__Asgardarchaeota.c__Heimdallarchaeia.o__UBA460	Group	MI	-1.21811035511174	0.554294943366631	85	81	0.0307646950047457	0.716384839187256
k__Archaea.p__Thermoproteota.c__Nitrososphaeria	Group	MI	-1.03312638257731	0.476129604302556	85	85	0.0328774949120529	0.716384839187256
k__Archaea.p__Thermoproteota.c__Nitrososphaeria.o__Nitrososphaerales	Group	MI	-0.996598281525373	0.489772458801544	85	85	0.0450609683668221	0.716384839187256
k__Archaea.p__Thermoproteota.c__Bathyarchaeia	Group	MI	-1.68333594300447	0.655410414950396	85	77	0.0120084613463669	0.716384839187256
k__Archaea.p__Iainarchaeota.c__Iainarchaeia.o__Iainarchaeales	Group	MI	1.66499962147284	0.803346829317195	85	44	0.0413144256248691	0.716384839187256
k__Archaea.p__Asgardarchaeota.c__Heimdallarchaeia.o__UBA460.f__Kariarchaeaceae	Group	MI	-1.89203613694943	0.737653299628987	85	33	0.0121188002837639	0.716384839187256
k__Archaea.p__Methanobacteriota_B	Group	MI	-2.09682857093521	0.869247448308427	85	66	0.0180594179500254	0.716384839187256
k__Archaea.p__Methanobacteriota_B.c__Thermococci	Group	MI	-2.09682857093521	0.869247448308427	85	66	0.0180594179500254	0.716384839187256
k__Archaea.p__Thermoproteota.c__Nitrososphaeria.o__Nitrososphaerales.f__Nitrosopumilaceae	Group	MI	-1.23762001749975	0.646774927974845	85	80	0.0591282401800161	0.716384839187256
k__Archaea.p__Halobacteriota.c__Halobacteria	Group	MI	-1.22869046980998	0.648099990269747	85	82	0.0614619904225353	0.716384839187256
k__Archaea.p__Halobacteriota.c__Halobacteria.o__Halobacteriales	Group	MI	-1.23006915704426	0.648706173738864	85	82	0.0614145761857824	0.716384839187256
k__Archaea.p__Methanobacteriota.c__Methanococci	Group	MI	-1.64596456924704	0.662100767226289	85	75	0.0149257071227023	0.716384839187256
k__Archaea.p__Methanobacteriota.c__Methanococci.o__Methanococcales	Group	MI	-1.64596456924704	0.662100767226289	85	75	0.0149257071227023	0.716384839187256
k__Archaea.p__Methanobacteriota.c__Methanococci.o__Methanococcales.f__Methanococcaceae	Group	MI	-1.60323583706238	0.780640085143446	85	55	0.0431481294886594	0.716384839187256
k__Archaea.p__Asgardarchaeota.c__Lokiarchaeia.o__CR.4.f__SOKP01.g__LW40.45.s__LW40.45_sp004524515	Group	MI	1.19591693993161	0.622084347019245	85	16	0.0579814098307933	0.716384839187256
k__Archaea.p__Methanobacteriota_B.c__Thermococci.o__Methanofastidiosales	Group	MI	-1.84915680585376	0.966846618550724	85	49	0.0592529674903135	0.716384839187256
k__Archaea.p__Methanobacteriota_B.c__Thermococci.o__Methanofastidiosales.f__Methanofastidiosaceae	Group	MI	-1.91188779552538	0.931867231400874	85	42	0.0433539982351188	0.716384839187256
k__Archaea.p__Methanobacteriota_B.c__Thermococci.o__Methanofastidiosales.f__Methanofastidiosaceae.g__Methanofastidiosum	Group	MI	-1.91188779552538	0.931867231400874	85	42	0.0433539982351188	0.716384839187256
