feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ANME.1	Group	MI	1.79473336215687	0.737718965010522	84	26	0.0171573557033219	0.587639432838774
JAAZKV01	Group	MI	1.19847333147229	0.489107304011658	84	12	0.0164001856016807	0.587639432838774
Kariarchaeaceae	Group	MI	-1.82948739347783	0.741677461931943	84	33	0.0157200125067039	0.587639432838774
PNOQ01	Group	MI	-0.883612535962335	0.325372020551559	84	14	0.00806319572150977	0.587639432838774
Aenigmatarchaeaceae	Group	MI	-0.949841145426604	0.424780833074124	84	13	0.0280636555570761	0.640786801886571
WJKR01	Group	MI	-1.27979214085145	0.556117374359244	84	15	0.0239128008590596	0.640786801886571
GW2011.AR20	Group	MI	1.0990187526376	0.506367856253751	84	16	0.0328693807905598	0.643300738329527
LC.3	Group	MI	0.620597547756497	0.316014017671557	84	12	0.0529385323232662	0.728624261681225
Methanococcaceae	Group	MI	-1.50141947637004	0.782521527288914	84	55	0.0585026779452079	0.728624261681225
Methanofastidiosaceae	Group	MI	-1.82493712299897	0.936232913072067	84	42	0.0546863695369436	0.728624261681225
Nitrosopumilaceae	Group	MI	-1.2565415062313	0.649943975293405	84	79	0.0566493568128222	0.728624261681225
X21.14.0.10.32.9	Group	MI	0.525218995125476	0.305499917615392	84	13	0.0893487846438491	0.953829252519045
AMARA.1	Group	MI	0.559645620453892	0.812564942757006	84	32	0.492931281234377	0.953829252519045
ARS1403	Group	MI	-0.180833881624875	0.203785810580667	84	11	0.377473844801696	0.953829252519045
Acidilobaceae	Group	MI	-0.534222476644317	0.512252200317001	84	18	0.300064357495829	0.953829252519045
Altiarchaeaceae	Group	MI	-0.208890159473303	0.404955749681711	84	18	0.607358079088125	0.953829252519045
Archaeoglobaceae	Group	MI	0.649953154597927	0.858223851352124	84	40	0.451026778615333	0.953829252519045
B18.G2	Group	MI	-0.358168672918649	0.309416720127672	84	9	0.250403983032843	0.953829252519045
B24	Group	MI	-0.735431723914066	0.620836369127449	84	19	0.239604755740908	0.953829252519045
B26.1	Group	MI	0.459123818545566	0.478239585331353	84	14	0.339862949090645	0.953829252519045
B3.WOES	Group	MI	-0.12159469191018	0.231910123823128	84	9	0.601471744073988	0.953829252519045
BM511	Group	MI	0.279661555435747	0.43176193643931	84	11	0.518974432056879	0.953829252519045
Borrarchaeaceae	Group	MI	-0.602165644625478	0.432744562084839	84	14	0.167836266141181	0.953829252519045
CABMGC01	Group	MI	0.713430876972573	0.84391342519605	84	22	0.400356527966262	0.953829252519045
CG.Epi1	Group	MI	-0.498888402201137	0.709506931204418	84	36	0.483955132613393	0.953829252519045
CG10238.14	Group	MI	0.180521700759372	0.534211254804972	84	16	0.736285615690354	0.953829252519045
CSSED10.239	Group	MI	0.474358661392954	0.588270091981487	84	16	0.422366611246952	0.953829252519045
DHVEG.1	Group	MI	-0.856944620802617	0.880328982359547	84	54	0.333199121132633	0.953829252519045
DSVV01	Group	MI	-0.559537786502487	0.613348866097097	84	28	0.364302591449182	0.953829252519045
GCA.001856825	Group	MI	0.306970488174665	0.586359131966193	84	10	0.602024721827952	0.953829252519045
GCA.020350865	Group	MI	0.266119075802844	0.344495609331172	84	11	0.442045711813669	0.953829252519045
GCA.020356005	Group	MI	0.268321368972982	0.46565171148924	84	9	0.566039636659159	0.953829252519045
GCA.2688095	Group	MI	0.557676250224489	0.406344619699599	84	10	0.173674544869905	0.953829252519045
GLR71	Group	MI	-0.202582300571952	0.450862040825522	84	9	0.654384657875983	0.953829252519045
GW2011.AR1	Group	MI	-0.529365304112807	0.519217669278905	84	82	0.310943387090075	0.953829252519045
GW2011.AR15	Group	MI	0.644985773542664	0.687750770261576	84	32	0.351091490888138	0.953829252519045
GW2011.AR17	Group	MI	0.313072271765861	0.795916014526965	84	22	0.695083045630095	0.953829252519045
GW2011.AR18	Group	MI	-0.370218886149977	0.740419646603479	84	32	0.618405652637392	0.953829252519045
GW2011.AR4	Group	MI	-0.566705852871907	0.943370069002793	84	40	0.549680112212807	0.953829252519045
GW2011.AR5	Group	MI	-0.497055052103544	0.600701129232062	84	20	0.410379034719542	0.953829252519045
GW2011.AR9	Group	MI	-0.449252234854558	0.894308466384661	84	57	0.616770574097766	0.953829252519045
Gearchaeaceae	Group	MI	-0.42459389433532	0.98217674944551	84	32	0.666658946402127	0.953829252519045
HEL.GB.A	Group	MI	-0.80193490253128	0.854397447186588	84	52	0.35069416951088	0.953829252519045
Halalkalicoccaceae	Group	MI	-0.129448372512691	0.216173201670132	84	9	0.550945067563701	0.953829252519045
Haloarculaceae	Group	MI	-0.553718685775551	0.827202372940534	84	53	0.505128941385081	0.953829252519045
Halobacteriaceae	Group	MI	-0.91305308605788	0.588952573192337	84	22	0.124920701984498	0.953829252519045
Haloferacaceae	Group	MI	-1.18230432172607	0.892937241267327	84	67	0.189161487266112	0.953829252519045
