feature	X21.14.0.10.32.9	AMARA.1	ANME.1	ARS1403	ARS49	Acidilobaceae	Aenigmatarchaeaceae	Altiarchaeaceae	Anstonellaceae	Archaeoglobaceae	B18.G2	B24	B26.1	B3.WOES	BM511	Bilamarchaeaceae	Borrarchaeaceae	CABMGC01	CAIVOO01	CG.Epi1	CG1.02.33.12	CG10238.14	CSSED10.239	DHVEG.1	DSVV01	Desulfurococcaceae	GCA.001856825	GCA.020350865	GCA.020356005	GCA.2686295	GCA.2688095	GLR71	GW2011.AR1	GW2011.AR15	GW2011.AR17	GW2011.AR18	GW2011.AR20	GW2011.AR4	GW2011.AR5	GW2011.AR9	Gearchaeaceae	HEL.GB.A	HEL.GB.B	Haladaptataceae	Halalkalicoccaceae	Haloarculaceae	Halobacteriaceae	Halococcaceae	Haloferacaceae	Hermodarchaeaceae	Hodarchaeaceae	Iainarchaeaceae	Ignisphaeraceae	JAADEF01	JAAZKV01	JABGXB01	JABLTI01	JABXJV01	JACAEJ01	JACPNG01	JAEHCK01	JAFCDX01	JAGGVH01	JAGVZF01	JAHWHD01	JALIDP01	JdFR.42	JdFR.43	Jordarchaeaceae	Kariarchaeaceae	LC.3	MK.D1	Methanobacteriaceae	Methanocaldococcaceae	Methanococcaceae	Methanocomedenaceae	Methanocorpusculaceae	Methanoculleaceae	Methanofastidiosaceae	Methanogasteraceae	Methanoliparaceae	Methanomassiliicoccaceae	Methanomethylicaceae	Methanomethylophilaceae	Methanomicrobiaceae	Methanoperedenaceae	Methanoregulaceae	Methanosarcinaceae	Methanospirillaceae	Methanotrichaceae	Micrarchaeaceae	NBVN01	Nanopusillaceae	Natrialbaceae	Nitrosopumilaceae	Nitrososphaeraceae	Odinarchaeaceae	PNOQ01	PWKY01	Parvarchaeaceae	Poseidoniaceae	QMZM01	QMZS01	RBG.16.68.12	RDOG01	S146.22	SCGC.AAA011.G17	SG8.5	SM23.78	SOJC01	SOKP01	SZUA.1535	SpSt.28	Sulfolobaceae	TCS64	Thalassarchaeaceae	Thermocladiaceae	Thermococcaceae	Thermofilaceae	Thermoplasmataceae	Thorarchaeaceae	UBA10216	UBA164	UBA184	UBA213	UBA233	UBA287	UBA460	UBA472	UBA489	UBA57	UBA583	WJIZ01	WJKL01	WJKR01	WJKV01	WJKY01	Wolframiiraptoraceae
CON1	0	0	1.85712746951525e-05	0	0	3.89996768598204e-05	0	0	0	1.85712746951525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	4.64281867378812e-05	0	0	0	0	0	0	0	0	0.000298997522591956	0	0	0	0	3.15711669817593e-05	3.71425493903052e-05	0	0	8.9142118536732e-05	0	0	0	7.05708438415796e-05	0	0	0.00033799719945177	0	9.09992460062475e-05	0	0	0	0	0	0	2.59997845732135e-05	0	0	0	0	0	0	0	0	3.15711669817593e-05	0	0	2.04284021646678e-05	0	0	0.422810972899558	0	2.2285529634183e-05	0	5.38566966159423e-05	0	0	0	0	0.00136127443515468	0	0.000786803004584609	0	0	8.17136086586712e-05	0.000384425386189655	0	0	0.000269283483079712	0	0	0.000133713177805098	5.94280790244881e-05	0.000105856265762369	0	0.000155998707439281	0	0	5.75709515549727e-05	3.15711669817593e-05	2.2285529634183e-05	0	2.59997845732135e-05	0	0	0	0	3.34282944512745e-05	0.000355949431657086	0	0	0	0	0	2.04284021646678e-05	2.78569120427288e-05	0	9.84277558843083e-05	0	0	0	4.27139317988508e-05	0	0	0	0.000138665517723805	0	0	0	0	3.52854219207897e-05	0	0	0	0	0
CON2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.03446985318333e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5258523898875e-05	0	0	3.68747660889479e-05	0	0	0	4.5775571696625e-05	1.39869802406354e-05	0	2.16162421900729e-05	0	0	0	0.00106936821657948	0	4.32324843801459e-05	0	0	0.00066416963748713	0	0	0	0	0	0	0	0	0	0	1.65300675571146e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.425819626445904	0	5.08617463295832e-05	0	0	0	0	0	0	4.95902026713438e-05	0	3.43316787724686e-05	0	0	2.79739604812708e-05	6.61202702284581e-05	0	0	1.5258523898875e-05	0	0	3.43316787724686e-05	1.39869802406354e-05	0	0	0	0	0	0	0	0	0	0	2.79739604812708e-05	0	0	0	0	0.000116134320785882	0	0	3.81463097471874e-05	0	4.95902026713438e-05	0	0	0	2.16162421900729e-05	0	0	3.05170477977501e-05	0	0	5.34048336460623e-05	3.05170477977501e-05	8.77365124185312e-05	0	0	0	0	0	0	0	0	0	0
CON4	0	0.00261832030785099	0.00464156781846312	0.0034514222239854	0.00571269885349307	0	0	0	0	0	0	0	0	0	0.00190423295116434	0	0	0	0	0	0	0	0	0.00547466973459751	0.00142817471337327	0	0	0	0	0.00178521839171658	0.00142817471337327	0	0.00499861149680641	0	0	0	0	0	0.00226127662950765	0.00154718927282103	0.00214226207005989	0	0	0	0	0.00154718927282103	0.00333240766453764	0	0.00440353869956757	0	0.00745824572539373	0	0	0	0	0	0	0.00119014559447772	0	0.00416550958067205	0.00821200460189631	0	0	0	0	0	0	0.00154718927282103	0	0.00309437854564209	0	0	0.120839449359305	0	0.00321339310508983	0	0.00166620383226879	0	0	0.00130916015392548	0	0.0403459356527949	0	0.105565914230174	0	0.00571269885349308	0.00166620383226879	0.0039274804617765	0	0	0.00130916015392548	0	0	0.00392748046177648	0.00460189629864718	0.00987820843416508	0	0	0	0	0.00154718927282103	0	0	0	0	0	0	0	0	0	0.00892609195858292	0.00238029118895544	0	0.00368945134288095	0	0.00142817471337327	0	0	0	0.00904510651803072	0	0	0	0	0	0	0	0.00595072797238862	0	0	0	0	0	0	0	0	0	0.00119014559447772
CON5	0	0	1.2508130284685e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02054412291066e-05	0	0	0	1.63567857568958e-05	3.94487185901604e-05	0	0	0	0	0	0	0	0.00019628142908275	6.25406514234252e-05	0	0	1.63567857568958e-05	0	0	1.15459664166323e-05	0	4.04108824582131e-05	1.05838025485796e-05	0	0	0	0	0	3.56000631179497e-05	2.50162605693701e-05	1.63567857568958e-05	0	0	0	0	1.15459664166323e-05	1.73189496249485e-05	0	0	0	0	0	9.62163868052697e-06	0	0	0	0	1.15459664166323e-05	0	6.83136346317414e-05	0	2.98270799096336e-05	0.425921079470886	0	0.000113214615140867	0	0.000103913697749691	0	1.73189496249485e-05	0	0	0.000179924643325854	0	0.000286083390101002	1.15459664166323e-05	1.34702941527377e-05	0	0.000169020119487924	0	0	0	0	0	1.92432773610539e-05	0.000119308319638534	2.40540967013174e-05	0	0	0	1.2508130284685e-05	3.46378992498972e-05	0	0	0	0	1.44324580207904e-05	0	0	0	0	0.000474988229528676	0	0	0	0	0	1.05838025485796e-05	3.97694398795114e-05	0	4.61838656665294e-05	3.07892437776864e-05	2.69405883054755e-05	0	0	0	4.13730463262659e-05	0	3.65622269860023e-05	0	0	0	1.15459664166323e-05	0	0	0	0	0	0
CON3	0	0	0	0	0.000877348915355894	0	0	0	0	0.00068811679635756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00020643503890727	0.000189232118998331	0	0	0	0	0	0	0.000860145995446931	0	0.000292449638451967	0	0	0	0	0.00022363795881621	0	0	0.0003956671579056	0	0	0.00032685547826982	0.00080853723572013	0	0.00108378395426316	0	0	0	0	0	0	0	0.00134182775289725	0	0	0	0	0	0	0.00046447883754135	0	0.000464478837541353	0.00070531971626649	0	0.00020643503890727	0	0	0	0.383745534408707	0	0.00022363795881621	0	0.000258043798634088	0.00085441168881063	0.00022363795881621	0	0	0.00725963220157234	0	0.00760369059975112	0	0	0.00060210219681285	0.00154252848516818	0.00051608759726817	0.00161707447144026	0	0	0	0.000584899276903912	0.00280981025179338	0	0	0	0	0.000292449638451967	0.00020643503890727	0.000258043798634088	0	0	0	0.00044727591763242	0	0.00055049343708603	0	0.000172029199089392	0.00280981025179338	0	0	0.000361261318087719	0.00099776935471845	0.00061930511672181	0	0	0	0.000607836503449174	0.00022363795881621	0.000258043798634088	0	0	0	0	0	0.000602102196812864	0	0	0	0	0	0	0	0	0	0
CON6	0	0	0	0	0	0	0	0.00358178406958896	0	0.0319802149070442	0.0015350503155381	0	0.00243049633293534	0	0	0.0015350503155381	0	0	0	0	0	0	0	0.00281425891181988	0.00166297117516629	0	0	0	0	0	0	0	0.00946614361248504	0	0.00255841719256353	0	0	0	0	0.0118966399454204	0	0	0	0.0031980214907044	0.0220023878560464	0.0159901074535221	0.00307010063107623	0	0.0414463585195292	0.00434930922735801	0.00422138836772982	0	0	0.00409346750810166	0	0.00307010063107623	0.00166297117516629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0716356813917789	0.00191881289442264	0	0	0	0	0	0	0	0	0	0.0060122804025243	0.00409346750810166	0.00307010063107623	0.00434930922735799	0.023921200750469	0	0.013047927682074	0	0	0	0	0.0070356472795497	0.00217465461367899	0	0	0	0	0.00805901415657509	0.00179089203479445	0	0	0	0	0.0015350503155381	0	0	0	0.0349650349650349	0	0	0	0	0.0165017908920348	0	0	0	0.00639604298140884	0.00588435954289611	0	0	0	0	0.0136875319802149	0	0.00575643868326795	0	0.00409346750810166	0	0	0	0.00434930922735801	0	0	0	0
CON24	0	0	0	0	0	0.000134135855546002	0.000185726569217541	0.000154772141014617	0	0	0	0	0	0	0	0	0.00043336199484093	0	0	0	0	0	0	0.000288907996560619	0	0.000123817712811694	0	0	0.000103181427343078	0.000268271711092003	0.000134135855546002	0	0.00295098882201201	0.00271711092003438	0	0	0	0.000175408426483233	0	0.000299226139294927	0	0.00074290627687014	0	0	0	0	0.000113499570077386	0	0	0	0.00034049871023214	0	0	0	0	0	0.000103181427343078	0.000103181427343078	0	0	0	0.000278589853826311	0	0	0	0	0	0	0	0	0	0	0.394421324161651	0	0.000154772141014617	0	0	0	0	0	0.000185726569217541	0.00808942390369733	0	0.000474634565778152	0	0.000247635425623388	0.000216680997420464	0.00049527085124676	0	0.000113499570077386	0	0	0	0.000567497850386924	0.00395528804815132	0.000288907996560619	0	0.000247635425623388	0.000165090283748925	0	0	0	0	0	0.000103181427343078	0	0	0	0	0	0.00265864144453997	0	0	0.000103181427343078	0	0.00046431642304383	0	0.00125193465176267	0	0.000185726569217541	0.000453998280309543	0.000175408426483233	0	0	0	0.00101117798796216	0	0.0008632846087704	0	0.000113499570077386	0	0	0	0	0	0	0	0
CON25	0	0.00121142780226804	0	0	0	0.00111047548541238	0.00736951913046405	0	0	0	0	0	0	0	0	0.00222095097082476	0	0	0	0	0	0	0	0.00366793417908941	0	0.00131238011912373	0	0	0	0	0	0	0.0258774438873372	0	0	0.0112057071709796	0	0.00454285425850524	0	0.00232190328768045	0	0	0	0	0	0.00323047413938151	0.013224753508093	0	0.0192818925194333	0	0.00343237877309283	0	0.00151428475283505	0	0	0.0050476158427836	0.00797523303159806	0	0	0	0	0	0	0	0	0	0	0	0	0.00292761718881445	0	0	0.092405020695225	0.00323047413938151	0.00151428475283505	0	0.0192818925194333	0.00201904633711341	0	0	0	0	0.00191809402025775	0	0	0	0	0.0299155365615641	0.00121142780226804	0.0118114210721136	0.00100952316855669	0	0	0.00161523706969074	0.0112057071709796	0.00131238011912373	0	0	0	0.00201904633711341	0.0184742739845879	0	0	0	0	0	0	0	0.00474475889221659	0	0.0161187199246222	0	0	0.00747047144731969	0	0	0	0.00121142780226804	0	0.0282666487195881	0	0	0	0	0	0.0113403102601205	0	0.00292761718881446	0	0.00111047548541238	0.00222095097082476	0	0	0.00121142780226804	0	0	0	0
CON26	0.00182321561212776	0	0	0	0.00091160780606388	0	0	0.00131676683098116	0.00096225268417854	0	0.00806941724626916	0.00217772975893038	0	0	0	0.00592545073941522	0.00212708488081572	0	0	0.00055709365926126	0	0	0	0	0	0.00313998244310892	0.00248159902761834	0	0	0	0	0	0.00248159902761834	0	0.00207644000270106	0.0140286312377608	0	0	0	0	0.00470997366466338	0.00248159902761834	0.00369707610237018	0	0	0.00476061854277804	0	0	0.00871091903572152	0	0	0	0	0	0	0.0070902829360524	0	0	0	0	0	0	0	0	0	0	0	0.00060773853737592	0	0.00131676683098116	0	0	0.156003106219191	0.00796812749003984	0.00192450536835708	0	0	0	0.0037983658585995	0	0	0	0	0.00273482341819164	0.00086096292794922	0	0.00065838341549058	0.0211357957998514	0.0012661219528665	0.0131170234316969	0.00182321561212776	0	0	0.00205955837666284	0.00790060098588696	0.002532243905733	0	0	0.00207644000270106	0	0	0	0	0.00212708488081572	0	0	0.0141805658721048	0	0	0.0005064487811466	0.0175231278276724	0	0	0.0243433047471132	0	0.0027854682963063	0.00086096292794922	0.00096225268417854	0	0.0355695860625296	0.0014349382132487	0	0	0	0	0.00435545951786076	0	0.00410223512728746	0	0.00055709365926126	0	0	0.0010128975622932	0.00060773853737592	0	0	0	0
CON27	0	0	0	0	0.00099638809316226	0.00080956532569434	0	0	0	0	0	0	0	0	0	0	0.00080956532569434	0	0.00149458213974342	0.00080956532569434	0	0	0.0178104371652759	0.00450450450450448	0	0.00068501681404905	0	0	0	0.00188898575995348	0	0	0.0097978162494291	0.00112093660480755	0	0.00080956532569434	0.00255324448872834	0.00249097023290569	0	0.00093411383733963	0	0.00124548511645284	0	0	0	0.00257400257400256	0	0	0.00712002324905549	0	0.0013077593722755	0.00205505044214721	0	0	0	0.00448374641923029	0.00236642172126042	0.00062274255822642	0	0	0	0	0	0	0	0	0	0.00099638809316226	0.00062274255822642	0.00099638809316226	0	0.00853157304770208	0.145265080748952	0.00180595341885663	0.00317598704695478	0	0.00311371279113216	0	0.00296840619421262	0	0	0.0429692365176237	0	0.0394818781915557	0.00224187320961513	0	0	0.0121642379706895	0	0	0.00068501681404905	0	0	0	0.00473284344252085	0.0158799352347739	0	0	0.00298916427948684	0.00149458213974342	0.00323826130277741	0	0	0	0	0.00361190683771329	0.00124548511645284	0.00105866234898492	0	0	0.00680865196994225	0	0	0.00062274255822642	0	0.00168140490721134	0	0	0.00062274255822642	0.017146178436501	0	0	0	0	0	0.0111678498775273	0	0.0112923983891726	0	0	0.00068501681404905	0	0	0	0.00112093660480755	0	0	0.00118321086063021
