feature	X21.14.0.10.32.9	AMARA.1	ANME.1	ARS1403	ARS49	Acidilobaceae	Aenigmatarchaeaceae	Altiarchaeaceae	Anstonellaceae	Archaeoglobaceae	B18.G2	B24	B26.1	B3.WOES	BM511	Bilamarchaeaceae	Borrarchaeaceae	CABMGC01	CAIVOO01	CG.Epi1	CG1.02.33.12	CG10238.14	CSSED10.239	DHVEG.1	DSVV01	Desulfurococcaceae	GCA.001856825	GCA.020350865	GCA.020356005	GCA.2686295	GCA.2688095	GLR71	GW2011.AR1	GW2011.AR15	GW2011.AR17	GW2011.AR18	GW2011.AR20	GW2011.AR4	GW2011.AR5	GW2011.AR9	Gearchaeaceae	HEL.GB.A	HEL.GB.B	Haladaptataceae	Halalkalicoccaceae	Haloarculaceae	Halobacteriaceae	Halococcaceae	Haloferacaceae	Hermodarchaeaceae	Hodarchaeaceae	Iainarchaeaceae	Ignisphaeraceae	JAADEF01	JAAZKV01	JABGXB01	JABLTI01	JABXJV01	JACAEJ01	JAEHCK01	JAFCDX01	JAGGVH01	JAGVZF01	JAHWHD01	JALIDP01	JdFR.42	JdFR.43	Jordarchaeaceae	Kariarchaeaceae	LC.3	MK.D1	Methanobacteriaceae	Methanocaldococcaceae	Methanococcaceae	Methanocomedenaceae	Methanocorpusculaceae	Methanoculleaceae	Methanofastidiosaceae	Methanogasteraceae	Methanoliparaceae	Methanomassiliicoccaceae	Methanomethylicaceae	Methanomethylophilaceae	Methanomicrobiaceae	Methanoperedenaceae	Methanoregulaceae	Methanosarcinaceae	Methanospirillaceae	Methanotrichaceae	Micrarchaeaceae	NBVN01	Nanopusillaceae	Natrialbaceae	Nitrosopumilaceae	Nitrososphaeraceae	Odinarchaeaceae	PNOQ01	PWKY01	Parvarchaeaceae	Poseidoniaceae	QMZM01	QMZS01	RBG.16.68.12	RDOG01	S146.22	SCGC.AAA011.G17	SG8.5	SM23.78	SOJC01	SOKP01	SZUA.1535	SpSt.28	Sulfolobaceae	TCS64	Thalassarchaeaceae	Thermocladiaceae	Thermococcaceae	Thermofilaceae	Thermoplasmataceae	Thorarchaeaceae	UBA10216	UBA164	UBA184	UBA213	UBA233	UBA287	UBA460	UBA472	UBA489	UBA57	UBA583	WJIZ01	WJKL01	WJKR01	WJKV01	WJKY01	Wolframiiraptoraceae
CON1	-12.4119963947626	-16.0306541593782	-14.4931695391773	-10.9320670785929	-15.8973876285147	-13.4227802112859	-12.8916835125838	-13.2447498042011	-12.71131760412	-14.4931695391773	-11.908642806336	-15.0332456990074	-14.8222255837621	-12.2420713933203	-15.5925330469863	-17.6629223748777	-14.1547179184176	-17.6629223748777	-12.8758346599404	-15.3719602640965	-12.5729212396578	-14.5419069739163	-14.9742286772072	-13.1712414442899	-14.6853223955871	-13.5863280427454	-17.284410751624	-11.908642806336	-15.6847220600122	-15.7773866086237	-15.4437139605084	-15.4437139605084	-10.48418075595	-14.7323037282797	-16.8973876285147	-13.7475318442197	-15.676814845625	-13.7276347928143	-13.4931695391773	-16.1793151861541	-16.9848504697651	-12.2301351333435	-17.3998879690439	-15.0566908373991	-10.6951836681512	-12.567170120621	-13.7238315664953	-16.9848504697651	-10.3073029938659	-16.8149254683228	-12.2003877899494	-13.2366576201756	-15.4612885137081	-10.4415148338378	-15.8222255837621	-16.1793151861541	-15.594352685433	-14.007742712007	-12.287187667763	-15.8973876285147	-13.7475318442197	-16.4423495919879	-15.5434090294207	-14.4052144763943	-13.0067838373306	-13.7276347928143	-16.1793151861541	-17.284410751624	-14.3556660154273	-13.0067838373306	-15.5591911779283	-0.0185171836011888	-17.3998879690439	-14.2301351333435	-17.0779598741566	-12.957116638937	-16.1268694746375	-16.4612885137081	-13.0457596613827	-13.3067210118627	-8.29742824593081	-11.2193029935984	-9.08831181978085	-16.5925330469863	-15.9569227648177	-12.3556660154273	-10.1216106765653	-17.3998879690439	-15.0332456990074	-10.6351885440497	-15.0802270317	-16.8149254683228	-11.6451726326223	-12.8150976340646	-11.9822076198999	-13.7238315664953	-11.4227802112859	-16.9848504697651	-16.0638379687342	-12.8609013236777	-13.7276347928143	-14.2301351333435	-15.0566908373991	-14.007742712007	-15.8573870912668	-11.5729212396578	-13.6039199227163	-13.5502222421283	-13.6451726326223	-10.2326419889541	-12.4119963947626	-16.3409942799903	-14.8392189321962	-16.3998879690439	-14.4149948614341	-14.3556660154273	-13.9082070384561	-14.2861726835219	-12.0871771795014	-15.8222255837621	-14.9569227648177	-14.7773866086237	-13.2915356780076	-10.936191767655	-15.3998879690439	-15.1441536786495	-11.5927052127282	-14.6205917225924	-14.9742286772072	-17.284410751624	-16.1793151861541	-13.567170120621	-13.6821606685742	-15.1954857260004	-11.9320670785929	-17.0779598741566	-17.5254188511278
CON2	-12.4119963947626	-16.0306541593782	-16.0638379687342	-10.9320670785929	-15.8973876285147	-14.4227802112859	-12.8916835125838	-13.2447498042011	-12.71131760412	-15.4931695391773	-11.908642806336	-15.0332456990074	-14.8222255837621	-12.2420713933203	-14.3623491093449	-17.6629223748777	-14.1547179184176	-17.6629223748777	-12.8758346599404	-15.3719602640965	-12.5729212396578	-14.5419069739163	-14.9742286772072	-15.6809125531707	-14.6853223955871	-13.5863280427454	-17.284410751624	-11.908642806336	-15.6847220600122	-14.7773866086237	-15.4437139605084	-15.4437139605084	-13.5043681142173	-14.7323037282797	-16.8973876285147	-13.7475318442197	-13.1924241079026	-14.9029174907076	-14.4931695391773	-14.2748862680946	-16.9848504697651	-16.0779598741565	-17.3998879690439	-8.64638711908976	-10.6951836681512	-13.2748862680946	-13.7238315664953	-16.9848504697651	-9.3335221455935	-16.8149254683228	-15.6809125531707	-13.2366576201756	-15.4612885137081	-10.4415148338378	-15.8222255837621	-16.1793151861541	-15.594352685433	-15.007742712007	-12.287187667763	-15.8973876285147	-13.7475318442197	-16.4423495919879	-15.5434090294207	-14.4052144763943	-13.0067838373306	-16.8973876285147	-16.1793151861541	-17.284410751624	-15.3556660154273	-13.0067838373306	-15.5591911779283	-0.00904718592250405	-17.3998879690439	-13.0404210144575	-17.0779598741566	-15.6809125531707	-16.1268694746375	-16.4612885137081	-13.0457596613827	-13.3067210118627	-13.0769468904826	-11.2193029935984	-13.6074616071814	-16.5925330469863	-15.9569227648177	-13.9029174907076	-12.6619093912038	-17.3998879690439	-15.0332456990074	-14.7773866086237	-15.0802270317	-16.8149254683228	-13.6074616071814	-14.9029174907076	-15.2177305554499	-13.7238315664953	-12.4227802112859	-16.9848504697651	-16.0638379687342	-14.594352685433	-16.284410751624	-17.6629223748777	-15.0566908373991	-15.0566908373991	-13.9029174907076	-11.5729212396578	-13.6039199227163	-13.5502222421283	-16.3998879690439	-11.8492795271055	-12.4119963947626	-16.3409942799903	-13.4554585137364	-16.3998879690439	-13.0769468904826	-16.304846068238	-14.9082070384561	-14.2861726835219	-14.2748862680946	-15.8222255837621	-14.9569227648177	-13.7773866086237	-14.9546961496161	-10.936191767655	-12.9700316865661	-13.7773866086237	-12.2538246525667	-14.6205917225924	-14.9742286772072	-17.284410751624	-16.1793151861541	-14.567170120621	-13.6821606685742	-15.1954857260004	-11.9320670785929	-17.0779598741566	-17.5254188511278
CON4	-12.4119963947626	-7.28484162237535	-6.4588710221504	-6.88629224588507	-6.15931074029149	-14.4227802112859	-12.8916835125838	-13.2447498042011	-12.71131760412	-15.4931695391773	-11.908642806336	-15.0332456990074	-14.8222255837621	-12.2420713933203	-7.74427324101266	-17.6629223748777	-14.1547179184176	-17.6629223748777	-12.8758346599404	-15.3719602640965	-12.5729212396578	-14.5419069739163	-14.9742286772072	-6.22071128495564	-8.15931074029149	-13.5863280427454	-17.284410751624	-11.908642806336	-15.6847220600122	-7.83738264540413	-8.15931074029149	-15.4437139605084	-6.35195581823389	-14.7323037282797	-16.8973876285147	-13.7475318442197	-15.676814845625	-16.8149254683228	-7.49634572756907	-8.04383352287156	-7.57434823957034	-16.0779598741565	-17.3998879690439	-15.0566908373991	-10.6951836681512	-8.04383352287156	-6.93691831895503	-16.9848504697651	-6.5348198753837	-16.8149254683228	-5.77464689005616	-13.2366576201756	-15.4612885137081	-10.4415148338378	-15.8222255837621	-16.1793151861541	-15.594352685433	-8.42234514612529	-12.287187667763	-5.63574878423447	-13.7475318442197	-16.4423495919879	-15.5434090294207	-14.4052144763943	-13.0067838373306	-16.8973876285147	-8.04383352287156	-17.284410751624	-7.04383352287155	-13.0067838373306	-15.5591911779283	-1.75653551524651	-17.3998879690439	-6.98938573884919	-17.0779598741566	-7.93691831895506	-16.1268694746375	-16.4612885137081	-8.28484162237536	-13.3067210118627	-3.3391317778763	-11.2193029935984	-1.95148294671158	-16.5925330469863	-6.15931074029149	-7.93691831895506	-6.69987912165419	-17.3998879690439	-15.0332456990074	-8.28484162237536	-15.0802270317	-16.8149254683228	-6.69987912165419	-6.47125474660623	-5.36923380966572	-13.7238315664953	-12.4227802112859	-16.9848504697651	-16.0638379687342	-8.04383352287156	-16.284410751624	-17.6629223748777	-15.0566908373991	-15.0566908373991	-15.8573870912668	-11.5729212396578	-13.6039199227163	-13.5502222421283	-16.3998879690439	-5.51545455051676	-7.42234514612529	-16.3409942799903	-6.79007693062577	-16.3998879690439	-8.15931074029149	-16.304846068238	-14.9082070384561	-14.2861726835219	-5.49634572756905	-15.8222255837621	-14.9569227648177	-14.7773866086237	-14.9546961496161	-10.936191767655	-15.3998879690439	-15.1441536786495	-6.10041705123792	-14.6205917225924	-14.9742286772072	-17.284410751624	-16.1793151861541	-14.567170120621	-13.6821606685742	-15.1954857260004	-11.9320670785929	-17.0779598741566	-8.42234514612529
CON5	-12.4119963947626	-16.0306541593782	-15.0638379687342	-10.9320670785929	-15.8973876285147	-14.4227802112859	-12.8916835125838	-13.2447498042011	-12.71131760412	-15.4931695391773	-11.908642806336	-15.0332456990074	-14.8222255837621	-12.2420713933203	-15.5925330469863	-17.6629223748777	-14.1547179184176	-17.6629223748777	-12.8758346599404	-14.3719602640965	-12.5729212396578	-14.5419069739163	-14.9742286772072	-14.676814845625	-13.4067256822572	-13.5863280427454	-17.284410751624	-11.908642806336	-15.6847220600122	-15.7773866086237	-15.4437139605084	-15.4437139605084	-11.0918523449038	-12.7419098738468	-16.8973876285147	-13.7475318442197	-14.676814845625	-16.8149254683228	-14.4931695391773	-15.1793151861541	-16.9848504697651	-13.3719602640965	-15.304846068238	-15.0566908373991	-10.6951836681512	-14.2748862680946	-13.7238315664953	-16.9848504697651	-13.5548243212463	-14.0638379687342	-14.676814845625	-13.2366576201756	-15.4612885137081	-10.4415148338378	-15.8222255837621	-15.1793151861541	-14.594352685433	-15.007742712007	-12.287187667763	-15.8973876285147	-13.7475318442197	-15.4423495919879	-15.5434090294207	-14.4052144763943	-13.0067838373306	-16.8973876285147	-15.1793151861541	-17.284410751624	-12.6145305673706	-13.0067838373306	-13.8100813764884	-0.00840560796086656	-17.3998879690439	-11.8857158143253	-17.0779598741566	-12.0093901847118	-16.1268694746375	-14.594352685433	-13.0457596613827	-13.3067210118627	-11.2173832269877	-11.2193029935984	-10.5483402876761	-15.1793151861541	-14.9569227648177	-17.3998879690439	-11.3075810359592	-17.3998879690439	-15.0332456990074	-15.7773866086237	-15.0802270317	-16.8149254683228	-14.4423495919879	-11.8100813764884	-14.1204214971006	-13.7238315664953	-12.4227802112859	-16.9848504697651	-15.0638379687342	-13.594352685433	-16.284410751624	-17.6629223748777	-15.0566908373991	-15.0566908373991	-14.8573870912668	-11.5729212396578	-13.6039199227163	-13.5502222421283	-16.3998879690439	-9.81688426230762	-12.4119963947626	-16.3409942799903	-14.8392189321962	-16.3998879690439	-14.4149948614341	-15.304846068238	-13.3950438772096	-14.2861726835219	-13.1793151861541	-13.7642776868753	-13.9569227648177	-14.7773866086237	-14.9546961496161	-10.936191767655	-13.3380129321732	-15.1441536786495	-13.5163501734317	-14.6205917225924	-14.9742286772072	-17.284410751624	-15.1793151861541	-14.567170120621	-13.6821606685742	-15.1954857260004	-11.9320670785929	-17.0779598741566	-17.5254188511278
CON3	-12.4119963947626	-16.0306541593782	-16.0638379687342	-10.9320670785929	-8.92139370131657	-14.4227802112859	-12.8916835125838	-13.2447498042011	-12.71131760412	-9.27189094840071	-11.908642806336	-15.0332456990074	-14.8222255837621	-12.2420713933203	-15.5925330469863	-17.6629223748777	-14.1547179184176	-17.6629223748777	-12.8758346599404	-15.3719602640965	-12.5729212396578	-14.5419069739163	-14.9742286772072	-15.6809125531707	-11.0088565425669	-11.1343874246508	-17.284410751624	-11.908642806336	-15.6847220600122	-15.7773866086237	-15.4437139605084	-15.4437139605084	-8.94996285351338	-14.7323037282797	-10.5063562020377	-13.7475318442197	-15.676814845625	-16.8149254683228	-14.4931695391773	-10.893379325147	-16.9848504697651	-16.0779598741565	-10.070257087231	-15.0566908373991	-10.6951836681512	-10.3458915298446	-9.03923019161044	-16.9848504697651	-8.61653911978815	-16.8149254683228	-15.6809125531707	-13.2366576201756	-15.4612885137081	-10.4415148338378	-15.8222255837621	-16.1793151861541	-8.30841682442581	-15.007742712007	-12.287187667763	-15.8973876285147	-13.7475318442197	-16.4423495919879	-9.83893154112461	-14.4052144763943	-9.8389315411246	-9.23626703867	-16.1793151861541	-11.0088565425669	-15.3556660154273	-13.0067838373306	-15.5591911779283	-0.148610160741267	-17.3998879690439	-10.893379325147	-17.0779598741566	-10.6869284476795	-8.95961302354708	-10.893379325147	-13.0457596613827	-13.3067210118627	-5.87271985458087	-11.2193029935984	-5.80591648389662	-16.5925330469863	-15.9569227648177	-9.46453602634314	-8.10731918145262	-9.68692844767955	-8.03923019161044	-15.7773866086237	-15.0802270317	-16.8149254683228	-9.50635620203776	-7.24214360500665	-15.2177305554499	-13.7238315664953	-12.4227802112859	-16.9848504697651	-10.5063562020377	-11.0088565425669	-10.6869284476795	-17.6629223748777	-15.0566908373991	-15.0566908373991	-9.89337932514696	-11.5729212396578	-9.59381904328812	-13.5502222421283	-11.2718909484007	-7.24214360500665	-12.4119963947626	-16.3409942799903	-10.2015016205093	-8.73583804816051	-9.42389404184574	-16.304846068238	-14.9082070384561	-14.2861726835219	-9.45086108944604	-10.893379325147	-10.6869284476795	-14.7773866086237	-14.9546961496161	-10.936191767655	-15.3998879690439	-15.1441536786495	-9.4645360263431	-14.6205917225924	-14.9742286772072	-17.284410751624	-16.1793151861541	-14.567170120621	-13.6821606685742	-15.1954857260004	-11.9320670785929	-17.0779598741566	-17.5254188511278
CON6	-12.4119963947626	-16.0306541593782	-16.0638379687342	-10.9320670785929	-15.8973876285147	-14.4227802112859	-12.8916835125838	-6.84877195608209	-12.71131760412	-3.69034259347761	-8.07116437741856	-15.0332456990074	-7.40819936469612	-12.2420713933203	-15.5925330469863	-8.07116437741856	-14.1547179184176	-17.6629223748777	-12.8758346599404	-15.3719602640965	-12.5729212396578	-14.5419069739163	-14.9742286772072	-7.1966952595024	-7.95568715999861	-13.5863280427454	-17.284410751624	-11.908642806336	-15.6847220600122	-15.7773866086237	-15.4437139605084	-15.4437139605084	-5.44667351251075	-14.7323037282797	-7.33419878325234	-13.7475318442197	-15.676814845625	-16.8149254683228	-14.4931695391773	-5.11696806703167	-16.9848504697651	-16.0779598741565	-17.3998879690439	-7.01227068836498	-4.2298621234376	-4.69034259347761	-7.07116437741855	-16.9848504697651	-3.31627687525507	-6.56866403688936	-6.61173275878125	-13.2366576201756	-15.4612885137081	-6.6561268781397	-15.8222255837621	-7.07116437741855	-7.95568715999861	-15.007742712007	-12.287187667763	-15.8973876285147	-13.7475318442197	-16.4423495919879	-15.5434090294207	-14.4052144763943	-13.0067838373306	-16.8973876285147	-16.1793151861541	-17.284410751624	-15.3556660154273	-13.0067838373306	-15.5591911779283	-2.52684386119473	-7.74923628253119	-15.2301351333435	-17.0779598741566	-15.6809125531707	-16.1268694746375	-16.4612885137081	-13.0457596613827	-13.3067210118627	-15.0384315099699	-11.2193029935984	-6.10153802646206	-6.6561268781397	-7.07116437741855	-6.56866403688936	-4.10923241825206	-17.3998879690439	-4.9837015361682	-15.7773866086237	-15.0802270317	-16.8149254683228	-15.5474451574578	-5.87476716461504	-7.56866403688937	-13.7238315664953	-12.4227802112859	-16.9848504697651	-16.0638379687342	-5.67884695463979	-7.84877195608211	-17.6629223748777	-15.0566908373991	-15.0566908373991	-15.8573870912668	-8.07116437741856	-13.6039199227163	-13.5502222421283	-16.3998879690439	-3.56160927935541	-12.4119963947626	-16.3409942799903	-14.8392189321962	-16.3998879690439	-4.64489962271644	-16.304846068238	-14.9082070384561	-14.2861726835219	-6.01227068836497	-6.13256492208269	-14.9569227648177	-14.7773866086237	-14.9546961496161	-10.936191767655	-4.91465989173855	-15.1441536786495	-6.16427378181002	-14.6205917225924	-6.6561268781397	-17.284410751624	-16.1793151861541	-14.567170120621	-6.56866403688936	-15.1954857260004	-11.9320670785929	-17.0779598741566	-17.5254188511278
CON24	-12.4119963947626	-16.0306541593782	-16.0638379687342	-10.9320670785929	-15.8973876285147	-11.635171620706	-11.1656863374047	-11.4287207432385	-12.71131760412	-15.4931695391773	-11.908642806336	-15.0332456990074	-14.8222255837621	-12.2420713933203	-15.5925330469863	-17.6629223748777	-9.94329391606829	-17.6629223748777	-12.8758346599404	-15.3719602640965	-12.5729212396578	-14.5419069739163	-14.9742286772072	-10.5282564167895	-14.6853223955871	-11.7506488381259	-17.284410751624	-11.908642806336	-12.0136832439597	-10.635171620706	-11.635171620706	-15.4437139605084	-7.17574000206868	-7.29486499650375	-16.8973876285147	-13.7475318442197	-15.676814845625	-11.2481484975967	-14.4931695391773	-10.4776303437195	-16.9848504697651	-9.16568633740479	-17.3998879690439	-15.0566908373991	-10.6951836681512	-14.2748862680946	-11.8761797202098	-16.9848504697651	-14.9546961496161	-16.8149254683228	-10.2912172194887	-13.2366576201756	-15.4612885137081	-10.4415148338378	-15.8222255837621	-16.1793151861541	-12.0136832439597	-12.0136832439597	-12.287187667763	-15.8973876285147	-10.5807238366836	-16.4423495919879	-15.5434090294207	-14.4052144763943	-13.0067838373306	-16.8973876285147	-16.1793151861541	-17.284410751624	-15.3556660154273	-13.0067838373306	-15.5591911779283	-0.113344716019697	-17.3998879690439	-11.4287207432385	-17.0779598741566	-15.6809125531707	-16.1268694746375	-16.4612885137081	-13.0457596613827	-11.1656863374047	-5.72090149473185	-11.2193029935984	-9.81204938279007	-16.5925330469863	-10.7506488381259	-10.9432939160683	-9.75064883812594	-17.3998879690439	-11.8761797202098	-15.7773866086237	-15.0802270317	-16.8149254683228	-9.55425162532241	-6.75315569373648	-10.5282564167895	-13.7238315664953	-10.7506488381259	-11.3356113388471	-16.0638379687342	-14.594352685433	-16.284410751624	-17.6629223748777	-15.0566908373991	-12.0136832439597	-15.8573870912668	-11.5729212396578	-13.6039199227163	-13.5502222421283	-16.3998879690439	-7.32624923564337	-12.4119963947626	-16.3409942799903	-12.0136832439597	-16.3998879690439	-9.84375824251745	-16.304846068238	-8.41277919936953	-14.2861726835219	-11.1656863374047	-9.87617972020976	-11.2481484975967	-14.7773866086237	-14.9546961496161	-10.936191767655	-8.72090149473186	-15.1441536786495	-8.94903028561748	-14.6205917225924	-11.8761797202098	-17.284410751624	-16.1793151861541	-14.567170120621	-13.6821606685742	-15.1954857260004	-11.9320670785929	-17.0779598741566	-17.5254188511278
CON25	-12.4119963947626	-8.34182765232509	-16.0638379687342	-10.9320670785929	-15.8973876285147	-8.46735853440894	-5.7369655941662	-13.2447498042011	-12.71131760412	-15.4931695391773	-11.908642806336	-15.0332456990074	-14.8222255837621	-12.2420713933203	-15.5925330469863	-7.46735853440894	-14.1547179184176	-17.6629223748777	-12.8758346599404	-15.3719602640965	-12.5729212396578	-14.5419069739163	-14.9742286772072	-6.74356832899045	-14.6853223955871	-8.22635043490513	-17.284410751624	-11.908642806336	-15.6847220600122	-15.7773866086237	-15.4437139605084	-15.4437139605084	-3.92491286580555	-14.7323037282797	-16.8973876285147	-5.13237428669611	-15.676814845625	-6.43493705671654	-14.4931695391773	-7.40322819698921	-16.9848504697651	-16.0779598741565	-17.3998879690439	-15.0566908373991	-10.6951836681512	-6.92679015304622	-4.89336715150877	-16.9848504697651	-4.34936132501047	-16.8149254683228	-6.83932731179589	-13.2366576201756	-8.01989955743773	-10.4415148338378	-15.8222255837621	-6.28293396327149	-5.62300940486912	-15.007742712007	-12.287187667763	-15.8973876285147	-13.7475318442197	-16.4423495919879	-15.5434090294207	-14.4052144763943	-13.0067838373306	-16.8973876285147	-16.1793151861541	-17.284410751624	-7.06880915791867	-13.0067838373306	-15.5591911779283	-2.08863674362028	-6.92679015304622	-8.01989955743773	-17.0779598741566	-4.34936132501047	-7.60486205815888	-16.4612885137081	-13.0457596613827	-13.3067210118627	-15.0384315099699	-7.67886263960265	-14.6074616071814	-16.5925330469863	-15.9569227648177	-17.3998879690439	-3.71571304493761	-8.34182765232509	-5.05642543346282	-8.6048620581589	-15.0802270317	-16.8149254683228	-7.92679015304623	-5.13237428669611	-8.22635043490513	-13.7238315664953	-12.4227802112859	-16.9848504697651	-7.60486205815888	-4.41109031476218	-16.284410751624	-17.6629223748777	-15.0566908373991	-15.0566908373991	-15.8573870912668	-11.5729212396578	-13.6039199227163	-6.37220130136858	-16.3998879690439	-4.6078708080312	-12.4119963947626	-16.3409942799903	-5.71733678741728	-16.3998879690439	-14.4149948614341	-16.304846068238	-8.34182765232509	-14.2861726835219	-3.79750713610126	-15.8222255837621	-14.9569227648177	-14.7773866086237	-14.9546961496161	-10.936191767655	-5.11514787258552	-15.1441536786495	-7.06880915791866	-14.6205917225924	-8.46735853440894	-7.46735853440894	-16.1793151861541	-14.567170120621	-8.34182765232509	-15.1954857260004	-11.9320670785929	-17.0779598741566	-17.5254188511278
CON26	-7.84170993479774	-16.0306541593782	-16.0638379687342	-10.9320670785929	-8.84170993479774	-14.4227802112859	-12.8916835125838	-8.31119521809896	-8.76370742279647	-15.4931695391773	-5.69573062898046	-7.58537018153796	-14.8222255837621	-12.2420713933203	-15.5925330469863	-6.14127021665665	-7.6193175134613	-17.6629223748777	-12.8758346599404	-9.55220331760276	-12.5729212396578	-14.5419069739163	-14.9742286772072	-15.6809125531707	-14.6853223955871	-7.05743862585318	-7.39692509212485	-11.908642806336	-15.6847220600122	-15.7773866086237	-15.4437139605084	-15.4437139605084	-7.39692509212485	-14.7323037282797	-7.65408293162197	-4.89789277019087	-15.676814845625	-16.8149254683228	-14.4931695391773	-16.1793151861541	-6.47247612513203	-7.39692509212485	-6.82181037736004	-15.0566908373991	-10.6951836681512	-6.45704608456242	-13.7238315664953	-16.9848504697651	-5.58537018153796	-16.8149254683228	-15.6809125531707	-13.2366576201756	-15.4612885137081	-10.4415148338378	-15.8222255837621	-5.88235191929509	-15.594352685433	-15.007742712007	-12.287187667763	-15.8973876285147	-13.7475318442197	-16.4423495919879	-15.5434090294207	-14.4052144763943	-13.0067838373306	-16.8973876285147	-9.4266724355189	-17.284410751624	-8.31119521809896	-13.0067838373306	-15.5591911779283	-1.42276417327916	-5.71395438759937	-7.76370742279647	-17.0779598741566	-15.6809125531707	-16.1268694746375	-6.78281624574418	-13.0457596613827	-13.3067210118627	-15.0384315099699	-11.2193029935984	-7.25674743407659	-8.92417209498972	-15.9569227648177	-9.31119521809896	-4.3065785900286	-8.36777874646533	-4.99482664855351	-7.84170993479774	-15.0802270317	-16.8149254683228	-7.66586009939833	-5.72623271737781	-7.36777874646533	-13.7238315664953	-12.4227802112859	-7.65408293162197	-16.0638379687342	-14.594352685433	-16.284410751624	-17.6629223748777	-7.6193175134613	-15.0566908373991	-15.8573870912668	-4.88235191929509	-13.6039199227163	-13.5502222421283	-9.68970684135269	-4.57700670860333	-12.4119963947626	-16.3409942799903	-4.10274198772039	-16.3998879690439	-7.2302752227154	-8.92417209498972	-8.76370742279647	-14.2861726835219	-3.5556228381439	-8.18720650082351	-14.9569227648177	-14.7773866086237	-14.9546961496161	-10.936191767655	-6.58537018153796	-15.1441536786495	-6.67178493335543	-14.6205917225924	-9.55220331760276	-17.284410751624	-16.1793151861541	-8.68970684135269	-9.4266724355189	-15.1954857260004	-11.9320670785929	-17.0779598741566	-17.5254188511278
CON27	-12.4119963947626	-16.0306541593782	-16.0638379687342	-10.9320670785929	-8.72252294786836	-9.02208322972726	-12.8916835125838	-13.2447498042011	-12.71131760412	-15.4931695391773	-11.908642806336	-15.0332456990074	-14.8222255837621	-12.2420713933203	-15.5925330469863	-17.6629223748777	-9.02208322972726	-17.6629223748777	-8.13756044714717	-9.02208322972726	-12.5729212396578	-14.5419069739163	-4.56265161108993	-6.545934216145	-14.6853223955871	-9.26309132923107	-17.284410751624	-11.908642806336	-15.6847220600122	-7.7996908083908	-15.4437139605084	-15.4437139605084	-5.42484239922764	-8.55259794642603	-16.8973876285147	-9.02208322972726	-7.36497094325025	-7.40059485298097	-14.4931695391773	-8.81563235225982	-16.9848504697651	-8.40059485298098	-17.3998879690439	-15.0566908373991	-10.6951836681512	-7.35328913820261	-13.7238315664953	-16.9848504697651	-5.88542068241667	-16.8149254683228	-8.33020552508956	-7.67812882850987	-15.4612885137081	-10.4415148338378	-15.8222255837621	-6.55259794642601	-7.47459543442474	-9.40059485298098	-12.287187667763	-15.8973876285147	-13.7475318442197	-16.4423495919879	-15.5434090294207	-14.4052144763943	-13.0067838373306	-16.8973876285147	-8.72252294786836	-9.40059485298098	-8.72252294786836	-13.0067838373306	-5.62449086490779	-1.53475849934962	-7.86454195274076	-7.05009760589683	-17.0779598741566	-7.07866675809359	-16.1268694746375	-7.1476141118111	-13.0457596613827	-13.3067210118627	-3.29207039620278	-11.2193029935984	-3.41418391772891	-7.55259794642602	-15.9569227648177	-17.3998879690439	-5.11272859416724	-17.3998879690439	-15.0332456990074	-9.26309132923107	-15.0802270317	-16.8149254683228	-15.5474451574578	-6.47459543442474	-4.72816951100947	-13.7238315664953	-12.4227802112859	-7.13756044714717	-8.13756044714717	-7.02208322972724	-16.284410751624	-17.6629223748777	-15.0566908373991	-15.0566908373991	-6.86454195274075	-8.40059485298098	-8.63506010661799	-13.5502222421283	-16.3998879690439	-5.9499334439714	-12.4119963947626	-16.3409942799903	-9.40059485298098	-16.3998879690439	-7.96763544570487	-16.304846068238	-14.9082070384561	-9.40059485298098	-4.61748747717003	-15.8222255837621	-14.9569227648177	-14.7773866086237	-14.9546961496161	-10.936191767655	-5.23602308603285	-15.1441536786495	-5.22002260733913	-14.6205917225924	-14.9742286772072	-9.26309132923107	-16.1793151861541	-14.567170120621	-13.6821606685742	-8.55259794642603	-11.9320670785929	-17.0779598741566	-8.47459543442474
