Feature	CON1	CON2	CON4	CON5	CON3	CON6	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON43	CON44	CON45	CON38	CON39	CON40	CON41	CON42	CON46	CON47	CON20	CON21	CON22	CON23	MI33	MI32	MI38	MI36	MI34	MI35	MI37	MI30	MI27	MI28	MI29	MI31	MI17	MI21	MI20	MI24	MI23	MI26	MI19	MI18	MI15	MI25	MI22	MI14	MI16	MI2	MI1	MI12	MI4	MI11	MI13	MI3	MI8	MI5	MI9	MI7	MI10	MI6
0-14-0-20-30-16	0	0	0	0	0	0	0	0	0	0	0	0	0.00078636959370903	0.001270966126827	0.00598628946606159	0	0	0	0	0	0	0	0	0	0	0	0.00068217994390965	0	0	0	0.00123845980634991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00259453226348916	0	0	0.0003507317539776	0	0	0	0	0	0	0	0	0	0	0	0.00054891197804352	0	0	0	0
0-14-0-20-34-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31992007102049e-05	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-31-34	4.27139317988508e-05	0	0	0	0	0	0	0	0	0	0.00119664938173113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00204883045927947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00090705690270303	0	0	0	0	0	0.000244880467721693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000278323510150622	0.00062732797490688	0	0.00050285714285712	0	0
21-14-0-10-32-9	0	0	0	0	0	0	0	0	0.00182321561212776	0	0	0	0	0	0	0	0	0	0	0.000156963283671894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00397337836495479	0	0.00062992634707326	0	0	0	0	0	0	0	0.00251979841612671	0	0	0	0	0	0	0	0	0.00030610058465211	0	0.00114733722153168	0.000194565567515333	0	0	0	0	0	0	0	0	0.000240420983883555	0	0	0	0.00168186244135611	0	0	0	0	0	0.00073673870333986	0.00070574397177024	0	0	0.0038254955755632	0
40CM-2-53-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00062328758229342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00070911209036112	0	0	0	0	0.00183065031673155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181055918114444	0	0	0	0	0	0	0	0	0.0006789534277308	0	0	5.29754619018816e-06	0	0	0	0	0	0	0	0	0	0
AG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.95703503815827e-05	0	0	0	0	0	0	0	0	0.00228293128376835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000251479186604542	0	0	0	0	0.00126987966378423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.39262019925733e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMARA-1	0	0	0.00261832030785099	0	0	0	0	0.00121142780226804	0	0	0	0	0	0	0	0	0.000234009360374415	0	0.00169890224777835	0.000196204104589868	0	0.00077675317174209	0	0.00468173649862857	0	0	0	0	0	0	0	0	0.00411569681033496	0	0.00217798713468063	0.0025048705816866	0.00210693126361851	0	0	0	0.00125985269414652	0.00085528972939581	0	0.00070769738859663	0	0	0.000209565988837118	0	0	0	0.00124031862407319	0.00272117070810909	0.00031308319418523	0.00361268453681817	0	0	0.00165618308351175	0	0	0	0	0	0	0.000265029906215554	0	0	0.00050856795739329	0	0	2.92100260793105e-05	0.000102784606292131	0	0.000148474884545311	0.00168186244135611	1.26326101458333e-05	0	0.000167550183607076	8.39336923830174e-05	0.00495682448513936	0	0	0.0139475401974236	0	0	0.00381859839255192
ANME-1	1.85712746951525e-05	0	0.00464156781846312	1.2508130284685e-05	0	0	0	0	0	0	0.0016753091344236	0	0	0.00069325425099654	0	0.00054537663450675	0	0	0	0	0	0.00083650341572226	0	0.00226993284781992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00999966888513625	0	0	0	0	0	0	0	0	0	0.00215982721382289	0	0.00281138888123257	0.00326540484973092	0	0	0.00136212718862622	0.00021132415716882	0	0	0.00638977635782748	0.00267712018357395	0.000291848351272999	0	0	0	3.84257464324404e-05	0	0.00072047127297384	0	0.00051015527851287	0	0	0	4.63984014204097e-05	0.00177038151721695	1.67076456767473e-05	0.00053655264922869	0	0	0	0	0.00066653597333856	0	0.00073142857142856	0.00266625449205918	0
ARK-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00203689034740296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24692508302388e-05	0	0	0	0	0	0	0.000195475214208256	0	0	0	0	0	0	0	0
ARS1178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039200688402333	0	0	0	0.000108421325269999	0	0	0	0	0	0	8.56538385767757e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
