feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Oxalobacteraceae	Group	MI	3.36326865925702	0.610908642090101	84	29	4.11607431025151e-07	1.81107269651066e-05
Leuconostocaceae	Group	MI	-4.34370335674627	0.822462879912391	84	38	1.03286609014944e-06	2.27230539832878e-05
Bifidobacteriaceae	Group	MI	-1.32335967572946	0.55617813072938	84	83	0.0196640534336433	0.245225048119321
Rikenellaceae	Group	MI	2.29887738106156	0.986857597848826	84	62	0.0222931861926656	0.245225048119321
Corynebacteriaceae	Group	MI	-1.00560658961165	0.455979237351255	84	24	0.0302271146978622	0.249907001190315
Odoribacteraceae	Group	MI	2.09279308028136	0.994537322741948	84	56	0.0384160020258791	0.249907001190315
Prevotellaceae	Group	MI	-2.8346731500173	1.356597053805	84	48	0.03975793200755	0.249907001190315
Enterococcaceae	Group	MI	-2.12895601830306	1.05040930073935	84	43	0.0459338616060091	0.25263623883305
Propionibacteriaceae	Group	MI	-0.685708462408505	0.387554838212936	84	17	0.0805584828019799	0.393841471476346
Synergistaceae	Group	MI	1.22145151115233	0.714265118055594	84	27	0.0910322741844738	0.400542006411685
Christensenellaceae	Group	MI	0.8553282374643	0.59536349030962	84	21	0.154622336225414	0.523337137993711
Desulfovibrionaceae	Group	MI	1.25947741716936	0.861783521156375	84	53	0.147706038163326	0.523337137993711
Ruminococcaceae	Group	MI	1.00454185274902	0.697830336584642	84	82	0.153809493557361	0.523337137993711
Coriobacteriaceae	Group	MI	0.776293918504005	0.578891992974737	84	66	0.183623417955396	0.546808058538343
Oscillospiraceae	Group	MI	0.87946525353176	0.660048996884176	84	42	0.186411838138072	0.546808058538343
Eggerthellaceae	Group	MI	0.654947318124108	0.531904364841112	84	81	0.221721034116663	0.57386620594901
Veillonellaceae	Group	MI	-1.3915403905153	1.12136822203742	84	68	0.2181698166423	0.57386620594901
Peptostreptococcaceae	Group	MI	-1.24346119130265	1.07348638686641	84	62	0.250088199926583	0.596545584859573
Streptococcaceae	Group	MI	0.646911694882474	0.567459162545253	84	84	0.257599229825725	0.596545584859573
Tannerellaceae	Group	MI	0.890558032207769	0.847229628476373	84	75	0.29628160843609	0.651819538559399
Micrococcaceae	Group	MI	0.971156725363692	0.9642521499299	84	52	0.316820422223674	0.663814217992461
Actinomycetaceae	Group	MI	-0.389569097416018	0.613558109621629	84	75	0.527238964539519	0.761183314533567
Akkermansiaceae	Group	MI	0.439239770680175	0.888500647002293	84	28	0.622373314478001	0.761183314533567
Bacillales_unclassified	Group	MI	-0.317289504617556	0.56542255133245	84	49	0.576222429343675	0.761183314533567
Bacteroidaceae	Group	MI	0.610452702223315	0.85638243790043	84	80	0.477976287492398	0.761183314533567
Barnesiellaceae	Group	MI	0.889590910091184	1.173621179436	84	41	0.450631040469032	0.761183314533567
Catabacteriaceae	Group	MI	0.204791655680569	0.394742523296397	84	17	0.605298871516914	0.761183314533567
Clostridiaceae	Group	MI	0.560626317762782	0.961266693482482	84	71	0.561348384013454	0.761183314533567
Clostridiales_Family_XIII_Incertae_Sedis	Group	MI	0.461024849845487	0.707687900278136	84	43	0.516576249292854	0.761183314533567
Clostridiales_unclassified	Group	MI	0.714874365666902	0.857034307295583	84	30	0.406633516266597	0.761183314533567
Enterobacteriaceae	Group	MI	-0.453702778470147	0.76679517087428	84	83	0.555687947013635	0.761183314533567
Erysipelotrichaceae	Group	MI	-0.380621059005749	0.770841790753023	84	81	0.622786348254736	0.761183314533567
Eubacteriaceae	Group	MI	0.448518715417328	0.615207277163508	84	77	0.46804648167654	0.761183314533567
Firmicutes_unclassified	Group	MI	0.738763053955644	1.13035845272692	84	56	0.515220460441622	0.761183314533567
Lactobacillaceae	Group	MI	-0.941616367259522	1.21983143000827	84	64	0.442378821404816	0.761183314533567
Proteobacteria_unclassified	Group	MI	0.514848719186915	0.953146158842133	84	39	0.590552702948551	0.761183314533567
Acidaminococcaceae	Group	MI	-0.441368457696881	0.948800019651482	84	58	0.643031317699497	0.76468589131832
Atopobiaceae	Group	MI	0.147234020195352	0.666096493136948	84	22	0.82561070328059	0.864925498674904
Fusobacteriaceae	Group	MI	-0.119551241115492	0.532060238704089	84	13	0.822775576677503	0.864925498674904
Lachnospiraceae	Group	MI	-0.0789173973868254	0.304463675764355	84	84	0.796129488381998	0.864925498674904
Pasteurellaceae	Group	MI	-0.21329905025477	0.829315707503499	84	35	0.797669561600353	0.864925498674904
Peptoniphilaceae	Group	MI	0.172531776067531	0.63737643737253	84	26	0.787309236167347	0.864925498674904
Sutterellaceae	Group	MI	-0.106089533083253	0.795193220129684	84	48	0.894193222674788	0.914988413899783
Selenomonadaceae	Group	MI	0.0636008541948561	1.07934770131531	84	23	0.953154996482643	0.953154996482643
