feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales_unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Catabacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes_unclassified	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Prevotellaceae	Propionibacteriaceae	Proteobacteria_unclassified	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Streptococcaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Veillonellaceae
CON1	0.00148622868694561	0.000163607265983917	0.00228232653464598	0	0	0.106957241173771	0.00690027355838561	0.226806134703316	0	0	0.000908170377150449	5.79507077488893e-06	0	0.0212540429673453	0	8.72365118434175e-05	0.00588934415838756	0.0619199172960614	0.000279094747854919	0.00700820675156791	0.0243591660686188	0.000996545206467508	0	0.273144969387021	0.0393222457761954	0.0131193158505016	0	0.00331250384828919	0.00302782099647277	0.000280957449175418	0	0	0	0.000131009992875167	5.93994754426114e-05	0	0.0291536557841792	0.155961394480299	0	0.0048322611590038	0	0.000217729087685112	0.00938791117191336	0.000745494461826782
CON2	4.90374667926019e-05	0	0	0	0	0.0584510086284261	0.00311806023060411	0.690871732336782	0	1.28013597521739e-05	0.0141025560289191	0	6.71039019267181e-05	0.100603718320119	0	0.000466939920637763	0.000402933121876892	0.00771777461575015	0.00131296526877538	0.00239282190593457	0.00786808735606599	0.00262438198596784	0	0.045929110818584	0.0355440077196328	0	0	0.00122779493171455	0.000292882722717076	0	0	0	0	4.81083358428474e-05	0	0	0.00600239240895886	0.00412936765102586	0	0.00454179855594469	0	0.000226088531106942	0.00556208757554736	0.00643443830059473
CON3	7.63146905779363e-05	0	0.00176483973164834	0	4.13079517807178e-05	0.134545199950991	0.00685401939873427	0.193272805014965	6.14118217756917e-05	0	0.000863866294261646	0	0.000365170295281842	0.0227145725552169	0	0.00148768637962808	0.0159268659216899	0.000728140166982145	0	0.0450746768752985	0.04430372846773	0.00123653803357146	0	0.183585440197238	0	0	0	0.00120733241148921	0	0.00228243936957865	0	0	0	0	0	0.00778169797686055	0.0409039740149979	0.227990888245987	0	0.0024521720431183	0.00024804774919172	0	0.0374163026382579	0.0268145618031471
CON4	0.00431028733075807	7.02066532839415e-05	0	0	4.03186780287778e-05	0.157241540474387	0	0.144545670180175	0.000203398704085476	0	0.0153296227445485	5.11505616783002e-05	0.00040549357032425	0.0453983299843088	0	0.00105691101758024	0.0321433138443007	0.0228290974483392	0.000790326325539225	0.0489306273014619	0.0127803188685897	0.00576797804337065	0	0.170218437972171	0.081780821849113	0.00238341558377083	0.000680603355978322	0.00395383812251361	0	0	2.046022467132e-05	0	0	0.0252851267706494	0	0	0.0459724198177335	0.043675759598378	0	0.110536664672463	0.000194572724815494	0	0.0233465204830419	5.67670939410154e-05
CON5	0.00138416678316929	0.000107031867661976	0.0019659621855046	0	0.000236751550255243	0.101115074593019	0.0146270233513284	0.0502710511149119	0.000198833489189519	0	0.00151378142958232	5.02072941535078e-05	0.00033958197070772	0.111837272907839	0	0.00383434575956861	0.0101157194101294	0.00151252099541947	0	0.00795428489320288	0.0216291552706788	0.000841234767521848	0.00077978860208293	0.210673482534427	1.97468018846431e-05	0.000191691028933371	3.60274098214499e-05	0.00203381555793801	0.00692839652082358	0	0	1.98518380648807e-05	0	0.0437430525131534	0	0.00243337318756132	0.0389864890911	0.228082494155524	0.0551040808761782	0.013916873736743	0.000269417802309094	0.00511232096451783	0.0212597430247836	0.0408753547203102
CON6	0	0.00105275204945712	0	0	9.06163786150555e-05	0	0	0.181121314103703	0	0	0.00390521546822584	0.000116249298974673	0	0	8.22055766220557e-05	0	0	0.206209034262703	0.0684117612249413	0.0774184284877068	0.000284765724620129	0.031154511739427	0.000357859599083103	0.0560231505322287	9.08166358053651e-05	0.000415433541297088	0	0	0	0	0	0	0.0399163645870391	0	0	0	0	0.0209957648608107	0	0.222761092070546	0	0	0	0.0895926638581933
CON7	0	8.46299505394957e-05	0	0	1.46051687692274e-05	0.00892225758696003	0	0.817040850757084	0	0	0	0	0	0.00209494139976137	0	0	0.0003800344942075	0.00126544784199127	0	0.000346222528152712	0.000683041728467704	0	0	0.0256238682869868	0.132775989422656	5.84206750769099e-05	0	0	0	0	0	0	0	0	2.06072929209647e-05	0	0	7.17253836132607e-05	4.10145150368709e-06	0.0103997804823127	0.000156455369555286	0	0	5.70201794415043e-05
CON8	0.0083416542881438	2.89322244999489e-05	0.0878979125954475	0	0	0.103705693750891	0.0271534471434972	0.0166436905824601	0	0	0.00139902930874666	0	0.00457744082881247	0.0418349885354801	0	0.00139257752349231	0.0086519448352199	0.0224798343907373	0.00135437085768924	0.0143947393755982	0.157540196386294	0.00243191980430929	0	0.311063148360315	0.00112281225254504	5.25215643361441e-05	0	0.00630672089526586	0.00154610985071678	0	0	0	5.23199460469459e-05	0.00127180816826256	0	0	0.0213086337487847	0.125135197664051	0.000466040675481755	0.00392611294555752	3.5484818898892e-05	0.000396784793142156	0.0274879318852772	0
CON9	0	0.00058860242392541	0	9.46486304663336e-05	0.000116960094096347	0.000508061041763256	0	0.649157036885552	0	0	0.000737278813854558	9.45485790599207e-05	0	0.00354031901591037	3.88199456880945e-05	0	0.000147175618832956	0.000198602041729039	0	0.000452232356985018	0.000485149269694768	0	0	0.00320634742130506	0.336825360870415	0	4.32222075702495e-05	0	0	0	0.00107765369847027	0.00124473954717934	9.15470368675426e-05	0	0	0	0	0.000120862098946438	0	0.000670544525777344	0	0	1.04053462669119e-05	0.000549882529643729
CON10	0.00272817246955576	0.000115236852745508	0.000487755984363801	0	2.70086373622284e-05	0.127743352324073	0.00328264979140329	0.05733013417691	0	0	0.000498259343338001	0	0	0.0289681640188532	0	7.1722936995251e-05	0.00525237971103159	0.000246978983879045	0	0.0293844971621925	0.040328597085348	0.00153229002635043	0	0.453850041243189	0	0.00873279274712053	0.000382422298651108	0.0016126157145055	8.16261040280684e-05	0	8.60275115982089e-06	0	0.000545474442726784	0.000776648372149414	0	3.29105247858266e-05	0.0163925423350387	0.196062400755762	0	0.0194102073843215	6.20198339428949e-05	0	0.00405249598821705	0
