feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales_unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Catabacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes_unclassified	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Prevotellaceae	Propionibacteriaceae	Proteobacteria_unclassified	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Streptococcaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Veillonellaceae
CON1	-9.39412816330905	-12.5774755581268	-8.77527907050561	-18.8493243729758	-17.0631614451899	-3.22489393635029	-7.17913072661141	-2.1404684317397	-17.7293967711656	-19.4980712250592	-10.104749400082	-17.3967422884276	-19.7939468840116	-5.55611889138808	-18.3707345875989	-13.4847083895431	-7.40767730122155	-4.01345264524075	-11.8069574042496	-7.15673894764226	-5.35939144607325	-9.97077712775437	-16.6461667832704	-1.8722612422605	-4.66851047039385	-6.25216370189371	-20.7940507628226	-8.23786215405224	-8.36750436835252	-11.7973607277935	-18.7611750487339	-20.4439124995924	-19.8598091849683	-12.8980355210568	-14.0391902838095	-18.7590466893066	-5.10017938521659	-2.68073913557253	-18.8954339994519	-7.69308585760295	-17.5952848929207	-12.1651782211929	-6.73498009346636	-10.3895147445789
CON2	-14.3157560211044	-18.2529587272226	-16.5420828902081	-18.8493243729758	-17.0631614451899	-4.09662826971115	-8.32513548826379	-0.533510211045058	-17.7293967711656	-16.2533434139358	-6.147899521048	-19.171004456229	-13.8632438164069	-3.31324446665386	-18.3707345875989	-11.0644754436913	-11.2771719768838	-7.01759937157942	-9.57295553082903	-8.70707126136964	-6.98977130932023	-8.5738065612178	-16.6461667832704	-4.44444733632771	-4.81424982998211	-18.6663049209288	-20.7940507628226	-9.6697146650809	-11.7373892890484	-20.3447430682932	-18.7611750487339	-20.4439124995924	-19.8598091849683	-14.3433535796684	-18.0835715184997	-18.7590466893066	-7.38024664584032	-7.91986341260014	-18.8954339994519	-7.78252056557998	-17.5952848929207	-12.1108245698342	-7.49015782444113	-7.27997007192955
CON3	-13.6776796718478	-18.2529587272226	-9.14624710901522	-18.8493243729758	-14.5632209472629	-2.89383717273422	-7.18883400958088	-2.37128944145713	-13.9911240733121	-19.4980712250592	-10.1769043443977	-19.171004456229	-11.4191429652474	-5.46023803288419	-18.3707345875989	-9.39271386187442	-5.97239378757423	-10.4234961835962	-16.9225794975579	-4.47153904025966	-4.49642807303606	-9.65947766968064	-16.6461667832704	-2.44547644892522	-17.9853400670521	-18.6663049209288	-20.7940507628226	-9.69396134064716	-15.6721779207239	-8.77520774750625	-18.7611750487339	-20.4439124995924	-19.8598091849683	-19.7295647537159	-18.0835715184997	-7.00569929712196	-4.61161517513551	-2.13295192727369	-18.8954339994519	-8.67172408334693	-11.9770945134081	-18.4669979726748	-4.74018918675439	-5.22083951238159
CON4	-7.85800023974613	-13.7980327173412	-16.5420828902081	-18.8493243729758	-14.5981921379946	-2.66894569205271	-18.6966732237362	-2.79040270089873	-12.2634018921702	-19.4980712250592	-6.02753399644835	-14.2548903923147	-11.2680333409019	-4.461216962031	-18.3707345875989	-9.8859303648001	-4.95933751713115	-5.45298236624121	-10.3052639148298	-4.35311841121577	-6.28993235784083	-7.4377186118969	-16.6461667832704	-2.55454077742698	-3.61209362860179	-8.71275375597441	-10.5208981144626	-7.98253047900406	-15.6721779207239	-20.3447430682932	-15.5768184872021	-20.4439124995924	-19.8598091849683	-5.30556717813062	-18.0835715184997	-18.7590466893066	-4.44308758350332	-4.51702339540697	-18.8954339994519	-3.17740310837059	-12.3274028920991	-18.4669979726748	-5.42064864009324	-14.1045855863417
CON5	-9.49676649576675	-13.189671971027	-8.99054871237812	-18.8493243729758	-12.0443385070206	-3.30592999953195	-6.09521998374394	-4.3141283351871	-12.2961516114891	-19.4980712250592	-9.36762737076604	-14.2817434992121	-11.5239525150667	-3.16052700798041	-18.3707345875989	-8.0268038477281	-6.62725726458749	-9.3688291159758	-16.9225794975579	-6.9740520495682	-5.53087886800698	-10.2152039028811	-10.3246293120653	-2.24691936129056	-15.6280214555152	-12.3489295585381	-14.76054554102	-8.94159543423438	-7.1732627849878	-20.3447430682932	-18.7611750487339	-15.6203678829718	-19.8598091849683	-4.5148022905609	-18.0835715184997	-8.68282669247571	-4.68088195037446	-2.13237237407773	-4.18169702448439	-6.16702102679544	-11.8578671966984	-7.61180586946834	-5.55573203124583	-4.61262493926157
CON6	-17.0532863823862	-9.89161860056924	-16.5420828902081	-18.8493243729758	-13.4298686381705	-17.6232272508173	-18.6966732237362	-2.46497176426826	-17.7293967711656	-19.4980712250592	-8.00038213415268	-13.0704903632755	-19.7939468840116	-9.89887439560909	-13.5704042083633	-19.1368524399967	-15.5805361273914	-2.27782055461352	-3.86961181784671	-3.69117916703217	-11.7779368705217	-5.00441508293768	-11.4483187010996	-4.15783307231346	-13.4266838796126	-11.2330946782695	-20.7940507628226	-18.3683840610799	-15.6721779207239	-20.3447430682932	-18.7611750487339	-20.4439124995924	-4.64687585765365	-19.7295647537159	-18.0835715184997	-18.7590466893066	-15.5106008466727	-5.57375784428819	-18.8954339994519	-2.16643082441175	-17.5952848929207	-18.4669979726748	-17.7613894869127	-3.48047558526763
CON7	-17.0532863823862	-13.52847215095	-16.5420828902081	-18.8493243729758	-16.0631614451899	-6.80837548511982	-18.6966732237362	-0.291519882230843	-17.7293967711656	-19.4980712250592	-19.606645651474	-19.171004456229	-19.7939468840116	-8.89887439560909	-18.3707345875989	-19.1368524399967	-11.3615820074049	-9.62613623960089	-16.9225794975579	-11.4960127779045	-10.5157386610422	-19.4966532735885	-16.6461667832704	-5.28636790233935	-2.91293381471409	-14.0631614451899	-20.7940507628226	-18.3683840610799	-15.6721779207239	-20.3447430682932	-18.7611750487339	-20.4439124995924	-19.8598091849683	-19.7295647537159	-15.5664854768867	-18.7590466893066	-15.5106008466727	-13.767156695368	-17.8954339994519	-6.58730311337194	-12.6419612067626	-18.4669979726748	-17.7613894869127	-14.0981678950178
CON8	-6.90545076230736	-15.0769632230094	-3.50802728520189	-18.8493243729758	-17.0631614451899	-3.26943299031506	-5.2027208292721	-5.90888081671319	-17.7293967711656	-19.4980712250592	-9.48135809832772	-19.171004456229	-7.77124304779962	-4.5791461500455	-18.3707345875989	-9.48802664137343	-6.85275981795309	-5.47522478253182	-9.52816144878454	-6.11831452139688	-2.66620811561881	-8.68368862982504	-16.6461667832704	-1.68472060591981	-9.79866757238807	-14.2167305874066	-20.7940507628226	-7.30889419669255	-9.33714145863724	-20.3447430682932	-18.7611750487339	-20.4439124995924	-14.2222794213272	-9.61890320489456	-18.0835715184997	-18.7590466893066	-5.55241809534214	-2.99844045124172	-11.0672565024491	-7.99268260812598	-14.7824385310478	-11.2993556443458	-5.18505782316005	-18.4986087292395
CON9	-17.0532863823862	-10.7304188960921	-16.5420828902081	-13.367058843666	-13.0616960024738	-10.9427105373579	-18.6966732237362	-0.623360573626259	-17.7293967711656	-19.4980712250592	-10.4055020786846	-13.368584697897	-19.7939468840116	-8.14190491815745	-14.6528423748183	-19.1368524399967	-12.7301736857506	-12.2978319249751	-16.9225794975579	-11.1106481597029	-11.0092836786091	-19.4966532735885	-16.6461667832704	-8.28485352859005	-1.56992732636274	-18.6663049209288	-14.497867714842	-18.3683840610799	-15.6721779207239	-20.3447430682932	-9.85789063882107	-9.64994038437831	-13.415127283834	-19.7295647537159	-18.0835715184997	-18.7590466893066	-15.5106008466727	-13.0143504776803	-18.8954339994519	-10.542379245801	-17.5952848929207	-18.4669979726748	-16.5523154988643	-10.8285889281873
CON10	-8.5178494331491	-13.0831102151057	-11.0015528059278	-18.8493243729758	-15.1762196194972	-2.96867987862569	-8.25092344006819	-4.12456253421393	-17.7293967711656	-19.4980712250592	-10.9708155208755	-19.171004456229	-19.7939468840116	-5.10938793923034	-18.3707345875989	-13.7672059078461	-7.57281306770387	-11.9833240954053	-16.9225794975579	-5.08880097913969	-4.63205297032439	-9.35009489341977	-16.6461667832704	-1.13971240638572	-17.9853400670521	-6.83934118314388	-11.3525457317134	-9.2763815986976	-13.5806098745765	-20.3447430682932	-16.8267704618459	-20.4439124995924	-10.8402007764288	-10.3304508138344	-18.0835715184997	-14.8910914428128	-5.93081656903378	-2.35061520109177	-18.8954339994519	-5.68704065746587	-13.9769108112738	-18.4669979726748	-7.9469735271197	-18.4986087292395
