Feature	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	MI14	MI15	MI16	MI17	MI18	MI19	MI20	MI21	MI22	MI23	MI24	MI25	MI26	MI27	MI28	MI29	MI31	MI32	MI33	MI34	MI35	MI36	MI37	MI38
Acidaminococcaceae	0.430859870742036	0.0142500042750013	0.0228899977110002	1.28928038678411	0.395339802330096	0	0	2.48241	0	0.81819016363803	0.398579960142003	0	1.99554059866218	0	0.38493	0.319980063996012	0	0.0768600076860006	0.01068	0	0.0619800061980006	4.20474042047403	0.246179926146022	8.22071753378473	0	0	9.94281298284387	10.8442156623137	0.00440999867700039	0.810030243009072	0.0379500075900015	0	3.41082068216412	0.164489950653015	0.614129938587006	1.18910928653443	0.10872	6.13206122641224	1.32975026595005	0	1.22649	0.0291900029190003	0	6.9027920708376	0	0.478559952144003	0.0971099902890009	0	0.782970234891069	0	0.513419948658003	1.95318	0	4.64915721050566	1.32558066279033	2.06391020639102	0	2.22917955416409	0.418439790780102	0.0807299919270006	0.899940179988033	0	0.228749977125002	0	1.15356023071204	0	0.0116099988390001	3.30578867768451	0.0432599999999997	0	0	0	0.00885000354000141	0.364499927100012	2.15682021568202	8.32542083254206	0	0	0.0322199742240204	0	0.121800036540011	2.61296921610923	0.437519824992069	0.701369859726027
Actinomycetaceae	0.0474299857710041	0	0	0.0210000063000019	0.0305699847150076	0.315420031542003	0.0253799923860022	0.00861	0.176490017649001	0.0345600069120012	0.0114899988510001	0.0358499856600057	0.0730500219150063	0.00710999857800025	0	0.0328200065640012	0.045959986212004	0.0582300058230004	0.15918	0.411839958816003	0.125490012549001	0.0751200075120006	0.0290699912790026	0.137519958744012	0.182069963586007	0.698880209664061	0.022500006750002	0.478319808672075	0.00191999942400015	0.22572006771602	0.529080105816021	0.259950025995002	0.670440134088026	0.103469968959009	0.235529976447002	0.081179951292029	0	0.080280016056003	0.00957000191400036	0.00329999835000081	0.27045	0.547290054729003	0.0170399965920006	0.206250061875018	0.420839873748036	0.0648299935170006	0.136829986317001	0.0176399947080015	0.011070003321001	0	0.00299999970000003	0.416729999999997	0	0.00836999497800299	0.138660069330034	0.0575700057570004	0.142709914374051	0	0.135689932155034	0.0223499977650002	0.192780038556007	0	0.0676199932380005	0.149580059832024	0.0902100180420034	1.27218076330846	0.0700199929980006	0.121379951448019	0.04317	0.362909963709002	0.0466199766900114	0.0384899884530033	0.568110227244089	0.0208199958360008	0.0293100029310002	0.00681000068100005	0.502560150768045	0.06657	0.017279986176011	0.540599783760085	0.412500123750036	0	0.0230699907720037	0.0478799904240018
Aerococcaceae	0	0	0	0	0	0	0	0	0.000150000015000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00738000221400066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118680047472019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansiaceae	0.661649801505057	0	0.529349947065003	0	0.561509719245138	0	0	26.15772	0	0.146280029256006	0	0	3.24300097290027	0	0	0	2.11442936567119	0.00618000061800006	0	0	3.31002033100203	0	0	0.0955499713350084	0	0	28.9535786860736	0	0	0.101370030411009	0	0	0	0	0	0	0.0609299999999997	0	0.546120109224021	0	0	0	0.0125699974860005	0	0	0	0	0	0	0	0	0	0.0135299959410012	0	16.3365381682691	1.30512013051201	0	0.908069818386036	0	0.0933599906640006	4.14864082972815	0	0	0	0	0	0	0.152129939148024	5.43687	0	0	0.474509857647042	0	0.432299913540015	0	0	0	0.0809999999999997	0	0	0	0	11.2454655018138	0.78923984215203
Atopobiaceae	0	0	0	0	0	0	0	0	0.0283800028380003	0	0	0	0.150630045189014	0	0	0	0	0	0.00819	0	0	0	0	0	0	0.00852000255600075	0.00804000241200072	0	0.931649720505084	0	0	0	0.0166500033300007	0	0	0.426899743860152	0	0	0	0	0.00732	0	0.0405599918880015	0.207240062172018	0	0	0.0217499978250002	0	0	0	0	0.0102	0	0	0	0	0.64391961364823	0.0212699957460008	0	0.0455399954460003	0	0	0	0.0400500160200063	0	1.3859408315645	0	0.00125999949600018	0	0.324539967546002	0	0	0	0	0	0	0	0	0	0.0177599928960028	0	0	0.0211199915520034	0
Bacillales_unclassified	0	0	0.0123899987610001	0.0120600036180011	0.0676199661900167	0.0271500027150003	0.00437999868600039	0	0.0350700035070003	0.0081000016200003	0	0	0.0282900084870025	0	0.02556	0.0318300063660012	0	0	0	0	0	0	0	0.329849901045028	0.146669970666006	0.170760051228015	0.00558000167400048	0.183089926764029	0	0.537240161172048	0.569010113802021	0.169650016965001	0	0.0612899816130054	0.0476099952390003	0.22439986536008	0	0	0.00648000129600024	0.0500699749650123	0	0.0992100099210009	0.00974999805000036	0.10947003284101	0	0.00794999920500006	0.0129899987010001	0.033539989938003	0	0	0	0	0	0	0.0305100152550075	0.00789000078900006	0.201689878986072	0	0	0	0.0190500038100007	0.00453000090600018	0.0438899956110003	1.40154056061622	0	0.0296400177840106	0.0284399971560003	0.0501899799240079	0	0.0182099981790001	0.0306299846850075	0.0130799960760012	0.00486000194400075	0	0.0513000051300003	0.0546600054660003	0.180570054171016	0.02313	0	0.0241199903520038	0.0597000179100053	0	0	0
Bacteroidaceae	31.0070606978817	16.9855250956575	40.3557859644213	47.0336241100872	28.8800555599722	0	2.67572919728124	30.8619899999998	0.152340015234001	38.3107576621515	91.6023808397618	0.118889952444019	19.9305059791518	85.0902129819573	44.7041699999998	1.65306033061206	4.52972864108139	3.43929034392903	1.82421	107.496289250371	12.3009612300961	55.9142155914214	11.373356587993	6.32714810185555	1.83779963244007	0.0528600158580045	34.768330430499	0.81962967214813	29.2238612328416	29.3512288053686	3.59142071828412	14.8988114898811	24.605524921105	12.1399463580161	24.2139275786072	5.29841682094989	36.8259299999998	53.8761407752281	44.2429588485916	4.46273776863111	10.54356	0.211200021120002	2.73941945211611	0	5.02949849115045	5.30210946978904	8.38868916113107	50.2447349265795	84.2164752649424	82.3360282336026	154.195184580481	21.9665399999999	78.5564764330569	92.4520545287671	39.8834299417149	18.6745818674582	0	64.2406671518664	6.71717664141168	25.5146074485392	19.5025839005168	0	3.54656964534303	37.2863849145538	15.1825530365106	27.831586698952	0.555119944488003	18.5322825870869	4.6509	0.002969999703	0.72854963572518	2.13284936014519	1.06149042459617	15.7697968460406	33.2204133220413	6.13041061304106	60.7175282152584	87.8630699999997	14.134908692073	35.2793858882455	26.1160578348173	81.6515155045452	36.8087252765097	56.3719687256061
Barnesiellaceae	2.00039939988018	0.906090271827081	2.05580979441902	0	4.17770791114602	0	0	8.08064999999997	0	0.984480196896038	0.127409987259001	0	2.93478088043426	0	0	0.00399000079800015	0	1.02042010204201	0	0	0.965700096570009	0.380130038013003	0	0	0	0	6.79428203828459	0	0	0.246750074025022	0	0	2.25480045096009	0	0	0.277049833770099	1.40106	0	0	0.0558599720700138	0.78669	0	0.270059945988011	0	0	0	0.001409999859	0.0906899727930081	10.2001830600549	0	0	8.79557999999997	0.035639989308003	0.0538799676720192	1.45467072733536	0	0	2.40116951976609	3.17501841249078	0.918719908128006	1.30041026008205	0	0.521999947800003	0	0.803070160614031	0	0	0	1.00176	0	0.00512999743500126	0	0.0303300121320048	0	0	0	0	0.00278999999999997	1.74638860288912	0	2.10369063110719	5.57417832774648	0	3.68579926284012
Bifidobacteriaceae	65.7514302745708	200.763330228999	57.9706742029324	43.2360729708218	14.3582028208986	54.2666154266613	245.025436492369	4.95303	194.647069464707	17.1935434387087	82.5094417490557	263.291204683518	41.0811423243426	130.136073972785	10.27656	65.5135631027124	63.1553210534036	89.0014889001486	175.66494	32.6454867354513	162.925876292587	17.4833717483372	28.9154013253796	14.3748256875523	0.0352499929500013	28.8465086539526	4.37013131103938	174.7670000932	100.409039877288	37.3660912098273	8.0400916080183	21.6559821655982	10.7809821561964	78.2984465104659	90.7552409244759	5.55176666893998	75.4971599999997	73.6888947377787	126.532525306505	88.1772159113919	52.83276	45.5099145509913	8.64704827059033	24.4047673214302	33.651919904424	28.7036671296333	10.3754689624531	61.6692414992274	5.91918177575451	12.1833312183331	1.29299987070001	6.66005999999998	87.5873737237878	13.8278917032649	4.10577205288601	0.428520042852003	124.105845536492	0.178889964222007	44.2660278669859	5.19323948067604	3.70620074124013	0.372060074412012	65.2326534767346	49.4770097908038	10.9712421942484	70.4753222851932	40.0971559902843	22.9416808233277	102.50439	118.946508105349	68.2279158860418	68.075289577413	139.219495687798	188.407582318483	12.3992712399271	18.1290018129002	0	15.0309	27.5910079271936	26.3060594775762	15.9880847964254	6.30068810979354	34.6441061423574	38.4685423062915
Campylobacteraceae	0	0	0	0	0	0.00408000040800003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00314999999999997	0	0	0	0	0	0	0	0	0.00639000127800024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cardiobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00786000235800069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
