feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Arthrodermataceae	Group	MI	1.06187278757846	0.313163960393469	84	76	0.00107429437226301	0.0207552759144386
Sordariaceae	Group	MI	0.904450441229466	0.273165315909044	84	69	0.00138368506096258	0.0207552759144386
Phaffomycetaceae	Group	MI	0.749242242209087	0.260829660206383	84	48	0.00518204022870273	0.0518204022870273
Cryptococcaceae	Group	MI	0.839629985955007	0.304587560244721	84	64	0.00719626637912581	0.0539719978434436
Malasseziaceae	Group	MI	0.7566420945167	0.298379752470919	84	62	0.0131161103974735	0.0786966623848407
Ustilaginaceae	Group	MI	0.477694267441036	0.2223374029008	84	83	0.0346229600645064	0.173114800322532
Cryptomonadaceae	Group	MI	0.284311836782345	0.141643051228048	84	13	0.0480181229950248	0.198968784942649
Saccharomycodaceae	Group	MI	0.63849095261859	0.325293374029628	84	56	0.053058342651373	0.198968784942649
Pyriculariaceae	Group	MI	0.38135355483771	0.22055141028477	84	83	0.0875559115114525	0.262667734534358
Trichomonascaceae	Group	MI	0.523058514008137	0.296345144819924	84	66	0.0812816732178073	0.262667734534358
Sclerotiniaceae	Group	MI	0.466249425385584	0.304897224395918	84	58	0.130063026883044	0.354717346044665
Pneumocystidaceae	Group	MI	0.493615208647128	0.34770790742256	84	62	0.159507121222258	0.398767803055645
Schizosaccharomycetaceae	Group	MI	0.154068446753219	0.115018727400706	84	84	0.184106320093902	0.424860738678234
Clavicipitaceae	Group	MI	-0.191191689437068	0.167448497785583	84	82	0.256862935443216	0.550420575949748
Marasmiaceae	Group	MI	0.32673531613965	0.33517699718157	84	72	0.332519406946573	0.665038813893146
Glomerellaceae	Group	MI	0.191733019191681	0.207120117494592	84	84	0.357313505434099	0.669962822688935
Dipodascaceae	Group	MI	-0.190906172765667	0.25142452145942	84	81	0.449851503068329	0.749752505113881
Trichocomaceae	Group	MI	0.251806975621237	0.319481285067389	84	70	0.432867309984809	0.749752505113881
Pichiaceae	Group	MI	0.120608099347786	0.171931204146511	84	82	0.484983145929811	0.765762861994438
Chaetomiaceae	Group	MI	-0.0512722337570415	0.215240376453094	84	84	0.812313110791981	0.939848547972739
Cladosporiaceae	Group	MI	-0.027538971798097	0.166744160557591	84	84	0.86922686196363	0.939848547972739
Debaryomycetaceae	Group	MI	0.0436670982850779	0.281699540901763	84	79	0.877191978107889	0.939848547972739
Herpotrichiellaceae	Group	MI	0.122892852891631	0.272369859944114	84	40	0.653037530086379	0.939848547972739
Mycosphaerellaceae	Group	MI	0.0524974996027869	0.196066170064601	84	83	0.789561037904589	0.939848547972739
Nectriaceae	Group	MI	0.102668171107088	0.23360473059832	84	81	0.661458796391501	0.939848547972739
Ophiocordycipitaceae	Group	MI	-0.0377598840349207	0.207320314389657	84	81	0.855927808455465	0.939848547972739
Ophiostomataceae	Group	MI	-0.0351459362488821	0.18908304882735	84	84	0.853001309339752	0.939848547972739
Saccharomycetaceae	Group	MI	-0.038104134107216	0.123537504746339	84	84	0.758528372009402	0.939848547972739
Aspergillaceae	Group	MI	0.0187300424882584	0.195085351831674	84	84	0.923747300169863	0.945897975504311
Ceratobasidiaceae	Group	MI	0.0146471867950152	0.215187675802524	84	25	0.945897975504311	0.945897975504311
