feature	Arthrodermataceae	Aspergillaceae	Ceratobasidiaceae	Chaetomiaceae	Cladosporiaceae	Clavicipitaceae	Cryptococcaceae	Cryptomonadaceae	Debaryomycetaceae	Dipodascaceae	Glomerellaceae	Herpotrichiellaceae	Malasseziaceae	Marasmiaceae	Mycosphaerellaceae	Nectriaceae	Ophiocordycipitaceae	Ophiostomataceae	Phaffomycetaceae	Pichiaceae	Pneumocystidaceae	Pyriculariaceae	Saccharomycetaceae	Saccharomycodaceae	Schizosaccharomycetaceae	Sclerotiniaceae	Sordariaceae	Trichocomaceae	Trichomonascaceae	Ustilaginaceae
CON1	-7.2274205308394	-5.09497023481573	-9.84985773697919	-3.56640378990646	-4.72492019031019	-5.34959240083331	-8.01032240917247	-10.8283006600169	-6.16114731142021	-5.96335893020185	-5.06436224888532	-7.34289774825931	-7.9892607936446	-7.08655799499953	-6.59793936333958	-5.07541743739432	-6.39734553228168	-4.02900697243736	-8.5742232943658	-5.9531270075909	-7.90796069154276	-5.21514220106093	-2.74133328020102	-9.19089465481432	-1.34540460386988	-9.29043032836523	-7.94803813091809	-7.29043032836518	-8.96850223347781	-6.2398042552952
CON2	-8.55966710215044	-3.86860978239863	-9.78747301967323	-3.06098594331128	-3.67784852849872	-5.00887709059705	-10.7094815231086	-10.8283006600169	-6.60494798145129	-7.42069068900161	-2.88501856429896	-10.9508989160503	-9.03540053311682	-10.9495565482069	-3.84187517261559	-5.31601171217473	-5.27384930067233	-2.98725427889725	-10.8653896083822	-5.47506769890437	-7.68667237888573	-4.25732340358145	-3.47459006438887	-8.11653729584222	-3.19619674501986	-9.6430831103381	-9.6430831103381	-9.42069068900162	-9.82594716748789	-6.48081168143918
CON3	-6.55648708494654	-4.65436573348588	-9.75526694906112	-3.6911366116413	-4.66202947018406	-4.96914586144264	-8.96677105425479	-10.8283006600169	-6.27806062869576	-5.48677811313513	-4.51773104146404	-10.9508989160503	-9.30780797208987	-9.57084237792367	-6.01994171327608	-5.16213051689417	-6.19233075466987	-3.61757713890875	-8.85714656308028	-5.70294591393095	-8.21469856769836	-4.51425884955722	-3.28248381572994	-10.9634741239749	-1.43292905583519	-7.75526694906105	-9.00524520206938	-7.50045305003221	-8.14860937724058	-5.62973606697717
CON4	-6.18849160987154	-4.27908165094691	-10.8498577369792	-3.91939120333838	-5.59455151303112	-5.37882282197568	-8.72562558550208	-9.60533135178442	-5.25483410470023	-7.09944042205441	-4.9894442778683	-9.39120654643158	-8.00126002811553	-7.3184502039962	-6.61256292101544	-6.24918754155909	-7.22681972853063	-4.15907512189479	-8.05936298267909	-5.52126708699589	-7.04951519672273	-4.69076682829042	-2.41116548325454	-9.16172470030881	-1.50246329753325	-8.20479342220065	-8.46782782803444	-6.83979660542138	-7.30667303621984	-5.51109528193859
CON5	-10.977524482626	-4.47619174022616	-10.8498577369792	-3.65250524107739	-4.61425168040295	-5.67467662207602	-6.18500032190442	-10.8283006600169	-6.18500032190442	-7.43596189543764	-5.0685908297891	-10.9508989160503	-10.8852444366012	-7.62038646657509	-6.0854646483535	-6.53292362532472	-6.27246316315475	-3.99500969740799	-10.8653896083822	-5.93007096570767	-7.37937836707128	-3.98178600225183	-3.05953258436771	-7.05745027218391	-1.29989358324444	-10.9590526097676	-10.8863592851927	-10.7330153216861	-10.8846561932557	-5.23746774179855
CON6	-7.15088255355114	-4.68413790581199	-10.8498577369792	-3.78222697837848	-4.94458103112715	-4.36026591432572	-9.43740531230732	-10.8283006600169	-6.4211034999782	-8.25298074116988	-5.95041797114944	-8.83794324189106	-8.52760312127891	-7.36285835894224	-5	-5.66162046925056	-4.4387721480712	-4.19178058473313	-9.15987133677841	-5.66801824044872	-8.19639721280353	-5.46777896135082	-2.8460813113347	-8.80937408969426	-1.39218343743765	-8.17801868348865	-8.95823747560879	-5.2870425772435	-8.9899463353361	-8.89683693094464
CON7	-10.977524482626	-3.96844339556708	-10.8498577369792	-2.18002764158076	-4.2695857406637	-3.84031369040502	-10.7094815231086	-10.8283006600169	-9.17242750864549	-5.30375643111126	-4.87628595098638	-10.9508989160503	-10.8852444366012	-10.9495565482069	-4.27616696112574	-7.86774084185339	-5.35657964154232	-2.61087282236985	-10.8653896083822	-7.06200966227544	-10.9939676379421	-7.15598581048444	-2.73456828301288	-10.9634741239749	-3.30039853590086	-10.9590526097676	-10.8863592851927	-10.7330153216861	-6.43857301373963	-6.30567874324229
CON8	-6.58324139382209	-5.09100208545936	-10.8498577369792	-4.29294490798384	-5.26131329893474	-6.28585548319753	-7.58324139382209	-10.8283006600169	-5.78335514266834	-6.37331832444787	-5.76352397074678	-10.9508989160503	-7.95828082516902	-7.37331832444787	-5.77837173515409	-7.87081798391868	-6.2440353075029	-3.94008064635579	-10.8653896083822	-6.46642772883935	-6.70089298247636	-4.94705356974577	-2.92210721261554	-7.63635273028168	-1.07774069083529	-8.02754348760616	-6.5153373293203	-7.43471886911201	-7.65450007699192	-5.96392738831017
CON9	-10.977524482626	-4.08753514652233	-10.8498577369792	-2.57468390949384	-3.94226748966517	-4.13290272706718	-8.0945175987843	-10.8283006600169	-4.54624989804382	-5.83725893145466	-4.78782122029179	-10.9508989160503	-7.53391430369154	-6.36547892038971	-6.25827986107811	-4.3829724056168	-5.86508419206727	-2.81826569626805	-10.8653896083822	-8.61451266932972	-10.9939676379421	-9.23618110287859	-3.00183285142347	-10.9634741239749	-2.59245327146778	-10.9590526097676	-10.8863592851927	-7.0945175987843	-10.8846561932557	-5.99278771182046
CON10	-5.84343008488546	-5.59010580399712	-9.00889543813709	-4.21592443424211	-4.22899372882027	-4.39255081193092	-8.62423158790176	-10.8283006600169	-6.08606329865953	-7.19013575280722	-5.50993545531313	-8.47838072143828	-10.8852444366012	-7.65525848352238	-5.81687666584414	-6.17882043957939	-6.02400233052728	-4.1127312491216	-8.75255568487729	-5.41063611480246	-8.2015405160795	-4.58263068343497	-3.1405873048476	-9.04953742263448	-1.27305738997659	-9.5349642498047	-6.89341822071713	-6.80378100823246	-8.11273124912161	-5.36503924836234
